#"+EI TIC Scan TCM-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.112666586655577
1,2.102,0.111133707925569
2,2.110,0.109021584698508
3,2.117,0.0853326039561975
4,2.125,0.0966631914351496
5,2.132,0.104302861234705
6,2.140,0.0862332585095432
7,2.148,0.0717486141045611
8,2.155,0.0735923069549392
9,2.163,0.0918314446548483
10,2.170,0.093629221782899
11,2.178,0.0808434591040317
12,2.185,0.0829096666087658
13,2.193,0.0610643787168336
14,2.200,0.0676020711805307
15,2.208,0.0853467318707598
16,2.215,0.076188311255759
17,2.223,0.0733874521937861
18,2.230,0.0547809887152576
19,2.238,0.0672170855087084
20,2.246,0.0573134174005471
21,2.253,0.0581681562315653
22,2.261,0.0570026032801768
23,2.268,0.0540110173716131
24,2.276,0.0660903843223662
25,2.283,0.0549823114977702
26,2.291,0.0338928670349202
27,2.298,0.0475192406302434
28,2.306,0.0453400098090111
29,2.313,0.0441356050925763
30,2.321,0.0450574515177654
31,2.328,0.0930393813499236
32,2.336,0.140537430108324
33,2.343,0.0745388772306123
34,2.351,0.0635085079361088
35,2.359,0.0544807705308091
36,2.366,0.0435175088304764
37,2.374,0.0412287866713863
38,2.381,0.0450185997527191
39,2.389,0.0452093265993099
40,2.396,0.218085553140703
41,2.404,0.336572840595941
42,2.411,0.0919268080781438
43,2.419,0.0326708024252826
44,2.426,0.0406212863452081
45,2.434,0.0381594972327301
46,2.441,0.0347087541008921
47,2.449,0.041709135766504
48,2.456,0.0428111131023622
49,2.464,0.0303361645438651
50,2.472,0.0446300821022563
51,2.479,0.0434398053003838
52,2.487,0.0460252136652819
53,2.494,0.0523545193891853
54,2.502,0.0375166771201461
55,2.509,0.0404270275199767
56,2.517,0.0368703250289216
57,2.524,0.0329674886310906
58,2.532,0.0457567832885985
59,2.539,0.043644660061537
60,2.547,0.036916240751249
61,2.554,0.0398654429161259
62,2.562,0.0464066673584635
63,2.570,0.110886469420729
64,2.577,0.210806145162485
65,2.585,0.090697679511225
66,2.592,0.0585107581597007
67,2.600,0.0455766523779293
68,2.607,0.0541063807949085
69,2.615,0.0385197590540683
70,2.622,0.0462865800846841
71,2.630,0.0439978579255941
72,2.637,0.0450468555818437
73,2.645,0.0265887352062192
74,2.652,0.0310425602719793
75,2.660,0.039099003551122
76,2.667,0.0275070496527676
77,2.675,0.0305339553477371
78,2.683,0.0321304096932752
79,2.690,0.0311202638020719
80,2.698,0.0333489423242722
81,2.705,0.0330557880971048
82,2.713,0.0245543155092502
83,2.720,0.0426133222984902
84,2.728,0.0525523101930572
85,2.735,0.0645080578913904
86,2.743,0.0496808115582729
87,2.750,0.046131173024499
88,2.758,0.0266876306081552
89,2.765,0.0436234681896935
90,2.773,0.0698872613609802
91,2.781,0.0460675974089687
92,2.788,0.0496843435369135
93,2.796,0.0692126534406311
94,2.803,0.0475369005234463
95,2.811,0.0597469506839006
96,2.818,0.0305798710700645
97,2.826,0.0243282688762537
98,2.833,0.0414936850694292
99,2.841,0.0369268366871707
100,2.848,0.03828311648515
101,2.856,0.0398619109374853
102,2.863,0.0454530331255094
103,2.871,0.0382089449336981
104,2.878,0.0247591702704033
105,2.886,0.056614085629714
106,2.894,0.0431042673295296
107,2.901,0.0518600423795053
108,2.909,0.0381524332754489
109,2.916,0.044764297290598
110,2.924,0.035351574213476
111,2.931,0.0367749616056262
112,2.939,0.0367996854561102
113,2.946,0.0390424918928728
114,2.954,0.152818119841589
115,2.961,4.86420213202946
116,2.969,30.3814339141013
117,2.976,77.8290919332363
118,2.984,100
119,2.992,3.50313297101355
120,2.999,0.117304074610647
121,3.007,0.0795578188788638
122,3.014,0.0876954976667396
123,3.022,0.0611456142255667
124,3.029,0.0529584877367229
125,3.037,0.0732285131549604
126,3.044,0.0700179445706813
127,3.052,0.0586273134548395
128,3.059,0.0654652241029852
129,3.067,0.0440225817760781
130,3.074,0.0407060538325818
131,3.082,0.0300536062526194
132,3.089,0.0397630155355493
133,3.097,0.0294319780118789
134,3.105,0.0245825713383748
135,3.112,0.0422318686053085
136,3.120,0.0395263729666311
137,3.127,0.0673618966329718
138,3.135,0.0482503602088417
139,3.142,0.0245295916587662
140,3.150,0.0226364511074201
141,3.157,0.0514256090067151
142,3.165,0.0567165130102906
143,3.172,0.0320703660563855
144,3.180,0.0333454103456317
145,3.187,0.029859347427388
146,3.195,0.0303467604797868
147,3.203,0.0312156272253673
148,3.210,0.0232439514335983
149,3.218,0.0221384421190996
150,3.225,0.0219300553793059
151,3.233,0.0271644477246323
152,3.240,0.0172607796164709
153,3.248,0.0252536472800833
154,3.255,0.0392685385258694
155,3.263,0.0487307093039593
156,3.270,0.0256527608664678
157,3.278,0.0207397785774334
158,3.285,0.0255503334858913
159,3.293,0.0254443741266741
160,3.300,0.0246744027830296
161,3.308,0.0211848078861454
162,3.316,0.0403811117976493
163,3.323,0.0217428605113556
164,3.331,0.0160669708359579
165,3.338,0.0184475244397028
166,3.346,0.0165791077388407
167,3.353,0.00905952521306485
168,3.361,0.00706748925978275
169,3.368,0.0207079907696683
170,3.376,0.0228589657617761
171,3.383,0.0224245323889858
172,3.391,0.0106948313236493
173,3.398,0.0119522157196926
174,3.406,0.00205561156881237
175,3.413,0.0118568522963971
176,3.421,0.00662952390835194
177,3.429,0.0206338192182163
178,3.436,0.0134250508128107
179,3.444,0.014979121414662
180,3.451,0.0152051680476585
181,3.459,0.0183874808028131
182,3.466,0.00642113716855824
183,3.474,0.0189455334280233
184,3.481,0.0324129679845209
185,3.489,0.0920186395227986
186,3.496,0.0595632877945909
187,3.504,0.0306399147069542
188,3.511,0.0180484108533183
189,3.519,0.00522379640940464
190,3.527,0.0143115774515941
191,3.534,0.00114082910090446
192,3.542,0.00568295363267888
193,3.549,0.0168122183291184
194,3.557,0.00769971343644498
195,3.564,0.0281322098721487
196,3.572,0.0114612706886532
197,3.579,0.0140007633312238
198,3.587,0.000441497330071386
199,3.594,0.0116837853430092
200,3.602,0.0213649387968145
201,3.609,0.0161305464514882
202,3.617,0.0140678709253947
203,3.624,0.0198144001736038
204,3.632,0.019005577064913
205,3.640,0.00377215318812992
206,3.647,0.0175751257154817
207,3.655,0.0181932219775817
208,3.662,0
209,3.670,0.016667407204855
210,3.677,0.00538626742687091
211,3.685,0.0101261827625173
212,3.692,0.00409709522306246
213,3.700,0.0104299329256064
214,3.707,0.0175751257154817
215,3.715,0.0187795304319165
216,3.722,0.072465605768597
217,3.730,0.663468059716717
218,3.738,1.95449102033282
219,3.745,3.16864399781554
220,3.753,4.61616893199535
221,3.760,6.1232783458416
222,3.768,7.3196442788904
223,3.775,8.86153661838899
224,3.783,1.76132710847999
225,3.790,0.445862855671132
226,3.798,0.32073191639298
227,3.805,0.290999720196652
228,3.813,0.225301385503389
229,3.820,0.188911409569585
230,3.828,0.16840827356107
231,3.835,0.150879063567916
232,3.843,0.144249539659564
233,3.851,0.14119437813547
234,3.858,0.116092605936931
235,3.866,0.114036994368119
236,3.873,0.115573405076767
237,3.881,0.117512461350441
238,3.888,0.111370350494488
239,3.896,0.0810094621001385
240,3.903,0.0699967526988379
241,3.911,0.0658325498816045
242,3.918,0.0904716328782285
243,3.926,0.126141085169356
244,3.933,0.0999020158485533
245,3.941,0.0648365319049635
246,3.949,0.093505602530479
247,3.956,0.113030380455556
248,3.964,0.100650795320354
249,3.971,0.149307333072862
250,3.979,0.0943815332333407
251,3.986,0.0614458324100152
252,3.994,0.0546679653987593
253,4.001,0.0728965071627467
254,4.009,0.0908990022937376
255,4.016,0.0767463638809692
256,4.024,0.0609902071653816
257,4.031,0.0436870438052238
258,4.039,0.0541558284958765
259,4.046,0.0511642425873128
260,4.054,0.0471978305739515
261,4.062,0.0485611743292119
262,4.069,0.0539015260337554
263,4.077,0.0425780025120845
264,4.084,0.0511183268649854
265,4.092,0.0677680741766375
