#"+EI TIC Scan TCM-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.145239552089591
1,2.102,0.131935131362408
2,2.110,0.128598923262409
3,2.117,0.1283609434114
4,2.125,0.11850049524505
5,2.132,0.113857643057434
6,2.140,0.106399444330518
7,2.147,0.112793469006694
8,2.155,0.114427896662683
9,2.163,0.107418716522577
10,2.170,0.156007017801297
11,2.178,0.167775794961589
12,2.185,0.1079081467822
13,2.193,0.100732829764975
14,2.200,0.141261247410454
15,2.208,0.150237128960787
16,2.215,0.0906388919334844
17,2.223,0.0967455447141016
18,2.230,0.136829433958638
19,2.238,0.11412705420952
20,2.245,0.0796603874859777
21,2.253,0.116695440526074
22,2.261,0.128392374712477
23,2.268,0.0875810753573077
24,2.276,0.073796204742238
25,2.283,0.0967051330412887
26,2.291,0.0822197934307952
27,2.298,0.0853539431667296
28,2.306,0.0865483326076445
29,2.313,0.144211299525796
30,2.321,0.114203387369278
31,2.328,0.0769483152216448
32,2.336,0.0688390395438546
33,2.343,0.066230241554488
34,2.351,0.0787892914275661
35,2.358,0.0550362081853125
36,2.366,0.0671462394715805
37,2.374,0.0773838632508506
38,2.381,0.0755294164873249
39,2.389,0.0885554456906855
40,2.396,0.318866059237316
41,2.404,0.364050799628015
42,2.411,0.104625820912619
43,2.419,0.0849677871820729
44,2.426,0.0970598577248686
45,2.434,0.0799208182663276
46,2.441,0.0700199584271651
47,2.449,0.0624629756111513
48,2.456,0.0535768977781797
49,2.464,0.18340164178258
50,2.472,0.377813219313744
51,2.479,0.20832217335054
52,2.487,0.162315728945979
53,2.494,0.11821761353536
54,2.502,0.0950707053852999
55,2.509,0.0696203318849041
56,2.517,0.0777430781202986
57,2.524,0.069126411439413
58,2.532,0.0783627237700966
59,2.539,0.0744383013213764
60,2.547,0.0734324996869218
61,2.554,0.0776128627301237
62,2.562,0.068767196569965
63,2.569,0.0871185862128933
64,2.577,0.0728936773827497
65,2.585,0.0782774102386026
66,2.592,0.0751971427330854
67,2.600,0.0702220167912297
68,2.607,0.0780124892723847
69,2.615,0.0664143391750801
70,2.622,0.0584038475863881
71,2.630,0.0763645910587917
72,2.637,0.0752734758928432
73,2.645,0.0611338805941935
74,2.652,0.0523825083372649
75,2.660,0.0633071305543543
76,2.667,0.0616996440135742
77,2.675,0.0744338111355083
78,2.683,0.064182716798634
79,2.690,0.0779406462984951
80,2.698,0.061825369217881
81,2.705,0.070949426901862
82,2.713,0.0640300504791185
83,2.720,0.116924440005347
84,2.728,0.130615016717186
85,2.735,0.0878325257659213
86,2.743,0.0794179174491003
87,2.750,0.077316510462829
88,2.758,0.0800959355151835
89,2.765,0.0762164149251443
90,2.773,0.0875137225692861
91,2.780,0.0698942332228583
92,2.788,0.066589456423936
93,2.796,0.0648023624484319
94,2.803,0.0904682648704965
95,2.811,0.0709808582029387
96,2.818,0.0795346622816709
97,2.826,0.215573823527523
98,2.833,0.204905141904916
99,2.841,0.0812633838408897
100,2.848,0.0714253866038807
101,2.856,0.0610440768768315
102,2.863,0.0625078774698323
103,2.871,0.0525082335415717
104,2.878,0.0779720775995718
105,2.886,0.0860993140208344
106,2.893,0.0717441898005159
107,2.901,0.0820222252525988
108,2.909,0.0740835766377964
109,2.916,0.0689108825177442
110,2.924,0.0790991142524651
111,2.931,0.0734594408021304
112,2.939,0.0635091889184188
113,2.946,0.0740162238497749
114,2.954,0.322601893879576
115,2.961,7.30877881178277
116,2.969,36.7564459873521
117,2.976,76.3927579947423
118,2.984,100
119,2.991,3.68236999912845
120,2.999,0.150241619146655
121,3.007,0.123058033901173
122,3.014,0.098855932072109
123,3.022,0.088977523162287
124,3.029,0.0861621766229878
125,3.037,0.102726472290412
126,3.044,0.100544241958515
127,3.052,0.0747705750756159
128,3.059,0.080518012986785
129,3.067,0.0956589197340211
130,3.074,0.0725254821415654
131,3.082,0.0705902120324139
132,3.089,0.0781561752201639
133,3.097,0.0622115252025377
134,3.104,0.0659159285437209
135,3.112,0.0635900122640447
136,3.120,0.0679185514408939
137,3.127,0.106251268196871
138,3.135,0.0949180390657845
139,3.142,0.0693149992458733
140,3.150,0.0744921835517936
141,3.157,0.0739982631063025
142,3.165,0.0852237277765547
143,3.172,0.0585250826048269
144,3.180,0.0775724510573108
145,3.187,0.0607387442378006
146,3.195,0.0694676655653887
147,3.202,0.0679769238571792
148,3.210,0.0638010509998454
149,3.218,0.0588798072884068
150,3.225,0.0616367814114208
151,3.233,0.0593557669904255
152,3.240,0.0610395866909634
153,3.248,0.0689333334470847
154,3.255,0.0798848967793827
155,3.263,0.0984428349722437
156,3.270,0.0728981675686178
157,3.278,0.045669680464454
158,3.285,0.0577393000779092
159,3.293,0.064227618657315
160,3.300,0.054169602312769
161,3.308,0.0703208008803279
162,3.315,0.0678018066083233
163,3.323,0.0412064357115618
164,3.331,0.0478653813539554
165,3.338,0.0446548984582633
166,3.346,0.0509770801605493
167,3.353,0.0457819351111566
168,3.361,0.0384539517744159
169,3.368,0.0489430259622996
170,3.376,0.0468461091618965
171,3.383,0.0438107435150603
172,3.391,0.0454810926579938
173,3.398,0.0536936426107503
174,3.406,0.0323966910383478
175,3.413,0.0469763245520714
176,3.421,0.0342017457573244
177,3.429,0.034138883155171
178,3.436,0.0447851138484382
179,3.444,0.0597015113022693
180,3.451,0.259833585629394
181,3.459,0.606942913977064
182,3.466,0.297569107664913
183,3.474,0.0655118118155918
184,3.481,0.0647305194745423
185,3.489,0.107845284180047
186,3.496,0.0742093018421032
187,3.504,0.0419428261939303
188,3.511,0.0426118638882773
189,3.519,0.0416150426255589
190,3.526,0.0411166319941998
191,3.534,0.041929355636326
192,3.542,0.0536711916814098
193,3.549,0.065830615012227
194,3.557,0.144211299525796
195,3.564,0.0931444156478846
196,3.572,0.049140594140496
197,3.579,0.0372820132628416
198,3.587,0.0491450843263641
199,3.594,0.0444303891648582
200,3.602,0.0364243877620343
201,3.609,0.0322036130460195
202,3.617,0.0409594754888162
203,3.624,0.0447267414321529
204,3.632,0.0339413149769746
205,3.640,0.0383102658266367
206,3.647,0.0399536738543616
207,3.655,0.0382249522951428
208,3.662,0.028930267548174
209,3.670,0.0443989578637815
210,3.677,0.0437209397976983
211,3.685,0.0365276620370007
212,3.692,0.0470346969683567
213,3.700,0.0466665017271724
214,3.707,0.069615841699036
215,3.715,0.0555211482590674
216,3.722,0.0357149383948744
217,3.730,0.0415072781647245
218,3.737,0.0326885531197744
219,3.745,0.0432539604674158
220,3.753,0.046823658232556
221,3.760,0.0449287997962174
222,3.768,0.0407214956378069
223,3.775,0.0360876238219268
224,3.783,0.044821035335383
225,3.790,0.0425849227730687
226,3.798,0.0434111169727993
227,3.805,0.0385392653059098
228,3.813,0.0474702449975625
229,3.820,0.0269096839075286
230,3.828,0.0372056801030839
231,3.835,0.0381171878343084
232,3.843,0.0384539517744159
233,3.850,0.0456786608361903
234,3.858,0.0397246743750885
235,3.866,0.0381351485777808
236,3.873,0.0392711656024103
237,3.881,0.0360023102904329
238,3.888,0.0254009814558467
239,3.896,0.0376412281322897
240,3.903,0.0463072868577244
241,3.911,0.0397785566055057
242,3.918,0.0368778965347125
243,3.926,0.0465228157793932
244,3.933,0.027461976769305
245,3.941,0.0442507817301342
246,3.948,0.0491585548839684
247,3.956,0.0484580858885447
248,3.964,0.0550900904157297
249,3.971,0.0981554630766852
250,3.979,0.0510130016474941
251,3.986,0.0310406549061814
252,3.994,0.0414803370495159
253,4.001,0.0323113775068539
254,4.009,0.0402320653781839
255,4.016,0.0294870505958185
256,4.024,0.0307757339399634
257,4.031,0.028530641005913
258,4.039,0.0313235366158717
259,4.046,0.0461007383077917
260,4.054,0.0416779052277124
261,4.061,0.0324191419676884
262,4.069,0.0370709745270409
263,4.077,0.0319027705928568
264,4.084,0.0446055064137141
265,4.092,0.0823814401220468
266,4.099,0.116381127515307
267,4.107,0.0607701755388773
268,4.114,0.0310810665789943
269,4.122,0.0386919316254253
270,4.129,0.0310047334192366
271,4.137,0.0503574345107514
272,4.144,0.0350908025592084
273,4.152,0.0287461699275818
274,4.159,0.0398010075348462
275,4.167,0.0303671270259663
276,4.175,0.0290335418231403
277,4.182,0.0363480546022766
278,4.190,0.0334069828586705
279,4.197,0.0249384923114323
280,4.205,0.0328277488816855
281,4.212,0.0331241011489802
282,4.220,0.0303446760966257
283,4.227,0.027286859520449
284,4.235,0.0338155897726677
285,4.242,0.0471649123585316
286,4.250,0.320909093807302
287,4.257,1.14109093466048
288,4.265,0.756582848217394
289,4.272,0.128670766236299
290,4.280,0.0467652858162707
291,4.288,0.04887118298841
292,4.295,0.0364872503641877
293,4.303,0.0392666754165422
294,4.310,0.0436490968238087
295,4.318,0.0390017544503242
296,4.325,0.0343274709616312
297,4.333,0.032760396093664
298,4.340,0.0496255342142509
299,4.348,0.0183783307581369
300,4.355,0.035472468357997
301,4.363,0.0523690377796606
302,4.370,0.0346866858310793
303,4.378,0.0258679607861292
