#"+EI TIC Scan TCM-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.118175905770914
1,2.102,0.126495730317638
2,2.110,0.103432402736951
3,2.117,0.115789599505575
4,2.125,0.101476061564466
5,2.132,0.0948846966910144
6,2.140,0.103256117048881
7,2.148,0.0928767597073864
8,2.155,0.0954049544533677
9,2.163,0.104137545489232
10,2.170,0.149159190361971
11,2.178,0.152530116689946
12,2.185,0.0931347387630988
13,2.193,0.0860016178726514
14,2.200,0.133001102172519
15,2.208,0.135224021702574
16,2.215,0.0951469753976554
17,2.223,0.0910451084118285
18,2.230,0.119182024088192
19,2.238,0.0969829263441418
20,2.246,0.0785675214172062
21,2.253,0.110307544571686
22,2.261,0.118915445730623
23,2.268,0.0842172627373074
24,2.276,0.0714859963379013
25,2.283,0.0708582473023345
26,2.291,0.0708625469532631
27,2.298,0.0646581506633802
28,2.306,0.0860575133347224
29,2.313,0.135615289937071
30,2.321,0.0988532744980566
31,2.328,0.0828284754873891
32,2.336,0.0710130347357619
33,2.343,0.0632865620171761
34,2.351,0.0756824556441561
35,2.359,0.0493470937068503
36,2.366,0.0575379287257185
37,2.374,0.0748784209205191
38,2.381,0.062792102160394
39,2.389,0.0749773128918756
40,2.396,0.316230726492239
41,2.404,0.352773459733898
42,2.411,0.0904474569327614
43,2.419,0.0801884898172657
44,2.426,0.101893127704534
45,2.434,0.0710087350848334
46,2.441,0.0548979430555951
47,2.449,0.0566693992381535
48,2.456,0.0513980271997638
49,2.464,0.184308836702783
50,2.472,0.379190515038846
51,2.479,0.170494058269385
52,2.487,0.161722770375164
53,2.494,0.101966221770319
54,2.502,0.0893166487385555
55,2.509,0.0662705197615826
56,2.517,0.0699424216545556
57,2.524,0.0582688693835702
58,2.532,0.0664339064968671
59,2.539,0.0504048078352711
60,2.547,0.0666531886942227
61,2.554,0.0636348337423878
62,2.562,0.0738250064430269
63,2.570,0.0608185623841943
64,2.577,0.0698177317776279
65,2.585,0.0649978230867349
66,2.592,0.0689148050826346
67,2.600,0.0681150700099262
68,2.607,0.0689062057807775
69,2.615,0.0684676413860664
70,2.622,0.0675948122475729
71,2.630,0.0621084576627562
72,2.637,0.0588020260987091
73,2.645,0.052395546215185
74,2.652,0.0615924995513314
75,2.660,0.0611582348075489
76,2.667,0.0635617396766026
77,2.675,0.0743409645544517
78,2.683,0.0603799979894832
79,2.690,0.0704325818604091
80,2.698,0.0623750360203257
81,2.705,0.0565576083140114
82,2.713,0.0616397957115454
83,2.720,0.122565849368953
84,2.728,0.123099006084092
85,2.735,0.0855802520816545
86,2.743,0.0745860446573784
87,2.750,0.0746376404685209
88,2.758,0.0653718927175178
89,2.765,0.0686611256778507
90,2.773,0.0921845159078915
91,2.781,0.0645119625318099
92,2.788,0.068910505431706
93,2.796,0.0693146726189888
94,2.803,0.0606379770451956
95,2.811,0.0725652087209648
96,2.818,0.0732789507751024
97,2.826,0.191613943630372
98,2.833,0.182541680171154
99,2.841,0.0841398690205937
100,2.848,0.0535607516168192
101,2.856,0.0473864528834362
102,2.863,0.0701875017574823
103,2.871,0.0593953779268476
104,2.878,0.0660641365170127
105,2.886,0.0738035081883842
106,2.894,0.0569574758503656
107,2.901,0.059765147906702
108,2.909,0.0847934159617317
109,2.916,0.0695339548163443
110,2.924,0.0587719285422094
111,2.931,0.0788040022182759
112,2.939,0.0721180450243966
113,2.946,0.0691168886762759
114,2.954,0.396767488034716
115,2.961,8.20483468229148
116,2.969,40.4324124541625
117,2.976,82.9989824446112
118,2.984,100
119,2.992,2.52401978492974
120,2.999,0.177051025935408
121,3.007,0.114078338436016
122,3.014,0.0831380503542439
123,3.022,0.0845999316699474
124,3.029,0.0815428798597557
125,3.037,0.118820853410195
126,3.044,0.105810109700434
127,3.052,0.0725007139570367
128,3.059,0.0656771679334441
129,3.067,0.0867927536435027
130,3.074,0.0712323169331175
131,3.082,0.0696371464386292
132,3.089,0.0686912232343505
133,3.097,0.0755233685598001
134,3.105,0.0587762281931379
135,3.112,0.0666144918358658
136,3.120,0.0711764214710465
137,3.127,0.116903209096066
138,3.135,0.0831638482598152
139,3.142,0.0583591620530696
140,3.150,0.044277805262102
141,3.157,0.0685536344046372
142,3.165,0.0793844550936288
143,3.172,0.0703293902381241
144,3.180,0.0778580790139972
145,3.187,0.0643657744002395
146,3.195,0.0539047236911024
147,3.203,0.0601736147449133
148,3.210,0.0603799979894832
149,3.218,0.0562609323999422
150,3.225,0.0553021102428778
151,3.233,0.0450130455708823
152,3.240,0.0449915473162396
153,3.248,0.0635660393275311
154,3.255,0.0776516957694273
155,3.263,0.12216168218167
156,3.270,0.0708840452079058
157,3.278,0.0686869235834219
158,3.285,0.0523353511021854
159,3.293,0.0524987378374699
160,3.300,0.0511099505875516
161,3.308,0.0716966792333998
162,3.316,0.0641206942973128
163,3.323,0.0579549948657868
164,3.331,0.064090596740813
165,3.338,0.0492224038299227
166,3.346,0.0354764198113812
167,3.353,0.0416980147049782
168,3.361,0.0385721684799298
169,3.368,0.0419602934116191
170,3.376,0.0461094565576599
171,3.383,0.0386667608003577
172,3.391,0.058569844948568
173,3.398,0.0485989544452844
174,3.406,0.0394449976184233
175,3.413,0.0437059516886062
176,3.421,0.0421064815431894
177,3.429,0.0436285579718925
178,3.436,0.0470510801110101
