#"+EI TIC Scan TCM-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.133189726027135
1,2.102,0.139706381523101
2,2.110,0.139119755000959
3,2.117,0.115459151941243
4,2.125,0.119331737170744
5,2.132,0.12287275088773
6,2.140,0.107178365962025
7,2.147,0.112122182231958
8,2.155,0.0949612310008992
9,2.162,0.113554741202696
10,2.170,0.159090562254741
11,2.178,0.1621257168693
12,2.185,0.0924106809046308
13,2.193,0.095216286010526
14,2.200,0.138579888563916
15,2.208,0.167290580814244
16,2.215,0.093685955952765
17,2.223,0.0999560582727581
18,2.230,0.135089885848855
19,2.238,0.101537399332445
20,2.245,0.0786207067174731
21,2.253,0.119710068768357
22,2.260,0.129104594956279
23,2.268,0.0831096748869054
24,2.275,0.0847462778653443
25,2.283,0.0765165028880516
26,2.291,0.0847972888672697
27,2.298,0.0741104839639051
28,2.306,0.0907570742588835
29,2.313,0.141789330768387
30,2.321,0.120062894865007
31,2.328,0.0843934517686938
32,2.336,0.0706459867498072
33,2.343,0.0707054995853868
34,2.351,0.0669859473616621
35,2.358,0.0749436636620195
36,2.366,0.0597211305041243
37,2.373,0.0657701851491075
38,2.381,0.0693409552838832
39,2.389,0.0818216470882899
40,2.396,0.258090164241398
41,2.404,0.35329794841827
42,2.411,0.109091278534226
43,2.419,0.0751094494182769
44,2.426,0.0972099660024425
45,2.434,0.0683844989977826
46,2.441,0.061013409219567
47,2.449,0.0598486580089377
48,2.456,0.0636787340701674
49,2.464,0.167775185332535
50,2.471,0.374106186286993
51,2.479,0.204898441983721
52,2.486,0.159256348010998
53,2.494,0.117865170865389
54,2.502,0.0793008534098113
55,2.509,0.0663993208395204
56,2.517,0.05467529223034
57,2.524,0.0588581943882202
58,2.532,0.0573023588294964
59,2.539,0.0706204812488445
60,2.547,0.0619528618383591
61,2.554,0.0759851382846624
62,2.562,0.0643163715942345
63,2.569,0.0652090641279284
64,2.577,0.0699700909742961
65,2.584,0.0601632258541442
66,2.592,0.0642186005072109
67,2.600,0.0519121962927159
68,2.607,0.0701571313146891
69,2.615,0.0715854393685994
70,2.622,0.0681421967386371
71,2.630,0.0756323121880119
72,2.637,0.0655576393077518
73,2.645,0.0653961044683215
74,2.652,0.0493616461964475
75,2.660,0.0680231710674779
76,2.667,0.0738851853720681
77,2.675,0.0600271965156765
78,2.682,0.0570175474020798
79,2.690,0.076231691460635
80,2.697,0.0663525607544221
81,2.705,0.0523755462268713
82,2.713,0.0717342214575484
83,2.720,0.126515786608566
84,2.728,0.118978911074093
85,2.735,0.085817508905777
86,2.743,0.0738511780374512
87,2.750,0.0737746615345631
88,2.758,0.063776505157191
89,2.765,0.0717809815426467
90,2.773,0.094918721832628
91,2.780,0.0710073146801119
92,2.788,0.0566349648876395
93,2.795,0.0689796273535785
94,2.803,0.0805038628718845
95,2.810,0.0742125059677559
96,2.818,0.0553809444236409
97,2.826,0.151451664716417
98,2.833,0.198692103416135
99,2.841,0.07906705298432
100,2.848,0.0669901982784892
101,2.856,0.0629688309600394
102,2.863,0.0644736555168377
103,2.871,0.0578167197655772
104,2.878,0.0556189957659593
105,2.886,0.0854944392269164
106,2.893,0.0823657644421605
107,2.901,0.0756280612711848
108,2.908,0.0847080196139003
109,2.916,0.0754537736812731
110,2.924,0.0770563693250951
111,2.931,0.0621781604301962
112,2.939,0.0514020862734622
113,2.946,0.0666883831837641
114,2.954,0.265703556278759
115,2.961,6.02093908108866
116,2.969,35.0475382154235
117,2.976,79.2618342442552
118,2.984,100
119,2.991,2.63424639767744
120,2.999,0.154533579416075
121,3.006,0.126668819614342
122,3.014,0.102846681715196
123,3.021,0.0950547511710957
124,3.029,0.095288551596587
125,3.037,0.108887234526525
126,3.044,0.10795203282456
127,3.052,0.0781913641179345
128,3.059,0.0704631973262413
129,3.067,0.0867654633582234
130,3.074,0.0832287005580646
131,3.082,0.0645799284375156
132,3.089,0.0872373151260331
133,3.097,0.0750329329153889
134,3.104,0.0599846873474054
135,3.112,0.0686055466727925
136,3.119,0.0782891352049582
137,3.127,0.102124025854586
138,3.135,0.0882745388318489
139,3.142,0.0654981264721722
140,3.150,0.0545605174760079
141,3.157,0.0732943079330992
142,3.165,0.0830076528830547
143,3.172,0.0617658214979661
144,3.180,0.0663058006693239
145,3.187,0.0721083021383344
146,3.195,0.0506666776623715
147,3.202,0.0437546869014842
148,3.210,0.0552194095842106
149,3.217,0.0656341558106398
150,3.225,0.0534510281841312
151,3.232,0.0439204726577416
152,3.240,0.0445283537640189
153,3.248,0.0563203970424331
154,3.255,0.0594830791618059
155,3.263,0.0784506700443885
156,3.270,0.0589857218930336
157,3.278,0.0410213473816499
158,3.285,0.0490640820185496
159,3.293,0.0541354257932965
160,3.300,0.0660039855745988
161,3.308,0.0581015311929939
162,3.315,0.0631303657994697
163,3.323,0.0513383225210555
164,3.330,0.0461862113265934
165,3.338,0.0580547711078956
166,3.346,0.0473849698718395
167,3.353,0.0468366016011418
168,3.361,0.0410170964648228
169,3.368,0.04710440936125
170,3.376,0.0456378430558957
171,3.383,0.0350700638236903
172,3.391,0.0429130053697156
173,3.398,0.0456080866381059
174,3.406,0.0449661981972117
175,3.413,0.043486879141376
176,3.421,0.0447238959380662
177,3.428,0.0452467587078012
178,3.436,0.0462117168275561
179,3.443,0.0626457612811787
180,3.451,0.244806049156667
181,3.459,0.557779800552934
182,3.466,0.305985244132491
183,3.474,0.0731200203431876
184,3.481,0.0744633100605556
185,3.489,0.112147687732921
186,3.496,0.082722841455638
187,3.504,0.0454167953808858
188,3.511,0.0510705147609474
189,3.519,0.0478695743901305
190,3.526,0.0396780576642819
191,3.534,0.0494679191171254
192,3.541,0.0433295952187728
193,3.549,0.0656639122284296
194,3.557,0.127331962639372
195,3.564,0.0827058377883296
196,3.572,0.0467515832645995
197,3.579,0.035095569324653
198,3.587,0.0353336206669714
199,3.594,0.0446728849361408
200,3.602,0.0350998202414801
201,3.609,0.0517336577859771
202,3.617,0.0385430628714425
203,3.624,0.0342496368760573
204,3.632,0.0336375048529529
205,3.639,0.0346194666400162
206,3.647,0.036625899382414
207,3.654,0.0357629632665099
208,3.662,0.0424624081860415
209,3.670,0.042254113261513
210,3.677,0.0331656530851433
211,3.685,0.035728955931893
212,3.692,0.0504413790705345
213,3.700,0.0318776252865277
214,3.707,0.0519504545441599
215,3.715,0.0426494485264346
216,3.722,0.0369914782295458
217,3.730,0.0352783587482189
218,3.737,0.0419990582518861
219,3.745,0.0447961615241271
220,3.752,0.0441160148317889
221,3.760,0.0295438719484422
222,3.767,0.0393252315676314
223,3.775,0.0361795531155671
224,3.783,0.0308871616658102
225,3.790,0.0302750296427058
226,3.798,0.0387641105464524
227,3.805,0.0356609412626592
228,3.813,0.0427174631956684
229,3.820,0.0322389532168324
230,3.828,0.0406047575325927
231,3.835,0.0266872558406216
232,3.843,0.0425941866076821
233,3.850,0.0445581101818087
234,3.858,0.0344919391352028
235,3.865,0.0332039113365873
236,3.873,0.0366514048833767
237,3.881,0.0363920989569228
238,3.888,0.0422711169288214
239,3.896,0.0368682016415595
240,3.903,0.0348447652318533
241,3.911,0.0398991053392918
242,3.918,0.0420160619191946
243,3.926,0.037331551575715
244,3.933,0.0288934816738937
245,3.941,0.0294078426099745
246,3.948,0.0435506428937827
247,3.956,0.029539621031615
248,3.963,0.042368888015845
249,3.971,0.0858345125730855
250,3.978,0.0495189301190508
251,3.986,0.0372380314055185
252,3.994,0.0368214415564613
253,4.001,0.0333867007601532
254,4.009,0.0253779734578705
255,4.016,0.038300760612297
256,4.024,0.0374548281637013
257,4.031,0.0269338090165942
258,4.039,0.0432063186307865
