#"+EI TIC Scan TCM-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.117188757233557
1,2.102,0.103504891630767
2,2.110,0.116878887088566
3,2.117,0.0811487935701697
4,2.125,0.106859752400533
5,2.132,0.0912257706852679
6,2.140,0.0854828439981066
7,2.147,0.0755463413487375
8,2.155,0.0778683016352013
9,2.162,0.0903333446676946
10,2.170,0.0891517065147967
11,2.177,0.0865570605007411
12,2.185,0.0732656970816058
13,2.193,0.0646347806431309
14,2.200,0.0602552825939288
15,2.208,0.0661056309313535
16,2.215,0.0719642424726448
17,2.223,0.0547189360034279
18,2.230,0.0603957570596579
19,2.238,0.0606188635640512
20,2.245,0.0613336306984965
21,2.253,0.0605899423505187
22,2.260,0.0668988985025298
23,2.268,0.057520162114144
24,2.275,0.0582431924524557
25,2.283,0.064399279332938
26,2.291,0.0485463227152128
27,2.298,0.0427910012222518
28,2.306,0.0469845771844595
29,2.313,0.0456665961677657
30,2.321,0.0419894704472091
31,2.328,0.0787813856624406
32,2.336,0.15349314342067
33,2.343,0.103860209397023
34,2.351,0.0789549129436354
35,2.358,0.0521532112029047
36,2.366,0.0545082243048342
37,2.373,0.0595322522556171
38,2.381,0.0508434933900773
39,2.388,0.0545660667318991
40,2.396,0.197407940368755
41,2.404,0.33368469853374
42,2.411,0.103079336631646
43,2.419,0.0511905479524669
44,2.426,0.0462863364577471
45,2.434,0.0485132698997471
46,2.441,0.030119378093098
47,2.449,0.0466829702433352
48,2.456,0.0602635457977952
49,2.464,0.0514632336800587
50,2.471,0.0603544410403258
51,2.479,0.0675392968021773
52,2.486,0.05542957153594
53,2.494,0.0599330176431384
54,2.502,0.0538347731897211
55,2.509,0.0414482305939587
56,2.517,0.0492239054322591
57,2.524,0.0556361516326004
58,2.532,0.0444477735974688
59,2.539,0.0452864887899104
60,2.547,0.0351847220632129
61,2.554,0.0360069108479216
62,2.562,0.0364242026431758
63,2.569,0.0934113881079358
64,2.577,0.203766475743964
65,2.584,0.0778600384313349
66,2.592,0.0486330863558102
67,2.599,0.0604246782731904
68,2.607,0.0624822160359287
69,2.615,0.062940823850515
70,2.622,0.03962206253948
71,2.630,0.0496205392178473
72,2.637,0.0490297201413983
73,2.645,0.0243805830078698
74,2.652,0.0417911535544151
75,2.660,0.0416382842828863
76,2.667,0.0346806666273614
77,2.675,0.0311688049841332
78,2.682,0.0318009400799143
79,2.690,0.0335486076976619
80,2.697,0.0334825020667306
81,2.705,0.0396261941414132
82,2.713,0.0328710249806156
83,2.720,0.0393700348215543
84,2.728,0.0430926081633761
85,2.735,0.0665766335517394
86,2.743,0.0535951402775949
87,2.750,0.0504551228083556
88,2.758,0.0284295529024152
89,2.765,0.0623252151624668
90,2.773,0.0708197887371457
91,2.780,0.0478108975711015
92,2.788,0.0543636182371719
93,2.795,0.058821616723105
94,2.803,0.0543346970236394
95,2.810,0.0578300322591347
96,2.818,0.0442329302969419
97,2.826,0.0439561129674169
98,2.833,0.044332088743339
99,2.841,0.0502444111097619
100,2.848,0.0458194654392944
101,2.856,0.0684441176255502
102,2.863,0.0666014231633387
103,2.871,0.0496288024217137
104,2.878,0.0583010348795206
105,2.886,0.0864537704524108
106,2.893,0.059924754439272
107,2.901,0.0594000409937544
108,2.908,0.0406756210324485
109,2.916,0.05631786595158
110,2.923,0.0386965837064411
111,2.931,0.0583712721123852
112,2.939,0.0460880195649531
113,2.946,0.0402418028294615
114,2.954,0.138821824955842
115,2.961,4.5690518142959
116,2.969,30.9846264331546
117,2.976,75.8342437662493
118,2.984,100
119,2.991,3.25045518891399
120,2.999,0.107355544632518
121,3.006,0.0924487248574979
122,3.014,0.0968901969356983
123,3.021,0.076542057414641
124,3.029,0.0553799923127414
125,3.037,0.0767362427055018
126,3.044,0.0778848280429341
127,3.052,0.0611890246308341
128,3.059,0.0518929202811125
129,3.067,0.0545784615376988
130,3.074,0.0467656022819994
131,3.082,0.052335001687966
132,3.089,0.0470382880095913
133,3.097,0.0386056884639105
134,3.104,0.0282064463980219
135,3.112,0.0379115793391313
136,3.119,0.0606477847775837
137,3.127,0.0715469506773906
138,3.134,0.0706503930578841
139,3.142,0.0382090546783224
140,3.150,0.0309828828971388
141,3.157,0.0551527542064149
142,3.165,0.0704892605824889
143,3.172,0.0425885527275245
144,3.180,0.0437701908804225
145,3.187,0.0460177823320885
146,3.195,0.0390064538514318
147,3.202,0.0327842613400182
148,3.210,0.0450303294700514
149,3.217,0.0357548831299959
150,3.225,0.0211620651018996
151,3.232,0.0305077486748197
152,3.240,0.0331478423101406
153,3.248,0.0388535845799031
154,3.255,0.0458442550508937
155,3.263,0.0470382880095913
156,3.270,0.0396427205491461
157,3.278,0.0287972654744709
