#"+EI TIC Scan TCM-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0724833942207338
1,2.102,0.0592323359387212
2,2.110,0.0537400516388576
3,2.117,0.055795705071628
4,2.125,0.0585133843278753
5,2.132,0.0644463163892251
6,2.140,0.0496456116732779
7,2.147,0.0477185683527115
8,2.155,0.0756332877884867
9,2.163,0.962222908986166
10,2.170,0.856827976216153
11,2.178,0.175533827896141
12,2.185,0.0929851111235645
13,2.193,0.074591756715883
14,2.200,0.0615831601208125
15,2.208,0.0557113705718221
16,2.215,0.0672040545328803
17,2.223,0.0584142912906033
18,2.230,0.0465315602679425
19,2.238,0.0467466132424477
20,2.245,0.0435187102623743
21,2.253,0.0455153295452806
22,2.260,0.0382435872995111
23,2.268,0.0282857912349215
24,2.276,0.0315453196524221
25,2.283,0.030710408104343
26,2.291,0.0260024346526749
27,2.298,0.0266728939261323
28,2.306,0.0212227768761717
29,2.313,0.015658808251473
30,2.321,0.0204173824030247
31,2.328,0.0676341604818907
32,2.336,0.0879081742352453
33,2.343,0.0537780021637703
34,2.351,0.0351000188192436
35,2.358,0.0301622338556042
36,2.366,0.0258527409155193
37,2.374,0.0249145196051779
38,2.381,0.0210962751264627
39,2.389,0.0219796790119303
40,2.396,0.115091291885204
41,2.404,0.209744117742431
42,2.411,0.0767275279234691
43,2.419,0.0477354352526727
44,2.426,0.0308748603789647
45,2.434,0.0198945085042277
46,2.441,0.0206429771900057
47,2.449,0.0210878416764821
48,2.456,0.0197363813170915
49,2.464,0.0220829887741926
50,2.471,0.0136706224185473
51,2.479,0.0520512532802431
52,2.487,1.18234017020473
53,2.494,3.3055286704198
54,2.502,1.40426429808164
55,2.509,0.541096475842572
56,2.517,0.356648491316941
57,2.524,0.369654979549516
58,2.532,0.32977951967876
59,2.539,0.19022068103735
60,2.547,0.125930383472766
61,2.554,0.105734379131732
62,2.562,0.0959979611291327
63,2.569,0.136309852036385
64,2.577,0.188652059340959
65,2.585,0.117338806305033
66,2.592,0.0939718247712943
67,2.600,0.0688148434791742
68,2.607,0.0675076587321818
69,2.615,0.0576447389798739
70,2.622,0.0533373544022841
71,2.630,0.0908535566409687
72,2.637,0.0913701054522802
73,2.645,0.124555731125928
74,2.652,0.334029978468981
75,2.660,0.163330625774217
76,2.667,0.0708451965620029
77,2.675,0.0999279488200908
78,2.682,0.294898770559012
79,2.690,0.131416342685144
80,2.698,0.0497636799730062
81,2.705,0.0371809726019559
82,2.713,0.0451948584460179
83,2.720,0.0641912045273121
84,2.728,0.0717412506224413
85,2.735,0.0606470471729663
86,2.743,0.0463333741933985
87,2.750,0.0270186653753368
