#"+EI TIC Scan TOL-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0745181329594324
1,2.102,0.0715876806091647
2,2.110,0.0859738290726779
3,2.117,0.075755720057029
4,2.125,0.0681538573409627
5,2.132,0.0666245074820156
6,2.140,0.0668104661650741
7,2.147,0.0646559103889473
8,2.155,0.0644218589430288
9,2.162,0.0477753506250969
10,2.170,0.0549572032121862
11,2.177,0.048730793513915
12,2.185,0.0569001508317291
13,2.193,0.0594330363423543
14,2.200,0.0532322761176085
15,2.208,0.0566244189913319
16,2.215,0.0410904565875607
17,2.223,0.0535977811153443
18,2.230,0.105877820528325
19,2.238,0.114043971661949
20,2.245,0.0812222641021126
21,2.253,0.0606898605450949
22,2.260,0.0595067785787396
23,2.268,0.0623987567187193
24,2.275,0.063520921185452
25,2.283,0.0649284360451538
26,2.291,0.0538542758505975
27,2.298,0.0444024448565175
28,2.306,0.0450885682733198
29,2.313,0.0398464571215827
30,2.321,0.0481312370702607
31,2.328,0.0409461782989808
32,2.336,0.0415938275054951
33,2.343,0.0372077675326656
34,2.351,0.0574868825386207
35,2.358,0.0508949678426138
36,2.366,0.0510007719209057
37,2.373,0.0543736776894852
38,2.381,0.0502377000835275
39,2.388,0.0426198064465078
40,2.396,0.0404492197494277
41,2.404,0.0327062849289721
42,2.411,0.0528411216463474
43,2.419,0.0595452527890276
44,2.426,0.0274096686459938
45,2.434,0.0555407287348872
46,2.441,0.275533056977356
47,2.449,0.280476992999361
48,2.456,0.0677402595803669
49,2.464,0.048701937856199
50,2.471,0.0435303627566566
51,2.479,0.0340689132100047
52,2.486,0.0305228734951294
53,2.494,0.0376983137138373
54,2.502,0.0411128998768953
55,2.509,0.0652009617013604
56,2.517,0.0673458989249151
57,2.524,0.0859449734149619
58,2.532,0.0821777069909307
59,2.539,0.0373648705580081
60,2.547,0.037586097267164
61,2.554,0.0345530470227951
62,2.562,0.0353353559653173
63,2.569,0.0440465584113537
64,2.577,0.0463005058973911
65,2.584,0.0355469641219012
66,2.592,0.0336008103181676
67,2.599,0.0460151555044219
68,2.607,0.0352936755708387
69,2.615,0.0358579639883957
70,2.622,0.0372718912164789
71,2.630,0.0444697747245214
72,2.637,0.0474515260218398
73,2.645,0.052844327830538
74,2.652,0.0521710291504984
75,2.660,0.0458388153739353
76,2.667,0.0460343926095659
77,2.675,0.0432738680214035
78,2.682,0.039461715018703
79,2.690,0.0320426048015045
80,2.697,0.0360278917505009
81,2.705,0.0413693946121485
82,2.712,0.0285991629807304
83,2.720,0.0380542001590011
84,2.728,0.0358291083306797
85,2.735,0.0322125325636097
86,2.743,0.0366979842463499
87,2.750,0.0609078810700601
88,2.758,0.0651079823598311
89,2.765,0.0515265861281748
90,2.773,0.0454412485342929
91,2.780,0.0420074252660908
92,2.788,0.0426486621042238
93,2.795,0.0822193873854094
94,2.803,0.0669290949801287
95,2.810,0.0423440746061107
96,2.818,0.0451847537990397
97,2.826,0.0534823584844803
98,2.833,0.0597568609456114
99,2.841,0.0377111384505999
100,2.848,0.0398528694899641
101,2.856,0.0350211499146321
102,2.863,0.0416194769790204
103,2.871,0.0403658589604704
104,2.878,0.0473168662858318
105,2.886,0.0437932698602912
106,2.893,0.040551817643529
107,2.901,0.0387563544967567
108,2.908,0.0408083123787822
109,2.916,0.0546301724247384
110,2.923,0.0528058536202501
111,2.931,0.0513149779715909
112,2.939,0.0521774415188797
113,2.946,0.0514175758656922
114,2.954,0.0539953479549867
115,2.961,0.0525172970430902
116,2.969,0.0842745514516255
117,2.976,2.1373417732071
118,2.984,20.7337198623495
119,2.991,61.4471869004035
120,2.999,100
121,3.006,24.2085245768767
122,3.014,0.153589047469609
123,3.021,0.0794524504288656
124,3.029,0.0733895561243184
125,3.037,0.0654029513053722
126,3.044,0.0601704587062072
127,3.052,0.0612862108045586
128,3.059,0.0681089707622934
129,3.067,0.0848548707901359
130,3.074,0.04938164890462
131,3.082,0.0604269534414604
132,3.089,0.0463518048444417
133,3.097,0.034104181236102
134,3.104,0.0502377000835275
135,3.112,0.0510584832363377
136,3.119,0.0422478890803907
137,3.127,0.0613503344883719
138,3.134,0.0699364957509723
139,3.142,0.0788689249061646
140,3.150,0.0781603582000277
141,3.157,0.0368711181926458
142,3.165,0.0350532117565388
143,3.172,0.0549219351860889
144,3.180,0.0495579890351066
145,3.187,0.0548770486074195
146,3.195,0.0548674300548476
147,3.202,0.0510969574466257
148,3.210,0.0422062086859121
149,3.217,0.0381022929218611
150,3.225,0.0444120634090895
151,3.232,0.0372975406900042
152,3.240,0.0339182225530434
153,3.248,0.022366340914078
154,3.255,0.0280188436422201
155,3.263,0.0368390563507391
156,3.270,0.0576984906952046
157,3.278,0.0466435676057922
158,3.285,0.0296924717897472
159,3.293,0.0320297800647418
160,3.300,0.0374802931888721
161,3.308,0.0545115436096838
162,3.315,0.0513823078395949
163,3.323,0.0424017859215426
164,3.330,0.0485672781201911
165,3.338,0.0224240522295099
166,3.345,0.0286151939016838
167,3.353,0.0329371301907
168,3.361,0.0240335566932237
169,3.368,0.0221002276262528
170,3.376,0.0177269923901859
171,3.383,0.0173967554185475
172,3.391,0.0197404760619235
173,3.398,0.0261817001009692
174,3.406,0.0180732602827777
175,3.413,0.0192435175123704
176,3.421,0.0209171456598975
177,3.428,0.0231069694621216
178,3.436,0.0169446834476637
179,3.443,0.0164220754245854
180,3.451,0.0333571403196771
181,3.458,0.132732819309334
182,3.466,0.255176993550825
183,3.474,0.115156517576109
184,3.481,0.0327607900602134
185,3.489,0.0526134825688102
186,3.496,0.0832646034315661
187,3.504,0.0402376115928438
188,3.511,0.0192659608017051
189,3.519,0.0189036619881599
190,3.526,0.0121129638723318
191,3.534,0.0162649723992428
192,3.541,0.0190703835660745
193,3.549,0.0240720309035117
194,3.556,0.0293365853445834
195,3.564,0.0336392845284556
196,3.572,0.0195994039575342
