#"+EI TIC Scan TOL-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0913275997713192
1,2.102,0.0858966022149235
2,2.110,0.0952423289744064
3,2.117,0.0828985261526999
4,2.125,0.0720261928465905
5,2.132,0.0752103563885382
6,2.140,0.0716264493716274
7,2.148,0.068201061318926
8,2.155,0.068762769822538
9,2.163,0.0635350900680632
10,2.170,0.0631319005286607
11,2.178,0.0629285827267398
12,2.185,0.053961923055584
13,2.193,0.0686180351160858
14,2.200,0.05569873953301
15,2.208,0.0605128915547643
16,2.215,0.0508432347379837
17,2.223,0.0590241917169706
18,2.230,0.125495328687349
19,2.238,0.117917432985246
20,2.246,0.0657715858891932
21,2.253,0.058824319979489
22,2.261,0.0606024892301871
23,2.268,0.0729428459874542
24,2.276,0.0523388267046561
25,2.283,0.0759167995986024
26,2.291,0.0590241917169706
27,2.298,0.0364765920903861
28,2.306,0.0452399339596211
29,2.313,0.0501781443011915
30,2.321,0.0390266797754958
31,2.328,0.0427553214988588
32,2.336,0.0450124937066248
33,2.343,0.0560674684280191
34,2.351,0.059947736986713
35,2.359,0.0676014461064813
36,2.366,0.0575251536858588
37,2.374,0.0557056316618887
38,2.381,0.0343469242668756
39,2.389,0.0466114676064774
40,2.396,0.0422108433174435
41,2.404,0.0319174488371428
42,2.411,0.0455983246613122
43,2.419,0.0568187104757947
44,2.426,0.0473937242342069
45,2.434,0.0818819371430954
46,2.441,0.34152566232497
47,2.449,0.292732835928392
48,2.456,0.0556436025019806
49,2.464,0.0452606103462571
50,2.472,0.0360251576488329
51,2.479,0.0359906970044396
52,2.487,0.0316969007130252
53,2.494,0.0321069823813063
54,2.502,0.0350499214125005
55,2.509,0.0757582806343929
56,2.517,0.0736458431330791
57,2.524,0.0825194590643728
58,2.532,0.0792698202980777
59,2.539,0.0393678401549902
60,2.547,0.0314074313001209
61,2.554,0.0321655654767751
62,2.562,0.0425072048592265
63,2.570,0.0376861607085936
64,2.577,0.0484551120815229
65,2.585,0.0405498402576829
66,2.592,0.0319071106438248
67,2.600,0.0319553555459755
68,2.607,0.0370176242073621
69,2.615,0.0332303993885303
70,2.622,0.0392368897062954
71,2.630,0.0348534957394582
72,2.637,0.0607989149032293
73,2.645,0.0665848570968768
74,2.652,0.0544822787859239
75,2.660,0.0418386683579951
76,2.667,0.0455052809214501
77,2.675,0.0374139216178859
78,2.683,0.0211347132064561
79,2.690,0.0285988887820609
80,2.698,0.0357115657848532
81,2.705,0.0318312972261593
82,2.713,0.0392713503506887
83,2.720,0.0338541370520504
84,2.728,0.0345364578110392
85,2.735,0.034371046717951
86,2.743,0.0314660143955896
87,2.750,0.0667226996744503
88,2.758,0.0670845364405807
89,2.765,0.0546752583945268
90,2.773,0.0452985170550898
91,2.781,0.0372691869114337
92,2.788,0.0415216304295761
93,2.796,0.0831259664056962
94,2.803,0.0558882730771736
95,2.811,0.0378412336083637
96,2.818,0.0356357523671878
97,2.826,0.0612537954092219
98,2.833,0.0541066577620362
99,2.841,0.034095361562804
100,2.848,0.0368349827920772
101,2.856,0.0397710296943927
102,2.863,0.0419351581622965
103,2.871,0.0446747793915698
104,2.878,0.0407083592218924
105,2.886,0.024167249913073
106,2.894,0.0306975420256174
107,2.901,0.0338506909876111
108,2.909,0.0538964478312366
109,2.916,0.0456155549835089
110,2.924,0.0451124295753656
111,2.931,0.0529935789481302
112,2.939,0.0363559798350093
113,2.946,0.0467251877329755
114,2.954,0.0521871998693252
115,2.961,0.0368970119519853
116,2.969,0.0900870165731577
117,2.976,2.75944643799272
118,2.984,22.7472163552975
119,2.992,61.9244202255036
120,2.999,100
121,3.007,44.6070917938523
122,3.014,0.18919927591294
123,3.022,0.0884329056422758
124,3.029,0.073256437851434
125,3.037,0.0586933695307942
