#"+EI TIC Scan TOL-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0935930440688073
1,2.102,0.07861592993763
2,2.110,0.0756421228894976
3,2.117,0.0743058747885748
4,2.125,0.0745515086306562
5,2.132,0.069897566102687
6,2.140,0.0741519442475371
7,2.147,0.0691508392227595
8,2.155,0.0575962232912498
9,2.162,0.0598691551099765
10,2.170,0.0656006114252095
11,2.177,0.0650143653221085
12,2.185,0.0606388078151649
13,2.193,0.0706049915678815
14,2.200,0.0573997162175847
15,2.208,0.050951009083474
16,2.215,0.0658134940883467
17,2.223,0.0530274338285355
18,2.230,0.0830275137414122
19,2.238,0.14528422979642
20,2.245,0.0930002477299175
21,2.253,0.0674248520924008
22,2.260,0.0562403244829604
23,2.268,0.0798768503269812
24,2.275,0.0595121672594848
25,2.283,0.0689379565596223
26,2.290,0.0624499480107785
27,2.298,0.0478134461406207
28,2.306,0.0520285228707378
29,2.313,0.0616540943624348
30,2.321,0.0493036247825813
31,2.328,0.0495918351572902
32,2.336,0.0598364039310323
33,2.343,0.0526442450348885
34,2.351,0.068466339582826
35,2.358,0.0591715549984653
36,2.366,0.0678080408860478
37,2.373,0.0576879265922935
38,2.381,0.0541671748557933
39,2.388,0.042795965526371
40,2.396,0.0371627627479706
41,2.404,0.048003402978497
42,2.411,0.0399073115434936
43,2.419,0.0643855426863801
44,2.426,0.0547468707231054
45,2.434,0.0573767903923237
46,2.441,0.246898037588659
47,2.449,0.347552235837833
48,2.456,0.0991116177209031
49,2.464,0.0643462412716471
50,2.471,0.0485012208984487
51,2.479,0.0437031731831251
52,2.486,0.0407129905455207
53,2.494,0.0346802233840012
54,2.501,0.0416627747349021
55,2.509,0.0683484353386269
56,2.517,0.0705656901531484
57,2.524,0.0752163575632232
58,2.532,0.0926301594078482
59,2.539,0.0594106386047578
60,2.547,0.0444630005346302
61,2.554,0.048409517597405
62,2.562,0.0431234773158129
63,2.569,0.046087459010262
64,2.577,0.0464870233933811
65,2.584,0.0527064722748825
66,2.592,0.0464509970965425
67,2.599,0.0346343717334793
68,2.607,0.0404051294634453
69,2.615,0.0484553692479268
70,2.622,0.0405918111834272
71,2.630,0.0404018543455509
72,2.637,0.0467064562923072
73,2.645,0.0737753056896789
74,2.652,0.0681519282649617
75,2.660,0.0614182858740366
76,2.667,0.0427337382863771
77,2.675,0.0431791543200181
78,2.682,0.0445514287177795
79,2.690,0.0447086343767117
80,2.697,0.0438243525452186
81,2.705,0.0387380944551861
82,2.712,0.0432872332105339
83,2.720,0.0510721884455675
84,2.728,0.0385776136783596
85,2.735,0.0436605966504976
86,2.743,0.0453374570124401
87,2.750,0.0614870633498194
88,2.758,0.0656792142546755
89,2.765,0.0540885720263272
90,2.773,0.0497719666414832
91,2.780,0.0443647469977977
92,2.788,0.0572719866197023
93,2.795,0.0856476080569472
94,2.803,0.0863615837579305
95,2.810,0.0395601490466852
96,2.818,0.0511475161571391
97,2.826,0.0566038625692409
98,2.833,0.0526180440917332
99,2.841,0.0500536267804032
100,2.848,0.0403396271055569
101,2.856,0.0464051454460206
102,2.863,0.0394356945666973
103,2.871,0.0571933837902363
104,2.878,0.0552152125820073
105,2.886,0.038682417450981
106,2.893,0.0345983454366407
107,2.901,0.0422686715453696
108,2.908,0.0554772220135608
109,2.916,0.0560045159945622
110,2.923,0.0544815861736575
111,2.931,0.048832007805785
112,2.939,0.0527392234538267
113,2.946,0.0548582247315157
114,2.954,0.0672185196650524
115,2.961,0.0618211253750501
116,2.969,0.072822246382403
117,2.976,1.81160526235463
118,2.984,19.2157684350164
119,2.991,58.3856642587563
120,2.999,100
121,3.006,46.7628472722133
122,3.014,0.24046570604402
123,3.021,0.0957939232938568
124,3.029,0.0768408160388549
125,3.037,0.0701169990016131
126,3.044,0.0552414135251627
127,3.052,0.0578778834301698
128,3.059,0.0803157161248333
129,3.067,0.0632883781917498
130,3.074,0.0672676464334687
131,3.082,0.067051488652437
132,3.089,0.0619947066234543
133,3.097,0.0427206378147994
134,3.104,0.05088878184348
135,3.112,0.0517337622602401
136,3.119,0.0514848533002642
137,3.127,0.0634030073180544
138,3.134,0.0726159139550546
139,3.142,0.0807873331016297
140,3.150,0.0898430340796978
141,3.157,0.0477839700795709
142,3.165,0.0384302333731107
143,3.172,0.0539248161316063
144,3.180,0.0659936255725397
145,3.187,0.0394979218066913
146,3.195,0.0483243645321501
147,3.202,0.0624499480107785
148,3.210,0.0408570957328751
149,3.217,0.0343166852977207
150,3.225,0.0405852609476383
151,3.232,0.0379520661605256
152,3.240,0.0325251958094736
153,3.247,0.0278352269846658
154,3.255,0.0347227999166286
155,3.263,0.0426387598674389
156,3.270,0.0630525697033516
157,3.278,0.0564859583250418
158,3.285,0.0333669011083392
159,3.293,0.0311103448790846
160,3.300,0.0379520661605256
161,3.308,0.0632163255980726
162,3.315,0.0650798676799969
163,3.323,0.0469422647807053
164,3.330,0.0473844056964519
165,3.338,0.0257522520038154
166,3.345,0.0256376228775107
167,3.353,0.0260732135574684
168,3.361,0.0244192790207869
169,3.368,0.0235448225429771
170,3.376,0.0219007133599788
171,3.383,0.0317981196369126
172,3.391,0.025241333612286
173,3.398,0.0185830189329325
174,3.406,0.018602669640299
175,3.413,0.024982599298627
176,3.421,0.018281708086646
177,3.428,0.0268395911447624
178,3.436,0.0326136239926229
179,3.443,0.0242358724186995
180,3.451,0.036524114758559
181,3.458,0.146728556787859
182,3.466,0.272122995611473
183,3.474,0.115981749995055
184,3.481,0.0512424945760773
185,3.489,0.058215220573295
186,3.496,0.0960526576075159
187,3.504,0.0572097593797084
188,3.511,0.0298658000792054
189,3.519,0.0227063923620059
190,3.526,0.026836316026868
191,3.534,0.0225426364672849
192,3.541,0.020158350640148
193,3.549,0.0191823655076112
194,3.556,0.0305142734223004
195,3.564,0.0371398369227097
196,3.572,0.0224476580483468
197,3.579,0.0221266964946937
198,3.587,0.0238264826818971
199,3.594,0.0197456857854512
200,3.602,0.0127402086092893
201,3.609,0.013581913908155
202,3.617,0.0131004715776754
203,3.624,0.0235710234861324
204,3.632,0.0176987371014394
205,3.639,0.0200338961601601
206,3.647,0.0182031052571799
207,3.654,0.0169356346320398
208,3.662,0.0153930541037686
209,3.669,0.0224411078125579
210,3.677,0.0158646710805649
211,3.685,0.021104859711635
212,3.692,0.0177020122193339
213,3.700,0.00947819118644814
214,3.707,0.0238068319745306
215,3.715,0.018140878017186
216,3.722,0.0165426204847096
217,3.730,0.0270459235721108
218,3.737,0.0256834745280326
219,3.745,0.0170142374615059
220,3.752,0.015599386531117
221,3.760,0.024678013334446
222,3.767,0.0160251518573914
223,3.775,0.0178919690572102
224,3.783,0.0181474282529748
225,3.790,0.0195426284759972
226,3.798,0.012854837735594
227,3.805,0.0242456977723827
228,3.813,0.016968385810984
229,3.820,0.0146365018701578
230,3.828,0.0200862980464708
231,3.835,0.0232369614609017
232,3.843,0.0191889157434
233,3.850,0.0154192550469239
234,3.858,0.0165131444236598
235,3.865,0.0147151046996239
236,3.873,0.0175841079751348
237,3.880,0.0278483274562434
238,3.888,0.020603766673789
239,3.896,0.0089148709086081
240,3.903,0.0287489848772086
241,3.911,0.0128810386787493
242,3.918,0.0250055251238879
243,3.926,0.00813211773184199
244,3.933,0.020017520570688
245,3.941,0.0209771301137527
246,3.948,0.0157729677795212
247,3.956,0.0261911178016675
248,3.963,0.036399660278571
249,3.971,0.0821334065562358
250,3.978,0.0650274657936862
251,3.986,0.0149967648385439
252,3.993,0.0187140236487093
253,4.001,0.0288112121172026
254,4.009,0.019431274467587
255,4.016,0.0210524578253243
256,4.024,0.0252478838480749
257,4.031,0.0134050575418563
258,4.039,0.0137292942134038
259,4.046,0.0230633802124975
260,4.054,0.007889759007655
261,4.061,0
262,4.069,0.0119148788998958
263,4.076,0.025241333612286
264,4.084,0.0349487830513435
265,4.091,0.0515962073086745
266,4.099,0.0324433178621131
267,4.107,0.0246354368018186
268,4.114,0.0252740847912302
269,4.122,0.0292861042118933
270,4.129,0.024779541989173
271,4.137,0.0167686036194245
272,4.144,0.0255360942227837
273,4.152,0.0189596574907907
274,4.159,0.0231157820988082
275,4.167,0.0196605327201963
276,4.174,0.0222806270357314
277,4.182,0.0164738430089268
278,4.189,0.0277861002162495
279,4.197,0.0321321816621433
280,4.204,0.018422538156106
281,4.212,0.0176889117477562
282,4.220,0.00417577531538403
283,4.227,0.0240426404629287
284,4.235,0.0149476380701276
285,4.242,0.0219236391852397
286,4.250,0.124818018074197
287,4.257,0.443591792973772
288,4.265,0.312220263992843
289,4.272,0.0695897050206116
290,4.280,0.0169880365183506
291,4.287,0.0183341099729567
292,4.295,0.0238133822103194
293,4.302,0.015255499152203
294,4.310,0.0246518123912906
295,4.318,0.0221954739704765
296,4.325,0.0178199164635329
297,4.333,0.0165688214278649
298,4.340,0.015881046670037
299,4.348,0.0131528734639861
300,4.355,0.0112107285525957
301,4.363,0.0151506953795816
302,4.370,0.0170764647014999
303,4.378,0.0110436975399803
304,4.385,0.0182686076150683
305,4.393,0.016889782981518
306,4.400,0.0192937195160214
307,4.408,0.0261419910332512
308,4.415,0.110253568797716
309,4.423,0.144789686994363
