#"+EI TIC Scan TOL-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0888742280597697
1,2.102,0.100348265176337
2,2.110,0.0892984581812184
3,2.117,0.0842037319563432
4,2.125,0.0716948905248401
5,2.132,0.0641221846186052
6,2.140,0.0821103347215306
7,2.147,0.0716909257573499
8,2.155,0.0731023829838523
9,2.162,0.0681186702487019
10,2.170,0.062805881811867
11,2.178,0.0625085242501039
12,2.185,0.0631983937933944
13,2.193,0.0689592009566191
14,2.200,0.0802508587686384
15,2.208,0.0592732739781208
16,2.215,0.0617710774969313
17,2.223,0.071536299825233
18,2.230,0.114799842678026
19,2.238,0.171047999061143
20,2.245,0.0854962461581403
21,2.253,0.0688759408393254
22,2.260,0.0663583134830641
23,2.268,0.0673217519831767
24,2.275,0.064411612645388
25,2.283,0.0765834488402262
26,2.291,0.0688243988619531
27,2.298,0.054935818343869
28,2.306,0.0570450746486423
29,2.313,0.0615252619125404
30,2.321,0.0430573749433038
31,2.328,0.0586309816447124
32,2.336,0.0474820554623395
33,2.343,0.0527789848292137
34,2.351,0.0715680179651545
35,2.358,0.0763098798834041
36,2.366,0.0601851705008611
37,2.373,0.0522239173805891
38,2.381,0.0477358005817107
39,2.388,0.03776837511141
40,2.396,0.053556079257288
41,2.404,0.0399331381610457
42,2.411,0.0493732495551531
43,2.419,0.0758618611570143
44,2.426,0.0458565007913676
45,2.434,0.0910865683192875
46,2.441,0.351171350907297
47,2.449,0.366637908886471
48,2.456,0.0846596802177133
49,2.464,0.0601931000358415
50,2.471,0.0500789781684043
51,2.479,0.0342397320451539
52,2.486,0.0518512292365127
53,2.494,0.0331811391252771
54,2.502,0.0442904176327483
55,2.509,0.0852662896437101
56,2.517,0.091483045068305
57,2.524,0.0802112110937366
58,2.532,0.0874707003682476
59,2.539,0.0574336218626795
60,2.547,0.0367415003314546
61,2.554,0.035191276242796
62,2.562,0.055046831833594
63,2.569,0.0531239196008589
64,2.577,0.0602089591058022
65,2.584,0.0475494565096724
66,2.592,0.0557525604468452
67,2.599,0.0489767728061356
68,2.607,0.0489688432711552
69,2.615,0.0472957113903012
70,2.622,0.0461062811432486
71,2.630,0.0416697063217425
72,2.637,0.0682732961808188
73,2.645,0.0872288495513469
74,2.652,0.071036739121471
75,2.660,0.0502851460778934
76,2.667,0.0479816161661016
77,2.675,0.0471529797606549
78,2.682,0.0357304846214599
79,2.690,0.0428155241264031
80,2.697,0.0317855409687354
81,2.705,0.0288595425609861
82,2.713,0.0392908458276373
83,2.720,0.0385851172143861
84,2.728,0.0397467940890074
85,2.735,0.0284630658119685
86,2.743,0.0407379859615513
87,2.750,0.0585437567599286
88,2.758,0.0875737843229922
89,2.765,0.0564860424325276
90,2.773,0.0551776691607697
91,2.780,0.0569182020889567
92,2.788,0.0503010051478541
93,2.795,0.097723589097841
94,2.803,0.0659697662690269
95,2.810,0.0440961440257298
96,2.818,0.0344379704196627
97,2.826,0.0539129083314038
98,2.833,0.0674208711704311
99,2.841,0.0300013955981565
100,2.848,0.0414357850398221
101,2.856,0.0448772032212943
102,2.863,0.0420384296983288
103,2.871,0.0529772232037224
104,2.878,0.0397190407165762
105,2.886,0.0465265464972072
106,2.893,0.0539485912388154
107,2.901,0.049190870250605
108,2.908,0.0578816405890693
109,2.916,0.0573979389552679
110,2.924,0.0497855853741313
111,2.931,0.0731341011237737
112,2.939,0.0620287873837927
113,2.946,0.0498569511889545
114,2.954,0.05902745839373
115,2.961,0.0472402046454388
116,2.969,0.0855239995305715
117,2.976,2.61442318976646
118,2.984,23.0893428635771
119,2.991,63.0090523571336
120,2.999,100
121,3.006,59.546811216803
122,3.014,0.290034636208794
123,3.021,0.119018355287573
124,3.029,0.0867966898949178
125,3.037,0.0817019636700425
126,3.044,0.0750966610314105
127,3.052,0.0864914027981743
128,3.059,0.103083954744558
129,3.067,0.093608160443039
130,3.074,0.0700614063188878
131,3.082,0.0866936059401733
132,3.089,0.0609345115565043
133,3.097,0.0557763490517862
134,3.104,0.0602248181757629
135,3.112,0.0621120475010863
136,3.119,0.0495199459522896
137,3.127,0.0748310216095687
138,3.135,0.097771166307723
139,3.142,0.106259733504188
140,3.150,0.0994165448161458
141,3.157,0.067147302213609
142,3.165,0.0462767661453262
143,3.172,0.0713896034280966
144,3.180,0.0616085220298341
145,3.187,0.0471807331330861
146,3.195,0.0819239906494924
147,3.202,0.064839807534327
148,3.210,0.0523032127303926
149,3.217,0.041749001671546
150,3.225,0.0491353635057426
151,3.232,0.0405833600294344
152,3.240,0.0435252175071445
153,3.248,0.0284630658119685
154,3.255,0.0319639555057933
155,3.263,0.152449274764731
156,3.270,0.348927292507858
157,3.278,0.241002356657796
158,3.285,0.0586547702496535
159,3.293,0.036345023582437
160,3.300,0.0322930312074779
161,3.308,0.0646851816022101
162,3.315,0.0763574570932862
163,3.323,0.0630239440238267
164,3.330,0.0468397631289311
165,3.338,0.0440446020483575
166,3.345,0.0323168198124189
167,3.353,0.0335102148269617
168,3.361,0.0285225373243212
169,3.368,0.023316797609721
170,3.376,0.0248075501860269
171,3.383,0.0286375155815362
172,3.391,0.0255648207766504
173,3.398,0.0187850683684506
174,3.406,0.0216238418914161
175,3.413,0.027230023122524
176,3.421,0.0283758409271847
177,3.428,0.0276502884764826
178,3.436,0.0283084398798517
179,3.443,0.0219093051507087
180,3.451,0.0350961218230318
181,3.459,0.179849782889332
182,3.466,0.313993726151924
183,3.474,0.129493270996616
184,3.481,0.0333952365697466
185,3.489,0.0637613907769993
186,3.496,0.11602495583249
187,3.504,0.0531397786708196
188,3.511,0.0289665912832208
189,3.519,0.0188048922059015
190,3.526,0.0178969604506513
191,3.534,0.0307229832813684
192,3.541,0.0230273695829382
193,3.549,0.0242524827374023
194,3.556,0.0274758387069149
195,3.564,0.04206618307076
196,3.572,0.0274282614970328
