#"+EI TIC Scan TOL-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0993404773597183
1,2.102,0.0878226958490214
2,2.110,0.0862079084708703
3,2.117,0.0790127885570701
4,2.125,0.0787705704503474
5,2.133,0.0802518273337668
6,2.140,0.0801586665234889
7,2.148,0.078519036262597
8,2.155,0.0722306815688355
9,2.163,0.057741070210272
10,2.170,0.0633835099527731
11,2.178,0.0687619940661532
12,2.185,0.0665043970970843
13,2.193,0.0660013287215834
14,2.200,0.0728859126011237
15,2.208,0.077003620415409
16,2.215,0.0703985189667025
17,2.223,0.063414563556199
18,2.230,0.116494487892231
19,2.238,0.117882583965373
20,2.246,0.0824597385373542
21,2.253,0.0574646931397808
22,2.261,0.0658771143078795
23,2.268,0.069985506041137
24,2.276,0.0598371884415259
25,2.283,0.0689762639297925
26,2.291,0.067333528308558
27,2.298,0.0524650629881976
28,2.306,0.0531202940204858
29,2.313,0.0506204789446942
30,2.321,0.0455245826224905
31,2.328,0.0419534182285025
32,2.336,0.052368796817577
33,2.344,0.0624674286517066
34,2.351,0.0649858758895538
35,2.359,0.0430433997087545
36,2.366,0.0592192217333488
37,2.374,0.0575826968327995
38,2.381,0.0398883536006746
39,2.389,0.0438073183530336
40,2.396,0.0373295366783737
41,2.404,0.0418851003009653
42,2.411,0.051024175789232
43,2.419,0.0586478354303107
44,2.426,0.0387673185169967
45,2.434,0.0757894245214531
46,2.441,0.344409304876888
47,2.449,0.301151635304494
48,2.457,0.0621755247795023
49,2.464,0.0567504602609832
50,2.472,0.0409690189998988
51,2.479,0.0419099431837061
52,2.487,0.0398107195921097
53,2.494,0.0381710893312178
54,2.502,0.0397392963042299
55,2.509,0.068755783345468
56,2.517,0.0693395910898765
57,2.524,0.074854711058331
58,2.532,0.0704419940114989
59,2.539,0.0353731596625368
60,2.547,0.0355408491210371
61,2.555,0.0309418104536491
62,2.562,0.0412143424669641
63,2.570,0.03737301172317
64,2.577,0.0432669856534215
65,2.585,0.0354042132659627
66,2.592,0.0459189633860005
67,2.600,0.0322212189147995
68,2.607,0.0299884648284714
69,2.615,0.0391710153615344
70,2.622,0.03879526676008
