#"+EI TIC Scan TOL-PEEK-1Week.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.089932801267087
1,2.102,0.072989038422813
2,2.110,0.0723415276778637
3,2.117,0.0652562006781573
4,2.125,0.0610829769764164
5,2.133,0.0642967999408765
6,2.140,0.0566521050201406
7,2.148,0.0622220534701491
8,2.155,0.0603032519955874
9,2.163,0.0510313049409477
10,2.170,0.0465394110296506
11,2.178,0.0496006791065572
12,2.185,0.0595235270147585
13,2.193,0.058092901180368
14,2.200,0.0616457350060581
15,2.208,0.0522076726294157
16,2.215,0.0452138785622414
17,2.223,0.0483802400061293
18,2.230,0.0747247740323104
19,2.238,0.0974418918433309
20,2.246,0.0785149154608615
21,2.253,0.0518686617681857
22,2.261,0.0618694821744699
23,2.268,0.0594930160372478
24,2.276,0.0555299790694694
25,2.283,0.0618559217400207
26,2.291,0.0538891665011164
27,2.298,0.0494074429156561
28,2.306,0.0525466834906457
29,2.313,0.0444036426039017
30,2.321,0.0438680054431584
31,2.328,0.0384506118807034
32,2.336,0.0427763904699979
33,2.343,0.0379759966749815
34,2.351,0.0600117026549297
35,2.359,0.0565605720876085
36,2.366,0.0522246231724772
37,2.374,0.0477598501300785
38,2.381,0.0397558036964388
39,2.389,0.0400439629284843
40,2.396,0.0335213939584196
41,2.404,0.035131695549262
42,2.411,0.0385997766596446
43,2.419,0.0551129957101566
44,2.426,0.0460037738689072
45,2.434,0.0836916113118432
46,2.441,0.313618947723847
47,2.449,0.239243354878604
48,2.457,0.0599506806999083
49,2.464,0.0476208556769742
50,2.472,0.0478717237142844
51,2.479,0.0242630073382291
52,2.487,0.0306059005518419
53,2.494,0.0373861177764413
54,2.502,0.0310906860834007
55,2.509,0.0709346326037594
56,2.517,0.0698396275219866
57,2.524,0.0738331754672756
58,2.532,0.0565029402411994
59,2.539,0.0353554427176738
60,2.547,0.0332162841833127
61,2.554,0.0363284038894038
62,2.562,0.0344841848043128
63,2.570,0.0413389844183828
64,2.577,0.0496752614960278
65,2.585,0.0439900493532012
66,2.592,0.033819723516302
67,2.600,0.0453766037756318
68,2.607,0.0377183484204467
69,2.615,0.039972770647626
70,2.622,0.0419593742944336
71,2.630,0.0331654325541282
72,2.637,0.045457966382327
73,2.645,0.0515838926447525
74,2.652,0.0482175147927389
75,2.660,0.0429594563350621
76,2.668,0.0385760458993585
77,2.675,0.0348130253397058
78,2.683,0.0429458959006129
79,2.690,0.0331349215766175
80,2.698,0.0362300907396471
81,2.705,0.0348740472947272
82,2.713,0.0379353153716339
83,2.720,0.0360436347659706
84,2.728,0.041284742680586
85,2.735,0.0381082109108612
86,2.743,0.0373759474506044
87,2.750,0.0568589016454909
88,2.758,0.062730569761994
89,2.765,0.0413830558303427
90,2.773,0.0520212166557392
91,2.781,0.0461902298425837
92,2.788,0.0378302220046526
93,2.796,0.0764944107279309
94,2.803,0.0590862030037718
95,2.811,0.0483395587027817
96,2.818,0.0317958286747591
97,2.826,0.0499159592075011
98,2.833,0.0491836957472443
99,2.841,0.0437222307728295
100,2.848,0.0360538050918075
101,2.856,0.0393625510974121
102,2.863,0.0363317939980161
103,2.871,0.0429391156833883
104,2.879,0.0458173178952307
105,2.886,0.0381794031917195
106,2.894,0.0414067865906288
107,2.901,0.0395456169624762
108,2.909,0.0535094743365388
109,2.916,0.0487904431482176
110,2.924,0.0561639293799695
111,2.931,0.0429323354661637
112,2.939,0.0426475663427305
113,2.946,0.0506583929935947
114,2.954,0.0469835152578618
115,2.961,0.0438103735967493
116,2.969,0.11962676260222
117,2.976,3.61234718237903
118,2.984,26.1591323762831
119,2.992,66.7071739444388
120,2.999,100
121,3.007,8.22572902590653
122,3.014,0.129491978664012
123,3.022,0.0852171601873781
124,3.029,0.0681581336502859
125,3.037,0.0579539067272637
126,3.044,0.0505193985404904
127,3.052,0.0586963405133574
128,3.059,0.0875292142609665
129,3.067,0.0624220698782748
130,3.074,0.0639340583193604
131,3.082,0.0652053490489728
132,3.089,0.0570826488139027
133,3.097,0.0391659247978987
134,3.105,0.0601778179769323
135,3.112,0.0417457974518588
136,3.120,0.0394812048988425
137,3.127,0.0604897079692639
138,3.135,0.065456217086283
139,3.142,0.0943365523544643
140,3.150,0.0797658655388001
141,3.157,0.0454105048617548
142,3.165,0.0402711002055084
143,3.172,0.0606253123137559
144,3.180,0.056180879923031
145,3.187,0.0438137637053616
146,3.195,0.0546044794183116
147,3.203,0.0436476483833589
148,3.210,0.0393625510974121
149,3.218,0.0301143348030584
150,3.225,0.0372911947352969
151,3.233,0.0318500704125559
152,3.240,0.0264936988051223
153,3.248,0.0347825143621951
154,3.255,0.0277649895347347
155,3.263,0.0720059069252461
156,3.270,0.0991030450633577
157,3.278,0.0650256732925209
158,3.285,0.0375556232070563
159,3.293,0.0396201993519468
160,3.300,0.0291345934141038
161,3.308,0.0628865147581598
162,3.316,0.0540722323661805
163,3.323,0.0430408189417573
164,3.331,0.0398473366289709
165,3.338,0.0357453052080883
166,3.346,0.0356097008635963
167,3.353,0.0287210001634032
168,3.361,0.0253546223113896
169,3.368,0.0132858356516026
170,3.376,0.0135299234716882
171,3.383,0.0168657903461911
172,3.391,0.0211407173063011
173,3.398,0.0212390304560577
174,3.406,0.0252495289444083
175,3.414,0.0199440089661593
176,3.421,0.0194693937604373
177,3.429,0.0201982671120817
178,3.436,0.0261072264233202
179,3.444,0.021513629253654
180,3.451,0.0421932917886823
181,3.459,0.164827080730012
