#"+EI TIC Scan TOL-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.089602325819854
1,2.102,0.0824082135747141
2,2.110,0.0748759337702056
3,2.117,0.0711681680299852
4,2.125,0.0736158570311296
5,2.132,0.078442796360689
6,2.140,0.0606487414510537
7,2.147,0.0635030366842961
8,2.155,0.0585311684007215
9,2.163,0.0605601737569333
10,2.170,0.069050594979653
11,2.178,0.0586479167247892
12,2.185,0.0548636607032831
13,2.193,0.0676858473293438
14,2.200,0.0586922005718494
15,2.208,0.0500890568293402
16,2.215,0.0533298292732896
17,2.223,0.0575448463525629
18,2.230,0.116937536868819
19,2.238,0.103205518475885
20,2.245,0.0729475735209487
21,2.253,0.0465986845201425
22,2.261,0.0590666003697218
23,2.268,0.0611278121601592
24,2.276,0.0520133912743188
25,2.283,0.0626455403730399
26,2.291,0.0496945280100767
27,2.298,0.052464281353477
28,2.306,0.053744487113944
29,2.313,0.0406203651670183
30,2.321,0.04349881522593
31,2.328,0.0312241379817041
32,2.336,0.0369246768396325
33,2.343,0.0482210836442563
34,2.351,0.0588854391772029
35,2.358,0.0556446667332535
36,2.366,0.0557533634487648
37,2.374,0.0462122073094354
38,2.381,0.030245867542102
39,2.389,0.0387282371562653
40,2.396,0.0427379382173505
41,2.404,0.0338167559368636
42,2.411,0.050757340339521
43,2.419,0.0531647712978835
44,2.426,0.033784549502638
45,2.434,0.0952022195708275
46,2.441,0.366195208753451
47,2.449,0.230006275826289
48,2.456,0.0523193523994619
49,2.464,0.0431203896237793
50,2.472,0.0352942261069623
51,2.479,0.0354230518438647
52,2.487,0.0363731416535194
53,2.494,0.0346138651839469
54,2.502,0.0422749707253577
55,2.509,0.0678549311090282
56,2.517,0.0575206915268938
57,2.524,0.0960717932949183
58,2.532,0.0750933272012283
59,2.539,0.0411719003531315
60,2.547,0.03313236920957
61,2.554,0.0307893511196587
62,2.562,0.0401815525006948
63,2.569,0.0398554623541607
64,2.577,0.0353465615625789
65,2.585,0.034231413777518
66,2.592,0.0417556419734702
67,2.600,0.0357773226203461
68,2.607,0.0366146899102113
69,2.615,0.0447025307051112
70,2.622,0.0400809073937398
71,2.630,0.0409464553135524
72,2.637,0.0656648935816884
73,2.645,0.0641189847388604
74,2.652,0.0441147632804942
75,2.660,0.0405640039071236
76,2.667,0.0330075692769458
77,2.675,0.0295655066190865
78,2.682,0.0433418088590802
79,2.690,0.0422789965296359
80,2.698,0.0278183075623485
81,2.705,0.0373192056588959
82,2.713,0.0371501218792116
83,2.720,0.0292555196896652
84,2.728,0.0362483417208953
85,2.735,0.033438330334713
86,2.743,0.0318441118405466
87,2.750,0.0652542615453122
88,2.758,0.0642075524329807
89,2.765,0.0422709449210795
90,2.773,0.0484948383351737
91,2.780,0.0336476721571793
92,2.788,0.0441469697147198
93,2.796,0.0868849079320703
94,2.803,0.056997336970728
95,2.811,0.0371621992920462
96,2.818,0.0384222760311222
97,2.826,0.050350734107423
98,2.833,0.043478686204539
99,2.841,0.0450205692430888
100,2.848,0.0310107703549596
101,2.856,0.0449158983318557
102,2.863,0.0385591533765809
103,2.871,0.03675156725567
104,2.878,0.0347064586823454
105,2.886,0.0339576590866006
106,2.893,0.047037497186466
107,2.901,0.0367958511027302
108,2.909,0.0517959978432961
109,2.916,0.0470415229907442
110,2.924,0.0510713530732205
111,2.931,0.0426976801745685
112,2.939,0.0464738845875183
113,2.946,0.0423071771595833
114,2.954,0.0522106556839505
115,2.961,0.0462605169607738
116,2.969,0.120456089807964
117,2.976,3.83967121739556
118,2.984,28.3196892787639
119,2.991,68.6864166988429
120,2.999,100
121,3.007,9.98368059719747
122,3.014,0.144131844768047
123,3.022,0.0801537631789232
124,3.029,0.0717237290203765
125,3.037,0.0757455074942963
126,3.044,0.0583298781868116
127,3.052,0.0700570460492025
128,3.059,0.0873841076625669
129,3.067,0.0741834954343555
130,3.074,0.0632856432532734
131,3.082,0.0614015668510767
132,3.089,0.0470938584463608
