#"+EI TIC Scan TOL-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0639945948932378
1,2.102,0.0644044442906882
2,2.110,0.0702875580824367
3,2.117,0.0636363800655449
4,2.125,0.0646013010878888
5,2.132,0.0578984885012395
6,2.140,0.0551005402525034
7,2.147,0.0540904389816217
8,2.155,0.0397424829102483
9,2.163,0.0479007449319379
10,2.170,0.0457514559657807
11,2.178,0.0395327174706083
12,2.185,0.0506373771290869
13,2.193,0.0583373823441785
14,2.200,0.0482880042051194
15,2.208,0.0401232878622101
16,2.215,0.0364346432851566
17,2.223,0.0453125621228417
18,2.230,0.0895569340838246
19,2.238,0.161654929268385
20,2.245,0.0857553388854265
21,2.253,0.0581502070288074
22,2.261,0.0445896781462363
23,2.268,0.058556829265648
24,2.276,0.0579823946770955
25,2.283,0.0507148289837232
26,2.291,0.0641946788510482
27,2.298,0.0394939915432902
28,2.306,0.0409268508540616
29,2.313,0.0429728706807037
30,2.321,0.0314744974278239
31,2.328,0.0343305345675372
32,2.336,0.0414173792667581
33,2.343,0.0355568555992786
34,2.351,0.0496853647491825
35,2.358,0.0464194782120188
36,2.366,0.0463323448755529
37,2.374,0.0523800438584036
38,2.381,0.0368154482371183
39,2.389,0.0251363539900872
40,2.396,0.0364152803214975
41,2.404,0.0366605445278457
42,2.411,0.0303062652870598
43,2.419,0.0432697694568095
44,2.426,0.0347307024831581
45,2.434,0.0543712019546783
46,2.441,0.2754317037291
47,2.449,0.374405492472454
48,2.456,0.0906928946184902
49,2.464,0.0483493202567064
50,2.472,0.0368832186099251
51,2.479,0.0418724089127464
52,2.487,0.0386549297847303
53,2.494,0.0296511516832612
54,2.502,0.024639371256171
55,2.509,0.0730790520099531
56,2.517,0.0631071257255302
57,2.524,0.0684545308560444
58,2.532,0.0807016053704083
59,2.539,0.0404750483686832
60,2.547,0.0388969668304687
61,2.554,0.029425250440572
62,2.562,0.0337431913365453
63,2.569,0.0402943273745319
64,2.577,0.0360344753695357
65,2.585,0.0332591172450685
66,2.592,0.0303966257841355
67,2.600,0.0283054257089555
68,2.607,0.0287120479457961
69,2.615,0.0305095764054801
70,2.622,0.0414141521061483
71,2.630,0.0302675393597417
72,2.637,0.0597637873337302
73,2.645,0.0688256543261766
74,2.652,0.0589053626115113
75,2.660,0.0429631891988742
76,2.667,0.0415271027274929
77,2.675,0.0314357715005058
78,2.683,0.040458912565634
79,2.690,0.0270532873923355
80,2.698,0.0317681690433199
81,2.705,0.0335334258969054
82,2.713,0.03594411487246
83,2.720,0.0398812508164716
84,2.728,0.0302514035566924
85,2.735,0.0323522851137019
86,2.743,0.0270952404802635
87,2.750,0.0517249302546049
88,2.758,0.0735244001741118
89,2.765,0.0542614784939435
90,2.773,0.0471229992249651
91,2.780,0.0493916931336865
92,2.788,0.0375609223379927
93,2.796,0.0820118325780056
94,2.803,0.067166893772716
95,2.811,0.0315325863188011
96,2.818,0.0328169962415197
97,2.826,0.0557717896593512
98,2.833,0.0590764021238331
99,2.841,0.0319456628768614
100,2.848,0.0288475886914096
101,2.856,0.0359344333906305
102,2.863,0.0445380435764788
103,2.871,0.0381547198902042
104,2.878,0.0345822530951052
105,2.886,0.0390647791821807
106,2.893,0.0382031272993519
107,2.901,0.0376932359229963
108,2.909,0.0577597205950161
109,2.916,0.176622500176848
110,2.924,0.201791125773034
111,2.931,0.0881079389700039
112,2.939,0.0621938392729439
113,2.946,0.0636363800655449
114,2.954,0.0423887546103216
115,2.961,0.034753292607427
116,2.969,0.06520155296132
117,2.976,1.97249219930737
118,2.984,19.7705185453302
119,2.991,59.8213986049372
120,2.999,100
121,3.007,90.4735574204815
122,3.014,0.458456890555882
123,3.022,0.097824919566249
124,3.029,0.0784038670161983
125,3.037,0.106715747046374
126,3.044,0.122532061195227
127,3.052,0.0688772888959341
128,3.059,0.0805467016611357
129,3.067,0.0833220597856029
130,3.074,0.0682867185043324
131,3.082,0.0528641179498804
