#"+EI TIC Scan TOL-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0743456028374841
1,2.102,0.070935032395759
2,2.110,0.0709902643057465
3,2.117,0.0540444239227214
4,2.125,0.0463257645019751
5,2.132,0.0547451787806872
6,2.140,0.0641449594616767
7,2.147,0.0571305068932703
8,2.155,0.0437333167269391
9,2.163,0.0469436714949597
10,2.170,0.0480068857622181
11,2.178,0.0480655696665798
12,2.185,0.0400776546846446
13,2.193,0.0431326697058255
14,2.200,0.049781210870565
15,2.208,0.0529535937004693
16,2.215,0.0359145494693404
17,2.223,0.036259748906762
18,2.230,0.0941220786073661
19,2.238,0.111444186377181
20,2.245,0.0657743008063065
21,2.253,0.0423421629941301
22,2.261,0.0508789450815656
23,2.268,0.0562744122884648
24,2.276,0.051348416316459
25,2.283,0.0622049386233674
26,2.291,0.0526670781674094
27,2.298,0.0340573764960124
28,2.306,0.0435745249857251
29,2.313,0.0473820747804851
30,2.321,0.045859745261456
31,2.328,0.0434191852388854
32,2.336,0.0442476638886972
33,2.343,0.0422351511685294
34,2.351,0.0419900595679601
35,2.358,0.0405712898801575
36,2.366,0.0549074225162754
37,2.374,0.0475443185160732
38,2.381,0.0399430269040502
39,2.389,0.0354485302288213
40,2.396,0.0368811078941208
41,2.404,0.0261419533959357
42,2.411,0.0323797072301435
43,2.419,0.0666959833042221
44,2.426,0.0287205931934749
45,2.434,0.0484452890477435
46,2.441,0.272904319242373
47,2.449,0.346483579328781
48,2.456,0.0859719198898427
49,2.464,0.0443615797030463
50,2.472,0.0332116378743295
51,2.479,0.0226381791061067
52,2.487,0.030643354059913
53,2.494,0.0425251186959636
54,2.502,0.0509065610365593
55,2.509,0.0751153975829343
56,2.517,0.078712375720867
57,2.524,0.0849018016338358
58,2.532,0.0677868135264743
59,2.539,0.0478239300603847
60,2.547,0.0326351548138355
61,2.554,0.0304224264199632
62,2.562,0.0331495019755936
63,2.569,0.0328284664987916
64,2.577,0.045124470459748
65,2.585,0.033011422200625
66,2.592,0.0321069996745805
67,2.600,0.0248301955337337
68,2.607,0.0295766877982804
69,2.615,0.0255413063748222
70,2.622,0.0458839092220755
71,2.630,0.036915627837863
72,2.637,0.0536025686428218
73,2.645,0.0560949085810056
74,2.652,0.0536819645134288
75,2.660,0.0343956719446855
76,2.667,0.0482968532896523
77,2.675,0.0370157356747153
78,2.682,0.0335948092498675
79,2.690,0.0394148717647952
80,2.698,0.0302463747068782
81,2.705,0.0300703229937932
82,2.713,0.0372849912359041
83,2.720,0.0352552185438652
84,2.728,0.0354002023075823
85,2.735,0.0345751756521447
86,2.743,0.0382791656156782
87,2.750,0.0536439925753124
88,2.758,0.0741868110962702
89,2.765,0.0466675119450224
90,2.773,0.0385277092106217
91,2.780,0.0360733412105544
92,2.788,0.0324383911345052
93,2.796,0.0823093538587998
94,2.803,0.0643486271297554
95,2.811,0.0410683770700445
96,2.818,0.034578627646519
97,2.826,0.0513794842658269
98,2.833,0.0555494934698795
99,2.841,0.0412651407493748
100,2.848,0.0338813247829274
101,2.856,0.0281441101329808
102,2.863,0.0386071050812287
103,2.871,0.0473233908761234
104,2.878,0.0566713916414996
105,2.886,0.0525600663418087
106,2.893,0.0400880106677673
107,2.901,0.061269448147955
108,2.909,0.0680180971495467
109,2.916,0.0541997636695612
110,2.924,0.0464017083782078
111,2.931,0.0529950176329599
112,2.939,0.0468987955680949
113,2.946,0.0434675131601245
114,2.954,0.0482312653965422
115,2.961,0.038227385700065
116,2.969,0.081815718663287
117,2.976,2.125959063282
118,2.984,21.151708904637
119,2.991,61.5614419960867
120,2.999,100
121,3.007,51.4370773399663
122,3.014,0.214047815161995
123,3.022,0.0945466739153946
124,3.029,0.0658916686150298
125,3.037,0.0662368680524514
126,3.044,0.0567266235514871
127,3.052,0.0573445305444717
128,3.059,0.0857302802836476
129,3.067,0.0674726820384206
130,3.074,0.0581799131830319
131,3.082,0.059381207225259
132,3.089,0.0564918879340404
133,3.097,0.0380375260094831
134,3.104,0.0424560788084792
135,3.112,0.0490252241026118
136,3.120,0.0411201569856578
137,3.127,0.0606860610987125
138,3.135,0.0758886443227586
139,3.142,0.0843840024777035
140,3.150,0.0884780678055233
141,3.157,0.0428772221221336
142,3.165,0.0417863918998814
143,3.172,0.0574273784094529
144,3.180,0.0514830440970534
145,3.187,0.0363736647211111
146,3.195,0.0598092545276617
147,3.202,0.055701381222345
148,3.210,0.0389108805861597
149,3.218,0.0273294394606659
150,3.225,0.0329527382962633
151,3.233,0.0308815416717339
152,3.240,0.0287274971822233
153,3.248,0.0160103499076125
154,3.255,0.0258381778910047
155,3.263,0.0406852056945066
156,3.270,0.0684254324857042
157,3.278,0.0536578005528093
158,3.285,0.0246886637643909
159,3.293,0.0371158435115675
160,3.300,0.0275089431681251
161,3.308,0.0529259777454755
162,3.315,0.0653048295714131
163,3.323,0.0481311575596899
164,3.331,0.0454247939703048
165,3.338,0.0217579205406817
166,3.346,0.0291175725465097
167,3.353,0.019362236444976
168,3.361,0.0172116439498396
169,3.368,0.0130036628076707
170,3.376,0.0254550065154668
171,3.383,0.0310610453791931
172,3.391,0.0215577048669772
173,3.398,0.0192724845912464
174,3.406,0.0148746437584956
175,3.413,0.0245609399725449
176,3.421,0.016673132827462
177,3.429,0.0164073292606474
178,3.436,0.0255827303073128
179,3.444,0.00856785003680344
180,3.451,0.0422213431910326
