#"+EI TIC Scan TOL-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0611033659725808
1,2.102,0.0670762288088212
2,2.110,0.0520363643555996
3,2.117,0.0480022340465323
4,2.125,0.0828132536455515
5,2.133,0.203562998721807
6,2.140,0.125155955365286
7,2.148,0.0988283593094117
8,2.155,0.0750974898505394
9,2.163,0.0724341805202814
10,2.170,0.0740204162243321
11,2.178,0.0620394408695392
12,2.185,0.0576880634196618
13,2.193,0.0646283342038046
14,2.200,0.0580993097133045
15,2.208,0.0560274117196185
16,2.215,0.0522321959240009
17,2.223,0.0626739351511594
18,2.230,0.128512508447684
19,2.238,0.119833253336138
20,2.246,0.0691481268025072
21,2.253,0.0495062204918545
22,2.261,0.0545939246389209
23,2.268,0.0545782581134488
24,2.276,0.0561997434998117
25,2.283,0.0663947349507846
26,2.291,0.0540573461415012
27,2.298,0.0320341279590884
28,2.306,0.045887253107798
29,2.313,0.0375213285056935
30,2.321,0.0326098727701883
31,2.328,0.0291005710644366
32,2.336,0.046036085099783
33,2.343,0.361657823892196
34,2.351,0.566180397299169
35,2.359,0.197750717771656
36,2.366,0.123953549535301
37,2.374,0.091617840960875
38,2.381,0.0798444470685875
39,2.389,0.0731861737429425
40,2.396,0.0685606320973032
41,2.404,0.0676128073062408
42,2.411,0.0631360976525866
43,2.419,0.0856253949677945
44,2.426,0.059944043087645
45,2.434,0.0776315503456525
46,2.441,0.329047951122007
47,2.449,0.318097049817005
48,2.457,0.0714041064704904
49,2.464,0.0473755730276481
50,2.472,0.0485270626498479
51,2.479,0.047359906502176
52,2.487,0.0397420584913645
53,2.494,0.0496668023779436
54,2.502,0.04233095182563
55,2.509,0.0783717936742095
56,2.517,0.0774278855145151
57,2.524,0.0798248639117473
58,2.532,0.0753599041521972
59,2.539,0.0466940791696115
60,2.547,0.0347405202343947
61,2.554,0.0306280572979669
62,2.562,0.0295862333540719
63,2.570,0.0466549128559312
64,2.577,0.0480179005720044
65,2.585,0.0372471643099317
66,2.592,0.0264450949969147
67,2.600,0.035081267163413
68,2.607,0.0419510385829314
69,2.615,0.0408073822234677
70,2.622,0.0251839396964102
71,2.630,0.039961389847974
72,2.637,0.0553028349165336
73,2.645,0.0667393985111709
74,2.652,0.0494905539663824
75,2.660,0.0458206703745416
76,2.668,0.0506263770631101
77,2.675,0.0368280847535528
78,2.683,0.0362758397306611
79,2.690,0.0421390368885967
80,2.698,0.0283054948967272
81,2.705,0.0357118448136653
82,2.713,0.0354729303002157
83,2.720,0.0258850167112869
84,2.728,0.0190230785545045
85,2.735,0.034039443219518
86,2.743,0.0376153276585261
87,2.750,0.0499292166796013
88,2.758,0.0642014213846898
89,2.765,0.0318108799711109
90,2.773,0.0385514025554845
91,2.781,0.0304165592040935
92,2.788,0.0316542147163899
93,2.796,0.0791629532105509
94,2.803,0.0454133407122668
95,2.811,0.0360878414249958
96,2.818,0.0295588169344957
97,2.826,0.0331738676871841
98,2.833,0.0462240834054483
99,2.841,0.0218156367199074
100,2.848,0.0234684551572146
101,2.856,0.0253797712648115
102,2.863,0.0370826657924745
103,2.871,0.0385670690809566
104,2.879,0.0309218046505689
105,2.886,0.0261748474325208
106,2.894,0.0391584804175286
107,2.901,0.0398987237460856
108,2.909,0.0474382391295365
109,2.916,0.0451744261988172
110,2.924,0.0426481989664401
111,2.931,0.0424014511902545
112,2.939,0.040251220569208
113,2.946,0.0468115781106523
114,2.954,0.0380109074266968
115,2.961,0.0383046547792988
116,2.969,0.0829542523748005
117,2.976,2.68672686920742
118,2.984,22.6257801684896
119,2.992,59.4199429777639
120,2.999,100
121,3.007,41.2398057429174
122,3.014,0.168610980393539
123,3.022,0.0962942988142986
124,3.029,0.0725908457750025
125,3.037,0.0674953083652
126,3.044,0.0503600461300843
127,3.052,0.057715479839238
128,3.059,0.0709223608122232
129,3.067,0.0761902300022188
130,3.074,0.0717957696072931
131,3.082,0.0661832368569112
132,3.089,0.0467880783224441
133,3.097,0.0455151731278355
134,3.105,0.0652079956462726
135,3.112,0.0514292864935555
136,3.120,0.0363345892011815
137,3.127,0.0478808184741235
138,3.135,0.0790532875322461
139,3.142,0.0833419988802351
140,3.150,0.0805846903971445
141,3.157,0.0652314954344807
142,3.165,0.0871607144640609
143,3.172,0.0753951538345094
144,3.180,0.0584008903286426
145,3.187,0.0412460449366867
146,3.195,0.0580601433996243
147,3.203,0.0513313707093548
148,3.210,0.0585301391637875
149,3.218,0.0470544092554699
150,3.225,0.0524436940178743
151,3.233,0.0572650672319149
152,3.240,0.0404509687689773
153,3.248,0.0354885968256878
154,3.255,0.0330602853775114
155,3.263,0.0461183343585116
156,3.270,0.0511277058782174
157,3.278,0.0436038570202386
158,3.285,0.0391819802057367
159,3.293,0.0435607740751903
160,3.300,0.037744576493671
161,3.308,0.0555613325868234
162,3.316,0.0503913791810285
163,3.323,0.0558237468884812
164,3.331,0.0372314977844595
165,3.338,0.0228809604520106
166,3.346,0.0350499341124688
167,3.353,0.226729873263684
168,3.361,0.226075795825223
169,3.368,0.0708126951339184
170,3.376,0.0429106132680979
171,3.383,0.0536735162674346
172,3.391,0.0276945004033151
173,3.398,0.0316659646104939
174,3.406,0.0272715042155683
175,3.414,0.0232804568515493
176,3.421,0.0189212461389358
177,3.429,0.0227438783541297
178,3.436,0.0296763158755365
179,3.444,0.0352692654690783
180,3.451,0.0478847351054915
181,3.459,0.165971170851489
182,3.466,0.267016343515204
183,3.474,0.0950096437255859
184,3.481,0.0323983746763149
185,3.489,0.068670297775608
186,3.496,0.0957381371600388
187,3.504,0.0422291194100613
188,3.511,0.0147657002574598
189,3.519,0.013026715930056
190,3.527,0.00981899483964234
191,3.534,0.00987382767879471
192,3.542,0.0158780235659793
193,3.549,0.00868708837428269
