#"+EI TIC Scan ACE-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0754813515955786
1,2.102,0.0846332475742573
2,2.110,0.0678416974762339
3,2.117,0.0605027485104745
4,2.125,0.0765098503817539
5,2.132,0.0637015540573079
6,2.140,0.0486270739667128
7,2.148,0.0721169403119881
8,2.155,0.0487403831550203
9,2.163,0.0567461131135121
10,2.170,0.0581494038302428
11,2.178,0.0457333316191687
12,2.185,0.0369649436624537
13,2.193,0.064791065483341
14,2.200,0.0652965987850204
15,2.208,0.0377450338434934
16,2.215,0.048797037749174
17,2.223,0.04203335081636
18,2.230,0.0464698413431671
19,2.238,0.0463521741091555
20,2.246,0.0211583118935643
21,2.253,0.0495161152903559
22,2.261,0.0382331349623563
23,2.268,0.0255686541461466
24,2.276,0.0326374042782499
25,2.283,0.0482784303103822
26,2.291,0.0319924135140382
27,2.298,0.028370877533904
28,2.306,0.0395405486735961
29,2.313,0.0371566976734355
30,2.321,0.0342803875087079
31,2.328,0.0404644543628722
32,2.336,0.0407869497449781
33,2.343,0.0380065165857414
34,2.351,0.0378104045290554
35,2.359,0.0427088479005006
36,2.366,0.0332344565397161
37,2.374,0.027255217833646
38,2.381,0.044234163896947
39,2.389,0.134763847308896
40,2.396,0.316306957205952
41,2.404,0.123764139951665
42,2.411,0.0393357205255019
43,2.419,0.0329860479345805
44,2.426,0.0307285802598398
45,2.434,0.029817748707676
46,2.441,0.0357751971852254
47,2.449,0.030079231449924
48,2.456,0.029883119393238
49,2.464,0.0298787613475339
50,2.472,0.0302491952323852
51,2.479,0.0404688124085764
52,2.487,0.025450986912135
53,2.494,0.0420638571362889
54,2.502,0.0466703114455572
55,2.509,0.0373092292730802
56,2.517,0.0373135873187843
57,2.524,0.0415496077432013
58,2.532,0.0389957929605795
59,2.539,0.0407477273336409
60,2.547,0.0264097569670442
61,2.554,0.042460439295365
62,2.562,0.0272247115137171
63,2.570,0.0314738060752465
64,2.577,0.0462432229665522
65,2.585,0.0362502241669759
66,2.592,0.0452103661346728
67,2.600,0.0402029716206243
68,2.607,0.0180030868037722
69,2.615,0.0267584006233749
70,2.622,0.0384815435674919
71,2.630,0.0231630129174654
72,2.637,0.0240956346981498
73,2.645,0.0192582039665625
74,2.652,0.040555973322659
75,2.660,0.0320098456968548
76,2.667,0.0439770392004032
77,2.675,0.0246534645482788
78,2.683,0.0261526322705004
79,2.690,0.0252679489925615
80,2.698,0.0253333196781235
81,2.705,0.0372438585875182
82,2.713,0.0256906794258623
83,2.720,0.0435673829042147
84,2.728,0.0595570525926777
85,2.735,0.0367819057428801
86,2.743,0.0547893505923565
87,2.750,0.0320011296054465
88,2.758,0.0282357781170758
89,2.765,0.056449766005631
90,2.773,0.0407956658363863
91,2.781,0.0422381789644543
92,2.788,0.0356749621340304
93,2.796,0.030702431985615
94,2.803,0.0391047441031828
95,2.811,0.0575305613402559
96,2.818,0.0295954883767653
97,2.826,0.0416367686572839
98,2.833,0.0471671286558284
99,2.841,0.0451885759061521
100,2.848,0.0348338593131328
101,2.856,0.0441644351656809
102,2.863,0.0391526826059283
103,2.871,0.0315173865322878
104,2.878,0.0533119730986555
105,2.886,0.0544755713016589
106,2.894,0.0356313816769891
107,2.901,0.0333390496366153
108,2.909,0.0414973111947517
109,2.916,0.0506274169449097
110,2.924,0.0400765882952044
111,2.931,0.0468184849994977
112,2.939,0.0377493918891976
113,2.946,0.0483873814529855
114,2.954,0.463530457182964
115,2.961,10.2239054931641
116,2.969,48.2696183419684
117,2.976,100
118,2.984,36.068663624896
119,2.992,0.318647227749072
120,2.999,0.115279024965719
121,3.007,0.0900982368872397
122,3.014,0.0635577385490715
123,3.022,0.0596224232782397
124,3.029,0.064756201117708
125,3.037,0.0895099007171818
126,3.044,0.0593870888102165
127,3.052,0.0536170362979448
128,3.059,0.0546629672669366
129,3.067,0.0656016619843097
130,3.074,0.0469230780963969
131,3.082,0.0442821023996925
132,3.089,0.0448486483412298
133,3.097,0.0384292470190423
134,3.105,0.0508104548644833
135,3.112,0.0334174944592896
136,3.120,0.0572734366437121
137,3.127,0.0777867577730648
138,3.135,0.0504879594823775
139,3.142,0.0353263184776998
140,3.150,0.0226967020271232
141,3.157,0.0606116996530778
142,3.165,0.0589164198741702
143,3.172,0.0446394621474314
144,3.180,0.0414275824634856
145,3.187,0.0361935695728222
146,3.195,0.0473414504839937
147,3.203,0.0296390688338066
148,3.210,0.0372525746789264
149,3.218,0.0401332428893582
150,3.225,0.0361151247501478
151,3.233,0.0325676755469838
152,3.240,0.0363417431267627
153,3.248,0.0350474035526353
154,3.255,0.043872446103504
155,3.263,0.045184217860448
156,3.270,0.0486837285608665
157,3.278,0.0340668432692054
158,3.285,0.0207442975516717
159,3.293,0.0236816203562572
160,3.300,0.0248016381022193
161,3.308,0.0391788308801531
162,3.316,0.0501262416889345
163,3.323,0.025089269118692
164,3.331,0.0411922479954624
165,3.338,0.0334915812362599
166,3.346,0.0212323986705346
167,3.353,0.00961384882331676
168,3.361,0.0142638835896264
169,3.368,0.0240738444696291
170,3.376,0.0219296859831958
171,3.383,0.0212846952189842
172,3.391,0.013923956024704
173,3.398,0.010145530399221
174,3.406,0.0152923823758017
175,3.413,0.024561945588492
176,3.421,0.0213892883158834
177,3.429,0.0182427793174995
178,3.436,0.0161378432424034
179,3.444,0.0293863021829669
180,3.451,0.0200818746046435
181,3.459,0.0380544550884869
182,3.466,0.0153839013355885
183,3.474,0.00902987069896298
184,3.481,0.0367688316057677
185,3.489,0.0793512961808484
186,3.496,0.046334741926339
187,3.504,0.0315740411264415
188,3.511,0.0123986400282576
189,3.519,0.015170357096086
190,3.527,0.00709054036062393
191,3.534,0.00292860671317718
192,3.542,0.0227620727126852
193,3.549,0.0258519271169153
194,3.557,0.0187657448019955
195,3.564,0.0191971913267046
196,3.572,0.0111086584998343
197,3.579,0.0296216366509901
198,3.587,0.0204479504437907
199,3.594,0.0171881322570994
200,3.602,0.0235639531222456
201,3.609,0.0160986208310662
202,3.617,0.00784884031314302
203,3.624,0.0136014606425982
204,3.632,0.0215025975041908
205,3.640,0.0133225457175337
206,3.647,0.023577027259358
207,3.655,0.0163339552990894
208,3.662,0.0128910991928246
209,3.670,0.0114660182475732
210,3.677,0.0138673014305503
211,3.685,0.0262964477787368
212,3.692,0.0110084234486392
213,3.700,0.0163339552990894
214,3.707,0.0179769385295474
215,3.715,0.0165039190815506
216,3.722,0.0120064159148856
217,3.730,0.0149175904452463
218,3.738,0.025712469654383
219,3.745,0.0249977501589052
220,3.753,0.0156018036207951
221,3.760,0.0154623461582629
222,3.768,0.011165313093988
223,3.775,0.0152836662843934
224,3.783,0.0180902477178549
225,3.790,0.0193322907435327
226,3.798,0.0244747846744093
227,3.805,0.019933701050703
228,3.813,0.0307721607168811
229,3.820,0.0288459045156544
230,3.828,0.0258170627512822
231,3.835,0.0204610245809031
232,3.843,0.0214328687729247
233,3.851,0.00405734055054756
234,3.858,0.016713105275349
235,3.866,0.0202169740214717
236,3.873,0.0117275009898211
237,3.881,0.0127777900045171
238,3.888,0.024300462846244
239,3.896,0.00857227590002905
240,3.903,0.0155407909809373
241,3.911,0.0134750773171783
242,3.918,0.0239474611442093
243,3.926,0.0162032139279654
244,3.933,0
245,3.941,0.0216028325553859
246,3.949,0.0223219100965678
247,3.956,0.0217597222007346
248,3.964,0.0310728658704662
249,3.971,0.0523488449980422
250,3.979,0.0437809271437172
251,3.986,0.0154754202953753
252,3.994,0.0168961431949225
253,4.001,0.02620492881895
254,4.009,0.0124945170337485
255,4.016,0.0256558150602293
256,4.024,0.0128126543701502
257,4.031,0.0185827068824219
258,4.039,0.00984918329133993
259,4.046,0.0174801213192763
260,4.054,0.029782884342043
261,4.062,0.0223044779137512
262,4.069,0.0299354159416876
263,4.077,0.0262136449103583
264,4.084,0.0228056531697265
265,4.092,0.00747840642829174
266,4.099,0.0180902477178549
267,4.107,0.020360789529708
268,4.114,0.0275384908044146
269,4.122,0.026466411561198
270,4.129,0.00391352504231118
271,4.137,0.0260567552650095
272,4.144,0.0318834623714349
273,4.152,0.0173973184508978
274,4.159,0.0206963590489263
275,4.167,0.0189095603102318
276,4.175,0.027682306312651
277,4.182,0.0238864485043514
278,4.190,0.015139850776157
279,4.197,0.0133574100831668
280,4.205,0.0249367375190474
281,4.212,0.0277738252724378
282,4.220,0.023215309465915
283,4.227,0.00101106660335879
284,4.235,0.014285673818147
285,4.242,0.0101760367191499
286,4.250,0.00749583861110827
287,4.257,0.0305150360203373
288,4.265,0.0211103733908189
289,4.273,0.0176849494673706
290,4.280,0.0217902285206636
291,4.288,0.0135753123683734
292,4.295,0.0190490177727641
293,4.303,0.0258824334368442
294,4.310,0.0168699949206977
295,4.318,0.0155495070723455
296,4.325,0.0171445518000581
297,4.333,0.00926520516698615
298,4.340,0.0163557455276101
299,4.348,0.00731715873723883
300,4.355,0.0226705537528984
301,4.363,0.0124901589880444
302,4.370,0.011657772258555
303,4.378,0.026862993720274
304,4.386,0.00913010575015803
305,4.393,0.0130087664268361
306,4.401,0.013300755489013
307,4.408,0.0198465401366204
308,4.416,0.0629781184704218
309,4.423,0.101315846529677
310,4.431,0.0625641041285292
311,4.438,0.0402552681690739
312,4.446,0.0341278559090633
313,4.453,0.0244050559431432
314,4.461,0.023250173831548
315,4.468,0.0206309883633643
316,4.476,0.0133922744487998
317,4.484,0.0139501042989288
318,4.491,0.0231673709631695
319,4.499,0.0152182955988314
320,4.506,0.0210711509794817
321,4.514,0.0331037151685921
322,4.521,0.0288851269269916
323,4.529,0.0159809535970547
324,4.536,0.0277128126325799
325,4.544,0.0328770967919772
326,4.551,0.0328248002435276
327,4.559,0.0235247307109084
328,4.566,0.0171271196172416
329,4.574,0.0147912071198264
330,4.581,0.0272377856508295
331,4.589,0.0170661069773837
332,4.597,0.0176718753302582
333,4.604,0.0195414769373311
334,4.612,0.0191971913267046
335,4.619,0.00742175183413801
336,4.627,0.0261613483619087
337,4.634,0.0139980428016743
338,4.642,0.0135927445511899
339,4.649,0.0202910607984419
340,4.657,0.0108951142603318
341,4.664,0.0175149856849094
342,4.672,0.0187526706648831
343,4.679,0.0175803563704714
344,4.687,0.00344285610626484
345,4.695,0.0300007866272496
346,4.702,0.0180466672608136
347,4.710,0.0163688196647225
348,4.717,0.0290594487551569
349,4.725,0.0145645887432115
350,4.732,0.00890784541924727
351,4.740,0.0161770656537406
352,4.747,0.0255948024203714
353,4.755,0.0334262105506979
354,4.762,0.00644119155070815
355,4.770,0.0174408989079391
356,4.777,0.0162337202478944
357,4.785,0.0289679297953701
358,4.792,0.0116795624870757
359,4.800,0.00556522436417748
360,4.808,0.0199598493249278
361,4.815,0.0292119803548016
362,4.823,0.0345985248451096
363,4.830,0.0161944978365572
364,4.838,0.0246708967310953
365,4.845,0.0313387066584183
366,4.853,0.0180989638092632
367,4.860,0.0164995610358465
368,4.868,0.0179377161182102
369,4.875,0.0217684382921429
370,4.883,0.0290986711664941
371,4.890,0.0250151823417218
372,4.898,0.0220255629886867
373,4.905,0.0127647158674047
374,4.913,0.016255510476415
375,4.921,0.0183778787343277
376,4.928,0.0171358357086498
377,4.936,0.0203084929812584
378,4.943,0.0106554217466045
379,4.951,0.0279089246892659
380,4.958,0.00902115460755472
