#"+EI TIC Scan ACE-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.064591280615321
1,2.102,0.0750360036200812
2,2.110,0.0705869434260496
3,2.117,0.0519864692892407
4,2.125,0.0644314650115956
5,2.132,0.0705714773998826
6,2.140,0.055569432017922
7,2.147,0.0502748957267627
8,2.155,0.0520070906574634
9,2.163,0.0381804632641925
10,2.170,0.0687825737065698
11,2.178,0.0613227937520348
12,2.185,0.0371029967745602
13,2.193,0.0511461485341687
14,2.200,0.0359327341279262
15,2.208,0.0384846284454762
16,2.215,0.0441709707328654
17,2.223,0.0332519562589848
18,2.230,0.0406137847144624
19,2.238,0.0397373765650007
20,2.245,0.0892699030357489
21,2.253,0.138477642956991
22,2.260,0.0609206770716935
23,2.268,0.0218483396318725
24,2.276,0.0257096908315593
25,2.283,0.0344325295897302
26,2.291,0.0478106422241589
27,2.298,0.0345562577990659
28,2.306,0.0264469047455181
29,2.313,0.0341025876981681
30,2.321,0.0352470736345239
31,2.328,0.0202862709890086
32,2.336,0.0255859626222235
33,2.343,0.0345407917728989
34,2.351,0.0301690617097022
35,2.358,0.0296122847676913
36,2.366,0.0159248516099231
37,2.374,0.0398301727220026
38,2.381,0.0527907026499232
39,2.389,0.199836524103415
40,2.396,0.347191666080247
41,2.404,0.0901566218693219
42,2.411,0.0216472812917019
43,2.419,0.0345047043785093
44,2.426,0.0415211249162579
45,2.434,0.0318857906142358
46,2.441,0.0336025195187694
47,2.449,0.044537000018817
48,2.456,0.0444442038618152
49,2.464,0.01735288135934
50,2.471,0.0232866800654007
51,2.479,0.0377267931632947
52,2.487,0.0381907739483038
53,2.494,0.0383505895520291
54,2.502,0.0319373440347924
55,2.509,0.0356852777092547
56,2.517,0.036896783092334
57,2.524,0.0386238226809789
58,2.532,0.0215905725290897
59,2.539,0.030411362786318
60,2.547,0.0136719671316012
61,2.554,0.0387681722585373
62,2.562,0.0335870534926025
63,2.569,0.0251632245736597
64,2.577,0.0138111613671039
65,2.585,0.0239517191905804
66,2.592,0.0185592314003636
67,2.600,0.017022939467778
68,2.607,0.0515276438462873
69,2.615,0.0266376524015774
70,2.622,0.0321796451114082
71,2.630,0.0390517160715984
72,2.637,0.0292050127452944
73,2.645,0.00643386688545938
74,2.652,0.0313187029881136
75,2.660,0.0305093142853755
76,2.667,0.0274161090519816
77,2.675,0.0341541411187247
78,2.682,0.0430367954806209
79,2.690,0.0351903648719117
80,2.698,0.0263644192726276
81,2.705,0.015971249688424
82,2.713,0.0282306530967753
83,2.720,0.0318961012983471
84,2.728,0.0438977376039156
85,2.735,0.0374535600343449
86,2.743,0.0317517517207887
87,2.750,0.0365204431222711
88,2.758,0.0387166188379807
89,2.765,0.0486097202427857
90,2.773,0.0497696722053084
91,2.780,0.0222968543907146
92,2.788,0.0240548260316935
93,2.796,0.0229618935158943
94,2.803,0.0398198620378913
95,2.811,0.0321951111375752
96,2.818,0.0336746943075486
97,2.826,0.0331849368122613
98,2.833,0.0401343379032863
99,2.841,0.0376907057689051
100,2.848,0.0323136840048553
101,2.856,0.0320920042964621
102,2.863,0.031298081619891
103,2.871,0.0313754117507258
104,2.878,0.0381495312118585
105,2.886,0.0496923420744736
106,2.893,0.0491613418427409
107,2.901,0.0367215014624417
108,2.909,0.0308031687825479
109,2.916,0.0398662601163922
110,2.924,0.045047378882327
111,2.931,0.0233176121177346
112,2.939,0.0340665003037785
113,2.946,0.0521565955770774
114,2.954,1.08507061916431
115,2.961,16.7907067741968
116,2.969,56.6709945763224
117,2.976,100
118,2.984,31.143581173825
119,2.991,0.223020097327703
120,2.999,0.109654125523815
121,3.007,0.0842022017950386
122,3.014,0.0740822653397847
123,3.022,0.0671483302749267
124,3.029,0.0581419477036947
125,3.037,0.0889296504600756
126,3.044,0.0770672083900099
127,3.052,0.0512492553752818
128,3.059,0.0665348445703035
129,3.067,0.057476908578515
130,3.074,0.0356749670251434
131,3.082,0.0549662569974102
132,3.089,0.0478364189344372
133,3.097,0.0408921731854678
134,3.104,0.0375463561913467
135,3.112,0.042330513618996
136,3.120,0.0701487393513188
137,3.127,0.0988588392592702
138,3.135,0.0461970201607384
139,3.142,0.0354584426588058
140,3.150,0.0365823072269389
141,3.157,0.0605701138119089
142,3.165,0.0605701138119089
143,3.172,0.0442173688113663
144,3.180,0.05268759580881
145,3.187,0.0466506902616362
146,3.195,0.0400260757201175
147,3.202,0.0468981466803077
148,3.210,0.048949972818459
149,3.217,0.0397115998547225
150,3.225,0.0207193197216837
151,3.233,0.0307103726255461
152,3.240,0.0310145378068299
153,3.248,0.052852566754591
154,3.255,0.244291038649342
155,3.263,0.476224722391275
156,3.270,0.2467140494155
157,3.278,0.0467125543663041
158,3.285,0.0411911830246959
159,3.293,0.0371287734848385
160,3.300,0.0253849042820529
161,3.308,0.0515121778201203
162,3.315,0.0452020391439967
163,3.323,0.0355409281316963
164,3.331,0.0125274811952454
165,3.338,0.0290142650892351
