#"+EI TIC Scan ACE-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0862835129890225
1,2.102,0.0867120052701255
2,2.110,0.0714593281100948
3,2.117,0.0649948628307626
4,2.125,0.0680643508059713
5,2.132,0.0676070176982557
6,2.140,0.0598859164022272
7,2.148,0.0411022980411846
8,2.155,0.0563755757916529
9,2.163,0.0534338114771575
10,2.170,0.051122425230054
11,2.178,0.0437350534991153
12,2.185,0.0441388250716932
13,2.193,0.0582873105842661
14,2.200,0.0491118076033401
15,2.208,0.0473071958810026
16,2.215,0.0416008323297756
17,2.223,0.0529023162438663
18,2.230,0.0561901704777141
19,2.238,0.0274523468172026
20,2.246,0.0472907154086525
21,2.253,0.02960716857698
22,2.261,0.0357173037007848
23,2.268,0.0341763795360492
24,2.276,0.0477562887525432
25,2.283,0.0340527759934233
26,2.291,0.0456138273470284
27,2.298,0.0242798558898056
28,2.306,0.0229861388103217
29,2.313,0.0300768620389583
30,2.321,0.0350580848067803
31,2.328,0.0401752714714907
32,2.336,0.0297596129462186
33,2.343,0.0420210843747035
34,2.351,0.0293517212555533
35,2.359,0.0356884628741721
36,2.366,0.0509493802703778
37,2.374,0.0335707221771825
38,2.381,0.0282722503166208
39,2.389,0.153841089270228
40,2.396,0.318501608638306
41,2.404,0.125721283322846
42,2.411,0.0276748331939291
43,2.419,0.0275182687066031
44,2.426,0.028733703542424
45,2.434,0.029318760310853
46,2.441,0.0293476011374657
47,2.449,0.0327837796224645
48,2.457,0.0284782562209972
49,2.464,0.0445096356995707
50,2.472,0.0448310049103979
51,2.479,0.0352105291760188
52,2.487,0.0343659049680755
53,2.494,0.0364218438937522
54,2.502,0.0399692655671143
55,2.509,0.03645892495654
56,2.517,0.033653124538933
57,2.524,0.0239914476236786
58,2.532,0.0422724115780427
59,2.539,0.0426514624420953
60,2.547,0.0386590680152802
61,2.554,0.0268096083955481
62,2.562,0.0280209231132815
63,2.570,0.0374147923528466
64,2.577,0.0253181256478628
65,2.585,0.0380039692393632
66,2.592,0.0257548581651408
67,2.600,0.0204028247694413
68,2.607,0.0170078474653178
69,2.615,0.0368874172376429
70,2.622,0.0225411660568686
71,2.630,0.0218613465724264
72,2.637,0.0198054076467496
73,2.645,0.0222197968460414
74,2.652,0.0302952282975973
75,2.660,0.0293970425545161
76,2.667,0.016323907862788
77,2.675,0.0265294403655962
78,2.683,0.0149931097205163
79,2.690,0.0204975874854544
80,2.698,0.0377032006189736
81,2.705,0.0251203599796615
82,2.713,0.0462277249420701
83,2.720,0.0423630541759683
84,2.728,0.0343205836691127
85,2.735,0.0570883562207953
86,2.743,0.0308102430585384
87,2.750,0.0485143904806484
88,2.758,0.0424124955930187
89,2.765,0.0426102612612201
90,2.773,0.0530547606131049
91,2.781,0.0155658061346828
92,2.788,0.0251079996253989
93,2.796,0.0293146401927655
94,2.803,0.0502365998412354
95,2.811,0.034370025086163
96,2.818,0.0329032630470028
97,2.826,0.0343494244957254
98,2.833,0.0310080087267397
99,2.841,0.041370105716874
100,2.848,0.0362323184617259
101,2.856,0.029380562082166
102,2.863,0.0313252578194794
103,2.871,0.0560583266989132
104,2.878,0.0364877657831527
105,2.886,0.04766152603653
106,2.894,0.0537757812784224
107,2.901,0.0408962921368082
108,2.909,0.0574674070848479
109,2.916,0.0472495142277772
110,2.924,0.0445755575889712
111,2.931,0.0395325330498362
112,2.939,0.0333605961547185
113,2.946,0.0522636979402994
114,2.954,0.546356499232896
115,2.961,10.9712028878402
116,2.969,50.2121387001497
117,2.976,100
118,2.984,38.8959583248407
119,2.992,0.338727268329983
