#"+EI TIC Scan ACE-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0987763049986062
1,2.102,0.0821468229186583
2,2.110,0.0836077745929136
3,2.117,0.0876336124862795
4,2.125,0.0839553965346978
5,2.132,0.0721785288583053
6,2.140,0.0732448826526974
7,2.147,0.0588138744748442
8,2.155,0.0713376595666921
9,2.162,0.0701397731456789
10,2.170,0.0671943818281288
11,2.178,0.0757627929337291
12,2.185,0.0652495779916603
13,2.193,0.0559154590953731
14,2.200,0.0568784658259915
15,2.208,0.0504709478720229
16,2.215,0.0627457604920523
17,2.223,0.0535619645976177
18,2.230,0.0480939654052281
19,2.238,0.0550557994285283
20,2.245,0.0830299705545425
21,2.253,0.174196173584359
22,2.260,0.090607189366677
23,2.268,0.0463229725396517
24,2.275,0.0474926733978175
25,2.283,0.0585789947844495
26,2.291,0.0488173948516439
27,2.298,0.0598285547373495
28,2.306,0.0641174578839576
29,2.313,0.0410945506314647
30,2.321,0.0404368874983594
31,2.328,0.0300552051829116
32,2.336,0.0246670650852562
33,2.343,0.0384638980990435
34,2.351,0.0377451662464356
35,2.358,0.0380317194687172
36,2.366,0.0465390618548149
37,2.373,0.0495361267042518
38,2.381,0.0576770567733337
39,2.389,0.230975989940385
40,2.396,0.360516836786895
41,2.404,0.0959389583386377
42,2.411,0.0435701825682253
43,2.419,0.0507575010943045
44,2.426,0.0418743512035752
45,2.434,0.0331368267208907
46,2.441,0.0384310149423882
47,2.449,0.0527868616193151
48,2.456,0.0519131091710466
49,2.464,0.0351473968706697
50,2.471,0.0469242645470622
51,2.479,0.0478262025581781
52,2.486,0.04335879084687
53,2.494,0.0333341256608223
54,2.502,0.0478168073705623
55,2.509,0.0353399982167934
56,2.517,0.0285989511024642
57,2.524,0.0447210930511595
58,2.532,0.0522419407375993
59,2.539,0.0398215027095251
60,2.547,0.0380223242811014
61,2.554,0.038844403197483
62,2.562,0.0394128120482383
63,2.569,0.0372284309275671
64,2.577,0.0397322484271751
65,2.584,0.0406999527516015
66,2.592,0.0326529745586775
67,2.600,0.0182172687870165
68,2.607,0.0338743489487302
69,2.615,0.0322959574292775
70,2.622,0.0372613140842224
71,2.630,0.0271567898034405
72,2.637,0.0293082877674563
73,2.645,0.0350346546192802
74,2.652,0.030755146660288
75,2.660,0.0475772300863596
76,2.667,0.0230510928153403
77,2.675,0.0262172710418615
78,2.682,0.0279553807507826
79,2.690,0.0319953114255722
80,2.697,0.0252025907793562
81,2.705,0.0358708263170855
82,2.713,0.0450217390548648
83,2.720,0.0568080019188731
84,2.728,0.0512460508503255
85,2.735,0.0458391203774385
86,2.743,0.0442231481075227
87,2.750,0.0396101109881699
88,2.758,0.0400422896184962
89,2.765,0.0647328426727918
90,2.773,0.0557463457182889
91,2.780,0.0475866252739754
92,2.788,0.0347997749288855
93,2.795,0.0401973102141567
94,2.803,0.0690029554441683
95,2.810,0.0354198573115276
96,2.818,0.0234503882890114
97,2.826,0.0219001823324061
98,2.833,0.0554691876836231
99,2.841,0.0290828032646774
100,2.848,0.0346353591456092
101,2.856,0.0310792806330327
102,2.863,0.0233282508500061
103,2.871,0.0284110473501484
104,2.878,0.0412448736333173
105,2.886,0.049883748646036
106,2.893,0.0456136358746596
107,2.901,0.0486107007240965
108,2.908,0.0468819862027912
109,2.916,0.0486529790683676
110,2.924,0.0429313098103516
111,2.931,0.0392577914525777
112,2.939,0.0287492741043168
113,2.946,0.0536747068490072
114,2.954,1.19149769343446
115,2.961,15.8815452866364
116,2.969,56.7358139948272
117,2.976,100
118,2.984,51.020702577767
119,2.991,0.339631334716994
120,2.999,0.112925457547986
121,3.006,0.0874832894844269
122,3.014,0.0755232156495264
123,3.021,0.0665273235074077
124,3.029,0.0736065973759053
125,3.037,0.0962677899051903
126,3.044,0.0627692484610918
127,3.052,0.050419274340136
128,3.059,0.0712202197214947
129,3.067,0.0604533347137996
130,3.074,0.0474456974597386
131,3.082,0.0462478110387254
132,3.089,0.0579025412761126
133,3.097,0.0371156886761777
134,3.104,0.0404180971231278
135,3.112,0.063920158944026
136,3.119,0.0693364846045288
137,3.127,0.107006489350038
138,3.135,0.05846625253306
139,3.142,0.0441479866065963
140,3.150,0.0468303126709043
141,3.157,0.0690499313822473
142,3.165,0.0546987822991283
143,3.172,0.0392765818278093
144,3.180,0.053190854686794
145,3.187,0.0377075854959724
146,3.195,0.0355842730948039
147,3.202,0.0301444594652616
148,3.210,0.0490663673234623
149,3.217,0.0292847997984169
150,3.225,0.0391544443888041
151,3.232,0.0295572602392748
152,3.240,0.0355654827195723
153,3.248,0.0514339546026413
154,3.255,0.25950447713573
155,3.263,0.577930873403887
156,3.270,0.299340072626679
157,3.278,0.0628350147744023
158,3.285,0.0349829810873934
159,3.293,0.022661192529285
160,3.300,0.0273165079929089
161,3.308,0.0577005447423732
162,3.315,0.0462337182573017
163,3.323,0.0272460440857905
164,3.330,0.0410099939429225
165,3.338,0.0379988363120619
166,3.346,0.0211250793541034
167,3.353,0.0373270803975329
168,3.361,0.028739878916701
169,3.368,0.0236241992599035
170,3.376,0.0294820987383484
171,3.383,0.0222525018679982
172,3.391,0.0149383483091058
173,3.398,0.0188091656068112
174,3.406,0.0117204965506978
175,3.413,0.0225390550902798
176,3.421,0.017028777553619
177,3.428,0.0179823890966217
178,3.436,0.0263018277304036
179,3.443,0.0153000630323137
180,3.451,0.0247140410233351
181,3.459,0.0311027686020722
182,3.466,0.0340058815753512
183,3.474,0.0310839782268406
184,3.481,0.0507058275624176
185,3.489,0.107776894734533
186,3.496,0.0420340693930436
187,3.504,0.0196500348984244
188,3.511,0.0144216129902374
189,3.519,0.0137169739190531
190,3.526,0.0117533797073531
191,3.534,0.0118520291773189
192,3.541,0.0244979517081719
193,3.549,0.0106870259129609
194,3.556,0.0123734620899952
195,3.564,0.0181139217232428
196,3.572,0.0137874378261716
197,3.579,0.0284392329129958
198,3.587,0.017611279185798
199,3.594,0.0161033515734637
200,3.602,0.0139941319537189
201,3.609,0.00650146983012655
202,3.617,0.0112084588256373
203,3.624,0.00676453508336867
204,3.632,0.0146001215549374
205,3.639,0.0184098701331401
206,3.647,0.0113634794212978
207,3.654,0.0196265469293849
208,3.662,0.0185601931349928
209,3.670,0.00488079996640281
210,3.677,0.00644040111062392
211,3.685,0.0193728768637586
212,3.692,0.0108232561333899
213,3.700,0.0212378216054929
214,3.707,0.0162395817938927
215,3.715,0.0148631868081795
216,3.722,0.0191051140167086
217,3.730,0.00415737051998699
218,3.737,0.0116641254250031
219,3.745,0.0122560222447978
220,3.752,0.00877980282695558
221,3.760,0.00629007810877128
222,3.767,0.0159107502273401
223,3.775,0.0114762216726873
224,3.783,0.0116735206126188
225,3.790,0.0137310667004768
226,3.798,0.00392718842340014
227,3.805,0.0174374682149059
228,3.813,0.0249583159013456
229,3.820,0.0115701735488452
230,3.828,0.0133035856639584
231,3.835,0.0131579602559136
232,3.843,0.0153423413765848
233,3.850,0.00706048349326605
234,3.858,0.00978978549565299
235,3.865,0.0132378193506479
236,3.873,0.0181749904427454
237,3.881,0.0166952483932585
238,3.888,0.00827716028951083
239,3.896,0.0105977716306109
240,3.903,0.0179307155647349
241,3.911,0.0122983005890689
242,3.918,0.00870933891983716
243,3.926,0.0183065230693665
244,3.933,0.0133505616020373
245,3.941,0.0108467441024293
246,3.948,0.012829128689361
247,3.956,0.0114809192664952
248,3.963,0.0321221464583854
249,3.971,0.0870558084479084
250,3.978,0.0356453418143066
251,3.986,0.0220035293961797
252,3.994,0.0190628356724375
253,4.001,0.000798590947342134
254,4.009,0.0196453373046165
255,4.016,0.00567939091374494
256,4.024,0.00584380669702127
257,4.031,0.00575925000847916
258,4.039,0.0160798636044243
259,4.046,0.0202983028439139
260,4.054,0.0188843271077375
261,4.061,0.0165965989232927
262,4.069,0.0158731694768769
263,4.076,0.00951732505479508
264,4.084,0.0383370630662303
265,4.092,0.154682368906364
266,4.099,0.313244950298048
267,4.107,0.158276028169403
268,4.114,0.0297310712101669
269,4.122,0.0171462173988164
270,4.129,0.0221914331484955
271,4.137,0.0109266031971636
272,4.144,0.0198285434631244
273,4.152,0.0205519729095402
274,4.159,0.0156664753493295
275,4.167,0.0129935444726373
276,4.174,0.0112554347637162
277,4.182,0.024629484334793
278,4.189,0.0230839759719956
279,4.197,0.0181280145046664
280,4.205,0.01412566458034
281,4.212,0.010010572404624
282,4.220,0.00413858014475541
283,4.227,0.00974750715138193
284,4.235,0.0183769869764849
285,4.242,0.0149994170286084
286,4.250,0.0203358835943771
287,4.257,0.0255737006901799
288,4.265,0.0140927814236847
289,4.272,0.0164086951709769
290,4.280,0.0127210840317794
291,4.287,0.011485616860303
292,4.295,0.0084885520108661
293,4.303,0.00151262520614216
294,4.310,0.0012871407033632
295,4.318,0.0113258986708346
296,4.325,0.0195091070841876
297,4.333,0.0124955995290005
298,4.340,0.0225954262159745
299,4.348,0.00616794066976601
300,4.355,0.0136089292614715
301,4.363,0.0122184414943347
302,4.370,0.0105460980987241
303,4.378,0.0151873207809242
304,4.385,0.0149054651524505
305,4.393,0.0140411078917979
306,4.400,0.00900058973592664
307,4.408,0.0187903752315796
308,4.416,0.130630688609942
309,4.423,0.159182663774327
310,4.431,0.0446600243316569
311,4.438,0.0155067571598611
312,4.446,0.00984615662134773
313,4.453,0.0070135075551871
314,4.461,0.0160563756353848
