#"+EI TIC Scan ACE-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0825915911710798
1,2.102,0.108786107777236
2,2.110,0.0782781353938961
3,2.117,0.0783074217085812
4,2.125,0.0617146325598804
5,2.132,0.0668230025928011
6,2.140,0.0518827983441852
7,2.147,0.0551712331073922
8,2.155,0.0584680353890806
9,2.163,0.0546398956838206
10,2.170,0.0509079824410972
11,2.178,0.0606686927497
12,2.185,0.0508159397378013
13,2.193,0.0548532674050974
14,2.200,0.0411598234102165
15,2.208,0.0478538381953706
16,2.215,0.0399841870635738
17,2.223,0.0390010036420043
18,2.230,0.0473350520495211
19,2.238,0.0412978874651603
20,2.245,0.0389173284571898
21,2.253,0.0383525209596924
22,2.260,0.0359886969886849
23,2.268,0.0278219989507969
24,2.276,0.0303782758468776
25,2.283,0.0234667055812059
26,2.291,0.0387165080136352
27,2.298,0.0226006674183766
28,2.306,0.0247762222235517
29,2.313,0.0231487398789111
30,2.321,0.0354740946020762
31,2.328,0.0313070703983177
32,2.336,0.0286713020766633
33,2.343,0.0222617829198782
34,2.351,0.0144548881766922
35,2.358,0.0220609624763236
36,2.366,0.0160237978919627
37,2.374,0.0270521872505041
38,2.381,0.0273534179158361
39,2.389,0.13914346482791
40,2.396,0.332742739933049
41,2.404,0.116572083724218
42,2.411,0.0374571964821781
43,2.419,0.0313238054352806
44,2.426,0.0444566256919049
45,2.434,0.0202117408919248
46,2.441,0.0194628479878356
47,2.449,0.0326751596700336
48,2.456,0.0205506253904232
49,2.464,0.0173165794973456
50,2.471,0.0294704000916411
51,2.479,0.0181324125492863
52,2.487,0.0496110170764736
53,2.494,0.0310518610846337
54,2.502,0.0511213541623739
55,2.509,0.0301941904402858
56,2.517,0.029667036775955
57,2.524,0.038854572068579
58,2.532,0.0247176495941816
59,2.539,0.0264873797530067
60,2.547,0.040565729598034
61,2.554,0.0357125688787973
62,2.562,0.023675893543242
63,2.569,0.0207305270377742
64,2.577,0.0189105917680604
65,2.585,0.0207430783154964
66,2.592,0.026152679013749
67,2.600,0.0360430858588143
68,2.607,0.0443603992293683
69,2.615,0.0386202815510986
70,2.622,0.014517644565303
71,2.630,0.0393608069367063
72,2.637,0.0291064130376983
73,2.645,0.0388922259017455
74,2.652,0.0166890156112374
75,2.660,0.0287466097429963
76,2.667,0.0255418501646037
77,2.675,0.018571707269562
78,2.682,0.0269266744732825
79,2.690,0.0247050983164595
80,2.698,0.0270814735651892
81,2.705,0.0156765458749828
82,2.713,0.0378379185730837
83,2.720,0.037503217833826
84,2.728,0.0477241416589082
85,2.735,0.0407121611714593
86,2.743,0.029261212129605
87,2.750,0.0260522687919717
88,2.758,0.018600993584247
89,2.765,0.0319722881175924
90,2.773,0.0388587558278197
91,2.780,0.0378964912024538
92,2.788,0.0307966517709497
93,2.796,0.0415321779826407
94,2.803,0.0473015819755954
95,2.811,0.0299933699967312
96,2.818,0.0329889416130877
97,2.826,0.0129152647761068
98,2.833,0.0365953420785895
99,2.841,0.0310267585291894
100,2.848,0.0393064180665769
101,2.856,0.0323195401345723
102,2.863,0.0378169997768801
103,2.871,0.0358882867669076
104,2.878,0.0282487423933504
105,2.886,0.0589156976278378
