#"+EI TIC Scan ACE-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0873752936071322
1,2.102,0.0853535618657007
2,2.110,0.0866963160298093
3,2.117,0.0728836826284499
4,2.125,0.0644319318898338
5,2.133,0.0683892564263201
6,2.140,0.0715763974422611
7,2.148,0.0682169785335665
8,2.155,0.0626534159969955
9,2.163,0.0538824444571007
10,2.170,0.056567952785318
11,2.178,0.0530615909680984
12,2.185,0.0601503195552231
13,2.193,0.0519519186588916
14,2.200,0.0520076556241942
15,2.208,0.0437028477941032
16,2.215,0.058731560438429
17,2.223,0.0511766681415005
18,2.230,0.0518353777314407
19,2.238,0.0461147382926531
20,2.246,0.0470926686838719
21,2.253,0.0680142986597388
22,2.261,0.0567250296875345
23,2.268,0.0359706106075755
24,2.276,0.0422790216804634
25,2.283,0.0464643610750059
26,2.291,0.0508675813339133
27,2.298,0.0460488673336591
28,2.306,0.0448277210938471
29,2.313,0.0438599246963197
30,2.321,0.0389449377559973
31,2.328,0.0369080050240287
32,2.336,0.0394921734153322
33,2.344,0.0613055948360411
34,2.351,0.0525802262677575
35,2.359,0.0364317073205336
36,2.366,0.0430238702167803
37,2.374,0.0461958102421842
38,2.381,0.0640063041547955
39,2.389,0.217196819790636
40,2.396,0.274732568973481
41,2.404,0.0848873981558969
42,2.411,0.0392388235730476
43,2.419,0.045770182507146
44,2.426,0.0511057301856608
45,2.434,0.047057199705952
46,2.441,0.0445591702610253
47,2.449,0.0509638542739814
48,2.457,0.0316433953013536
49,2.464,0.0451976118635827
50,2.472,0.0495248271698046
51,2.479,0.0503862166335724
52,2.487,0.0383673001155883
53,2.494,0.0353929729671665
54,2.502,0.0367762631060407
55,2.509,0.0392540245635846
56,2.517,0.0317802042161873
57,2.524,0.0467227779141363
58,2.532,0.0489775915104697
59,2.539,0.0424563665700627
60,2.547,0.0402116869674206
61,2.555,0.0378403324436363
62,2.562,0.0501632687723619
63,2.570,0.037926471390013
64,2.577,0.0394060344689554
65,2.585,0.0413010912892447
66,2.592,0.0439156616616223
67,2.600,0.0398721981787592
68,2.607,0.0313191075032292
69,2.615,0.0398468631945307
70,2.622,0.0390969476613681
71,2.630,0.0393148285257329
72,2.637,0.0377389925067224
73,2.645,0.0455269666585527
74,2.652,0.0390412106960655
75,2.660,0.0458512544566771
76,2.668,0.046611303983531
77,2.675,0.0434798999328927
78,2.683,0.0313444424874577
79,2.690,0.0298395444242868
80,2.698,0.0443818253714261
81,2.705,0.0427502523871129
82,2.713,0.0401812849863465
83,2.720,0.0600895155930748
84,2.728,0.0566895607096147
85,2.735,0.0519012486904347
86,2.743,0.0281015645062141
87,2.750,0.0422334187088522
88,2.758,0.0428262573397983
89,2.765,0.056172727031354
90,2.773,0.0585947515235953
91,2.781,0.0494082862423537
92,2.788,0.0470267977248779
93,2.796,0.0435103019139669
94,2.803,0.0618832324764501
95,2.811,0.0496211001098728
96,2.818,0.0501227327975964
97,2.826,0.0431505451379226
98,2.833,0.0429884012388605
99,2.841,0.0521748665201021
100,2.848,0.0444679643178029
101,2.856,0.0442551504502837
102,2.863,0.0472852145640082
103,2.871,0.0394009674721097
104,2.879,0.0642343190128517
105,2.886,0.0459627283872823
106,2.894,0.0463022171759438
107,2.901,0.0465150310434629
108,2.909,0.045967795384128
109,2.916,0.0459424603998996
110,2.924,0.0506497004695485
111,2.931,0.0512982760657972
112,2.939,0.0425019695416739
113,2.946,0.0688250181550497
114,2.954,1.88920443893245
115,2.961,21.3805884161561
116,2.969,67.4949010810742
117,2.976,100
118,2.984,7.7415401927364
119,2.992,0.151330927793471
120,2.999,0.122970946448126
121,3.007,0.10026066658573
122,3.014,0.0840412096826662
123,3.022,0.072387116937572
124,3.029,0.0884038939668079
125,3.037,0.0869344648815569
126,3.044,0.077950679474143
127,3.052,0.0667171474672414
128,3.059,0.0791667587171094
129,3.067,0.065881092987702
130,3.074,0.049220807359063
131,3.082,0.0789792798338187
132,3.090,0.061984572413364
133,3.097,0.0457397805260718
134,3.105,0.049849114967929
135,3.112,0.0594764089747459
136,3.120,0.0723263129754236
137,3.127,0.0754982530008275
138,3.135,0.0515313579206991
139,3.142,0.0480351300971708
140,3.150,0.0628915648487431
141,3.157,0.0775757217075617
142,3.165,0.0541965982615337
143,3.172,0.0520532585958055
144,3.180,0.0648727606154091
145,3.187,0.0608901010946943
146,3.195,0.0460894033084247
147,3.203,0.0550225187473816
148,3.210,0.0584376746213788
149,3.218,0.055792702267927
150,3.225,0.0533402757946115
151,3.233,0.0473561525198479
152,3.240,0.0454914976806329
153,3.248,0.0582096597633226
154,3.255,0.135420557697994
155,3.263,0.205096831323121
156,3.270,0.0978690440745627
157,3.278,0.0519519186588916
158,3.285,0.0377389925067224
159,3.293,0.0393502975036528
160,3.301,0.0388283968285464
161,3.308,0.058549148551984
162,3.316,0.0559295111827607
163,3.323,0.0464694280718516
164,3.331,0.0434849669297384
165,3.338,0.043986599617462
166,3.346,0.0294544526640141
167,3.353,0.0350636181721964
168,3.361,0.036127687509792
169,3.368,0.0430188032199346
170,3.376,0.0342072957052743
171,3.383,0.0362492954340886
172,3.391,0.0260950337553196
173,3.398,0.0428617263177181
174,3.406,0.0352916330302526
175,3.414,0.0553417395486603
176,3.421,0.0414480341977698
177,3.429,0.0438447237057826
178,3.436,0.0327023976421034
179,3.444,0.0299459513580464
180,3.451,0.0324034448282075
181,3.459,0.0355297818820002
182,3.466,0.0293683137176373
183,3.474,0.0272553760329833
184,3.481,0.0472902815608539
185,3.489,0.0861693483578573
186,3.496,0.0556964293278588
187,3.504,0.0407791906141383
188,3.511,0.0292821747712606
189,3.519,0.0348761392889058
190,3.527,0.0353169680144811
191,3.534,0.0272199070550635
