#"+EI TIC Scan ACE-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.114279077775247
1,2.102,0.114529779287636
2,2.110,0.104606663611218
3,2.117,0.100834480389924
4,2.125,0.0800962180744013
5,2.132,0.0980825940213753
6,2.140,0.0702139142720931
7,2.148,0.0902933563341282
8,2.155,0.0832329021131281
9,2.163,0.0785861787323377
10,2.170,0.0698990798146744
11,2.178,0.0632642351379625
12,2.185,0.0629260796096239
13,2.193,0.0459075281058259
14,2.200,0.0647392928736463
15,2.208,0.0618183287409286
16,2.215,0.0533003075874346
17,2.223,0.054623778362139
18,2.230,0.0590781029078402
19,2.238,0.0460474545313453
20,2.245,0.0432664168241471
21,2.253,0.048484506442475
22,2.261,0.0461523993504849
23,2.268,0.0488110014353536
24,2.276,0.0481113693077566
25,2.283,0.0569034130445594
26,2.291,0.0565419364453009
27,2.298,0.0510673150468541
28,2.306,0.041389070615095
29,2.313,0.0468403709426219
30,2.321,0.048484506442475
31,2.328,0.046356458721034
32,2.336,0.052979642862286
33,2.343,0.0438844252035244
34,2.351,0.0551368419223769
35,2.359,0.0420537211363122
36,2.366,0.0441584477868333
37,2.374,0.0339846305980263
38,2.381,0.0444441309056021
39,2.389,0.192958540791264
40,2.396,0.294230291260936
41,2.404,0.0842415384304138
42,2.411,0.0452487078523387
43,2.419,0.0478781585985576
44,2.426,0.0292387926658264
45,2.434,0.0528630375076865
46,2.441,0.0479772731499671
47,2.449,0.0493124044601315
48,2.456,0.0444383006378721
49,2.464,0.047767383511688
50,2.472,0.0457909227512264
51,2.479,0.0426017663029299
52,2.487,0.0394592519964732
53,2.494,0.0502394170291976
54,2.502,0.0371446357076729
55,2.509,0.0387246382624963
56,2.517,0.0291921505239866
57,2.524,0.0468811828167318
58,2.532,0.0296935535487644
59,2.539,0.0341886899685754
60,2.547,0.0347483956706531
61,2.554,0.0468870130844617
62,2.562,0.0384622762146474
63,2.569,0.0216244630104786
64,2.577,0.0394825730673931
65,2.585,0.0276529598432731
66,2.592,0.0268367223610765
67,2.600,0.0298159891710939
68,2.607,0.0505367606834263
69,2.615,0.0237466804641896
70,2.622,0.0408060438420975
71,2.630,0.0408934978580471
72,2.637,0.0407010990229579
73,2.645,0.0429166007603485
74,2.652,0.0353722343177604
75,2.660,0.0378267770320801
76,2.667,0.0328185770520312
77,2.675,0.0117304986727104
78,2.683,0.0291455083821468
79,2.690,0.0274197491340741
80,2.698,0.0245337666077363
81,2.705,0.0329235218711708
82,2.713,0.0353139316404607
83,2.720,0.0460241334604254
84,2.728,0.0381649325604186
85,2.735,0.0386488447820066
86,2.743,0.0310869875362286
87,2.750,0.0364858154541857
88,2.758,0.0408934978580471
89,2.765,0.0585183972057626
90,2.773,0.0512014112046435
91,2.780,0.0310053637880089
92,2.788,0.0343169558586349
93,2.796,0.0398673707375714
94,2.803,0.0390744543262948
95,2.811,0.0421761567586417
96,2.818,0.0279386429620419
97,2.826,0.0260321454143399
98,2.833,0.0329701640130106
99,2.841,0.0327427835715416
100,2.848,0.0417272261434336
101,2.856,0.0422344594359414
102,2.863,0.0392027202163542
103,2.871,0.0438960857389844
104,2.878,0.0386138631756267
105,2.886,0.0479539520790472
106,2.894,0.0454236158842379
107,2.901,0.0489800791995229
108,2.909,0.0548103469294982
109,2.916,0.0408934978580471
110,2.924,0.0320723027825944
111,2.931,0.0356754082397192
112,2.939,0.0526065057275676
113,2.946,0.0523266528765287
114,2.954,1.26331407226652
115,2.961,17.5246129124922
116,2.969,63.4766959243105
117,2.976,100
118,2.984,10.9188612717528
119,2.991,0.161271035678848
120,2.999,0.100216472010546
121,3.007,0.0793091319308546
122,3.014,0.062197296143377
123,3.022,0.0636315420049509
124,3.029,0.0754728157645309
125,3.037,0.0774551067927225
126,3.044,0.0651357510792846
127,3.052,0.0537200868639928
128,3.059,0.0613344165193407
129,3.067,0.0520876118995998
130,3.074,0.0369289158016639
131,3.082,0.0403629434946193
132,3.089,0.0576671781171862
133,3.097,0.0398615404698415
134,3.105,0.0380366666703592
135,3.112,0.0423685555937309
136,3.120,0.0703888223039924
137,3.127,0.0890106974335336
138,3.135,0.050600893628456
139,3.142,0.0341537083621956
140,3.150,0.0423452345228109
141,3.157,0.0724818884190535
142,3.165,0.041383240347365
143,3.172,0.0425434636256301
144,3.180,0.0599992852091763
145,3.187,0.0461815506891347
146,3.195,0.035722050381559
147,3.202,0.034538506032374
148,3.210,0.0330342969580403
149,3.218,0.0350399090571518
150,3.225,0.0311277994103384
151,3.233,0.0382757076472882
152,3.240,0.0404853791169488
153,3.248,0.0508282740699251
154,3.255,0.0529563217913661
155,3.263,0.0506417055025659
156,3.270,0.0428408072798589
157,3.278,0.0224990031699749
158,3.285,0.0255015910509122
159,3.293,0.0407127595584179
160,3.300,0.0367889893761444
161,3.308,0.0377509835515904
162,3.316,0.0536967657930729
163,3.323,0.0329410126743607
164,3.331,0.0164938274081003
165,3.338,0.0204817305354034
166,3.346,0.0318624131443153
167,3.353,0.0222541319253159
168,3.361,0.0353430829791106
169,3.368,0.0248719221360748
170,3.376,0.0205108818740533
171,3.383,0.0227380441469039
172,3.391,0.0283176103644903
173,3.398,0.0182370774593629
174,3.406,0.0343169558586349
175,3.413,0.0263644706749485
176,3.421,0.0178872613955644
177,3.429,0.0145290271830986
178,3.436,0.0168961158814686
179,3.444,0.00953248773850969
180,3.451,0.0169544185587683
181,3.459,0.0297518562260642
182,3.466,0.0188667463742002
183,3.474,0.0170010607006081
184,3.481,0.0556440752148847
185,3.489,0.0866202876642437
186,3.496,0.0442459018027829
187,3.504,0.0210705875761309
188,3.511,0.0164355247308005
189,3.519,0.0202485198262044
190,3.526,0.0204467489290235
191,3.534,0.027443070204994
192,3.542,0.0180738299629236
193,3.549,0.0162372956279813
194,3.557,0.0191232781543191
195,3.564,0.0154735305553546
196,3.572,0.0161031994701919
197,3.579,0.0124126399971175
198,3.587,0.0384797670178373
199,3.594,0.0240323635829584
200,3.602,0.0179980364824339
201,3.609,0.013018987841035
202,3.617,0.0283001195613003
203,3.624,0.0244812941981665
204,3.632,0.0170826844488278
205,3.640,0.0235776027000203
206,3.647,0.00863462650809349
207,3.655,0.00784171009681684
208,3.662,0.0169660790942283
209,3.670,0.00471085632582008
210,3.677,0.0189891819965297
211,3.685,0.00696133966959056
212,3.692,0.0243763493790269
213,3.700,0.00770178367129743
214,3.707,0.0250293393647842
215,3.715,0.031920715821615
216,3.722,0.0235776027000203
217,3.730,0.0255657239959419
218,3.737,0.017729844166855
219,3.745,0.0154968516262745
220,3.753,0.00715373850467975
221,3.760,0.00695550940186059
222,3.768,0.0126691717772364
223,3.775,0.0159108006351027
224,3.783,0.0170127212360681
225,3.790,0.0209947940956412
226,3.798,0.015613456980874
227,3.805,0.0100572118342075
228,3.813,0.0143016467416295
229,3.820,0.0217294078296181
230,3.828,0.00515395667329821
231,3.835,0.0110017152064635
232,3.843,0.0109492427968937
233,3.851,0.0102146290629168
234,3.858,0.00982983139273844
235,3.866,0.0154268884135148
236,3.873,0.0161265205411118
237,3.881,0.0176365598831754
238,3.888,0.0121327871460787
239,3.896,0.01893087931923
240,3.903,0.0107918255681844
241,3.911,0.0157941952805032
242,3.918,0.0285333302704994
243,3.926,0.0197762681400764
244,3.933,0.0212105140016503
245,3.941,0.0142666651352497
246,3.948,0.0126924928481563
247,3.956,0.0240731754570682
248,3.964,0.0336464750696877
249,3.971,0.0677826926286934
250,3.979,0.0441934293932131
251,3.986,0.0127916073995659
252,3.994,0.0152927922557253
253,4.001,0.016797001330059
254,4.009,0.00580111639132547
255,4.016,0.0272390108344448
256,4.024,0.00133513131016435
257,4.031,0.0146864444118079
258,4.039,0.00966658389629913
259,4.046,0.00713041743375985
260,4.054,0.00613344165193407
261,4.062,0.0179455640728641
262,4.069,0.0259738427370402
263,4.077,0.0223124346026157
264,4.084,0.0226564203986842
265,4.092,0.0303407132667917
266,4.099,0.0108501282454841
267,4.107,0.0209598124892614
268,4.114,0.0340779148817059
269,4.122,0.0294953244459453
270,4.129,0.026970818518866
271,4.137,0.0190299938706395
272,4.144,0.019158259760699
273,4.152,0.011106660025603
274,4.159,0.0189716911933398
275,4.167,0.0130539694474148
276,4.175,0.0206274872286528
277,4.182,0.0129840062346551
278,4.190,0.0191116176188592
279,4.197,0.0138818674650713
280,4.205,0.0271690476216851
281,4.212,0.0150887328851762
282,4.220,0.00204642397322135
283,4.227,0.0309120795043293
284,4.235,0.0124009794616576
285,4.242,0.0172226108743472
286,4.250,0.00209306611506115
287,4.257,0.0320314909084846
288,4.265,0.0283934038449799
289,4.272,0.00859381463398366
290,4.280,0.0213854220335496
291,4.288,0.0140043030874008
292,4.295,0.0105527845912554
293,4.303,0.0099814183537178
294,4.310,0.00852385142122396
295,4.318,0.0180679996951936
296,4.325,0.0214728760494992
297,4.333,0.0252275684676033
298,4.340,0.0153977370748649
299,4.348,0.0092468046197409
300,4.355,0.0239682306379287
301,4.363,0.00332908287381592
302,4.370,0.0136894686299821
303,4.378,0.0188725766419302
304,4.386,0.0169019461491985
305,4.393,0.0232627682426016
306,4.401,0.00683307377953111
307,4.408,0.0274897123468338
308,4.416,0.0939839158072026
309,4.423,0.111352283374799
310,4.431,0.0374478096296317
311,4.438,0.0188784069096602
312,4.446,0.0235892632354803
313,4.453,0.0138410555909615
314,4.461,0.00968407469948905
315,4.468,0.0186335356650012
316,4.476,0.00617425352604389
317,4.483,0.0138993582682612
318,4.491,0.0199570064397056
319,4.499,0.0189775214610698
320,4.506,0.00778340741951709
321,4.514,0.0137594318427418
322,4.521,0.000711292663056992
323,4.529,0.0325970268782922
324,4.536,0.01891338851604
325,4.544,0.0140917571033504
326,4.551,0.00760266911988785
327,4.559,0.0128732311477856
328,4.566,0.00476915900311983
329,4.574,0.0140392846937806
330,4.581,0.0200794420620351
331,4.589,0.0113923431443718
332,4.597,0.0257231412246512
333,4.604,0.0181146418370334
334,4.612,0.0195255666276874
335,4.619,0.0335648513214681
336,4.627,0.0132288774793141
337,4.634,0.0105877661976352
338,4.642,0.0102146290629168
