#"+EI TIC Scan ACE-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0885185193333551
1,2.102,0.0827306723565828
2,2.110,0.0781867047739414
3,2.117,0.0593719712171385
4,2.125,0.060890857960312
5,2.132,0.0579080859437736
6,2.140,0.0637551652726474
7,2.147,0.0545656889323335
8,2.155,0.0599177550329307
9,2.162,0.0583227124084839
10,2.170,0.042757296452676
11,2.177,0.0510582875114678
12,2.185,0.0488286125430767
13,2.193,0.047115105214427
14,2.200,0.0526490992536216
15,2.208,0.0593423550410878
16,2.215,0.0588811888711549
17,2.223,0.0450842817138052
18,2.230,0.043430006737257
19,2.238,0.0415980347044043
20,2.245,0.0375110024094028
21,2.253,0.0378579347574257
22,2.260,0.0383741023971671
23,2.268,0.0326962583600119
24,2.275,0.036931371535267
25,2.283,0.0387971906264634
26,2.291,0.0318712363128842
27,2.298,0.0262483937455375
28,2.306,0.0426684479245238
29,2.313,0.0334789715842099
30,2.321,0.0373459979999773
31,2.328,0.0349936274450903
32,2.336,0.0258083819870694
33,2.343,0.0399141435518054
34,2.351,0.0316258451398924
35,2.358,0.0297811804601609
36,2.366,0.0355140259671247
37,2.373,0.0331405010007729
38,2.381,0.0309362113261396
39,2.388,0.151038266976458
40,2.396,0.344605362761771
41,2.404,0.140596449477427
42,2.411,0.0376125435844339
43,2.419,0.0235744761363854
44,2.426,0.0251356717024884
45,2.434,0.0298234892830905
46,2.441,0.0245475790637667
47,2.449,0.0211840276408617
48,2.456,0.0144992336179815
49,2.464,0.0355521039077614
50,2.471,0.0457062214108706
51,2.479,0.0298150275185046
52,2.486,0.0304792760384997
53,2.494,0.0335508965831902
54,2.502,0.0412468714740885
55,2.509,0.0265022466831152
56,2.517,0.0354717171441951
57,2.524,0.0300646495737894
58,2.532,0.030669665741683
59,2.539,0.0407264729520541
60,2.547,0.024733737884657
61,2.554,0.0298657981060202
62,2.562,0.0320489333691887
63,2.569,0.0378494729928398
64,2.577,0.0350867068555355
