#"+EI TIC Scan ACE-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.086639478283749
1,2.102,0.0874758029656637
2,2.110,0.081424195154955
3,2.117,0.0597596271307486
4,2.125,0.0702700670939127
5,2.133,0.0546759006934917
6,2.140,0.0478960326260595
7,2.148,0.0601120111259373
8,2.155,0.0641714747505121
9,2.163,0.0684000826927775
10,2.170,0.0501700840083445
11,2.178,0.0587259674115281
12,2.185,0.0377614689244301
13,2.193,0.0472664398879889
14,2.200,0.0411490537315116
15,2.208,0.0554135578567536
16,2.215,0.0215048206130542
17,2.223,0.0476752053224079
18,2.230,0.0373104174105884
19,2.238,0.022547877238813
20,2.246,0.0423048732357308
21,2.253,0.0509970117837208
22,2.261,0.0457911255614652
23,2.268,0.0378272472701986
24,2.276,0.0250568512845571
25,2.283,0.0239245240466838
26,2.291,0.0193623259223064
27,2.298,0.0308077580860381
28,2.306,0.0333214305850514
29,2.313,0.0207248773703697
30,2.321,0.0252306940555169
31,2.328,0.0216457742111297
32,2.336,0.0274248717322258
33,2.344,0.0364646958221354
34,2.351,0.0225525756920822
35,2.359,0.0254656167189761
36,2.366,0.0201469676182601
37,2.374,0.0314890338100697
38,2.381,0.0256253641301284
39,2.389,0.131288879700802
40,2.396,0.308086977766919
41,2.404,0.11829295795824
42,2.411,0.0290975210960552
43,2.419,0.0271288691762672
44,2.426,0.0194703903474976
45,2.434,0.0322548816929467
46,2.441,0.0341530568136969
47,2.449,0.0493948392189291
48,2.457,0.0317944332725667
49,2.464,0.0469845326918378
50,2.472,0.0595012122009434
51,2.479,0.0491928057283542
52,2.487,0.028171925802026
53,2.494,0.03476855419196
54,2.502,0.0262596553214682
55,2.509,0.0197945836230713
56,2.517,0.0135832284012103
57,2.524,0.0402046646244056
58,2.532,0.0211618335244038
59,2.539,0.0278195418068372
60,2.547,0.0168815425961773
61,2.554,0.0174500554417486
62,2.562,0.0299009566050856
63,2.570,0.0222471762295852
64,2.577,0.033312033678513
65,2.585,0.0411302599184349
66,2.592,0.0339651186829296
67,2.600,0.0176614858388618
68,2.607,0.0262173692420455
69,2.615,0.0202785243097972
70,2.622,0.0361639948129076
71,2.630,0.0434325020203349
72,2.637,0.0365304741679039
73,2.645,0.0269080418726155
74,2.652,0.0209504031272905
75,2.660,0.0152276870454246
76,2.668,0.0128831588641019
77,2.675,0.0203771918284501
78,2.683,0.0330536187487079
79,2.690,0.0268375650735778
80,2.698,0.0423659531282302
81,2.705,0.0356659587663741
82,2.713,0.0213920577345938
83,2.720,0.0422860794226541
84,2.728,0.0460495404912703
85,2.735,0.0426760510439963
86,2.743,0.0215283128794001
87,2.750,0.0359572628690635
88,2.758,0.0426995433103422
89,2.765,0.0465146873649195
90,2.773,0.0685504331973914
91,2.781,0.0461059219305005
92,2.788,0.0371318761863594
93,2.796,0.0395703734330658
94,2.803,0.049263282527392
95,2.811,0.0434559942866808
96,2.818,0.023135183897461
97,2.826,0.0254139337330151
98,2.833,0.0336033377812024
99,2.841,0.0407543836569002
100,2.848,0.0383910616625007
101,2.856,0.0368828581630927
102,2.863,0.0444708601928245
103,2.871,0.0434372004736041
104,2.879,0.0474026950327952
105,2.886,0.0504942772839181
106,2.894,0.0475295532710632
107,2.901,0.0293136499464376
108,2.909,0.0351021443740721
109,2.916,0.0381467420925031
110,2.924,0.0391287188257626
111,2.931,0.0327012347535191
112,2.939,0.039396530662106
113,2.946,0.0448984194403202
114,2.954,0.541130259918435
115,2.961,11.161889905843
116,2.969,51.4981629047717
117,2.976,100
118,2.984,31.737257794734
119,2.992,0.263780563438516
120,2.999,0.0878234885075833
121,3.007,0.0728824071115789
122,3.014,0.0593602586028679
123,3.022,0.0523407694187074
124,3.029,0.0456407750568513
125,3.037,0.0649514179931966
126,3.044,0.0606006502659325
127,3.052,0.0406463192317089
128,3.059,0.0435781540716796
129,3.067,0.0620054877934184
130,3.074,0.0501935762746904
131,3.082,0.0276503974891466
132,3.090,0.0394294198349903
133,3.097,0.0371036854667443
134,3.105,0.0360935180138698
135,3.112,0.0531864910071604
136,3.120,0.0676765208893232
137,3.127,0.0788917288428649
138,3.135,0.0549437125298352
139,3.142,0.0248971038734049
140,3.150,0.0253951399199384
141,3.157,0.0503016406998816
142,3.165,0.0418585201751583
143,3.172,0.0274624593583792
144,3.180,0.0341530568136969
145,3.187,0.0369204457892462
146,3.195,0.0174030709090567
147,3.203,0.0186058749459678
148,3.210,0.0190334341934635
149,3.218,0.0370097164013607
150,3.225,0.0315642090623767
151,3.233,0.0357740231915653
152,3.240,0.0327529177394802
153,3.248,0.030140577721814
154,3.255,0.0422625871563081
155,3.263,0.0549672047961811
156,3.270,0.0341060722810051
157,3.278,0.0252776785882088
158,3.285,0.0255313950647447
159,3.293,0.0198697588753782
160,3.300,0.0274906500779943
161,3.308,0.0438647597210998
162,3.316,0.0465381796312654
163,3.323,0.0429156721607247
164,3.331,0.0191180063523088
165,3.338,0.0131744629667913
166,3.346,0.0360418350279088
167,3.353,0.00586836813321055
168,3.361,0.0139825969290909
169,3.368,0.0145135221485087
170,3.376,0.0312823018662256
171,3.383,0.0147437463586987
172,3.391,0.0258931759664718
173,3.398,0.0222894623090079
174,3.406,0.00441654607303276
175,3.414,0.0192119754176925
176,3.421,0.0151431148865793
177,3.429,0.00382923941438478
178,3.436,0.0206356067582552
179,3.444,0.0238587457009153
180,3.451,0.0226794339303501
181,3.459,0.0316816703941063
182,3.466,0.0170318931007912
183,3.474,0.0163506173767596
184,3.481,0.0328844744310173
185,3.489,0.0640117273393599
186,3.496,0.0527777255727415
187,3.504,0.0133107181115977
188,3.511,0.0168768441429082
189,3.519,0.023572140051495
190,3.527,0.0129912232892932
191,3.534,0.0152041947790787
192,3.542,0.00133905918171738
193,3.549,0.00963652765509594
194,3.557,0.00421451258245785
195,3.564,0.0214954237065158
196,3.572,0.0123757259110301
197,3.579,0.00580258978744197
198,3.587,0.0206544005713319
199,3.594,0.00389971621342254
200,3.602,0.0105104399631641
201,3.609,0.0262126707887763
202,3.617,0.00888007667875735
203,3.625,0.00432727546091827
204,3.632,0.0111682234208499
205,3.640,0.00814711796876468
