#"+EI TIC Scan ACE-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0775495011503419
1,2.102,0.0830720258719238
2,2.110,0.0677282431854806
3,2.117,0.0724157621691593
4,2.125,0.0436677074784925
5,2.132,0.0610570333218097
6,2.140,0.0628816754898203
7,2.147,0.100562966170118
8,2.155,0.989804314859015
9,2.162,0.843718072903953
10,2.170,0.247881835643037
11,2.178,0.132726150148611
12,2.185,0.107715740189511
13,2.193,0.0988443564767618
14,2.200,0.0822326021142434
15,2.208,0.0744524692864788
16,2.215,0.0636636649903963
17,2.223,0.0668446392300275
18,2.230,0.054624396526111
19,2.238,0.0511739230800667
20,2.245,0.0522209937672786
21,2.253,0.0455939641013803
22,2.260,0.0560469988943905
23,2.268,0.042744341345044
24,2.276,0.0428989720372483
25,2.283,0.0341071126804899
26,2.291,0.0397356698767262
27,2.298,0.0305594427993457
28,2.306,0.03966498156029
29,2.313,0.0371555463268031
30,2.321,0.0340894406013809
31,2.328,0.024109133924538
32,2.336,0.0310851871528403
33,2.343,0.0288629232048757
34,2.351,0.0309217204210815
35,2.358,0.0338906297114039
36,2.366,0.0326403301144378
37,2.373,0.0384986243390919
38,2.381,0.0394264084923176
39,2.389,0.129717478680293
40,2.396,0.323178146706974
41,2.404,0.12747754265322
42,2.411,0.0349686265370567
43,2.419,0.0307715077486544
44,2.426,0.0275242632123643
45,2.434,0.0225319008640542
46,2.441,0.0299365020107513
47,2.449,0.0289468655806438
48,2.456,0.0300690426040692
49,2.464,0.03462402099443
50,2.471,0.042028622141127
51,2.479,0.0708031849504574
52,2.486,0.475573320903971
53,2.494,0.660105170960798
54,2.502,0.461466583755162
55,2.509,0.346103251331205
56,2.517,0.273767013518036
57,2.524,0.25574591084657
58,2.532,0.221771338759398
59,2.539,0.167959857872304
60,2.547,0.145790234629985
61,2.554,0.13087058184216
62,2.562,0.131056138672805
63,2.569,0.0980579489564085
64,2.577,0.106178269307023
65,2.584,0.103514203381331
66,2.592,0.0640612867703502
67,2.600,0.0794890118325615
68,2.607,0.0905428973152798
69,2.615,0.0499501316017641
70,2.622,0.0595283984788758
71,2.630,0.0712538229677385
72,2.637,0.0729680146413175
73,2.645,0.192029229618846
74,2.652,0.217534457793
75,2.660,0.111462220960632
76,2.667,0.0724466883076002
77,2.675,0.134895397859249
78,2.682,0.143806543749993
79,2.690,0.0855063547691971
80,2.697,0.0633809117246513
81,2.705,0.0537275385113261
82,2.713,0.0526893038636687
83,2.720,0.0743773629502652
84,2.728,0.075587900369236
85,2.735,0.0425676205539534
86,2.743,0.0439681328233466
87,2.750,0.0442111239110962
88,2.758,0.0366298019733085
89,2.765,0.0566301775049896
90,2.773,0.0706838984164713
91,2.780,0.0415249678865187
92,2.788,0.0491372159627473
93,2.795,0.0370230057334852
94,2.803,0.0559365483999589
95,2.811,0.0605577970869787
96,2.818,0.0441006734166646
97,2.826,0.0470121484498825
98,2.833,0.0440344031200056
99,2.841,0.0496452882371328
100,2.848,0.0281383679614042
101,2.856,0.0430491847096754
102,2.863,0.0226246792793768
103,2.871,0.0382423791920105
104,2.878,0.0421169825366723
105,2.886,0.0764980124433527
106,2.893,0.0525876894087916
107,2.901,0.046088782316434
108,2.908,0.0584945818509957
109,2.916,0.0572619543331386
110,2.924,0.0474495324078318
111,2.931,0.0500694181357503
112,2.939,0.0318715946731936
113,2.946,0.0564004404765718
114,2.954,0.435766962710809
115,2.961,9.71279557932941
116,2.969,48.6601581871981
117,2.976,100
118,2.984,46.9619111469952
119,2.991,0.381981989942378
120,2.999,0.0813843423170084
121,3.006,0.0589628919473858
122,3.014,0.0507851373396673
123,3.022,0.0500517460566412
124,3.029,0.0465526743930469
125,3.037,0.0671539006144361
126,3.044,0.0433186839160885
127,3.052,0.0368860471203899
128,3.059,0.0577921167064104
129,3.067,0.0417635409544911
130,3.074,0.0345930948559891
131,3.082,0.0462831751866337
132,3.089,0.04131290293721
133,3.097,0.0280544255856361
134,3.104,0.0239191590741156
135,3.112,0.0332058366459277
136,3.119,0.0568908406718483
137,3.127,0.0703172027749582
138,3.135,0.0426648169890533
139,3.142,0.0274049766783781
140,3.150,0.0202698747380943
141,3.157,0.0409506253154742
142,3.165,0.0507453751616719
143,3.172,0.0304136481466959
144,3.180,0.0443701726230777
145,3.187,0.0335902043665498
146,3.195,0.0236938400654751
147,3.202,0.0219840664116733
148,3.210,0.0221254430445458
149,3.217,0.0191697878135551
150,3.225,0.0180255206912434
151,3.233,0.0177560214848302
152,3.240,0.0294593558748066
153,3.248,0.02063215235983
154,3.255,0.0288717592444303
155,3.263,0.0481254894337535
156,3.270,0.0111289918189319
157,3.278,0.0197838925625951
158,3.285,0.0257482192619035
159,3.293,0.0127636591365201
160,3.300,0.0214892481966196
161,3.308,0.0504405317970406
162,3.315,0.0444143528208504
163,3.323,0.030232509335828
164,3.330,0.0366342199930858
165,3.338,0.0355252970289922
166,3.346,0.0439548787640148
167,3.353,0.0322029461564885
168,3.361,0.0341689649573716
169,3.368,0.028217892317395
170,3.376,0.0225981711607132
171,3.383,0.0244493214473875
172,3.391,0.0328391410044147
173,3.398,0.0197220402857133
174,3.406,0.021131388594661
175,3.413,0.0210341921595612
176,3.421,0.0288717592444303
177,3.428,0.0171419167357903
178,3.436,0.0167575490151682
179,3.443,0.0149063987284939
180,3.451,0.0162671488198917
181,3.459,0.0125604302267659
182,3.466,0.0286199321171261
183,3.474,0.00342396532738079
184,3.481,0.0345047344604438
185,3.489,0.0883648135650879
186,3.496,0.0577258464097515
187,3.504,0.0186617155391696
188,3.511,0.0250634261964274
189,3.519,0.0290219719168573
190,3.526,0.0124853238905524
191,3.534,0.0208132911706979
192,3.541,0.0135235585382098
193,3.549,0.0112615324122498
194,3.557,0.0143143840783403
195,3.564,0.00898625222695809
196,3.572,0.0190019030620191
197,3.579,0.0325652237782242
198,3.587,0.188932197754983
199,3.594,0.138403305562397
200,3.602,0.0929242099752259
201,3.609,0.0679889063523393
202,3.617,0.053060417524959
203,3.624,0.0577391004690833
204,3.632,0.0522430838661649
205,3.639,0.0285713338995762
206,3.647,0.0277319101418958
207,3.654,0.0228720883869037
208,3.662,0.0309659006188541
209,3.670,0.0251429505524181
210,3.677,0.0227262937342539
211,3.685,0.0367623425666265
212,3.692,0.0177825296034938
213,3.700,0.0157369864466198
214,3.707,0.0181668973241159
215,3.715,0.0376901267198523
216,3.722,0.0213036913659744
217,3.730,0.0183126919767656
218,3.737,0.00340187522849446
219,3.745,0
220,3.752,0.0230046289802216
221,3.760,0.0138239838830639
222,3.768,0.00024740910752687
223,3.775,0.0320836596225023
224,3.783,0.0202831287974261
225,3.790,0.0198059826614814
226,3.798,0.0138151478435093
227,3.805,0.0230929893757669
228,3.813,0.0204200874105213
229,3.820,0.00462566670679701
230,3.828,0.01003332291417
231,3.835,0.0068832748129797
232,3.843,0.0110715575618274
233,3.850,0.0224126143300681
234,3.858,0.0116812442910901
235,3.865,0.0352160356445836
236,3.873,0.0153482007062205
237,3.881,0.0244095592693921
238,3.888,0.0248469432273414
239,3.896,0.0239810113509973
240,3.903,0.022196131360982
241,3.911,0.0149019807087166
242,3.918,0.0307670897288772
243,3.926,0.0266008970789158
244,3.933,0.0166117543625184
245,3.941,0.0169563599051451
246,3.948,0.0178311278210437
247,3.956,0.00830145916148194
248,3.963,0.0331351483294915
249,3.971,0.0650376691411259
250,3.979,0.0562634818634766
251,3.986,0.0252975812446224
252,3.994,0.0392364336418952
253,4.001,0.905548259686785
254,4.009,2.81507825969783
255,4.016,0.860515384097117
256,4.024,0.228164213377101
257,4.031,0.146236454627489
258,4.039,0.112637414221385
259,4.046,0.0780443193653956
260,4.054,0.060579887185865
261,4.061,0.0595681606568712
262,4.069,0.0642821877592135
263,4.076,0.0519073143630927
264,4.084,0.0410566577901286
265,4.092,0.031297252102149
266,4.099,0.039382228294545
267,4.107,0.0228455802682401
268,4.114,0.0254389578774949
269,4.122,0.0418386472907046
270,4.129,0.0405795116541839
271,4.137,0.040897609078147
272,4.144,0.0309526465595223
273,4.152,0.0478118100295676
274,4.159,0.0425499484748443
275,4.167,0.0418033031324865
276,4.174,0.0485937995301436
277,4.182,0.0231415875933169
278,4.189,0.0313679404185853
279,4.197,0.026671585395352
280,4.205,0.0260088824287622
281,4.212,0.015290766449116
282,4.220,0.0169563599051451
283,4.227,0.0337580891180859
284,4.235,0.0316065134865576
285,4.242,0.0144380886321038
286,4.250,0.029150094490398
287,4.257,0.0197573844439315
288,4.265,0.0317478901194301
289,4.272,0.0335327701094454
290,4.280,0.0259249400529941
291,4.287,0.00882720351497653
292,4.295,0.0219929024512278
293,4.303,0.017221441091781
294,4.310,0.0160992640683556
295,4.318,0.015922543277265
296,4.325,0.0320659875433932
297,4.333,0.0142878759596767
298,4.340,0.00184673226689699
299,4.348,0.0253682695610587
300,4.355,0.0152112420931252
301,4.363,0.0110936476607138
302,4.370,0.0196248438506135
303,4.378,0.0315490792294532
304,4.385,0.0227925640309129
305,4.393,0.0296272406263427
306,4.400,0.0195276474155137
307,4.408,0.0260309725276485
308,4.416,0.0867699084254951
309,4.423,0.133967613706023
310,4.431,0.0679138000161258
311,4.438,0.025041336097541
312,4.446,0.0206409883993846
313,4.453,0.0252445650072953
314,4.461,0.0235657174919344
315,4.468,0.0237866184807976
316,4.476,0.023176931751535
317,4.483,0.0188737804884784
318,4.491,0.0387283613675097
319,4.498,0.0576949202713106
320,4.506,0.487727293311228
321,4.514,1.50525910029236
322,4.521,1.03771773934346
323,4.529,0.407133776534351
324,4.536,0.298865783872681
325,4.544,0.242394655079673
326,4.551,0.201452865803754
327,4.559,0.15996766009523
328,4.566,0.14132361663517
329,4.574,0.117704882905908
330,4.581,0.118182029041853
331,4.589,0.103350736649573
332,4.596,0.0947974503607865
333,4.604,0.0697516962434682
334,4.611,0.0850866428903569
335,4.619,0.0706485542582531
336,4.627,0.0526318696065643
337,4.634,0.0719165259343283
338,4.642,0.0601336671883612
339,4.649,0.0770767730341745
340,4.657,0.0653690206244208
341,4.664,0.0499192054633233
342,4.672,0.0576728301724243
343,4.679,0.044290648267087
344,4.687,0.0492565024967334
345,4.694,0.0364663352415497
346,4.702,0.0572884624518022
347,4.709,0.0507409571418946
348,4.717,0.0413217389767645
349,4.725,0.0401730538346755
350,4.732,0.0364795893008815
351,4.740,0.0695617213930458
352,4.747,0.245659571695073
353,4.755,0.351435801202364
354,4.762,0.120757734571999
355,4.770,0.0749163613630916
356,4.777,0.0547701911787608
357,4.785,0.0528748606943139
358,4.792,0.0452493585587536
359,4.800,0.0394396625516494
360,4.807,0.0441890338122099
361,4.815,0.055538926620005
362,4.822,0.0351630194072564
363,4.830,0.0419225896664726
