#"+EI TIC Scan ACE-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,1.95400779259536
1,2.102,1.98760226824608
2,2.110,1.97589381386317
3,2.117,1.64680970132857
4,2.125,1.47634254344862
5,2.132,1.27589550539936
6,2.140,1.14067183470346
7,2.147,1.04140512036508
8,2.155,0.924037078851196
9,2.163,0.842947291070947
10,2.170,0.791596410427914
11,2.178,0.713403023994205
12,2.185,0.674927663203238
13,2.193,0.651293406212398
14,2.200,0.592377862346187
15,2.208,0.572750372634082
16,2.215,0.52984772299857
17,2.223,0.529285452590351
18,2.230,0.467374283187916
19,2.238,0.436156463128244
20,2.245,0.429886439332393
21,2.253,0.422751747597853
22,2.260,0.378384359924125
23,2.268,0.362579363995624
24,2.276,0.336143204886517
25,2.283,0.717664939189274
26,2.291,2.31275993784597
27,2.298,1.06903196975042
28,2.306,0.698042174438582
29,2.313,0.606335398361969
30,2.321,0.524357317835964
31,2.328,0.494996407611837
32,2.336,0.407646045958566
33,2.343,0.33425794528249
34,2.351,0.319653089553044
35,2.358,0.29472891809629
36,2.366,0.265188459338447
37,2.374,0.249974083586646
38,2.381,0.229637849662501
39,2.389,0.381304386077731
40,2.396,0.443895949923725
41,2.404,0.216133909942424
42,2.411,0.166673013864832
43,2.419,0.168662222619959
44,2.426,0.174492825004345
45,2.434,0.134779524323015
46,2.441,0.153863643472556
47,2.449,0.174157352743979
48,2.456,0.135800115988353
49,2.464,0.112751754212799
50,2.471,0.111263391367514
51,2.479,0.0979815248338774
52,2.487,0.106661278950665
53,2.494,0.115548931369652
54,2.502,0.0909791320189184
55,2.509,0.101804018617482
56,2.517,0.0973578299272819
57,2.524,0.118303583873782
58,2.532,0.111844561621388
59,2.539,0.108598513130243
60,2.547,0.0950284239503758
61,2.554,0.0909129825591279
62,2.562,0.0817938070308749
63,2.569,0.0856871752356834
64,2.577,0.0679591200118464
65,2.584,0.0683512918091754
66,2.592,0.0710870444676514
67,2.600,0.0813874603493051
68,2.607,0.0599928350685124
69,2.615,0.0655682895365635
70,2.622,0.0700900776093812
71,2.630,0.0817749071852205
72,2.637,0.0841893624675714
73,2.645,0.0714650413807396
74,2.652,0.0953497213265008
75,2.660,0.077012146080309
76,2.667,0.0635034813988192
77,2.675,0.0515729538294726
78,2.682,0.0558443189473693
79,2.690,0.0608905777370969
80,2.698,0.0466826187663938
81,2.705,0.0512280316462796
82,2.713,0.0549938258929208
83,2.720,0.050306664170627
84,2.728,0.0603283073288782
85,2.735,0.0481662566502651
86,2.743,0.0644768234500213
87,2.750,0.0550410755070569
88,2.758,0.0651194182022713
89,2.765,0.0569594098409795
90,2.773,0.0620718180904976
91,2.780,0.046181772856552
92,2.788,0.0419340325457232
93,2.795,0.0540630084944411
94,2.803,0.0639996023472474
95,2.811,0.0429735240567158
96,2.818,0.0562364907446983
97,2.826,0.0490167497047135
98,2.833,0.0726321068498994
99,2.841,0.0527022196073236
100,2.848,0.044135864564462
101,2.856,0.0488702759008919
102,2.863,0.0542000323754356
103,2.871,0.0474291626697431
104,2.878,0.051662728096331
105,2.886,0.0544032057162205
106,2.893,0.0473015887115758
107,2.901,0.0468668922615243
108,2.909,0.0538456602694154
109,2.916,0.061400873569766
110,2.924,0.0531510909416158
111,2.931,0.034374094283959
112,2.939,0.0461486981266567
113,2.946,0.055206449156533
114,2.954,1.27761539135391
115,2.961,16.7964723816083
116,2.969,59.4190546542902
117,2.976,97.8992916054351
118,2.984,18.8189779398167
119,2.991,0.146823450966288
120,2.999,0.0796581244719265
121,3.006,0.0668912787323722
122,3.014,0.0666928303530009
123,3.022,0.0481048321518882
