#"+EI TIC Scan ACN-ABS.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.191771838511828
1,2.102,0.162431990246431
2,2.110,0.125575138991003
3,2.117,0.270060468478456
4,2.125,1.60604961339656
5,2.132,1.58140973079715
6,2.140,0.256997653106346
7,2.147,0.161431684564783
8,2.155,0.176311231579297
9,2.162,0.205820249187914
10,2.170,0.397172841936109
11,2.177,0.523829193685953
12,2.185,0.331189442891519
13,2.193,0.145110520538482
14,2.200,0.0998613988215811
15,2.208,0.110408739611899
16,2.215,0.0708819548091314
17,2.223,0.0683002835278192
18,2.230,0.0824737324141113
19,2.238,0.113424367034514
20,2.245,0.110827985375531
21,2.253,0.077310389851487
22,2.260,0.0592534012599733
23,2.268,0.0690505127890552
24,2.275,0.108099210317506
25,2.283,0.146794858781845
26,2.291,0.171500938080784
27,2.298,0.192529422961899
28,2.306,0.141293177532781
29,2.313,0.118881917150565
30,2.321,0.109908586771075
31,2.328,0.122802232799964
32,2.336,0.228466875612871
33,2.343,0.234865889899884
34,2.351,0.149876682903982
35,2.358,0.17480341786799
36,2.366,0.172398271118733
37,2.373,0.146316771507528
38,2.381,0.113453787789857
39,2.388,0.225944045842244
40,2.396,0.332888491512553
41,2.404,0.218662408894953
42,2.411,0.104671692320094
43,2.419,0.0671675844471296
44,2.426,0.0772368379631305
45,2.434,0.0991185247491807
46,2.441,0.0984933336981507
47,2.449,0.106944445670309
48,2.456,0.155231260376333
49,2.464,0.314868278865218
50,2.471,0.376806324050202
51,2.479,0.153561632510641
52,2.486,0.069889004316319
53,2.494,0.0640489843808152
54,2.502,0.0599374338216885
55,2.509,0.0529279388613167
56,2.517,0.0662996721645232
57,2.524,0.0522880374326154
58,2.532,0.0444474061338156
59,2.539,0.055340440799409
60,2.547,0.0675353438889119
61,2.554,0.0806275800163638
62,2.562,0.105848522533798
63,2.569,0.0716027633150248
64,2.577,0.0379086432589253
65,2.584,0.070639233577555
66,2.592,0.0780017776020378
67,2.599,0.09638239450232
68,2.607,0.0809732738916392
69,2.615,0.064240219290542
70,2.622,0.060717083838267
71,2.630,0.0329291804171922
72,2.637,0.0363714087922751
73,2.645,0.0490517543449307
74,2.652,0.0748022704585313
75,2.660,0.0898289212497584
76,2.667,0.103009419643238
77,2.675,0.0959484383610168
78,2.682,0.0646521098653383
79,2.690,0.0264860349971653
80,2.697,0.0503756883353472
81,2.705,0.0484118529162294
82,2.713,0.0483235906502016
83,2.720,0.0466392524068384
84,2.728,0.0600183408988806
85,2.735,0.0438589910269638
86,2.743,0.0530971082045366
87,2.750,0.0564216535582491
88,2.758,0.0519938298791896
89,2.765,0.0796934710342366
90,2.773,0.0772662587184731
91,2.780,0.0799214818881417
92,2.788,0.113387591090336
93,2.795,0.107017997558666
94,2.803,0.103796424848652
95,2.810,0.0678663273865161
96,2.818,0.0766704884227857
97,2.826,0.07603794218292
98,2.833,0.0944479798385448
99,2.841,0.0804510554843083
100,2.848,0.0723750581427677
101,2.856,0.0906453472105152
102,2.863,0.0795757880128663
103,2.871,0.0905423745668162
104,2.878,0.104325998444819
105,2.886,0.0950878812672461
106,2.893,0.110349898101214
107,2.901,0.105605801302221
108,2.908,0.10650313434017
109,2.916,0.0904908882449666
110,2.924,0.0640195636254726
111,2.931,0.102979998887895
112,2.939,0.157467237782369
113,2.946,2.00265610579233
114,2.954,17.0882293147818
115,2.961,51.9613052341583
116,2.969,87.8366286050355
117,2.976,50.0028758788347
118,2.984,2.80794631065199
119,2.991,0.216227841390354
120,2.999,0.166646513449257
121,3.006,0.139557352967569
122,3.014,0.137917145857219
123,3.021,0.139844205332159
124,3.029,0.129385126807869
125,3.037,0.16236579354691
126,3.044,0.140189899207434
127,3.052,0.156694942954626
128,3.059,0.150906409340972
129,3.067,0.153855840064067
130,3.074,0.155907937749212
131,3.082,0.14394840070245
132,3.089,0.131878535823153
133,3.097,0.103494862106391
134,3.104,0.0839447701812407
135,3.112,0.0960440558158802
136,3.119,0.102097376227618
137,3.127,0.135151594855016
138,3.134,0.128612831980126
139,3.142,0.0997363606113751
140,3.150,0.0970370063086926
141,3.157,0.113689153832598
142,3.165,0.0921016745999733
143,3.172,0.0891963750098927
144,3.180,0.0998466884439098
145,3.187,0.0847832617085044
146,3.195,0.048441273671572
147,3.202,0.0736254402448278
148,3.210,0.0794728153691672
149,3.217,0.0599962753323736
150,3.225,0.0627471159569057
151,3.232,0.0511626935407614
152,3.240,0.0652037490280118
153,3.248,0.066888087271375
154,3.255,0.036893627199606
155,3.263,0.0864970207072102
156,3.270,0.0624381980258085
157,3.278,0.0473600609127319
158,3.285,0.0505742784339097
159,3.293,0.0421378768394224
160,3.300,0.0494195137867131
161,3.308,0.0571645276306495
162,3.315,0.0532956983030991
163,3.323,0.0429322372336723
164,3.330,0.0501770982367847
165,3.338,0.0581427677457906
166,3.345,0.0280379798414869
167,3.353,0.0437045320614152
168,3.361,0.0335911474124004
169,3.368,0.0447489688760771
170,3.376,0.0364449606806315
171,3.383,0.0233306589866727
172,3.391,0.0375335286283073
173,3.398,0.0430057891220288
174,3.406,0.0361066219941918
175,3.413,0.0499270218163727
176,3.421,0.0624381980258085
177,3.428,0.0605111385508689
178,3.436,0.0611436847907346
179,3.443,0.0469996566597852
180,3.451,0.058841510685177
181,3.459,0.0435647834735379
182,3.466,0.0190058079513122
183,3.474,0.0634090829521139
184,3.481,0.0651301971396553
185,3.489,0.0830180163879491
186,3.496,0.0638430390934171
187,3.504,0.0457566297465608
188,3.511,0.026118275555383
189,3.519,0.0306858478223198
190,3.526,0.0411743471019526
191,3.534,0.0126656351749844
192,3.541,0.019469184847958
193,3.549,0.0219920146185849
194,3.556,0.0316126016156114
195,3.564,0.0429322372336723
196,3.572,0.0300091704494403
197,3.579,0.0283248322060771
198,3.587,0.0530382666938514
199,3.594,0.105318948937631
200,3.602,0.0592975323929871
201,3.609,0.044940203785804
202,3.617,0.0506625406999374
203,3.624,0.0445356683998434
204,3.632,0.0539870860536499
205,3.639,0.0415347513548993
206,3.647,0.0369230479549486
207,3.654,0.0305681648009495
208,3.662,0.048066159040954
209,3.670,0.0207563428941962
210,3.677,0.0395488503692746
211,3.685,0.0215433480996104
212,3.692,0.0238749429605106
213,3.700,0.0438884117823064
214,3.707,0.0412552541791447
215,3.715,0.0142617111523198
216,3.722,0.026971477460318
217,3.730,0.0375850149501568
218,3.737,0.0169389998884953
219,3.745,0.0463009137203987
220,3.752,0.0422996909938066
221,3.760,0.0275304718118272
222,3.767,0.0569585823432514
223,3.775,0.0354225894324766
224,3.783,0.0296634765741649
225,3.790,0.06586571602322
226,3.798,0.0676015405884328
227,3.805,0.0698963595051547
228,3.813,0.0452711872834081
229,3.820,0.0275598925671698
230,3.828,0.0373570040962518
231,3.835,0.0272656850137439
232,3.843,0.0453962254936141
233,3.850,0.0296414110076579
234,3.858,0.0134379300027273
235,3.865,0.0365038021913167
236,3.873,0.0225657193477654
237,3.880,0.0235660250294134
238,3.888,0.0344737700726781
239,3.896,0.042417374015177
240,3.903,0.00503830435241828
241,3.911,0.0144603012508823
242,3.918,0.0135556130240977
243,3.926,0.0284351600386118
244,3.933,0.00366288404015227
245,3.941,0.0116653294933363
246,3.948,0.0168139616782893
247,3.956,0.0351725130120646
248,3.963,0.0594225706031931
249,3.971,0.0709849274528304
250,3.978,0.0546564082376938
251,3.986,0.0166374371462338
252,3.994,0.0418510244748322
253,4.001,0.0224553915152307
254,4.009,0.011025428064635
255,4.016,0.0188439937969279
256,4.024,0.0376070805166638
257,4.031,0
258,4.039,0.0110695591976489
259,4.046,0.0226539816137932
260,4.054,0.0305902303674564
261,4.061,0.0607538597824453
262,4.069,0.063762132016225
263,4.076,0.0483383010278729
264,4.084,0.0239558500377027
265,4.091,0.0269347015161398
266,4.099,0.0172626281972638
267,4.107,0.0402770140640037
268,4.114,0.0693814962866594
269,4.122,0.103097681909266
270,4.129,0.135806206661389
271,4.137,0.160813848702589
272,4.144,0.280357732848362
273,4.152,0.71156303352701
274,4.159,0.780209010930105
275,4.167,0.372532959336691
276,4.174,0.187652932763865
277,4.182,0.139969243542365
278,4.189,0.0792815804594404
279,4.197,0.103082971531595
280,4.205,0.0844522782109003
281,4.212,0.0864528895741963
282,4.220,0.105723484323592
283,4.227,0.0681311141845994
284,4.235,0.0555758068421497
285,4.242,0.0781415261899151
286,4.250,0.0458301816349173
287,4.257,0.0331792568376042
288,4.265,0.0534501572686477
289,4.272,0.0408139428490059
290,4.280,0.046418596741769
291,4.287,0.0291853892998478
292,4.295,0.0399901616994134
293,4.302,0.0537443648220736
294,4.310,0.0352166441450785
295,4.318,0.0403064348193463
296,4.325,0.0349003710251456
297,4.333,0.0593490187148367
298,4.340,0.0646079787323244
299,4.348,0.0223156429273534
300,4.355,0.0245589755222258
301,4.363,0.0247575656207882
302,4.370,0.0125553073424496
303,4.378,0.0295310831751232
304,4.385,0.00475145198782805
305,4.393,0.0225289434035872
306,4.400,0.0146368257829378
307,4.408,0.0186527588872011
308,4.416,0.0788329139404659
309,4.423,0.131753497612947
310,4.431,0.0480882246074609
311,4.438,0.00514863218495299
312,4.446,0.0273392369021004
313,4.453,0.0163873607258218
314,4.461,0.0211829438466637
315,4.468,0.0149310333363637
316,4.476,0.00470732085481416
317,4.483,0.0175421253730184
318,4.491,0.0434103245079894
319,4.498,0.0626662088797135
320,4.506,0.127855247530054
321,4.513,0.175384477786006
322,4.521,0.436096501254354
323,4.529,1.31606393836234
324,4.536,0.747456355044968
325,4.544,0.26175646028301
326,4.551,0.177436575471151
327,4.559,0.134945649567618
328,4.566,0.118286146854877
329,4.574,0.0764057016247024
330,4.581,0.0959116624168386
331,4.589,0.0957057171294404
332,4.596,0.191404079070045
333,4.604,0.311815875498424
334,4.611,0.668733768937037
335,4.619,0.813814868720176
336,4.627,1.41388794987645
337,4.634,6.13034394922448
338,4.642,8.30485404216171
339,4.649,1.52715050275658
340,4.657,0.520563489842926
341,4.664,0.337588457178532
342,4.672,0.269633867525988
343,4.679,0.190830374340865
344,4.687,0.177627810380878
345,4.694,0.177443930659987
346,4.702,0.161762668062387
347,4.709,0.23766086165743
348,4.717,0.300694829978926
349,4.724,0.440892084375196
350,4.732,1.09348856900682
351,4.740,1.50986580899281
352,4.747,0.820184462251847
353,4.755,0.66279813154667
354,4.762,0.954710866055833
355,4.770,3.78336938846901
356,4.777,6.13105740254154
357,4.785,1.47659093470034
358,4.792,0.503058140414085
359,4.800,0.384867611014072
360,4.807,0.303011714462155
361,4.815,0.291221346758612
362,4.822,0.250458890231456
363,4.830,0.310977383971161
364,4.837,0.774449898071793
365,4.845,0.907836247606254
366,4.853,0.338618183615522
367,4.860,0.249348256717273
368,4.868,0.239779156042096
369,4.875,0.178937033993623
370,4.883,0.149545699406377
371,4.890,0.13110624099541
372,4.898,0.145500345546771
373,4.905,0.158460188275182
374,4.913,0.168889846044129
375,4.920,0.27437796432498
376,4.928,0.248281754336104
377,4.935,0.12110318417893
378,4.943,0.107679964553874
379,4.951,0.0930504939597718
380,4.958,0.0704185779124856
381,4.966,0.0805393177503361
382,4.973,0.0453447391717645
383,4.981,0.0674838575670624
384,4.988,0.045918443900945
385,4.996,0.0717939982247516
386,5.003,0.0594961224915496
387,5.011,0.0472203123248546
388,5.018,0.0604596522290194
389,5.026,0.0403137900081819
390,5.033,0.0624823291588224
391,5.041,0.060364034774156
392,5.048,0.039541495180439
393,5.056,0.0386956484643395
394,5.064,0.0556567139193418
395,5.071,0.0398062819785223
396,5.079,0.0470364326039634
397,5.086,0.0446018650993642
398,5.094,0.0745595492269549
399,5.101,0.0306270063116346
400,5.109,0.0365111573801523
401,5.116,0.0583119370890104
402,5.124,0.0441826193357323
403,5.131,0.0387324244085178
404,5.139,0.0336720544895926
405,5.146,0.0423217565603136
406,5.154,0.0360698460500135
407,5.162,0.0385926758206405
408,5.169,0.0302224709256741
409,5.177,0.0454035806824497
410,5.184,0.016549174880206
411,5.192,0.0591430734274386
412,5.199,0.0500079288935648
413,5.207,0.0541856761522124
414,5.214,0.143793941736901
415,5.222,0.140270806284626
416,5.229,0.0712055831178999
417,5.237,0.0573042762185268
418,5.244,0.0575764182054457
419,5.252,0.0428660405341515
420,5.259,0.035496141320833
421,5.267,0.00861292612654279
422,5.275,0.0226392712361219
423,5.282,0.0530235563161802
424,5.290,0.0556934898635201
425,5.297,0.0378424465594045
426,5.305,0.0242794783464712
427,5.312,0.0401593310426333
428,5.320,0.0432411551647695
429,5.327,0.0330615738162338
430,5.335,0.00903217189017467
431,5.342,0.0302739572475236
432,5.350,0.043167603276413
433,5.357,0.0373570040962518
434,5.365,0.0202856108087148
435,5.373,0.033745606377949
436,5.380,0.0562892601592075
437,5.388,0.056090670060645
438,5.395,0.07103641377468
439,5.403,0.0409831121922258
440,5.410,0.0261035651777117
441,5.418,0.0384235064774206
442,5.425,0.0531191737710436
443,5.433,0.0387030036531752
444,5.440,0.0677118684209675
445,5.448,0.104590785242902
446,5.455,0.137424348205231
447,5.463,0.201944064671528
448,5.470,0.459912602704179
449,5.478,1.05190233133007
450,5.486,0.440965636263552
451,5.493,0.120823687003175
452,5.501,0.0520968025228886
453,5.508,0.0473894816680744
454,5.516,0.0377247635380341
455,5.523,0.06461533392116
456,5.531,0.0515819393043933
457,5.538,0.0371363484311824
458,5.546,0.0287734987250516
459,5.553,0.0298252907285491
460,5.561,0.040416762651881
461,5.568,0.0768617233325125
462,5.576,0.143639482771353
463,5.583,0.191426144636552
