#"+EI TIC Scan ACN-BLANK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.159284134195039
1,2.102,0.153758156603312
2,2.110,0.128724899476392
3,2.117,0.144594002665199
4,2.125,0.116870086292046
5,2.133,0.139784087614809
6,2.140,0.123206154839628
7,2.148,0.113145114486104
8,2.155,0.1084943244449
9,2.163,0.101196272887239
10,2.170,0.104053290097622
11,2.178,0.0760834532557266
12,2.185,0.108747477868604
13,2.193,0.0821012717849371
14,2.200,0.085377800383173
15,2.208,0.107054966407264
16,2.215,0.0754831179937982
17,2.223,0.0771611635452126
18,2.230,0.0684454528148057
19,2.238,0.0731107087659364
20,2.246,0.0872222038987363
21,2.253,0.0689734585271042
22,2.261,0.0829475275156073
23,2.268,0.0472456618182723
24,2.276,0.0675991970841355
25,2.283,0.0607857535089958
26,2.291,0.0580227647131323
27,2.298,0.0687854016980664
28,2.306,0.072423578044452
29,2.313,0.0764595669138023
30,2.321,0.0771032999055087
31,2.328,0.0586086340651348
32,2.336,0.0626156911146331
33,2.343,0.0598237704989177
34,2.351,0.0403381898286137
35,2.359,0.0617839012938889
36,2.366,0.0323457745945061
37,2.374,0.0716351859534857
38,2.381,0.262867282220066
39,2.389,0.375679680777873
40,2.396,0.216930785250095
41,2.404,0.0777759647170671
42,2.411,0.0805244876030045
43,2.419,0.0619719581229267
44,2.426,0.0517445598052541
45,2.434,0.0609738103380336
46,2.441,0.048677786900945
47,2.449,0.0543845883667467
48,2.457,0.0201148477520844
49,2.464,0.067063958416874
50,2.472,0.0494589460369483
51,2.479,0.0434628263726268
52,2.487,0.068083805066656
53,2.494,0.0333005246496212
54,2.502,0.0572343726221661
55,2.509,0.0553682702417138
56,2.517,0.0733783280995671
57,2.524,0.0556214236654185
58,2.532,0.0451264060141153
59,2.539,0.0496036051362081
60,2.547,0.0742101179203114
61,2.554,0.0673966743451717
62,2.562,0.0477158038908669
63,2.570,0.0541603667628939
64,2.577,0.0397306216117222
65,2.585,0.0505221904165083
66,2.592,0.0469997413495305
67,2.600,0.0505728211012492
68,2.607,0.0588834863537285
69,2.615,0.0514407756968084
70,2.622,0.0554984634310477
71,2.630,0.065993481082351
72,2.637,0.0422549228938069
73,2.645,0.0582252874520961
74,2.652,0.0206934841491239
75,2.660,0.0394413034132025
76,2.668,0.0545220145110436
77,2.675,0.059476588660694
78,2.683,0.047520514106866
79,2.690,0.0707093677182226
80,2.698,0.0511080597685107
81,2.705,0.0556792873051225
82,2.713,0.0641780093866396
83,2.720,0.0536829917353363
84,2.728,0.0499073892446538
85,2.735,0.0394630022780915
