#"+EI TIC Scan ACN-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.308764410148871
1,2.102,0.250961956822912
2,2.110,0.268574284794087
3,2.117,0.236394750977594
4,2.125,0.245438672246281
5,2.133,0.240308601637855
6,2.140,0.197192232798764
7,2.148,0.171624180354628
8,2.155,0.1757666437871
9,2.163,0.191294023275706
10,2.170,0.176882274115493
11,2.178,0.160358142940044
12,2.185,0.146531642476692
13,2.193,0.154761702276307
14,2.200,0.128407221895763
15,2.208,0.133564726036855
16,2.215,0.11333706795158
17,2.223,0.108984280768673
18,2.231,0.111928813274757
19,2.238,0.105518511141946
20,2.246,0.113501669147572
21,2.253,0.10336040657227
22,2.261,0.12658746422896
23,2.268,0.100296995424635
24,2.276,0.0846781708271448
25,2.283,0.0818799504952759
26,2.291,0.100196405804862
27,2.298,0.0972793068314434
28,2.306,0.0867996973532676
29,2.313,0.0681814731843619
30,2.321,0.0827852570732334
31,2.328,0.0538611691330327
32,2.336,0.0908872937204095
33,2.344,0.0656484436682584
34,2.351,0.0698000516116195
35,2.359,0.068638698728785
36,2.366,0.0561290078333709
37,2.374,0.102939759071401
38,2.381,0.255579934821584
39,2.389,0.307502467646263
40,2.396,0.146138428508488
41,2.404,0.0752136020575881
42,2.411,0.0635086281203586
43,2.419,0.0587260489256937
44,2.426,0.0717203988981962
45,2.434,0.073146942596796
46,2.441,0.0913628082866095
47,2.449,0.0646974145358585
48,2.457,0.0762743653206495
49,2.464,0.0688124444356657
50,2.472,0.0665080276917737
51,2.479,0.0526906717393097
52,2.487,0.0463352366718297
53,2.494,0.0509989372249445
54,2.502,0.0521237120642252
55,2.509,0.0467010171073681
56,2.517,0.0594941878403244
57,2.524,0.0639475646430047
58,2.532,0.0512366945080445
59,2.539,0.0467650286835873
60,2.547,0.0532027643490635
61,2.555,0.0407662295407572
62,2.562,0.0618626161604357
63,2.570,0.0796944123929338
64,2.577,0.0557449383760556
65,2.585,0.025970410923228
66,2.592,0.0555803371800633
67,2.600,0.0521877236404444
68,2.607,0.0553700134296287
69,2.615,0.0145763503562061
70,2.622,0.052160290107779
71,2.630,0.0233916588526821
72,2.637,0.0332951641448849
73,2.645,0.0378765641000036
74,2.652,0.0417264031840455
75,2.660,0.0367060667062807
76,2.668,0.0500021855381023
77,2.675,0.02132499939189
78,2.683,0.00689496120989926
79,2.690,0.0333866092537695
80,2.698,0.0378765641000036
81,2.705,0.0418269928038186
82,2.713,0.0460791903669528
83,2.720,0.0645602468725316
84,2.728,0.0580859331635015
85,2.735,0.0422750738373532
86,2.743,0.0468198957489181
87,2.750,0.0560741407680402
88,2.758,0.0575921295755246
89,2.766,0.0463078031391643
90,2.773,0.0379954427415536
91,2.781,0.0332494415904426
92,2.788,0.0539800477745827
93,2.796,0.0438662187319453
94,2.803,0.0364957429558461
95,2.811,0.0189840046044441
96,2.818,0.0423482299244609
97,2.826,0.0553974469622941
98,2.833,0.0437107620468415
99,2.841,0.015307911227283
100,2.848,0.0199624672695094
101,2.856,0.0240317746148744
102,2.863,0.0457408434640797
103,2.871,0.0358373381718769
104,2.879,0.0387361481235189
105,2.886,0.0536051228281558
106,2.894,0.0373827605120268
107,2.901,0.0470302194993527
108,2.909,0.0381143213831036
109,2.916,0.0226600979816053
110,2.924,0.0154908014450522
111,2.931,0.0958070405784013
112,2.939,1.27841176671767
113,2.946,15.2171976792695
114,2.954,56.9396047120567
115,2.961,100
116,2.969,58.7784469730846
117,2.977,2.96818021124186
118,2.984,0.183649212172953
119,2.992,0.140002461702331
120,2.999,0.0813404243528567
121,3.007,0.0909878833401826
122,3.014,0.0638835530667855
123,3.022,0.0940695835095938
124,3.029,0.0825017772356912
125,3.037,0.068739288348558
126,3.044,0.0642218999696585
127,3.052,0.0623929977919664
128,3.059,0.0509074921160599
129,3.067,0.0575738405537477
130,3.074,0.0535411112519366
131,3.082,0.0502125092885369
132,3.090,0.0539983367963596
133,3.097,0.0212152652612285
134,3.105,0.0455488087354221
135,3.112,0.091692010678594
136,3.120,0.0808374762539914
137,3.127,0.0673401781826236
138,3.135,0.0398609229627996
139,3.142,0.0196515538993017
140,3.150,0.0419275824235917
141,3.157,0.0674224787806197
142,3.165,0.0266745382616395
143,3.172,0.0426774323164454
144,3.180,0.0486030753721679
145,3.188,0.0598416792540859
146,3.195,0.0425585536748955
147,3.203,0.052279168749329
148,3.210,0.0190480161806633
149,3.218,0.0356727369758846
150,3.225,0.0275524113069317
151,3.233,0.0287229087006546
152,3.240,0.187023536690795
153,3.248,0.728460881885657
154,3.255,1.30134620002593
155,3.263,0.94578932766081
156,3.270,0.207287772819624
157,3.278,0.0317405972938466
158,3.285,0.0371724367615922
159,3.293,0.0363311417598538
160,3.301,0.0369621130111576
161,3.308,0.0537057124479289
162,3.316,0.0386172694819689
163,3.323,0.0142014254097793
164,3.331,0.0534679551648289
165,3.338,0.0209226409127978
166,3.346,0.0134698645387024
167,3.353,0.0165698537298905
168,3.361,0.0163320964467906
169,3.368,0.0374924946426883
170,3.376,0.0273329430456086
171,3.383,0.0119701647529949
172,3.391,0.0265007925547587
173,3.398,0.0215810456967669
174,3.406,0.0264642145112049
175,3.414,0.0445429125376914
176,3.421,0.0224040516767284
177,3.429,0.0147958186175292
178,3.436,0.0216267682512092
179,3.444,0.0271500528278394
180,3.451,0.0280736484275739
181,3.459,0
182,3.466,0.0445520570485799
183,3.474,0.054601874514998
184,3.481,0.0707968032984617
185,3.489,0.0676236580201658
186,3.496,0.0282748276671201
187,3.504,0.0266379602180856
188,3.512,0.0303414871279121
189,3.519,0.0138356449742408
190,3.527,0.0294636140826199
191,3.534,0.0396871772559188
192,3.542,0.0132138182338255
193,3.549,0.0307712791396698
194,3.557,0.0433084035677492
195,3.564,0.0383520786662036
196,3.572,0.0222851730351784
197,3.579,0.0265556596200895
198,3.587,0.0291344116906353
199,3.594,0.0713911965062116
200,3.602,0.0137441998653562
201,3.609,0.0129303383962832
202,3.617,0.0347399968652617
203,3.625,0.0373004599140306
204,3.632,0.0393396858421573
205,3.640,0.00799230251651453
206,3.647,0.0484018961326217
207,3.655,0.0157011251954868
208,3.662,0.0149238417699676
209,3.670,0.0145123387799869
210,3.677,0.0165058421536713
211,3.685,0.0283205502215624
212,3.692,0.00986692724864894
213,3.700,0.0288326428313161
214,3.707,0.0460883348778412
215,3.715,0.0334414763191003
216,3.723,0.0288600763639815
217,3.730,0.0299848512032622
218,3.738,0.0384343792641997
219,3.745,0.0307804236505582
220,3.753,0.0253668732045896
221,3.760,0.0437656291121722
222,3.768,0.0323624240342619
223,3.775,0.040583339322988
224,3.783,0.0275341222851547
225,3.790,0.0304603657694621
226,3.798,0.0451464502563298
227,3.805,0.0366877776845038
228,3.813,0.0351332108334655
229,3.820,0.0349777541483616
230,3.828,0.0215901902076554
231,3.836,0.0423665189462378
232,3.843,0.0245621562464051
233,3.851,0.0447623807990144
234,3.858,0.051483596302033
235,3.866,0.0349411761048078
236,3.873,0.0224680632529476
237,3.881,0.0402907149745572
238,3.888,0.0366237661082845
239,3.896,0.0181427096027058
240,3.903,0.0450641496583336
241,3.911,0.038480101818642
242,3.918,0.0468564737924719
243,3.926,0.0398609229627996
244,3.934,0.039312252309492
245,3.941,0.0311187705534313
246,3.949,0.0571714820746554
247,3.956,0.056449065714467
248,3.964,0.108755667996461
249,3.971,0.0560832852789286
250,3.979,0.0399615125825726
251,3.986,0.0656941662227007
252,3.994,0.0372181593160345
253,4.001,0.0458139995511874
254,4.009,0.0508526250507292
255,4.016,0.0262630352716587
256,4.024,0.0500570526034331
257,4.031,0.0297653829419391
258,4.039,0.0726531390088192
259,4.047,0.0550408110376441
260,4.054,0.044296010743703
261,4.062,0.0649443163298469
262,4.069,0.0400529576914573
263,4.077,0.121402526555202
264,4.084,0.393223112714693
265,4.092,0.818525169626105
266,4.099,0.636951761424832
267,4.107,0.179707927980027
268,4.114,0.090997027851071
269,4.122,0.0591192628938975
270,4.129,0.052855272935302
271,4.137,0.0305792444110121
272,4.144,0.0344473725168309
273,4.152,0.0418818598691494
274,4.160,0.0446252131356875
275,4.167,0.0520505559771175
276,4.175,0.0375473617080191
277,4.182,0.0418910043800378
278,4.190,0.0497004166787831
279,4.197,0.0338895573526348
280,4.205,0.0381600439375459
281,4.212,0.0543092501665673
282,4.220,0.046143201943172
283,4.227,0.0602166042005128
284,4.235,0.0665994728006583
285,4.242,0.0563667651164709
286,4.250,0.0428237444906608
287,4.258,0.0464906933569335
288,4.265,0.0695622943285195
289,4.273,0.0621643850197549
290,4.280,0.0626673331186202
291,4.288,0.0692788144909772
292,4.295,0.0650174724169546
293,4.303,0.0514470182584791
294,4.310,0.0341730371901771
295,4.318,0.0511086713556061
296,4.325,0.080115059893803
297,4.333,0.0777557760845801
298,4.340,0.0724976823237153
299,4.348,0.0945999651411245
300,4.355,0.0805174183728952
301,4.363,0.0842026562609448
302,4.371,0.0652918077436084
303,4.378,0.0714826416150962
304,4.386,0.0621003734435357
305,4.393,0.061332234528905
306,4.401,0.116336467522995
307,4.408,0.134753512452355
308,4.416,0.218288619418442
309,4.423,0.149969978570753
310,4.431,0.0808557652757683
311,4.438,0.0924601495932247
312,4.446,0.0759634519504419
313,4.453,0.111334420067007
314,4.461,0.0746923649369459
315,4.469,0.102482533526978
316,4.476,0.120890433945449
317,4.484,0.094947456554886
318,4.491,0.100735931947282
319,4.499,0.100516463685958
320,4.506,0.0835716850096411
321,4.514,0.0895796286633597
322,4.521,0.109871298324854
323,4.529,0.0978919890609703
324,4.536,0.118512861114449
325,4.544,0.121100757695883
326,4.551,0.0986418389538241
327,4.559,0.0939232713353784
328,4.566,0.103918221736466
329,4.574,0.106579274405008
330,4.582,0.11874147388666
331,4.589,0.121795740523406
332,4.597,0.12183231856696
333,4.604,0.11802820203736
334,4.612,0.132183904892697
335,4.619,0.146202440084707
336,4.627,0.128324921297767
337,4.634,0.0932557220405208
338,4.642,0.112440905884511
339,4.649,0.13252225179557
340,4.657,0.127419614719809
341,4.664,0.139609247734127
342,4.672,0.118375693451122
343,4.680,0.11191052425298
344,4.687,0.121814029545183
345,4.695,0.111901379742092
346,4.702,0.144830763451438
347,4.710,0.118842063506433
348,4.717,0.126779498957617
349,4.725,0.138374738764185
350,4.732,0.112532350993396
351,4.740,0.142498913174881
352,4.747,0.156672905051995
353,4.755,0.152567019663076
354,4.762,0.135530795877874
355,4.770,0.140706589040743
356,4.777,0.133756760765513
357,4.785,0.149092105525461
358,4.793,0.16602773969089
359,4.800,0.150354048028069
360,4.808,0.154011852383453
361,4.815,0.152109794118653
362,4.823,0.171889371170393
363,4.830,0.218910446158857
364,4.838,0.280041501448216
365,4.845,0.258387299664342
366,4.853,0.162379079846394
367,4.860,0.159233368100764
368,4.868,0.159580859514525
369,4.875,0.174980215850693
370,4.883,0.163833057077659
371,4.891,0.153161412870826
372,4.898,0.171770492528843
373,4.906,0.155301228418726
374,4.913,0.136353801857835
375,4.921,0.160513599625148
376,4.928,0.144839907962327
377,4.936,0.1454160121483
378,4.943,0.171514446223966
379,4.951,0.163000906586809
380,4.958,0.162635126151271
381,4.966,0.159114489459214
382,4.973,0.163732467457886
383,4.981,0.175675198678216
384,4.988,0.166009450669113
385,4.996,0.18461853032713
386,5.004,0.19810668388761
387,5.011,0.182231812985242
388,5.019,0.185532981415976
389,5.026,0.168350445456559
390,5.034,0.211366224675877
391,5.041,0.157404465923072
392,5.049,0.187581351854991
393,5.056,0.168615636272324
394,5.064,0.182378125159457
395,5.071,0.173379926445212
396,5.079,0.181481963092388
397,5.086,0.170426249428239
398,5.094,0.173142169162112
399,5.101,0.183438888422519
400,5.109,0.194439735021337
401,5.117,0.214859427835269
402,5.124,0.244560799200989
403,5.132,0.238150497068178
404,5.139,0.250166384375616
405,5.147,0.332009756827338
406,5.154,0.336719179934895
407,5.162,0.352557472793708
408,5.169,0.394265586955977
409,5.177,0.391558811732993
410,5.184,0.409463764052599
411,5.192,0.372538229084995
412,5.199,0.402001843167615
413,5.207,0.377585999095425
414,5.215,0.420126263748544
415,5.222,0.377357386323213
416,5.230,0.39507944842505
417,5.237,0.426911490827781
418,5.245,0.411310955252068
419,5.252,0.387169446506532
420,5.260,0.42335427609217
421,5.267,0.410451371228552
422,5.275,0.429764578224981
423,5.282,0.464632598242681
424,5.290,0.41331360313664
425,5.297,0.440573390095141
426,5.305,0.472204253258326
427,5.312,0.426993791425777
428,5.320,0.421781420219355
429,5.328,0.478102462781383
430,5.335,0.476438161799684
431,5.343,0.42371091201682
432,5.350,0.454674225885148
433,5.358,0.440317343790264
434,5.365,0.459383648992705
435,5.373,0.4711160564626
436,5.380,0.489057586825759
437,5.388,0.468994529936477
438,5.395,0.463315788674743
439,5.403,0.52997927305162
440,5.410,0.473319883586719
441,5.418,0.480507469145049
442,5.426,0.489743425142394
443,5.433,0.537669806708816
444,5.441,0.564417501057563
445,5.448,0.548222572274099
446,5.456,0.460151787907335
447,5.463,0.460746181115085
448,5.471,0.479437561371099
449,5.478,0.478888890717791
450,5.486,0.490100061067044
451,5.493,0.477407479953861
452,5.501,0.488591216770448
453,5.508,0.511918864046911
454,5.516,0.514607350248118
455,5.523,0.500561381523443
456,5.531,0.498147230648889
457,5.539,0.501805035004273
458,5.546,0.477636092726072
