#"+EI TIC Scan ACN-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.100785416774552
1,2.102,0.109478158971358
2,2.110,0.0980867546280232
3,2.117,0.0754431889513722
4,2.125,0.0879419067553216
5,2.132,0.0842950660167687
6,2.140,0.0744154429250527
7,2.148,0.0654508453277373
8,2.155,0.0607431054652417
9,2.163,0.0745082715983977
10,2.170,0.0724991938824313
11,2.178,0.0670687164917498
12,2.185,0.0569901748142946
13,2.193,0.0582168394263533
14,2.200,0.0614857348520016
15,2.208,0.0580775964163358
16,2.215,0.0583361905777968
17,2.223,0.0546959804587686
18,2.230,0.0586411990759303
19,2.238,0.0375823514656686
20,2.246,0.0697143336820818
21,2.253,0.0456584460466821
22,2.261,0.0609884383876535
23,2.268,0.0723069059162167
24,2.276,0.0432382699201879
25,2.283,0.0514403462721696
26,2.291,0.0531377848704778
27,2.298,0.0441466647950638
28,2.306,0.0537013875300723
29,2.313,0.0585483704025854
30,2.321,0.0499020425424527
31,2.328,0.049988240596273
32,2.336,0.0313230466344069
33,2.343,0.0322380721288075
34,2.351,0.0655237821425083
35,2.359,0.0440074217850463
36,2.366,0.0343863928547914
37,2.374,0.0412689759213693
38,2.381,0.065623241435378
39,2.389,0.213704867279199
40,2.396,0.289041966318177
41,2.404,0.170261048153747
42,2.411,0.063216326547933
43,2.419,0.0567116887942596
44,2.426,0.0755028645270939
45,2.434,0.0562276535689608
46,2.441,0.0501937898015369
47,2.449,0.0447566817913308
48,2.457,0.0572288771171817
49,2.464,0.048158189607472
50,2.472,0.0427807571729876
51,2.479,0.0442328628488841
52,2.487,0.0445047182493944
53,2.494,0.0517453547703031
54,2.502,0.0533499646952663
55,2.509,0.0559624287879751
56,2.517,0.0542318370920437
57,2.524,0.0554120873674299
58,2.532,0.0459767157838649
59,2.539,0.0494378991757278
60,2.547,0.0482046039441445
61,2.554,0.0570498503900164
62,2.562,0.0264760637618939
63,2.570,0.0498489975862556
64,2.577,0.0509165273297229
65,2.585,0.0369192895132044
66,2.592,0.0546429355025715
67,2.600,0.0336106103704083
68,2.607,0.0419254072543089
69,2.615,0.0441267729364899
70,2.622,0.0429531532806283
71,2.630,0.0482709101393909
72,2.637,0.036242966321691
73,2.645,0.0372574511089612
74,2.652,0.0499219344010266
75,2.660,0.0443721058589016
76,2.667,0.047176857917825
77,2.675,0.0312036954829634
78,2.683,0.0229750966528832
79,2.690,0.031561748937294
80,2.698,0.0364219930488563
81,2.705,0.0512149052083317
82,2.713,0.0584688029682897
83,2.720,0.0704768549274156
84,2.728,0.051228166447381
85,2.735,0.0531576767290517
86,2.743,0.0483305857151126
87,2.750,0.0425752079677237
88,2.758,0.0596755757217744
89,2.765,0.0826175192770344
90,2.773,0.0414148495509115
91,2.781,0.0362960112778881
92,2.788,0.0560088431246476
93,2.796,0.0453998518852211
94,2.803,0.0653845391324909
95,2.811,0.0472100110154482
96,2.818,0.0387427098824809
97,2.826,0.0426083610653469
98,2.833,0.0581903169482547
99,2.841,0.0531178930119039
100,2.848,0.052746578318524
101,2.856,0.0440074217850463
102,2.863,0.041017012379433
103,2.871,0.0470044618101843
104,2.878,0.0677251478246893
105,2.886,0.0598943861660876
106,2.894,0.0697275949211311
107,2.901,0.0521233000832076
108,2.909,0.0534162708905128
109,2.916,0.0538870448767623
110,2.924,0.0659149886944622
111,2.931,0.0379868192566717
112,2.939,0.165917992365107
113,2.946,2.39879900914674
114,2.954,18.2051748404855
115,2.961,57.0680647018505
116,2.969,100
117,2.976,70.8524331091499
118,2.984,4.70175904368431
119,2.992,0.245054436391704
120,2.999,0.157218619548777
121,3.007,0.116274543984115
122,3.014,0.103112764227702
123,3.022,0.0860057658541262
124,3.029,0.100022895529219
125,3.037,0.0978148992275129
126,3.044,0.0978480523251361
127,3.052,0.0621289049458918
128,3.059,0.0631168672550634
129,3.067,0.0717897175932946
130,3.074,0.0780954367612288
131,3.082,0.0603054845766154
132,3.089,0.0695949825306383
133,3.097,0.0552662137378878
134,3.105,0.060053521034679
135,3.112,0.0631102366355388
136,3.120,0.088266807112029
137,3.127,0.0810858461668422
138,3.135,0.0819080429878977
139,3.142,0.0370651631427466
140,3.150,0.0592644773112466
141,3.157,0.0658619437382651
142,3.165,0.0609818077681288
143,3.172,0.0536284507153013
144,3.180,0.039777086528325
145,3.187,0.054059440984403
146,3.195,0.0465204265848855
147,3.203,0.0635743800022637
148,3.210,0.0562541760470594
149,3.218,0.0358119760525893
150,3.225,0.0589793606716871
151,3.233,0.0364418849074302
152,3.240,0.0461557425110302
153,3.248,0.0565790764037668
