#"+EI TIC Scan ACN-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.182360004437042
1,2.102,0.168737151402729
2,2.110,0.155650710857879
3,2.117,0.144831372155293
4,2.125,0.147898032236569
5,2.132,0.160599875147463
6,2.140,0.126603468503883
7,2.148,0.133850097606831
8,2.155,0.126714799397923
9,2.163,0.141997494852464
10,2.170,0.119205024545426
11,2.178,0.118020868672458
12,2.185,0.0923236741300199
13,2.193,0.114438038082453
14,2.200,0.101634985267886
15,2.208,0.0868785813124414
16,2.215,0.0998941749247201
17,2.223,0.0838018002407986
18,2.230,0.0985784461769781
19,2.238,0.0891456831547046
20,2.245,0.0838625261830021
21,2.253,0.0578414599488121
22,2.261,0.0996006662040699
23,2.268,0.081352520571925
24,2.276,0.089985725355186
25,2.283,0.0851681339403768
26,2.291,0.0690555172757209
27,2.298,0.0593292455327973
28,2.306,0.0596227542534474
29,2.313,0.0611915077603706
30,2.321,0.0777089640397164
31,2.328,0.0840953089614487
32,2.336,0.05792242787175
33,2.343,0.0670313192022716
34,2.351,0.0691466061890261
35,2.359,0.0632055848434526
36,2.366,0.0624465105659091
37,2.374,0.0863016848615084
38,2.381,0.152796591574316
39,2.389,0.346340290367165
40,2.396,0.300836317676026
41,2.404,0.13558078695963
42,2.411,0.0879817692624713
43,2.419,0.0817371182058804
44,2.426,0.0401297268061312
45,2.434,0.0915342368813747
46,2.441,0.0762920253883019
47,2.449,0.0779316258277958
48,2.456,0.0754823461589222
49,2.464,0.079338443488843
50,2.472,0.0844799065954041
51,2.479,0.110703392636939
52,2.487,0.0554225432510402
53,2.494,0.096027956604432
54,2.502,0.0790044508067239
55,2.509,0.0776178751264112
56,2.517,0.067496884759165
57,2.524,0.101149177730259
58,2.532,0.0778708998855923
59,2.539,0.0847531733353197
60,2.547,0.0959469886814941
61,2.554,0.0758467018121431
62,2.562,0.0774660602709025
63,2.570,0.0641063529861375
64,2.577,0.0790651767489274
65,2.585,0.0910180663726451
66,2.592,0.0910484293437469
67,2.600,0.0735593579891454
68,2.607,0.091463389948804
69,2.615,0.0725675009331553
70,2.622,0.0858563612853496
71,2.630,0.0727699207405002
72,2.637,0.0962708603732459
73,2.645,0.068853097468376
74,2.652,0.0674867637687977
75,2.660,0.0508478556050449
76,2.667,0.0607057002227428
77,2.675,0.0547444368964347
78,2.683,0.0587321071011297
79,2.690,0.0409191640547764
80,2.698,0.0645111926008273
81,2.705,0.0827289752618705
82,2.713,0.0853503117669873
83,2.720,0.0871619690427243
84,2.728,0.111857185538805
85,2.735,0.0781542876158752
86,2.743,0.0673045859421873
87,2.750,0.0730431874804159
88,2.758,0.0895100388079255
89,2.765,0.112302509114964
90,2.773,0.0774964232420042
91,2.781,0.0717578217037756
92,2.788,0.0643694987356859
93,2.796,0.098123001610452
94,2.803,0.0691364851986588
95,2.811,0.0992869155026853
96,2.818,0.0783668284135874
97,2.826,0.0606550952709065
98,2.833,0.0645111926008273
99,2.841,0.0600377148585045
100,2.848,0.0871214850812553
101,2.856,0.0922427062070819
102,2.863,0.0805023573810763
103,2.871,0.0801380017278555
104,2.878,0.0925058519566303
105,2.886,0.0804517524292401
106,2.894,0.0579325488621173
107,2.901,0.0632966737567578
108,2.909,0.0915443578717419
109,2.916,0.0578617019295466
110,2.924,0.0531858043798788
111,2.931,0.157067649509294
112,2.939,3.188344748461
113,2.946,18.8832985036318
114,2.954,45.7951333420239
115,2.961,74.4189337010357
116,2.969,100
117,2.976,44.0149422253386
118,2.984,1.69468899006281
119,2.992,0.263368411336481
120,2.999,0.211245310945163
121,3.007,0.160640359108932
122,3.014,0.156693172865706
123,3.022,0.163899318007185
124,3.029,0.14197725287173
125,3.037,0.149456664753125
126,3.044,0.130327992959029
127,3.052,0.10978238251352
128,3.059,0.125368707679079
129,3.067,0.109013187245609
130,3.074,0.107859394343743
131,3.082,0.11187742751954
132,3.089,0.113375334093892
133,3.097,0.0889129003762579
134,3.105,0.101594501306417
135,3.112,0.117798206884379
