#"+EI TIC Scan ACN-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.105961490318157
1,2.102,0.0754234105776452
2,2.110,0.0838861798352073
3,2.117,0.0938115659660618
4,2.125,0.0921176515407138
5,2.132,0.0738383420591469
6,2.140,0.0580080654816976
7,2.147,0.0587427753529329
8,2.155,0.0616339947536273
9,2.162,0.055171269034428
10,2.170,0.0688926561666648
11,2.177,0.0523344725871584
12,2.185,0.0631850489262351
13,2.193,0.0358035004843643
14,2.200,0.0643415366865129
15,2.208,0.0529127164672972
16,2.215,0.0703416673016011
17,2.223,0.0644163682474721
18,2.230,0.0641986764337727
19,2.238,0.0447832877994623
20,2.245,0.0486405146234476
21,2.253,0.0461438616350832
22,2.260,0.03266057492408
23,2.268,0.0385586625014966
24,2.275,0.0377423182001241
25,2.283,0.0304904596562646
26,2.290,0.0401777453658855
27,2.298,0.0372933288343692
28,2.306,0.0564434055707335
29,2.313,0.035395328333678
30,2.321,0.0531168025426404
31,2.328,0.0458581411296028
32,2.336,0.0415791364165751
33,2.343,0.0122179530438758
34,2.351,0.0428580758220587
35,2.358,0.0359259521295702
36,2.366,0.0424499036713724
37,2.373,0.0367014792158741
38,2.381,0.0468377542912499
39,2.388,0.234120742764468
40,2.396,0.31895932428461
41,2.404,0.16890163595398
42,2.411,0.0435723770857597
43,2.419,0.0205106505719852
44,2.426,0.0437560545535685
45,2.434,0.0368579452069705
46,2.441,0.0464840050939884
47,2.449,0.0507834184145505
48,2.456,0.0314836785562679
49,2.464,0.0440553807974051
50,2.471,0.0481166936967335
51,2.479,0.0449737681364492
52,2.486,0.038388590772044
53,2.494,0.0378443612377957
54,2.501,0.0490282781665995
55,2.509,0.0357150631850489
56,2.517,0.0112179312746944
57,2.524,0.0493956331022172
58,2.532,0.0563821797481306
59,2.539,0.0264019352802238
60,2.547,0.0380348415747826
61,2.554,0.0370416226747793
62,2.562,0.0413614446028757
63,2.569,0.0631034144960979
64,2.577,0.0480350592665963
65,2.584,0.040599523254928
66,2.592,0.0485724859316665
67,2.599,0.0368783538145048
68,2.607,0.0310550977980473
69,2.615,0.0386607055391682
70,2.622,0.0332048044583283
71,2.630,0.0341163889281944
72,2.637,0.0429124987754835
73,2.645,0.0275380144329672
74,2.652,0.0452798972494639
75,2.660,0.0373137374419035
76,2.667,0.0237420134315849
77,2.675,0.0339191057220293
78,2.682,0.0446472304159002
79,2.690,0.028299935780915
80,2.697,0.0230277121678839
81,2.705,0.0480010449207058
82,2.712,0.0410757240973953
83,2.720,0.0338782885069607
84,2.728,0.0643891567707596
85,2.735,0.0357558804001176
86,2.743,0.0455860263624786
87,2.750,0.0495861134392041
88,2.758,0.0572665527412842
89,2.765,0.0325925462322989
90,2.773,0.0538174980679852
91,2.780,0.0479058047522123
92,2.788,0.0517018057535946
93,2.795,0.0366810706083398
94,2.803,0.0569400150207351
95,2.810,0.0514092823789361
96,2.818,0.0514841139398953
97,2.826,0.043266247972745
98,2.833,0.0399260392062956
99,2.841,0.0384294079871126
100,2.848,0.0509943073590718
101,2.856,0.0352864824268283
102,2.863,0.0369599882446421
103,2.871,0.0412457958268479
104,2.878,0.0557699215221012
105,2.886,0.0650762465577482
106,2.893,0.0393954154104035
107,2.901,0.0568379719830636
108,2.908,0.0555590325775799
109,2.916,0.0400757023282139
110,2.923,0.0353204967727189
111,2.931,0.0480690736124868
112,2.939,0.17920117988963
113,2.946,3.79479689353782
114,2.954,22.7198075060137
115,2.961,53.6237863681386
116,2.969,87.6661056567218
117,2.976,100
118,2.984,15.7039609025503
119,2.991,0.341544849955917
120,2.999,0.148071250530624
121,3.006,0.104029475471575
122,3.014,0.0892536436167318
123,3.021,0.0768656188434034
124,3.029,0.088682202605771
125,3.036,0.0840018286112351
126,3.044,0.0821378424564344
127,3.052,0.0731104350570897
128,3.059,0.0644163682474721
129,3.067,0.0570488609275848
130,3.074,0.0623823103632188
131,3.082,0.0374429919562875
132,3.089,0.0631986546645913
133,3.097,0.0572053269186812
134,3.104,0.0334769192254525
135,3.112,0.0603550553481436
136,3.119,0.0747907437440815
137,3.127,0.0786275619605325
138,3.134,0.0612598369488315
139,3.142,0.0534025230481208
140,3.150,0.0681579462954296
141,3.157,0.0501779630576992
142,3.165,0.0594774852241681
143,3.172,0.0364497730562842
144,3.180,0.045286700118642
145,3.187,0.0377423182001241
146,3.195,0.0242522286199427
147,3.202,0.0367831136460113
148,3.210,0.0405791146473937
149,3.217,0.0275380144329672
150,3.225,0.0457969153069999
151,3.232,0.0325109118021617
152,3.240,0.0307557715542107
153,3.247,0.0493752244946829
154,3.255,0.0388988059604019
155,3.263,0.0499738769823561
156,3.270,0.032143556866544
157,3.278,0.0272727025350212
158,3.285,0.03370141390833
159,3.293,0.033245621673397
160,3.300,0.0411369499199983
161,3.308,0.0375994579473839
162,3.315,0.0533344943563397
