#"+EI TIC Scan ACN-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.140514914935948
1,2.102,0.127960181797599
2,2.110,0.144328009688742
3,2.117,0.105611649273443
4,2.125,0.0993303272117868
5,2.132,0.111347113372563
6,2.140,0.0937847267518105
7,2.147,0.0922974615785215
8,2.155,0.107233401191125
9,2.163,0.0975819995346759
10,2.170,0.111315469432706
11,2.178,0.099543923805823
12,2.185,0.0716814347615483
13,2.193,0.0794500219964937
14,2.200,0.0757635030031286
15,2.208,0.0826618818920007
16,2.215,0.0685328627457557
17,2.223,0.0833422265989307
18,2.230,0.0642213759402107
19,2.238,0.0695217358662936
20,2.245,0.0497205405006435
21,2.253,0.056444877720301
22,2.260,0.0504008852075736
23,2.268,0.0619351012855271
24,2.276,0.0703840332274026
25,2.283,0.0663336089256795
26,2.291,0.0713570843780119
27,2.298,0.0783899500112771
28,2.306,0.0600997527738089
29,2.313,0.0452745669507053
30,2.321,0.0756052833038425
31,2.328,0.0589605709389493
32,2.336,0.0429724703260932
33,2.343,0.057647347434875
34,2.351,0.0362481331064357
35,2.358,0.0596250936759507
36,2.366,0.0541823360205103
37,2.374,0.046208063176493
38,2.381,0.151764335555186
39,2.389,0.35904796358985
40,2.396,0.278901774916498
41,2.404,0.099623033655466
42,2.411,0.0675756335650751
43,2.419,0.0489057090493203
44,2.426,0.0378303300992963
45,2.434,0.0515400670424332
46,2.441,0.0548626807274404
47,2.449,0.0495702317863218
48,2.456,0.0536127451030805
49,2.464,0.0609462281649893
50,2.471,0.0565398095398726
51,2.479,0.0601946845933805
52,2.487,0.0460893984020285
53,2.494,0.0521333909147559
54,2.502,0.0587944402546989
55,2.509,0.0608671183153463
56,2.517,0.0784453269060272
57,2.524,0.062061677044956
58,2.532,0.0502980424030376
59,2.539,0.0666184043843944
60,2.547,0.0525447621328996
61,2.554,0.0516587318168977
62,2.562,0.0396182127012288
63,2.569,0.0627736656917433
64,2.577,0.0793867341167793
65,2.584,0.0540874042009387
66,2.592,0.0579321428935899
67,2.600,0.0654475786096776
68,2.607,0.0563895008255508
69,2.615,0.0295396178567069
70,2.622,0.0388587581446557
71,2.630,0.0632720577444943
72,2.637,0.0347371349782539
73,2.645,0.042418701378592
74,2.652,0.0588656391193776
75,2.660,0.0484864268462123
76,2.667,0.0414931161377685
77,2.675,0.0614525312027047
78,2.682,0.0339064815570021
79,2.690,0.0599336220895585
80,2.698,0.0591583455630568
81,2.705,0.0488107772297487
82,2.713,0.085256684960292
83,2.720,0.0810717739141758
84,2.728,0.0757002151234141
85,2.735,0.0530906200954365
86,2.743,0.0457966919583493
87,2.750,0.0708586923252608
88,2.758,0.0697590654152227
89,2.765,0.0526476049374356
90,2.773,0.0787143003948135
91,2.780,0.0663494308956081
92,2.788,0.0366753262945081
93,2.795,0.0665234725648228
94,2.803,0.0970598745270319
95,2.811,0.0775830295449182
96,2.818,0.0594985179165219
97,2.826,0.0600522868640231
98,2.833,0.0383920100317618
99,2.841,0.0710169120245468
