#"+EI TIC Scan ACN-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.133987730645631
1,2.102,0.119668041719614
2,2.110,0.112287109422832
3,2.117,0.132814264450981
4,2.125,0.096011643505732
5,2.132,0.117567707298756
6,2.140,0.0848552112783367
7,2.148,0.0877973801431833
8,2.155,0.0834351471152459
9,2.163,0.0800848160957385
10,2.170,0.0822446741641519
11,2.178,0.0758501337411327
12,2.185,0.0629675157346511
13,2.193,0.0737157858073856
14,2.200,0.0752719040220299
15,2.208,0.0639709143648589
16,2.215,0.0615474515715604
17,2.223,0.0691069548110073
18,2.230,0.0761647587353504
19,2.238,0.0464454518491106
20,2.245,0.0624573130413251
21,2.253,0.0686817858999023
22,2.261,0.0584012016293833
23,2.268,0.0323043338657582
24,2.276,0.0379930938963431
25,2.283,0.0677294075390271
26,2.291,0.0597192252538088
27,2.298,0.0372447966127983
28,2.306,0.0615559549497825
29,2.313,0.0565984854462981
30,2.321,0.0528995159196846
31,2.328,0.0531971341574581
32,2.336,0.0514964585130381
33,2.343,0.0599148029529171
34,2.351,0.0451784484940177
35,2.359,0.0574233131338418
36,2.366,0.0481376241153085
37,2.374,0.0636647927488633
38,2.381,0.137873774493131
39,2.389,0.390662202279722
40,2.396,0.25982922495449
41,2.404,0.108817731108215
42,2.411,0.0584437185204938
43,2.419,0.0362669081172568
44,2.426,0.0618620765657781
45,2.434,0.048095107224198
46,2.441,0.045374026193126
47,2.449,0.0410032897869666
48,2.456,0.0774657756033317
49,2.464,0.0662073028372712
50,2.472,0.0488519078859649
51,2.479,0.0445321917491381
52,2.487,0.0379760871398989
53,2.494,0.0509862558197121
54,2.502,0.0347703135501672
55,2.509,0.0560967861311942
56,2.517,0.0508672085246027
57,2.524,0.0647617285395142
58,2.532,0.0442770904024751
59,2.539,0.061938606969777
60,2.547,0.0371172459394668
61,2.554,0.0440730093251447
62,2.562,0.045629127539789
63,2.570,0.0594386137724795
64,2.577,0.0438519214913701
65,2.585,0.0353400398910479
66,2.592,0.0528740057850183
67,2.600,0.0760627181966852
68,2.607,0.0487243572126334
69,2.615,0.0574063063773976
70,2.622,0.0474743606139847
71,2.630,0.0567260361196296
72,2.637,0.040867235735413
73,2.645,0.070782120320761
