#"+EI TIC Scan ACN-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.118837292897121
1,2.102,0.107009397946028
2,2.110,0.119575333005301
3,2.117,0.0998151113262908
4,2.125,0.103255020004417
5,2.133,0.1109948145302
6,2.140,0.0911062380497669
7,2.148,0.0922293425622147
8,2.155,0.0731879077711709
9,2.163,0.0797725090841506
10,2.170,0.0842585093938708
11,2.178,0.0810175506579499
12,2.185,0.072212411280359
13,2.193,0.082987796859787
14,2.200,0.066205406573781
15,2.208,0.0590752973547551
16,2.215,0.071666903374313
17,2.223,0.0721739048399323
18,2.230,0.0664685339166974
19,2.238,0.0662695839744923
20,2.246,0.0465221977756241
21,2.253,0.0574708623369726
22,2.261,0.0723536015619239
23,2.268,0.045238649761398
24,2.276,0.0530362039478215
25,2.283,0.0777637564418868
26,2.291,0.0570280382720646
27,2.298,0.045630131905737
28,2.306,0.0484667730171766
29,2.313,0.0479020118909172
30,2.321,0.0391353789537531
31,2.328,0.0540181181787044
32,2.336,0.0530297862077503
33,2.344,0.0385513646072802
34,2.351,0.0440385323680967
35,2.359,0.0284755126956055
36,2.366,0.0466698057972601
37,2.374,0.037409006874619
38,2.381,0.0870694795450259
39,2.389,0.227842608005271
40,2.396,0.3354296025577
41,2.404,0.190356588249798
42,2.411,0.0632596638811322
43,2.419,0.0637730830868226
44,2.426,0.0454247642234608
45,2.434,0.0506616401215032
46,2.441,0.0439486840071008
47,2.449,0.0444877741730758
48,2.457,0.0632468284009899
49,2.464,0.031600952110246
50,2.472,0.0489545212625825
51,2.479,0.0432555680794188
52,2.487,0.0446803063752097
53,2.494,0.047157554042666
54,2.502,0.0378775018998115
55,2.509,0.0542684100414785
56,2.517,0.0527602411247629
57,2.524,0.0413559170183642
58,2.532,0.0444364322525067
59,2.539,0.0653967713248186
60,2.547,0.0360484459795393
61,2.554,0.041740981422632
62,2.562,0.0426073763322346
63,2.570,0.0302275557350241
64,2.577,0.0570408737522068
65,2.585,0.049763156511545
66,2.592,0.0725140450637022
67,2.600,0.0559370224599724
68,2.607,0.0548075002074534
69,2.615,0.0546278034854618
70,2.622,0.0513547560491853
71,2.630,0.0592678295568891
72,2.637,0.0448856740574859
73,2.645,0.0353617477919284
74,2.652,0.0557894144383364
75,2.660,0.0607182388129645
76,2.668,0.0368955876689286
77,2.675,0.0459510189092935
78,2.683,0.052670392763767
79,2.690,0.0429924407365024
80,2.698,0.0263127342916346
81,2.705,0.0531902297095286
82,2.713,0.0718080936558778
83,2.720,0.0573040010951232
84,2.728,0.0521441380779343
85,2.735,0.0630350429786426
86,2.743,0.0394049240367405
87,2.750,0.0661155582127852
88,2.758,0.0605000356505461
89,2.765,0.0787264174525564
90,2.773,0.0638950201481741
91,2.781,0.0534533570524449
92,2.788,0.0419463491049082
93,2.796,0.0653775181046052
94,2.803,0.0511172996665535
95,2.811,0.0695105427104132
96,2.818,0.0486143810388126
97,2.826,0.0361126233802506
98,2.833,0.0590432086543995
99,2.841,0.0490315341434361
100,2.848,0.0553016661929305
101,2.856,0.0454119287433186
102,2.863,0.0605128711306884
103,2.871,0.0680729689344799
104,2.879,0.061135391917588
105,2.886,0.064973200480124
106,2.894,0.0742660881031208
107,2.901,0.0976266619620353
108,2.909,0.0775006290989705
109,2.916,0.0784889610699245
110,2.924,0.0528372540056164
111,2.931,0.0521826445183611
112,2.939,0.170699050411926
113,2.946,3.09003916040814
114,2.954,23.5347192357447
115,2.961,67.5234435231493
116,2.969,100
117,2.976,82.311026916066
118,2.984,6.63364568260335
119,2.992,0.255156509748002
120,2.999,0.172746309494616
121,3.007,0.132840801732328
122,3.014,0.103877540791316
123,3.022,0.114248608746263
124,3.029,0.119190268601033
125,3.037,0.104897961462626
126,3.044,0.109640671375191
127,3.052,0.0704796214611538
128,3.059,0.0880963179564067
129,3.067,0.0922678490026415
130,3.074,0.0864597942382685
131,3.082,0.0831354048814229
132,3.090,0.0561488078823197
133,3.097,0.0758641053808322
134,3.105,0.0787970125933388
135,3.112,0.0874352907290803
136,3.120,0.11059691464579
137,3.127,0.0685799704000992
138,3.135,0.0714166115115389
139,3.142,0.0583565104667885
140,3.150,0.0517911623740222
141,3.157,0.0868833650829631
142,3.165,0.0659615324510781
143,3.172,0.0660963049925718
144,3.180,0.0530105329875369
145,3.187,0.0528693427059721
146,3.195,0.061526874061927
147,3.203,0.0428640859350798
148,3.210,0.065711240588304
149,3.218,0.0450332820791219
150,3.225,0.0347905689255978
151,3.233,0.0493010792264236
152,3.240,0.0535175344531562
153,3.248,0.047106212122097
154,3.255,0.0670846369635259
155,3.263,0.0564825303660185
156,3.270,0.0358751669976188
157,3.278,0.039084037033184
158,3.285,0.0545443728645371
159,3.293,0.060102135766136
160,3.300,0.0446546354149252
161,3.308,0.0665583822776932
162,3.316,0.045829081847942
163,3.323,0.0567584931890771
164,3.331,0.0400787867442092
165,3.338,0.0392765692353179
166,3.346,0.0351050381890832
167,3.353,0.01368262183165
168,3.361,0.0463489187937036
169,3.368,0.0463360833135613
170,3.376,0.0355286090337778
171,3.383,0.0485181149377457
172,3.391,0.0507386530023568
173,3.398,0.0281867143924046
174,3.406,0.0297911494101872
175,3.414,0.0472730733639464
176,3.421,0.0364784345643051
177,3.429,0.0364142571635938
178,3.436,0.0530554571680349
179,3.444,0.020870490711316
180,3.451,0.0328459936840453
181,3.459,0.0371266263114892
182,3.466,0.0152998923295748
183,3.474,0.0573168365752654
184,3.481,0.0736499850562922
185,3.489,0.0854907154875278
186,3.496,0.0647999214982034
187,3.504,0.0351178736692254
188,3.511,0.020966756812383
189,3.519,0.0169685047480687
190,3.527,0.0434481002815527
191,3.534,0.0314405086084677
192,3.542,0.032338992218426
193,3.549,0.00526254685832691
194,3.557,0.0286359561973838
195,3.564,0.0504626901792982
196,3.572,0.0431785551985652
197,3.579,0.016095692098395
198,3.587,0.0202672231446297
199,3.594,0.0276540419665008
200,3.602,0.0364591813440917
201,3.609,0.0302275557350241
202,3.617,0.00996675033046548
203,3.625,0.0317806488322376
204,3.632,0.0380828695820877
205,3.640,0.0322106374170034
206,3.647,0.0340011868968488
207,3.655,0.0278914983491326
208,3.662,0.0432812390397033
209,3.670,0.0310490264641288
210,3.677,0.0345017706223969
211,3.685,0.0212363018953704
212,3.692,0.0277695612877812
213,3.700,0.0209795922925252
214,3.707,0.0226482047110191
215,3.715,0.0423057425488915
216,3.722,0.0213774921769353
217,3.730,0.0159159953764033
218,3.738,0.036966182809711
219,3.745,0.0341937190989827
220,3.753,0.0254848458224587
221,3.760,0.0236237012018309
222,3.768,0.00556418064167004
223,3.775,0.0346365431638907
224,3.783,0.0179311657587383
225,3.790,0.0216662904801362
226,3.798,0.0211079470939478
227,3.805,0.0212427196354416
228,3.813,0.0510210335654865
229,3.820,0.0175204303941859
230,3.828,0.0303302395761622
231,3.836,0.0214224163574332
232,3.843,0.0366324603260122
233,3.851,0.0202479699244164
