#"+EI TIC Scan ACN-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.11739954969404
1,2.102,0.0910744829013887
2,2.110,0.0958463015779155
3,2.117,0.0901265242918237
4,2.125,0.0841505419761197
5,2.132,0.106305871911833
6,2.140,0.0641729547921101
7,2.148,0.0903122729382925
8,2.155,0.0900368525314594
9,2.163,0.0693354861387955
10,2.170,0.0767718371232889
11,2.178,0.0659151489934729
12,2.185,0.07447880210826
13,2.193,0.0704691933948294
14,2.200,0.0611305200654655
15,2.208,0.0601056999470168
16,2.215,0.070040049970229
17,2.223,0.0661457335201239
18,2.230,0.0473530945980707
19,2.238,0.0551417274982809
20,2.246,0.0550776762408778
21,2.253,0.069156142618067
22,2.261,0.0638142677506531
23,2.268,0.045591685019487
24,2.276,0.0417806352040058
25,2.283,0.0480576584295042
26,2.291,0.0550328403606957
27,2.298,0.0487366017579764
28,2.306,0.0578510956864296
29,2.313,0.0411465277557157
30,2.321,0.0414219481625488
31,2.328,0.0505044164623005
32,2.336,0.0613675097178568
33,2.343,0.0341329150700823
34,2.351,0.0472826382149273
35,2.359,0.0454827978819018
36,2.366,0.0676125073146536
37,2.374,0.0443554957516082
38,2.381,0.0631865654281032
39,2.389,0.206321910346686
40,2.396,0.335948845078968
41,2.404,0.150584506154557
42,2.411,0.0700464550959693
43,2.419,0.0593114643552191
44,2.426,0.0605412484973575
45,2.434,0.0463154642281414
46,2.441,0.046981597305133
47,2.449,0.0674331637939251
48,2.456,0.0627702322549834
49,2.464,0.0510360418987457
50,2.472,0.051798251861842
51,2.479,0.0435612601598105
52,2.487,0.0645188315820866
53,2.494,0.0496781552418012
54,2.502,0.0394683848117559
55,2.509,0.0345812738719036
56,2.517,0.0540336407452082
57,2.524,0.0629816014044135
58,2.532,0.0322369978509522
59,2.539,0.044771828924728
60,2.547,0.0466485307666372
61,2.554,0.0467638230299627
62,2.562,0.060425956234032
63,2.570,0.0227702220067823
64,2.577,0.0429976090946637
65,2.585,0.058888726056359
66,2.592,0.041825471084188
67,2.600,0.0561089014850668
68,2.607,0.0447013725415846
69,2.615,0.0430744706035473
70,2.622,0.0700080243415275
71,2.630,0.0328070540418393
72,2.637,0.0381681442864741
73,2.645,0.0284771890413935
74,2.652,0.0475772739989813
75,2.660,0.0335756691306758
76,2.667,0.0241281086637268
77,2.675,0.0459119413065022
78,2.683,0.0540784766253903
79,2.690,0.0480192276750623
80,2.698,0.0337934434058462
81,2.705,0.0450856800860029
82,2.713,0.0428695065798576
83,2.720,0.0662225950290075
84,2.728,0.0447526135475071
85,2.735,0.04270937843635
86,2.743,0.0507093804859902
87,2.750,0.0425364400413617
88,2.758,0.0440928855962557
89,2.765,0.0675676714344715
90,2.773,0.0641857650435907
91,2.781,0.0443170649971664
92,2.788,0.0538030562185572
93,2.796,0.0508566983780172
94,2.803,0.0768807242608741
95,2.811,0.060951176544737
96,2.818,0.0460464489470486
97,2.826,0.0529063386149146
98,2.833,0.0525604618249382
99,2.841,0.048915945278705
100,2.848,0.0499535756486343
101,2.856,0.0569864037114885
102,2.863,0.0691689528695476
103,2.871,0.0596381257679746
104,2.878,0.0631097039192196
105,2.886,0.0572746343698022
106,2.894,0.0706741574185191
107,2.901,0.0513883238144625
108,2.909,0.0507157856117305
109,2.916,0.0723394901109983
110,2.924,0.0601377255757183
111,2.931,0.0629303603984911
112,2.939,0.224224236790837
113,2.946,3.48010977873109
114,2.954,22.5980394166314
115,2.961,65.6894579828876
116,2.969,100
117,2.976,69.9285047054616
118,2.984,4.66684507076895
119,2.992,0.241082527739319
120,2.999,0.138286664733173
121,3.007,0.130350713940936
122,3.014,0.0987029876580913
123,3.022,0.0728903309246645
124,3.029,0.106863117851239
125,3.037,0.112538059257149
126,3.044,0.0816653531888815
127,3.052,0.0893515040772468
128,3.059,0.0803138716576773
129,3.067,0.0782514211692993
130,3.074,0.0750232377961858
131,3.082,0.0613290789634149
132,3.089,0.0725828848891298
133,3.097,0.0660816822627208
134,3.105,0.0576012957825578
135,3.112,0.0583442903684331
136,3.120,0.0957181990631095
137,3.127,0.0835100294020892
138,3.135,0.0677726354581612
139,3.142,0.0542834406490801
140,3.150,0.0614379661010001
141,3.157,0.0717630287943709
142,3.165,0.0531753538960074
143,3.172,0.0607590227725279
144,3.180,0.0493002528231232
145,3.187,0.0504787959593392
146,3.195,0.0629816014044135
147,3.202,0.0541233125055725
148,3.210,0.0485316377342867
149,3.218,0.0446373212841816
150,3.225,0.0334795922445713
151,3.233,0.070923957322391
152,3.240,0.0515484519579701
153,3.248,0.0592538182235563
154,3.255,0.0509848008928233
155,3.263,0.0524387644358724
156,3.270,0.0431577372381713
157,3.278,0.0434587781479656
158,3.285,0.0339343561721329
159,3.293,0.0532970512850732
160,3.300,0.0458607003005797
161,3.308,0.035305053080558
162,3.316,0.0489543760331468
163,3.323,0.0434651832737059
164,3.331,0.0388214671119852
165,3.338,0.0140720612514488
166,3.346,0.0403458870381776
167,3.353,0.0189335516883399
168,3.361,0.029854291075559
169,3.368,0.0228983245215884
170,3.376,0.036650129486022
171,3.383,0.0383410826814623
172,3.391,0.0201633358304784
173,3.398,0.0214635763557602
174,3.406,0.0295148194113228
175,3.413,0.0172746241216011
176,3.421,0.0202209819621411
177,3.429,0.0122273850382412
178,3.436,0.0418959274673313
179,3.444,0.0262866360382094
180,3.451,0.0427990501967142
181,3.459,0.036041642540693
182,3.466,0.0441633419793991
183,3.474,0.0405124203074255
184,3.481,0.0779375700080243
185,3.489,0.0731081051998348
186,3.496,0.0727045822781956
187,3.504,0.0377774316163155
188,3.511,0.0273178612823984
189,3.519,0.0367462063721265
190,3.527,0.0285028095443547
191,3.534,0.0313659007502708
192,3.542,0.0299823935903651
193,3.549,0.0391801541534422
194,3.557,0.0176589316660193
195,3.564,0.0192666182268357
196,3.572,0.0151673377530409
197,3.579,0.0240128164004013
198,3.587,0.0302706242486788
199,3.594,0.0211369149430046
200,3.602,0.0376621393529901
201,3.609,0.0309431624514107
202,3.617,0.0198430795434631
203,3.624,0.0288550914600715
204,3.632,0.0395900822008217
205,3.640,0.0276893585753361
206,3.647,0.00771177139132654
207,3.655,0.0439647830814496
208,3.662,0.0207141766441445
209,3.670,0
210,3.677,0.0351128993083489
211,3.685,0.0315132186422978
212,3.692,0.0148406763402854
213,3.700,0.0361185040495767
214,3.707,0.0301297114823921
215,3.715,0.0425172246641408
216,3.722,0.0352217864459341
217,3.730,0.01535949152525
218,3.738,0.0198558897949437
219,3.745,0.0201184999502962
220,3.753,0.0380976879033308
221,3.760,0.0211497251944852
222,3.768,0.0478206687771129
223,3.775,0.0302770293744191
224,3.783,0.025332272302904
225,3.790,0.028592481304719
226,3.798,0.0338126587830671
227,3.805,0.0294187425252183
228,3.813,0.0304179421407058
229,3.820,0.02356445759858
230,3.828,0.0290920811124627
231,3.835,0.0291112964896836
232,3.843,0.0107478009922308
233,3.851,0.0212393969548495
234,3.858,0.0245508469625869
235,3.866,0.0386677440942179
236,3.873,0.0178190598095269
237,3.881,0.016262614254633
238,3.888,0.0164803885298033
239,3.896,0.0210152175539388
240,3.903,0.0304819933981088
241,3.911,0.027330671533879
242,3.918,0.0254731850691907
243,3.926,0.0302257883684966
244,3.933,0.0289639785976566
245,3.941,0.0352666223261162
246,3.949,0.0387382004773612
247,3.956,0.0377069752331722
248,3.964,0.0790776823897985
249,3.971,0.0686565428103232
250,3.979,0.0536429280750496
251,3.986,0.0479359610404384
252,3.994,0.009972780777654
253,4.001,0.0365284320969562
254,4.009,0.0606949715151248
255,4.016,0.00947318096991026
256,4.024,0.0194267463703433
257,4.031,0.0354587760983253
258,4.039,0.0266645384568874
259,4.046,0.0415436455516146
260,4.054,0.0388342773634658
261,4.062,0.0362850373188246
262,4.069,0.0238462831311534
263,4.077,0.0217005660081514
264,4.084,0.0407686253370377
265,4.092,0.0336589357652998
266,4.099,0.0258318721106478
267,4.107,0.0278238662158825
268,4.114,0.0420880812395404
269,4.122,0.0376429239757692
270,4.129,0.0252041697880979
271,4.137,0.0405380408103868
272,4.144,0.013149723144845
273,4.152,0.0241217035379865
274,4.159,0.0309751880801122
275,4.167,0.0438238703151629
276,4.175,0.0285476454245369
277,4.182,0.0446693469128831
278,4.190,0.0366373192345414
279,4.197,0.0301937627397951
280,4.205,0.0243074521844553
281,4.212,0.0202081717106605
282,4.220,0.0372522113056106
283,4.227,0.0227125758751195
284,4.235,0.0340560535611987
285,4.242,0.0224371554682864
286,4.250,0.0318655005580146
287,4.257,0.0347093763867097
288,4.265,0.0211369149430046
289,4.273,0.0207269868956251
290,4.280,0.0238462831311534
291,4.288,0.00892874528198438
292,4.295,0.0283490865265874
293,4.303,0.0240832727835447
294,4.310,0.0139247433594218
295,4.318,0.0202850332195441
296,4.325,0.0323651003657583
297,4.333,0.0235772678500606
298,4.340,0.0145012046760492
299,4.348,0.0152634146391455
300,4.355,0.00985108338858822
301,4.363,0.0289319529689551
302,4.370,0.0195548488851494
303,4.378,0.0173707010077056
304,4.386,0.0349783916678025
305,4.393,0.0125092105708146
306,4.401,0.0247814314892379
307,4.408,0.0598174692887031
308,4.416,0.0897934577533279
309,4.423,0.135391547898555
310,4.431,0.0807750407109792
311,4.438,0.0382578160468384
312,4.446,0.0548022558340447
313,4.453,0.0406917638281541
314,4.461,0.0417678249525252
315,4.468,0.0265044103133797
316,4.476,0.0317181826659876
317,4.484,0.0272474048992551
318,4.491,0.0296429219261289
319,4.499,0.0391865592791825
320,4.506,0.0188630953051966
321,4.514,0.0256012875839968
322,4.521,0.0399167436135772
323,4.529,0.0104211395794753
324,4.536,0.0338446844117686
325,4.544,0.0324355567489017
326,4.551,0.0235836729758009
327,4.559,0.0202337922136217
328,4.566,0.0370472472819208
329,4.574,0.0124195388104503
330,4.581,0.0313466853730499
331,4.589,0.0408390817201811
332,4.597,0.024531631585366
333,4.604,0.0229495655275108
334,4.612,0.0233338730719291
335,4.619,0.0447398032960265
336,4.627,0.0216813506309305
337,4.634,0.0287846350769281
338,4.642,0.0420176248563971
339,4.649,0.0280864763712349
340,4.657,0.0205476433748966
341,4.664,0.0271321126359296
342,4.672,0.0378991290053813
343,4.679,0.0367269909949056
344,4.687,0.0167558089366364
345,4.695,0.0366757499889832
346,4.702,0.0150072096095333
347,4.710,0.0156092914291219
348,4.717,0.0220848735525697
349,4.725,0.0304499677694073
350,4.732,0.0446565366614025
351,4.740,0.0221937606901549
352,4.747,0.0271385177616699
353,4.755,0.0302770293744191
354,4.762,0.0201505255789977
355,4.770,0.0264147385530155
356,4.777,0.0379375597598232
357,4.785,0.0373675035689361
358,4.792,0.0241217035379865
359,4.800,0.03576622213386
360,4.808,0.0195996847653316
361,4.815,0.0554683889110364
362,4.823,0.0352538120746356
363,4.830,0.0260816720145197
364,4.838,0.0401281127630073
365,4.845,0.0347221866381903
366,4.853,0.0154299479083934
367,4.860,0.0329287514309051
368,4.868,0.025184954410877
369,4.875,0.0263699026728334
370,4.883,0.032717382281475
371,4.890,0.0187926389220532
372,4.898,0.0289063324659939
373,4.905,0.0289831939748776
374,4.913,0.0356060939903523
375,4.921,0.0321665414678089
376,4.928,0.0181072904678406
377,4.936,0.0303026498773803
378,4.943,0.0257806311047253
379,4.951,0.00951801685009239
380,4.958,0.0235900781015412
381,4.966,0.0412746302705218
382,4.973,0.0518879236222062
383,4.981,0.0493258733260844
384,4.988,0.0362017706842007
385,4.996,0.0337870382801059
386,5.003,0.0579535776982745
387,5.011,0.0211881559489271
388,5.019,0.0381169032805517
389,5.026,0.0182930391143095
390,5.034,0.00930664770066234
391,5.041,0.00807045843278359
392,5.049,0.0226741451206777
393,5.056,0.0201569307047381
394,5.064,0.0311993674810229
395,5.071,0.0303923216377445
396,5.079,0.0174603727680699
397,5.086,0.0157822298241101
398,5.094,0.0375148214609631
399,5.101,0.0297838346924156
400,5.109,0.0298478859498187
401,5.116,0.0314940032650769
402,5.124,0.0364003295821501
403,5.132,0.0478975302859966
404,5.139,0.0292970451361525
405,5.147,0.0388919234951285
406,5.154,0.0216813506309305
407,5.162,0.0225140169771701
408,5.169,0.0292073733757882
409,5.177,0.0285540505502772
410,5.184,0.0395004104404574
411,5.192,0.0238206626281922
412,5.199,0.0173386753790041
413,5.207,0.0228022476354838
414,5.214,0.0301553319853533
415,5.222,0.0314299520076739
416,5.230,0.0424595785324781
417,5.237,0.0328967258022036
418,5.245,0.0374699855807809
419,5.252,0.0399423641165384
420,5.260,0.0361825553069797
421,5.267,0.0402882409065149
422,5.275,0.0196829513999555
423,5.282,0.00928743232344143
424,5.290,0.0342674227106287
425,5.297,0.0452265928522896
426,5.305,0.0197085719029167
427,5.312,0.0316157006541427
428,5.320,0.0274203432942433
429,5.327,0.0297325936864932
430,5.335,0.0329031309279439
431,5.343,0.0448166648049101
432,5.350,0.0338510895375089
433,5.358,0.0313146597443484
434,5.365,0.0454635825046809
435,5.373,0.0224627759712476
436,5.380,0.0334539717416101
437,5.388,0.0189591721913011
438,5.395,0.022763816881042
439,5.403,0.0183378749944916
440,5.410,0.0315068135165575
441,5.418,0.023795042125231
442,5.425,0.0371689446709866
443,5.433,0.0487237915064958
444,5.441,0.0503699088217541
445,5.448,0.0249415596327455
446,5.456,0.0157694195726295
447,5.463,0.023186555179902
448,5.471,0.0338382792860283
449,5.478,0.0315516493967396
450,5.486,0.0410760713725723
451,5.493,0.0357982477625615
452,5.501,0.0360736681693946
453,5.508,0.0179087315698912
454,5.516,0.0349271506618801
455,5.523,0.0372265908026494
456,5.531,0.0446373212841816
457,5.538,0.0247686212377572
458,5.546,0.0338510895375089
459,5.554,0.0324739875033435
460,5.561,0.0337998485315865
461,5.569,0.0388342773634658
462,5.576,0.0242434009270523
463,5.584,0.0188118542992741
464,5.591,0.0342994483393302
465,5.599,0.0242754265557538
466,5.606,0.0381040930290711
467,5.614,0.0273947227912821
468,5.621,0.0237822318737504
469,5.629,0.035176950565752
470,5.636,0.0403907229183598
471,5.644,0.0417550147010446
472,5.652,0.0528102617288101
473,5.659,0.0234107345808127
474,5.667,0.0395452463206396
475,5.674,0.0334347563643891
476,5.682,0.0279775892336498
477,5.689,0.0561089014850668
478,5.697,0.0345300328659812
479,5.704,0.0489607811588871
480,5.712,0.0507285958632111
481,5.719,0.04691754604773
482,5.727,0.0342866380878496
483,5.734,0.0239167395142968
484,5.742,0.0374059343233779
485,5.749,0.0264723846846782
486,5.757,0.0192602131010954
487,5.765,0.039385118177132
488,5.772,0.0535532563146854
489,5.780,0.0183442801202319
490,5.787,0.0384755903220087
491,5.795,0.0481537353156087
492,5.802,0.0432922448787177
493,5.810,0.0378735085024201
494,5.817,0.0309431624514107
495,5.825,0.0132778256596511
496,5.832,0.0278046508386615
497,5.840,0.0315068135165575
498,5.847,0.0478078585256323
499,5.855,0.0416909634436416
500,5.862,0.0243074521844553
501,5.870,0.01788311106693
502,5.878,0.0483458890878179
503,5.885,0.025268221045501
504,5.893,0.0416397224377191
505,5.900,0.0291945631243076
506,5.908,0.0420816761138001
507,5.915,0.0332618179694009
508,5.923,0.0461040950787113
509,5.930,0.0362466065643828
510,5.938,0.0456941670313318
511,5.945,0.0544819995470295
512,5.953,0.042036840233618
513,5.960,0.0387702261060627
514,5.968,0.0320000081985609
515,5.976,0.0341329150700823
516,5.983,0.053713384458193
517,5.991,0.0545844815588744
518,5.998,0.0544243534153668
519,6.006,0.0417614198267849
520,6.013,0.0314491673848948
521,6.021,0.0420304351078777
522,6.028,0.0530024155010192
523,6.036,0.0453675056185763
524,6.043,0.0396477283324844
525,6.051,0.0635196319665991
526,6.058,0.0262289899065467
527,6.066,0.0403266716609567
528,6.073,0.040627712570751
529,6.081,0.0398719077333951
530,6.089,0.0733707153551873
531,6.096,0.0668951332317395
532,6.104,0.0681953737570213
533,6.111,0.0403522921639179
534,6.119,0.0437021729260971
535,6.126,0.0376493291015095
536,6.134,0.032294643982615
537,6.141,0.0563330808859775
538,6.149,0.0559359630900786
539,6.156,0.0583122647397316
540,6.164,0.0669848049921038
541,6.171,0.0459695874381649
542,6.179,0.0638783190080561
543,6.187,0.0547766353310835
544,6.194,0.060951176544737
545,6.202,0.0545204303014713
546,6.209,0.0465204282518311
547,6.217,0.0184980031379992
548,6.224,0.0439968087101512
549,6.232,0.0344083354769154
550,6.239,0.0390840772673377
551,6.247,0.0518815184964659
552,6.254,0.0556733529347261
553,6.262,0.0486981710035346
554,6.269,0.0254411594404892
555,6.277,0.0515164263292686
556,6.284,0.0385972877110745
557,6.292,0.0433434858846401
558,6.300,0.0544884046727698
559,6.307,0.0343506893452527
560,6.315,0.0340752689384196
561,6.322,0.0133674974200154
562,6.330,0.0435548550340701
563,6.337,0.0486277146203913
564,6.345,0.029181752872827
565,6.352,0.0416909634436416
566,6.360,0.0325316336350062
567,6.367,0.0536493332007899
568,6.375,0.0422802350117496
569,6.382,0.0244227444477808
570,6.390,0.038187359663695
571,6.398,0.0264980051876394
572,6.405,0.0397245898413681
573,6.413,0.0470776741912376
574,6.420,0.0401473281402282
575,6.428,0.0459119413065022
576,6.435,0.0301745473625742
577,6.443,0.0294187425252183
578,6.450,0.0244739854537032
579,6.458,0.0489607811588871
580,6.465,0.0379631802627844
581,6.473,0.0340816740641599
582,6.480,0.0312057726067632
583,6.488,0.0436317165429538
584,6.495,0.0479039354117369
585,6.503,0.0275228253060882
586,6.511,0.0373162625630136
587,6.518,0.0300848756022099
588,6.526,0.0377325957361334
589,6.533,0.0424851990354393
590,6.541,0.0479679866691399
591,6.548,0.0354651812240656
592,6.556,0.0527141848427055
593,6.563,0.0448294750563907
594,6.571,0.0363170629475261
595,6.578,0.0381745494122144
596,6.586,0.0279839943593901
597,6.593,0.0347478071411516
598,6.601,0.0454379620017197
599,6.608,0.031327469995829
600,6.616,0.0416269121862385
601,6.624,0.0483715095907791
602,6.631,0.0461361207074128
603,6.639,0.0340368381839778
604,6.646,0.0450280339543402
605,6.654,0.0434523730222253
606,6.661,0.0313402802473096
607,6.669,0.0486789556263137
608,6.676,0.0550008147319942
609,6.684,0.0254603748177101
610,6.691,0.0287974453284087
611,6.699,0.0352666223261162
612,6.706,0.0601633460786795
613,6.714,0.0538799177274409
614,6.722,0.0510744726531876
615,6.729,0.0577486136745848
616,6.737,0.048473991602624
617,6.744,0.0409671842349872
618,6.752,0.0397117795898875
619,6.759,0.0350808736796474
620,6.767,0.0519327595023883
621,6.774,0.0532842410335926
622,6.782,0.0290664606095015
623,6.789,0.0773547035656566
624,6.797,0.0500304371575179
625,6.804,0.0477053765137874
626,6.812,0.0349783916678025
627,6.819,0.0510552572759666
628,6.827,0.0481088994354266
629,6.835,0.04270937843635
630,6.842,0.0477053765137874
631,6.850,0.063455580709196
632,6.857,0.0445860802782592
633,6.865,0.0326084951438899
634,6.872,0.0306165010386552
635,6.880,0.042562060544323
636,6.887,0.0242754265557538
637,6.895,0.0695788809169271
638,6.902,0.0545460508044326
639,6.910,0.0561473322395087
640,6.917,0.0487173863807555
641,6.925,0.0436445267944344
642,6.933,0.0724739977515447
643,6.940,0.0366693448632429
644,6.948,0.0605348433716172
645,6.955,0.0391993695306631
646,6.963,0.0435292345311089
647,6.970,0.0452073774750687
648,6.978,0.0614379661010001
649,6.985,0.108714199190187
650,6.993,0.128448391596065
651,7.000,0.0893771245802081
652,7.008,0.0712121879807047
653,7.015,0.0760736784175958
654,7.023,0.0658767182390311
655,7.030,0.072691772026715
656,7.038,0.108996024722761
657,7.046,0.102610114359677
658,7.053,0.0941553483824752
659,7.061,0.0693290810130552
660,7.068,0.0664531795556585
661,7.076,0.0793274822936704
662,7.083,0.0838623113178059
663,7.091,0.067894332847227
664,7.098,0.0713851263756929
665,7.106,0.0685348454212574
666,7.113,0.0776109085952688
667,7.121,0.090786252243075
668,7.128,0.0914651955715473
669,7.136,0.0763234783214676
670,7.144,0.0824788041579002
671,7.151,0.0387574158545821
672,7.159,0.0536365229493093
673,7.166,0.0974860137674335
674,7.174,0.0944051482863471
675,7.181,0.158904764491213
676,7.189,0.178235433975451
677,7.196,0.147093712626091
678,7.204,0.127167366448004
679,7.211,0.0846117110294216
680,7.219,0.104614918716392
681,7.226,0.0634363653319751
682,7.234,0.121281055892664
683,7.241,0.133911963852545
684,7.249,0.168435591592786
685,7.257,0.141341909711298
686,7.264,0.0862322078417186
687,7.272,0.092278646540566
688,7.279,0.0961025066075277
689,7.287,0.0889864119100495
690,7.294,0.0893899348316887
691,7.302,0.0849703980708786
692,7.309,0.0799551846162202
693,7.317,0.0804163536695222
694,7.324,0.0721537414645294
695,7.332,0.0839071471979881
696,7.339,0.0575308393994144
697,7.347,0.077489211206203
698,7.355,0.0651273185274155
699,7.362,0.0737678331510862
700,7.370,0.0698286808207989
701,7.377,0.0749784019160037
702,7.385,0.089460391214832
703,7.392,0.080012830747883
704,7.400,0.0917149954754192
705,7.407,0.0845028238918364
706,7.415,0.0807237997050568
707,7.422,0.0737486177738653
708,7.430,0.103705390861269
709,7.437,0.0742418124558687
710,7.445,0.076457985962014
711,7.452,0.0816077070572188
712,7.460,0.0848615109332934
713,7.468,0.0942193996398782
714,7.475,0.0822994606371717
715,7.483,0.078097698151532
716,7.490,0.0877502226421707
717,7.498,0.0795900924490229
718,7.505,0.062424355465007
719,7.513,0.0905172369619823
720,7.520,0.0833178756298801
721,7.528,0.0885700787369297
722,7.535,0.0925989028275812
723,7.543,0.0823827272717956
724,7.550,0.0811529431296572
725,7.558,0.087775843145132
726,7.565,0.0792506207847868
727,7.573,0.0936813690776926
728,7.581,0.0614892071069226
729,7.588,0.0898062680048085
730,7.596,0.101309873834395
731,7.603,0.0883843300904609
732,7.611,0.0896013039811187
733,7.618,0.0812169943870602
734,7.626,0.07889833886907
735,7.633,0.0927013848394261
736,7.641,0.0705396497779727
737,7.648,0.102840698886328
738,7.656,0.0963074706312175
739,7.663,0.102296263198402
740,7.671,0.10036832035057
741,7.679,0.0863026642248619
742,7.686,0.0890568682931928
743,7.694,0.0866677563920593
744,7.701,0.104441980321404
745,7.709,0.102898345017991
746,7.716,0.0938863331013824
747,7.724,0.093521240934185
748,7.731,0.0802754409032355
749,7.739,0.083631726791155
750,7.746,0.0863218796020828
751,7.754,0.113044064190633
752,7.761,0.105236215913202
753,7.769,0.0858991413032228
754,7.776,0.101213796948291
755,7.784,0.0984083518740373
756,7.792,0.0922145952831629
