#"+EI TIC Scan ACN-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.113077457796473
1,2.102,0.0947234131090633
2,2.110,0.0956146123591978
3,2.117,0.105132387357366
4,2.125,0.0819320826953686
5,2.132,0.0896325102030664
6,2.140,0.0794274050642718
7,2.147,0.066426380709369
8,2.155,0.0783672856948308
9,2.163,0.497609547318545
10,2.170,0.96499986777632
11,2.178,0.341783649674118
12,2.185,0.14919141433787
13,2.193,0.12721432433292
14,2.200,0.0875413956226856
15,2.208,0.108149650178083
16,2.215,0.0946768144554615
17,2.223,0.0847396515748772
18,2.230,0.0726123519750082
19,2.238,0.0702707696315176
20,2.245,0.0659370948465501
21,2.253,0.0457132791833679
22,2.261,0.0575376875348252
23,2.268,0.0427193156894521
24,2.276,0.0633450447399498
25,2.283,0.0389448247477061
26,2.291,0.0396030307298316
27,2.298,0.0360906572145958
28,2.306,0.0315298139933194
29,2.313,0.0582716163290536
30,2.321,0.0494877701251139
31,2.328,0.0411524359620915
32,2.336,0.0351528593108595
33,2.343,0.0596346269469063
34,2.351,0.0468258220381109
35,2.358,0.0478917662392522
36,2.366,0.0402262877217557
37,2.374,0.0150863141035834
38,2.381,0.0652148157157221
39,2.389,0.208878464770078
40,2.396,0.324099460632234
41,2.404,0.14169485593968
42,2.411,0.0582599666656531
43,2.419,0.0361314310364973
44,2.426,0.0464472079775963
45,2.434,0.0158551918880132
46,2.441,0.048171358160863
47,2.449,0.0280116156463833
48,2.456,0.0331782413644831
49,2.464,0.0248079582112594
50,2.471,0.0407738219015769
51,2.479,0.0565707654725878
52,2.487,0.374175538759071
53,2.494,1.89336154415822
54,2.502,2.18884943147895
55,2.509,1.76166209941613
56,2.517,1.32291830126006
57,2.524,0.95336185403927
58,2.532,0.744710557705501
59,2.539,0.564274746127623
60,2.547,0.426767944180405
61,2.554,0.377845182730213
62,2.562,0.312688615331493
63,2.569,0.256863428316534
64,2.577,0.251725926756935
65,2.585,0.192831053435958
66,2.592,0.181402733640116
67,2.600,0.165559191415503
68,2.607,0.148282740592635
69,2.615,0.12877537922858
70,2.622,0.133476018410662
71,2.630,0.375410403079519
72,2.637,0.9748263588546
73,2.645,1.9598985966699
74,2.652,4.08832704892241
75,2.660,2.01604414942837
76,2.667,0.94689046602032
77,2.675,1.19924547460088
78,2.682,2.18060146979143
79,2.690,1.07499016477167
80,2.698,0.335446232784273
81,2.705,0.244124521388141
82,2.713,0.215070260867418
83,2.720,0.208354229917058
84,2.728,0.196296828297592
85,2.735,0.138834863574869
86,2.743,0.123643702500682
87,2.750,0.119694466607929
88,2.758,0.12307869382576
89,2.765,0.106862362372333
90,2.773,0.1344545901363
91,2.780,0.0950729030110768
92,2.788,0.09722226590846
93,2.796,0.102033576892846
94,2.803,0.10678663956023
95,2.811,0.0836096342250335
96,2.818,0.080260355997404
97,2.826,0.0840814455927518
98,2.833,0.0696009139859917
99,2.841,0.0752743000620111
100,2.848,0.0880656304757058
101,2.856,0.0843785120094633
102,2.863,0.0803011298193056
103,2.871,0.0725715781531066
104,2.878,0.0897198826785698
105,2.886,0.0973096383839634
106,2.893,0.0711677937133523
107,2.901,0.104544079355643
108,2.909,0.0748141383576934
109,2.916,0.0887180116261311
110,2.924,0.0685932181018528
111,2.931,0.0645973835554982
112,2.939,0.212309290641511
113,2.946,2.99467412338322
114,2.954,22.6270771495464
115,2.961,62.5919231252692
116,2.969,100
117,2.976,64.9125127753121
118,2.984,2.61247196654123
119,2.991,0.16005472545879
120,2.999,0.101165676969512
121,3.007,0.0785886292994393
122,3.014,0.0887238364578313
123,3.022,0.0879258345149004
124,3.029,0.0985386778727109
125,3.037,0.0842794898705594
126,3.044,0.0535185536616698
127,3.052,0.0408204205551787
128,3.059,0.0641954701681827
129,3.067,0.0660535914805545
130,3.074,0.050215874087642
131,3.082,0.0427950385015551
132,3.089,0.0597394739175104
133,3.097,0.0449735255574393
134,3.104,0.05895312163798
135,3.112,0.065884671361248
136,3.120,0.0640265500488762
137,3.127,0.0658438975393464
138,3.135,0.0384147650629856
139,3.142,0.0527904496991416
140,3.150,0.0545262495458087
141,3.157,0.0528020993625421
142,3.165,0.0459520972830771
143,3.172,0.0470005669891177
144,3.180,0.0409194426940825
145,3.187,0.0344538795068325
146,3.195,0.0370867034353343
147,3.202,0.0294794732348401
148,3.210,0.0450725476963431
149,3.217,0.0309589804866973
150,3.225,0.0153018328764918
151,3.233,0.0296367436907462
152,3.240,0.0378730557148647
153,3.248,0.0446706343090276
154,3.255,0.0490101339256954
155,3.263,0.0592501880546914
156,3.270,0.0271262412279491
157,3.278,0.0227051939674781
158,3.285,0.0390147227281089
159,3.293,0.0297823644832518
160,3.300,0.0362654021656025
161,3.308,0.0340577909512172
162,3.315,0.0645274855750955
163,3.323,0.0279591921610813
164,3.331,0.0300095329195606
165,3.338,0.0446473349822267
166,3.346,0.0544505267337058
167,3.353,0.043930880683099
168,3.361,0.0441347497926069
169,3.368,0.0554873467763459
170,3.376,0.0237245395150175
171,3.383,0.0300270074146613
172,3.391,0.0360032847390924
173,3.398,0.0190996231450387
174,3.406,0.0371391269206363
175,3.413,0.028029090141484
176,3.421,0.0433716968398774
177,3.428,0.0162745797704294
178,3.436,0.0201539176827794
179,3.444,0.0378847053782652
180,3.451,0.021382957171527
181,3.459,0.0353392539252667
182,3.466,0.0252914192423781
183,3.474,0.0372847477131419
184,3.481,0.0687621382211593
185,3.489,0.0760315281830404
186,3.496,0.0376983107638579
187,3.504,0.0339937178025147
188,3.511,0.0158377173929125
189,3.519,0.0325841085310602
190,3.526,0.0205267069115938
191,3.534,0.0124418405116812
192,3.542,0.0170492823865594
193,3.549,0.0255826608273894
194,3.557,0.0151037885986841
195,3.564,0.019600558671258
196,3.572,0.000792177111230637
197,3.579,0.0304813442872788
198,3.587,0.0349256908745507
199,3.594,0.0391370441938136
200,3.602,0.0436163397712868
201,3.609,0.0313375945472119
202,3.617,0.0257632306100964
203,3.624,0.0397603011857377
204,3.632,0.0269980949305441
205,3.639,0.0249361045086644
206,3.647,0.0267126781772331
207,3.655,0.00152610590545902
208,3.662,0.0215460524591333
209,3.670,0.0237187146833173
210,3.677,0.0260253480366065
211,3.685,0.0183365701923091
212,3.692,0.0510895988426758
213,3.700,0.00198626760977682
214,3.707,0.0273534096642579
215,3.715,0.0327122548284651
216,3.722,0.0336500527322014
217,3.730,0.0225653980066727
218,3.737,0.00599957665123203
219,3.745,0.0209227954672092
220,3.753,0.0137524276442319
221,3.760,0.0105138212189066
222,3.768,0.029863912127055
223,3.775,0.0295435463835426
224,3.783,0.0210043431110123
225,3.790,0.00530642167890522
226,3.798,0.0124418405116812
227,3.805,0.0426435928773492
228,3.813,0.019029725164636
229,3.820,0.0172240273375661
230,3.828,0.013082571998706
231,3.835,0.0274699062982624
232,3.843,0.0279242431708799
233,3.850,0.00612772294863698
234,3.858,0.0290018370354216
235,3.866,0.0263340641167184
236,3.873,0.0280873384584862
237,3.881,0.0438260337124949
238,3.888,0.045456986588558
239,3.896,0.0346577486163403
240,3.903,0.0428066881649555
241,3.911,0.0310405281305005
242,3.918,0.0268175251478371
243,3.926,0.023427473098306
244,3.933,0.0243186723484405
245,3.941,0.0335918044151991
246,3.948,0.0182957963704076
247,3.956,0.0339704184757138
248,3.964,0.073200659976731
249,3.971,0.211179273291667
250,3.979,0.276895024533609
251,3.986,0.418793749582796
252,3.994,0.458769569541442
253,4.001,0.874779049571531
254,4.009,1.75488199531707
255,4.016,0.886044274079767
256,4.024,0.271343959923294
257,4.031,0.173620758488615
258,4.039,0.14143856334487
259,4.046,0.126637665994598
260,4.054,0.0984221812387064
261,4.061,0.0908790241869147
262,4.069,0.113357049718084
263,4.077,0.122385538853433
264,4.084,0.0709930487623456
265,4.092,0.0489169366184918
266,4.099,0.0560174064610664
267,4.107,0.0455676583908623
268,4.114,0.0741035088902659
269,4.122,0.0865395245702468
270,4.129,0.125204757396342
271,4.137,0.122146720753724
272,4.144,0.0712493413571555
273,4.152,0.0724434318557017
274,4.159,0.0622791005388086
275,4.167,0.0712726406839564
276,4.174,0.0661118397975568
277,4.182,0.0449560510623386
278,4.190,0.0341335137633201
279,4.197,0.0332656138399865
280,4.205,0.0285882739847056
281,4.212,0.0372789228814417
282,4.220,0.0222508570948605
283,4.227,0.0423640009557384
284,4.235,0.0585745075774653
285,4.242,0.0432493753741726
286,4.250,0.0206315538821979
287,4.257,0.016006637512219
288,4.265,0.0271611902181504
289,4.272,0.00802661808291042
290,4.280,0.0292290054717304
291,4.288,0
292,4.295,0.0209635692891107
293,4.303,0.0334927822762953
294,4.310,0.0247846588844585
295,4.318,0.0187326587479245
296,4.325,0.00894111665984579
297,4.333,0.043208601552271
298,4.340,0.0391253945304131
299,4.348,0.0203111881386855
300,4.355,0.00969251994917485
301,4.363,0.0304230959702766
302,4.370,0.0216800235882385
303,4.378,0.026502984236025
304,4.385,0.0304289208019768
305,4.393,0.0466860260773055
306,4.401,0.0367838121869226
307,4.408,0.0645333104067958
308,4.416,0.128222020217059
309,4.423,0.168681301206824
310,4.431,0.0760897765000427
311,4.438,0.0338655715051097
312,4.446,0.0286173981432067
313,4.453,0.0374478430007483
314,4.461,0.0211091900816164
315,4.468,0.0303124241679723
316,4.476,0.020375261287388
317,4.483,0.0216392497663369
318,4.491,0.0684009986557453
319,4.499,0.0794973030446745
320,4.506,0.487759756913464
321,4.514,1.06732468625418
322,4.521,0.547545829484576
323,4.529,0.333186198084586
324,4.536,0.285166285547928
325,4.544,0.212577232899721
326,4.551,0.17763406753007
327,4.559,0.143034567230732
328,4.566,0.142143367980597
329,4.574,0.114615213365333
330,4.581,0.108376818614391
331,4.589,0.0775867582470006
332,4.596,0.0777906273565085
333,4.604,0.0836271087201342
334,4.612,0.0618713623197928
335,4.619,0.0784022346850321
336,4.627,0.0635197896909566
337,4.634,0.0810700076037353
338,4.642,0.0642595433168852
339,4.649,0.0544388770703054
340,4.657,0.0638285057710685
341,4.664,0.0484625997458742
342,4.672,0.0633625192350505
343,4.679,0.0536234006322738
344,4.687,0.0365216947604124
345,4.694,0.0564775681653842
346,4.702,0.0562969983826772
347,4.710,0.0421543070145303
348,4.717,0.0655177069641338
349,4.725,0.0874190741569808
350,4.732,0.106984683838038
351,4.740,0.149331210298675
352,4.747,0.22522876735261
353,4.755,0.289773727422807
354,4.762,0.140244472846324
355,4.770,0.0938962870076313
356,4.777,0.0769751509184769
357,4.785,0.0683019765168415
358,4.792,0.0714124366447618
359,4.800,0.0545087750507081
360,4.807,0.0523128134997231
361,4.815,0.04809563534876
362,4.823,0.0703639669387213
363,4.830,0.0642420688217845
364,4.838,0.07007272535371
365,4.845,0.0733171566107355
366,4.853,0.682606202117699
367,4.860,1.7971353244705
368,4.868,0.86725336701484
369,4.875,0.30201752365668
370,4.883,0.221378553598762
371,4.890,0.199389813930411
372,4.898,0.149995241112501
373,4.905,0.135870024239455
374,4.913,0.133901231124778
375,4.920,0.127010455223412
376,4.928,0.1034373613326
377,4.936,0.105388679952176
378,4.943,0.117149015154931
379,4.951,0.102080175546448
380,4.958,0.131058713255069
381,4.966,0.191584539452109
382,4.973,0.165646563891006
383,4.981,0.0774411374544949
384,4.988,0.0615276972494795
385,4.996,0.0567688097503955
386,5.003,0.0660943653024561
387,5.011,0.204393344360905
388,5.018,1.67265284620499
389,5.026,2.47244883729952
390,5.034,0.748630669439753
391,5.041,0.377973329027618
392,5.049,0.29580242823254
393,5.056,0.226149090761246
394,5.064,0.193850398983497
395,5.071,0.168955068296734
396,5.079,0.140797831857845
397,5.086,0.144980061018607
398,5.094,0.119595444469025
399,5.101,0.113823036254102
400,5.109,0.139941581597912
401,5.116,0.125041662108736
402,5.124,0.104427582721639
403,5.131,0.0895567873909635
404,5.139,0.101654962832331
405,5.147,0.262239747975842
406,5.154,0.98747789330749
407,5.162,0.840296045906198
408,5.169,0.341725401357116
409,5.177,0.220580551655831
410,5.184,0.187827523005464
411,5.192,0.211144324301466
412,5.199,0.321588958169437
413,5.207,0.252529753531566
414,5.214,0.135246767247531
415,5.222,0.123538855530078
416,5.229,0.117422782244841
417,5.237,0.165937805476017
418,5.245,1.13880702087934
419,5.252,3.72279556040648
420,5.260,1.96854264691303
421,5.267,0.706959823456341
422,5.275,0.464338108646858
423,5.282,0.410068151695859
424,5.290,0.355407931020945
425,5.297,0.518846883697566
426,5.305,0.569231677904514
427,5.312,0.346775530441211
428,5.320,0.252954966245683
429,5.327,0.23711142402107
430,5.335,0.184286025331727
431,5.342,0.187081944547835
432,5.350,0.185066552779557
433,5.358,0.175805070376199
434,5.365,0.142754975309121
435,5.373,0.141217219740261
436,5.380,0.12179723085171
437,5.388,0.118046039236765
438,5.395,0.134250721026792
439,5.403,0.127202674669519
440,5.410,0.151474748364358
441,5.418,0.117416957413141
442,5.425,0.123247613945066
443,5.433,0.128845277208983
444,5.440,0.111743571337122
445,5.448,0.110584429828777
446,5.456,0.114155051661015
447,5.463,0.10446835654354
448,5.471,0.0730375646891246
449,5.478,0.095801006973605
450,5.486,0.0952359982986831
451,5.493,0.0851240904670921
452,5.501,0.0998492650052616
453,5.508,0.111918316288128
454,5.516,0.124517427255716
455,5.523,0.0935700964324187
456,5.531,0.116257815904796
457,5.538,0.118546974762985
458,5.546,0.0906751550774068
459,5.553,0.107794335444369
460,5.561,0.102284044655956
461,5.569,0.149045793545364
462,5.576,0.564030103196213
463,5.584,1.67978826503776
464,5.591,3.05172252505522
465,5.599,7.10864208145002
466,5.606,8.47298076093038
467,5.614,12.3025687857288
468,5.621,26.0174612144844
469,5.629,61.5708709020416
470,5.636,79.7890397403803
471,5.644,7.15259043662822
472,5.651,2.1229239862958
473,5.659,1.50899254992376
474,5.667,1.20722549403019
475,5.674,1.00696778017644
476,5.682,0.879246695485604
477,5.689,0.816222016489166
478,5.697,0.763518939265528
479,5.704,0.64540300204836
480,5.712,0.54997478430357
481,5.719,0.518328473676246
482,5.727,0.478719618114714
483,5.734,0.442588187078217
484,5.742,0.422335247256533
485,5.749,0.403177375794492
486,5.757,0.383349648686926
487,5.764,0.370249602193119
488,5.772,0.335067618723758
489,5.780,0.325194528991877
490,5.787,0.284711948675311
491,5.795,0.264563855824232
492,5.802,0.278828868658083
493,5.810,0.247566996922974
494,5.817,0.253205434008792
495,5.825,0.245790423254406
496,5.832,0.236493991860846
497,5.840,0.223160952099031
498,5.847,0.202005163363812
499,5.855,0.212530634246119
500,5.862,0.193559157398486
501,5.870,0.18849737865099
502,5.877,0.190722464360476
503,5.885,0.206140793870972
504,5.893,0.216276001029364
505,5.900,0.152208677158587
506,5.908,0.195935688732178
507,5.915,0.191246699213496
508,5.923,0.194526079460723
509,5.930,0.184274375668327
510,5.938,0.1732421444281
511,5.945,0.173131472625796
512,5.953,0.17943976535714
513,5.960,0.150309782024313
514,5.968,0.146063479714849
515,5.975,0.161988569583265
516,5.983,0.164906810265078
517,5.991,0.162192438692773
518,5.998,0.171232577491522
519,6.006,0.14041339296563
520,6.013,0.165337847810894
521,6.021,0.146960503796684
522,6.028,0.147222621223194
523,6.036,0.140273597004825
524,6.043,0.150006890775901
525,6.051,0.135019598811222
526,6.058,0.159349920823063
527,6.066,0.156460804299751
528,6.073,0.145708164981135
529,6.081,0.138619344801961
530,6.088,0.155464758079012
531,6.096,0.162600176911788
532,6.104,0.168232789165906
533,6.111,0.123247613945066
534,6.119,0.113724014115198
535,6.126,0.131175209889073
536,6.134,0.13367988752017
537,6.141,0.162250687009775
538,6.149,0.136038944358761
539,6.156,0.127860880651645
540,6.164,0.141211394908561
541,6.171,0.138031036800238
542,6.179,0.117195613808532
543,6.186,0.0991444603695343
544,6.194,0.116176268260993
545,6.202,0.100396799185083
546,6.209,0.11946147333992
547,6.217,0.112250331695041
548,6.224,0.114353095938822
549,6.232,0.120393446411956
550,6.239,0.111166912998799
551,6.247,0.124232010502405
552,6.254,0.117009219194125
553,6.262,0.131274232027977
554,6.269,0.103856749215017
555,6.277,0.156781170043263
556,6.284,0.171890783473648
557,6.292,0.13806598579044
558,6.299,0.118750843872493
559,6.307,0.116811174916318
560,6.315,0.133050805696546
561,6.322,0.137431079135115
562,6.330,0.113887109402804
563,6.337,0.103617931115307
564,6.345,0.112914362508867
565,6.352,0.114207475146317
566,6.360,0.0936458192445217
567,6.367,0.099989060966067
568,6.375,0.0868132916601574
569,6.382,0.0987658463090197
570,6.390,0.103315039866896
571,6.397,0.0798409681149878
572,6.405,0.0963485411534262
573,6.413,0.115622909249472
574,6.420,0.14429273087798
575,6.428,0.111411555930209
576,6.435,0.10109577898911
577,6.443,0.098282385277901
578,6.450,0.0997152938761564
579,6.458,0.101375370910721
580,6.465,0.105010065891661
581,6.473,0.116269465568197
582,6.480,0.0913217113961318
583,6.488,0.103827625056515
584,6.495,0.096989272640451
585,6.503,0.126707563975
586,6.510,0.129218066437797
587,6.518,0.0942865507315464
588,6.526,0.115209346198756
589,6.533,0.112605646428755
590,6.541,0.119682816944529
591,6.548,0.122601057626341
592,6.556,0.107893357583273
593,6.563,0.116024822636787
594,6.571,0.138141708602542
595,6.578,0.155033720533196
596,6.586,0.166456215497338
597,6.593,0.176265232080517
598,6.601,0.17866506274101
599,6.608,0.194287261361014
600,6.616,0.264173592100317
601,6.623,0.198900528067592
602,6.631,0.174675053026355
603,6.639,0.161976919919864
604,6.646,0.145906209258943
605,6.654,0.115634558912872
606,6.661,0.117329584937638
607,6.669,0.154078448134359
608,6.676,0.141718155266481
609,6.684,0.151369901393754
610,6.691,0.143413181291246
611,6.699,0.132835286923637
612,6.706,0.106466273816717
613,6.714,0.1085923373873
614,6.721,0.0944146970289514
615,6.729,0.0956553861810994
616,6.737,0.119770189420032
617,6.744,0.10964080709334
618,6.752,0.105837191993093
619,6.759,0.112704668567659
620,6.767,0.113450247025288
621,6.774,0.10007643344157
622,6.782,0.106244930212109
623,6.789,0.112058112248934
624,6.797,0.102155898358551
625,6.804,0.109506835964235
626,6.812,0.113560918827592
627,6.819,0.098154238980496
628,6.827,0.108242847485286
629,6.834,0.0890209028745428
630,6.842,0.095981576756312
631,6.850,0.105085788703764
632,6.857,0.0949680560404728
633,6.865,0.115885026675982
634,6.872,0.128810328218782
635,6.880,0.12592121169547
636,6.887,0.138316453553549
637,6.895,0.146139202526952
638,6.902,0.127843406156544
639,6.910,0.126398847894888
640,6.917,0.142382186080306
641,6.925,0.165425220286398
642,6.932,0.207783396410436
643,6.940,0.188398356512086
644,6.948,0.179993124368661
645,6.955,0.145871260268741
646,6.963,0.133056630528246
647,6.970,0.131920788346702
648,6.978,0.149360334457176
649,6.985,0.222007635422386
650,6.993,0.284374108436698
651,7.000,0.256216871997809
652,7.008,0.220499004012028
653,7.015,0.185753882920184
654,7.023,0.179061151296625
655,7.030,0.216124555405158
656,7.038,0.235579493283911
657,7.045,0.206641729397192
658,7.053,0.193902822468799
659,7.061,0.231985572124872
660,7.068,0.248772737084921
661,7.076,0.246722396326442
662,7.083,0.217738033786121
663,7.091,0.210014306951622
664,7.098,0.21229764097811
665,7.106,0.191421444164503
666,7.113,0.24228969940257
667,7.121,0.303252387977128
668,7.128,0.276097022590678
669,7.136,0.226032594127242
670,7.143,0.22986533338599
671,7.151,0.187413959954748
672,7.159,0.172927603516288
673,7.166,0.232626303611897
674,7.174,0.232218565392881
675,7.181,0.239790846603174
676,7.189,0.273499147652377
677,7.196,0.241911085342056
678,7.204,0.220528128170529
679,7.211,0.199698530010523
680,7.219,0.164312677431655
681,7.226,0.214592624667999
682,7.234,0.291707571547281
683,7.241,0.278310458636763
684,7.249,0.249728009483758
685,7.256,0.278030866715153
686,7.264,0.261453395696311
687,7.272,0.213602403278961
688,7.279,0.213608228110661
689,7.287,0.20272161766294
690,7.294,0.19315141917947
691,7.302,0.186033474841795
692,7.309,0.225013248579702
693,7.317,0.338859584160605
694,7.324,0.34572123590347
695,7.332,0.356928212094704
696,7.339,0.321519060189034
697,7.347,0.219176767216076
698,7.354,0.256799355167831
699,7.362,0.263556159940093
700,7.370,0.216613841267977
701,7.377,0.200828547360367
702,7.385,0.189324504752422
703,7.392,0.18230558255365
704,7.400,0.205802953632359
705,7.407,0.193104820525868
706,7.415,0.205028251016229
707,7.422,0.208977486908982
708,7.430,0.207317409874418
709,7.437,0.184181178361123
710,7.445,0.194030968766204
711,7.452,0.199389813930411
712,7.460,0.229719712593484
713,7.467,0.254283027873334
714,7.475,0.430280317695641
715,7.483,1.43402696594186
716,7.490,1.41368082881297
717,7.498,0.58669452334179
718,7.505,0.383250626548022
719,7.513,0.321326840742927
720,7.520,0.277238689603922
721,7.528,0.249454242393847
722,7.535,0.23606877914673
723,7.543,0.197665663747145
724,7.550,0.219706826900797
725,7.558,0.186848951279826
726,7.565,0.191118552916091
727,7.573,0.205371916086543
728,7.580,0.184693763550743
729,7.588,0.198556862997279
730,7.596,0.163112762101408
731,7.603,0.180610556528885
732,7.611,0.169263784376846
733,7.618,0.193809625161595
734,7.626,0.18022611763667
735,7.633,0.170283129924386
736,7.641,0.183126883823382
737,7.648,0.170003538002775
738,7.656,0.164807788126174
739,7.663,0.187792574015263
740,7.671,0.174045971202731
741,7.678,0.200286838012246
742,7.686,0.16573976119821
743,7.694,0.188642999443496
744,7.701,0.168861870989531
745,7.709,0.174832323482261
746,7.716,0.226224813573349
747,7.724,0.670187660932819
748,7.731,1.29313011194511
749,7.739,0.822850674964023
750,7.746,0.538377544388421
751,7.754,0.455828029532829
752,7.761,0.381549775691556
753,7.769,0.339820681391142
754,7.776,0.470588153061199
755,7.784,1.04601745189475
756,7.791,1.17219495618503
757,7.799,0.854852300325061
758,7.807,1.6135948775964
759,7.814,2.1306418882986
760,7.822,1.26094209196967
761,7.829,0.727183639119523
762,7.837,0.581644394257694
763,7.844,0.560465306195675
764,7.852,0.492477870590646
765,7.859,0.490544026466171
766,7.867,0.519242972253181
767,7.874,0.941951008738529
