#"+EI TIC Scan ACN-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.583153636963553
1,2.102,0.545301707676314
2,2.110,0.484523341147251
3,2.117,0.421685409276316
4,2.125,0.375324000140356
5,2.132,0.350490557952355
6,2.140,0.339828281408838
7,2.148,0.332903734559829
8,2.155,0.273778105650786
9,2.163,0.256292989188723
10,2.170,0.238112875368497
11,2.178,0.210914747047236
12,2.185,0.204736051021621
13,2.193,0.184284482421059
14,2.200,0.168672468595019
15,2.208,0.185877890998309
16,2.215,0.173783241850775
17,2.223,0.159705307559215
18,2.230,0.158247508222582
19,2.238,0.160315549141992
20,2.246,0.14087257426852
21,2.253,0.141618425091913
22,2.261,0.133363212569349
23,2.268,0.123489164736919
24,2.276,0.142474458423309
25,2.283,0.197608090311686
26,2.291,0.555345267059515
27,2.298,1.55350555819899
28,2.306,0.87490844257364
29,2.313,0.506119112715519
30,2.321,0.402530604039155
31,2.328,0.314689718429448
32,2.336,0.266684047251006
33,2.343,0.218186792575326
34,2.351,0.19994734971233
35,2.359,0.197794553017534
36,2.366,0.183225035228738
37,2.374,0.167740155065776
38,2.381,0.225187619622182
39,2.389,0.417795119186114
40,2.396,0.330615328624415
41,2.404,0.175419028315718
42,2.411,0.111140248263227
43,2.419,0.111013114600149
44,2.426,0.0961300004424251
45,2.434,0.109097634076432
46,2.441,0.129201703997913
47,2.449,0.127320125784351
48,2.456,0.108741659819813
49,2.464,0.0941806176085548
50,2.472,0.108300929787807
51,2.479,0.0988082829446123
52,2.487,0.0973674347630559
53,2.494,0.0951892113356442
54,2.502,0.0990540746932307
55,2.509,0.0686860803725457
56,2.517,0.08711198594139
57,2.524,0.0799925008089939
58,2.532,0.114479625813422
59,2.539,0.0921464789992987
60,2.547,0.102206989537578
61,2.554,0.092943183287924
62,2.562,0.0953756740414927
63,2.570,0.0851032740647497
64,2.577,0.106266791178551
65,2.585,0.0617106800583052
66,2.592,0.100639007692943
67,2.600,0.089968255571887
68,2.607,0.0979268228806013
69,2.615,0.0936805585337793
70,2.622,0.0668723067792924
71,2.630,0.0597273949142806
72,2.637,0.0806027423917707
73,2.645,0.0916040420368305
74,2.652,0.0721780183184352
75,2.660,0.0826623077336424
76,2.667,0.0862983304976876
77,2.675,0.0885443585454078
78,2.683,0.0629820166890902
79,2.690,0.0931126948386953
80,2.698,0.0621683612453878
81,2.705,0.0579983770964129
82,2.713,0.0753224575852435
83,2.720,0.0760683084086374
84,2.728,0.0694488823510167
85,2.735,0.0672028543032965
86,2.743,0.0742291080827684
87,2.750,0.0890952710854147
88,2.758,0.0688640675008556
89,2.765,0.0884341760374065
90,2.773,0.0832471225838035
91,2.781,0.0716610080885827
92,2.788,0.0584899605936498
93,2.796,0.0677113889556105
94,2.803,0.0720339335002796
95,2.811,0.0622361658656963
96,2.818,0.0585238629038041
97,2.826,0.0720763113879724
98,2.833,0.0424456923131428
99,2.841,0.0583458757754942
100,2.848,0.0535656500437425
101,2.856,0.0623972018389291
102,2.863,0.0717203371313526
103,2.871,0.0678724249288433
104,2.878,0.0874933869306255
105,2.886,0.0823656625197926
106,2.894,0.0518027299157206
107,2.901,0.0483531698575238
108,2.909,0.0661603582660528
109,2.916,0.0663807232820555
110,2.924,0.0686691292174686
111,2.931,0.0848490067385927
112,2.939,1.09372242788682
113,2.946,10.5650108156845
114,2.954,36.512677853638
115,2.961,68.7859820049928
116,2.969,100
117,2.976,47.8413297299698
118,2.984,1.74401111453336
119,2.992,0.162731088740483
120,2.999,0.13649070068108
121,3.007,0.11159792945031
122,3.014,0.0857135156475265
123,3.022,0.0996134628107761
124,3.029,0.108724708664735
125,3.037,0.109928240675212
126,3.044,0.0858236981555279
127,3.052,0.0956214657901111
128,3.059,0.0972233499449003
129,3.067,0.0823656625197926
130,3.074,0.0614564127321482
131,3.082,0.0602105028339789
132,3.089,0.0612614744487611
133,3.097,0.080263719290228
134,3.105,0.0739155117138414
135,3.112,0.0973335324529016
136,3.120,0.0821113951936356
137,3.127,0.116106936700827
138,3.135,0.0932313529242353
139,3.142,0.154696241233922
140,3.150,0.172537331952605
141,3.157,0.126930249217577
142,3.165,0.10071528789079
143,3.172,0.0823741380973312
144,3.180,0.0737883780507629
145,3.187,0.0396487517254157
146,3.195,0.103342716927746
147,3.203,0.155721786116089
148,3.210,0.14045727096913
149,3.218,0.191963355671
150,3.225,0.148475167320614
151,3.233,0.131337549537632
152,3.240,0.13170199937179
153,3.248,0.128142256805592
154,3.255,0.131930839965332
155,3.263,0.131057855478859
156,3.270,0.114538954856192
157,3.278,0.0932652552343896
158,3.285,0.0920108697586817
159,3.293,0.108860317905353
160,3.300,0.0801026833169952
161,3.308,0.113640543637104
162,3.316,0.0953756740414927
163,3.323,0.0956214657901111
164,3.331,0.101291627163412
165,3.338,0.134948145569061
166,3.346,0.6779699228875
167,3.353,0.581585655118918
168,3.361,0.213516749351576
169,3.368,0.138295998696795
170,3.376,0.0812638374397789
171,3.383,0.0917650780100632
172,3.391,0.0702879645273348
173,3.398,0.0541080870062107
174,3.406,0.0630667724644759
175,3.413,0.0812977397499332
176,3.421,0.0801196344720724
177,3.429,0.0664909057900569
178,3.436,0.0420981936340615
179,3.444,0.0816452384290144
180,3.451,0.0442509903288575
181,3.459,0.0670672450626794
182,3.466,0.0398013121211099
183,3.474,0.0406149675648123
184,3.481,0.0763395268898716
185,3.489,0.112097988525085
186,3.496,0.0610665361653741
187,3.504,0.0415811834042089
188,3.511,0.0244181388886111
189,3.519,0.040191188687884
190,3.527,0.02111266364857
191,3.534,0.0261302055514016
192,3.542,0.019332792365471
193,3.549,0.0203752884027147
194,3.557,0.0350719398545896
195,3.564,0.035690657014905
196,3.572,0.0260369741984773
197,3.579,0.0277151385511136
198,3.587,0.029800130625601
199,3.594,0.0296221434972911
200,3.602,0.0327242048764066
201,3.609,0.0316308553739315
202,3.617,0.0377078444690839
203,3.624,0.0502347480710857
204,3.632,0.0474293319058201
205,3.640,0.0384113174047849
206,3.647,0.0366568728543016
207,3.655,0.0318766471225499
208,3.662,0.0236299101775244
209,3.670,0.022189061995968
210,3.677,0.0419456332383673
211,3.685,0.0566168579576265
212,3.692,0.0170528620075965
213,3.700,0.046471591643962
214,3.707,0.0455901315799511
215,3.715,0.0249690514286179
216,3.722,0.038606255688172
217,3.730,0.0138236669654025
218,3.738,0.0262742903695572
219,3.745,0.0185784659645385
220,3.753,0.0337073718708803
221,3.760,0.0432084942916138
222,3.768,0.0247402108350766
223,3.775,0.040386126971271
224,3.783,0.0316817088391629
