#"+EI TIC Scan EA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0992548152943266
1,2.102,0.088969149811151
2,2.110,0.0936849603395384
3,2.117,0.0899015847887674
4,2.125,0.0870877765819781
5,2.132,0.0688062748748175
6,2.140,0.0772600769506406
7,2.147,0.06771705879477
8,2.155,0.0707412837442958
9,2.162,0.0646474498419089
10,2.170,0.0741698389053543
11,2.178,0.0558635822872836
12,2.185,0.075861424484216
13,2.193,0.0675107678705186
14,2.200,0.0578027169752469
15,2.208,0.0561647670366907
16,2.215,0.0573488769418938
17,2.223,0.0606123993635512
18,2.230,0.0619532903711854
19,2.238,0.0579925046255582
20,2.245,0.0610868684893295
21,2.253,0.0462050412138323
22,2.260,0.0537635406784042
23,2.268,0.050533024804627
24,2.276,0.0462421735801976
25,2.283,0.0495015701833699
26,2.291,0.0432303260861269
27,2.298,0.0379121460589254
28,2.306,0.0466836361580956
29,2.313,0.0397398836477929
30,2.321,0.0543865392696435
31,2.328,0.0293634501579466
32,2.336,0.0480451562581549
33,2.343,0.0337038112041965
34,2.351,0.0493159083515437
35,2.358,0.0341081414157292
36,2.366,0.0284598959097254
37,2.373,0.0364516063152253
38,2.381,0.0410230131966367
39,2.389,0.0374789351179974
40,2.396,0.090569967383342
41,2.404,0.304291490726295
42,2.411,0.181024411849103
43,2.419,0.0461885379398922
44,2.426,0.0423061427454805
45,2.434,0.0556036557227268
46,2.441,0.0414314692266545
47,2.449,0.0455614135301679
48,2.456,0.0413035688536186
49,2.464,0.0277007453084802
50,2.471,0.0295284828973478
51,2.479,0.0394386988983858
52,2.486,0.032329913648682
53,2.494,0.0197585447248007
54,2.502,0.0342731741551304
55,2.509,0.0329405347844662
56,2.517,0.0282742340778992
57,2.524,0.0438863312252464
58,2.532,0.0325568336653586
59,2.539,0.0388652101289669
60,2.547,0.0325568336653586
61,2.554,0.0436099013867495
62,2.562,0.0294707214385574
63,2.569,0.0383866151847036
64,2.577,0.0366166390546265
65,2.584,0.029994700386156
66,2.592,0.0358781175458064
67,2.600,0.0477769780566281
68,2.607,0.0299699454752458
69,2.615,0.0394964603571762
70,2.622,0.0336955595672264
71,2.630,0.033786327573897
72,2.637,0.0407630866320799
73,2.645,0.0266610390502531
74,2.652,0.0288023388439828
75,2.660,0.0377512391380092
76,2.667,0.0346898818221182
77,2.675,0.0485608835687835
78,2.682,0.0307167186210359
79,2.690,0.0324289332923227
80,2.697,0.0248498047353256
81,2.705,0.029710018910689
82,2.713,0.0324165558368676
83,2.720,0.0348590403800044
84,2.728,0.0418316736197023
85,2.735,0.0510941361185909
86,2.743,0.0371447438207101
87,2.750,0.0320947419950354
88,2.758,0.0365258710479558
89,2.765,0.037854384600135
90,2.773,0.0655056200867948
91,2.780,0.05023184005522
92,2.788,0.0394098181689906
93,2.795,0.0370539758140395
94,2.803,0.0417656605239418
95,2.811,0.0562844157727565
96,2.818,0.0272840376414924
97,2.826,0.0268178201526842
98,2.833,0.0457553269989642
99,2.841,0.0424546722109415
100,2.848,0.0291819141446054
101,2.856,0.051993564548327
102,2.863,0.0298255418282698
103,2.871,0.0297471512770543
104,2.878,0.0362948252127942
105,2.886,0.0523112525716742
106,2.893,0.049798629114292
107,2.901,0.0420008321775884
108,2.908,0.0446619851004317
109,2.916,0.0446619851004317
110,2.924,0.0338729697620826
111,2.931,0.0475335547660114
112,2.939,0.0340091217720885
113,2.946,0.0350488280303157
114,2.954,0.0953641684629449
115,2.961,3.33385524937169
116,2.969,26.6755082956801
117,2.976,71.6087164516806
118,2.984,100
119,2.991,4.34212277074291
120,2.999,0.104370830215762
121,3.006,0.0798180844113581
122,3.014,0.0664710616122915
123,3.022,0.056350428868517
124,3.029,0.0685711032211709
125,3.037,0.057522161318265
126,3.044,0.0732291522907679
127,3.052,0.0536108853944582
128,3.059,0.0475170514920713
129,3.067,0.0593086407222823
130,3.074,0.0529796351662488
131,3.082,0.0378296296892248
132,3.089,0.0434902526506837
133,3.097,0.0390013621389728
134,3.104,0.0363443350346146
135,3.112,0.0348631661984894
136,3.119,0.0390054879574579
137,3.127,0.0668258820020039
138,3.135,0.067572655147794
139,3.142,0.0444020585358749
140,3.150,0.0339843668611784
141,3.157,0.0367321619722072
142,3.165,0.0548445051214816
143,3.172,0.0422566329236602
144,3.180,0.0350199473009205
145,3.187,0.0401235847669005
146,3.195,0.039760512740218
147,3.202,0.0336047915605558
148,3.210,0.0302422494952577
149,3.217,0.03058056661103
150,3.225,0.0288642261212582
151,3.233,0.0376645969498237
152,3.240,0.0247631625471401
153,3.248,0.0265826484990375
154,3.255,0.0334356330026696
155,3.263,0.0544401749099489
156,3.270,0.0296398799964435
157,3.278,0.0203114044017945
158,3.285,0.0307909833537664
159,3.293,0.0245403683489485
160,3.300,0.0329446606029512
161,3.308,0.0438904570437314
162,3.315,0.0543741618141884
163,3.323,0.0324495623847478
164,3.330,0.0293180661546113
165,3.338,0.0257368557096067
166,3.346,0.021693553594279
167,3.353,0.013685339914839
168,3.361,0.00200102196523874
169,3.368,0.0251757443956429
170,3.376,0.0244124679759126
171,3.383,0.0187559708329388
172,3.391,0.0256543393399062
173,3.398,0.0208890189896985
174,3.406,0.0190447781268908
175,3.413,0.0211613230097103
176,3.421,0.0174150798253046
177,3.428,0.0156946135170478
178,3.436,0.0201587491178484
179,3.443,0.031744047423808
180,3.451,0.0300895942113116
181,3.459,0.0192428174141721
182,3.466,0.024325825787727
183,3.474,0.00981944799436743
184,3.481,0.0307992349907365
185,3.489,0.0758366695733058
186,3.496,0.0633725719300352
187,3.504,0.0180133235056337
188,3.511,0.0153645480382455
189,3.519,0.0245321167119785
190,3.526,0.016891100877706
191,3.534,0.0213882430263869
192,3.541,0.0208560124418182
193,3.549,0.0140566635784915
194,3.557,0.0221020096242968
195,3.564,0.00970805089527167
196,3.572,0.00676221649696144
197,3.579,0.0187477191959687
198,3.587,0.0242515610549965
199,3.594,0.00409281193714811
200,3.602,0.0132727580663361
201,3.609,0.0150303567409582
202,3.617,0.0208436349863631
203,3.624,0.0172706761783286
204,3.632,0.0109086640744149
205,3.639,0.00441462577898032
206,3.647,0.00612271463178205
207,3.654,0.0125961238347915
208,3.662,0.0201381200254233
209,3.670,0.00755437364608688
210,3.677,0.0112717361010974
211,3.685,0.0120680190687079
212,3.692,0.0190200232159806
213,3.700,0.0141886897700124
214,3.707,0.0289219875800486
215,3.715,0.00812786241550582
216,3.722,0.021264468471836
217,3.730,0.00718304998243433
218,3.737,0.00927071413585866
219,3.745,0.0251674927586728
220,3.752,0.0188838712059747
221,3.760,0.00947700506011008
222,3.768,0.0131242286008751
223,3.775,0.0148158141797367
224,3.783,0.0283567504475997
225,3.790,0.0191603010444716
226,3.798,0.00586691388571029
227,3.805,0.00987720945315783
228,3.813,0
229,3.820,0.0256584651583912
230,3.828,0.00983595126830755
231,3.835,0.00689424268848234
232,3.843,0.0108962866189598
233,3.850,0.0202041331211837
234,3.858,0.0177492711225919
235,3.865,0.0261741924690197
236,3.873,0.0280761947906178
237,3.881,0.0275068318396839
238,3.888,0.0227621405819013
239,3.896,0.0118039666856661
240,3.903,0.013400658439372
241,3.911,0.0184341569911066
242,3.918,0.0109540480777502
243,3.926,0.0104713273150019
244,3.933,0.00870960282189481
245,3.941,0.016169082642826
246,3.948,0.0210375484551595
247,3.956,0.0261164310102293
248,3.963,0.0319627158035145
249,3.971,0.0746113014832524
250,3.979,0.0546670949266254
251,3.986,0.0177038871192566
252,3.994,0.018788977380819
253,4.001,0.0255181873299002
254,4.009,0.0189540101202202
255,4.016,0.0211241906433451
256,4.024,0.0167879554155803
257,4.031,0.0193253337838727
258,4.039,0.0226383660273505
259,4.046,0.0086930995479547
260,4.054,0.0146260265294254
261,4.061,0.0251633669401878
262,4.069,0.0281298304309232
263,4.076,0.0134212875317972
264,4.084,0.0215739048582132
265,4.092,0.0230220671464581
266,4.099,0.0199318291011719
267,4.107,0.0149808469191379
268,4.114,0.0231994773413143
269,4.122,0.0180710849644241
270,4.129,0.0207734960721177
271,4.137,0.0152614025761198
272,4.144,0.0286414319230667
273,4.152,0.0257451073465768
274,4.159,0.0106817440577384
275,4.167,0.0252871414947387
276,4.174,0.0220566256209615
277,4.182,0.0184671635389868
278,4.189,0.0209137739006086
279,4.197,0.0218255797857999
280,4.205,0.025340777135044
281,4.212,0.0239338730316494
282,4.220,0.017621370749556
283,4.227,0.0255346906038404
284,4.235,0.0115687950320194
285,4.242,0.00247136527253197
286,4.250,0.0239586279425595
287,4.257,0.0199689614675371
288,4.265,0.0175636092907656
289,4.272,0.00971630253224172
290,4.280,0.0173531925480292
291,4.287,0.0239338730316494
292,4.295,0.0163588702931373
293,4.303,0.0120556416132528
294,4.310,0.014271206139713
295,4.318,0.0228776634994821
296,4.325,0.0182484951592803
297,4.333,0.0204558080487705
298,4.340,0.0121711645308336
299,4.348,0.0203609142236148
300,4.355,0.0184011504432264
301,4.363,0.0193872210611481
302,4.370,0.00760388346790722
303,4.378,0.0198905709163216
304,4.385,0.0102691622092355
305,4.393,0.0149107080048924
306,4.400,0.00450951960413597
307,4.408,0.0162887313788919
308,4.416,0.0631043937285083
309,4.423,0.122474921728066
310,4.431,0.0479172558851191
311,4.438,0.0320617354471552
312,4.446,0.0286042995567014
313,4.453,0.014122676674252
314,4.461,0.0232324838891945
315,4.468,0.030733221894976
316,4.476,0.0126002496532765
317,4.483,0.0216729245018538
318,4.491,0.0379864107916559
319,4.498,0.0271478856314864
320,4.506,0.0212974750197163
321,4.514,0.00886225810584086
322,4.521,0.00660956121301539
323,4.529,0.0172129147195382
324,4.536,0.0165239030325385
325,4.544,0.0100051098261937
326,4.551,0.0224362009215841
327,4.559,0.0229436765952426
328,4.566,0.0116925695865703
329,4.574,0.0190612814008309
330,4.581,0.0210169193627343
331,4.589,0.0172046630825681
332,4.596,0.0250973538444273
333,4.604,0.0135945719081684
334,4.611,0.0138833792021203
335,4.619,0.0150468600148983
336,4.627,0.0185909380935377
337,4.634,0.0119896285174923
338,4.642,0.00919644940312815
339,4.649,0.0193335854208428
340,4.657,0.0150798665627786
341,4.664,0.0208931448081835
342,4.672,0.0246393879925892
343,4.679,0.0175140994689453
344,4.687,0.0252458833098884
