#"+EI TIC Scan EA-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.111331461697116
1,2.102,0.106138681011354
2,2.110,0.100642555719814
3,2.117,0.103025407425732
4,2.125,0.101672330828904
5,2.132,0.0901013306690098
6,2.140,0.0922007946511086
7,2.147,0.0926358546778173
8,2.155,0.084078343693749
9,2.162,0.078219003150553
10,2.170,0.0808133978052379
11,2.177,0.0800989414311016
12,2.185,0.0836033699031221
13,2.193,0.0800869673019261
14,2.200,0.0672187698146892
15,2.208,0.0573201563629684
16,2.215,0.0682046397834694
17,2.223,0.0683124069460486
18,2.230,0.0618184375565528
19,2.238,0.0634628846299838
20,2.245,0.0528338492985595
21,2.253,0.057735259507718
22,2.260,0.0581144402649412
23,2.268,0.0569489583585289
24,2.275,0.0585854226791763
25,2.283,0.0544623308664232
26,2.291,0.0543944774677622
27,2.298,0.0430469943858098
28,2.306,0.0675141316676841
29,2.313,0.0538955554187844
30,2.321,0.038692402742331
31,2.328,0.0519757033743176
32,2.336,0.053859633031258
33,2.343,0.0437255283724197
34,2.351,0.0431467787956054
35,2.358,0.0504669630982085
36,2.366,0.0502913425369683
37,2.373,0.0482238095660041
38,2.381,0.0562065623496498
39,2.388,0.0502394546438746
40,2.396,0.154949222906956
41,2.404,0.402725886558537
42,2.411,0.186501053284316
43,2.419,0.0626686007280111
44,2.426,0.0495728947864402
45,2.434,0.0491897226528252
46,2.441,0.0452701910360551
47,2.449,0.0352438535397961
48,2.456,0.0499001876505697
49,2.464,0.0463877764257655
50,2.471,0.0436097784570568
51,2.479,0.0356070687914519
52,2.486,0.0581663281580349
53,2.494,0.0463797936729819
54,2.501,0.0430669512677689
55,2.509,0.0529495992139224
56,2.517,0.0457651217086412
57,2.524,0.0329208724797551
58,2.532,0.0539873570757963
59,2.539,0.0503512131828457
60,2.547,0.0417178660473328
61,2.554,0.0404206687199903
62,2.562,0.0404525997311249
63,2.569,0.0340384578694655
64,2.577,0.0337550701456461
65,2.584,0.0453500185638916
66,2.592,0.033148380934089
67,2.599,0.0261674636247908
68,2.607,0.043717545619636
69,2.615,0.0375349035887024
70,2.622,0.0396064279360585
71,2.630,0.0413426766665014
72,2.637,0.0378382481944809
73,2.645,0.0463358885326718
74,2.652,0.0349764313215439
75,2.660,0.0378941274639665
76,2.667,0.0428474255662186
77,2.675,0.0235850430992814
78,2.682,0.0343537766044196
79,2.690,0.0341142940209102
80,2.697,0.0319828990276768
81,2.705,0.040787875348038
82,2.712,0.0342699577001913
83,2.720,0.0397501174861641
84,2.728,0.0494890758822119
85,2.735,0.0607008521668424
86,2.743,0.043402226884682
87,2.750,0.0438013645238643
88,2.758,0.0439650109559291
89,2.765,0.046715069289895
90,2.773,0.0732018430260317
91,2.780,0.0465594056106139
92,2.788,0.0450905790984231
93,2.795,0.0316236751524127
94,2.803,0.0422367449782697
95,2.810,0.0537518658686788
96,2.818,0.0443402003367604
97,2.826,0.0318511836067466
98,2.833,0.0358465513749613
99,2.841,0.032609545121193
100,2.848,0.0287977806670021
101,2.856,0.044575691543878
102,2.863,0.0521074187952477
103,2.871,0.0319589507693258
104,2.878,0.03244989006552
105,2.886,0.0501476529868627
106,2.893,0.0540232794633227
107,2.901,0.0474694394279496
108,2.908,0.0414664093346479
109,2.916,0.0496088171739666
110,2.923,0.0450825963456395
111,2.931,0.0386963941187229
112,2.939,0.0466192762564913
113,2.946,0.0381615496822186
114,2.954,0.227356782031015
115,2.961,5.73116547312538
116,2.969,32.7039012590957
117,2.976,72.2299907711395
118,2.984,100
119,2.991,7.52479023920079
120,2.999,0.113710322026642
121,3.006,0.0763909527630982
122,3.014,0.0717210423846654
123,3.021,0.0534046161225902
124,3.029,0.0564340708039837
125,3.037,0.0787099424467473
126,3.044,0.0834596803530165
127,3.052,0.0652270729951696
128,3.059,0.0602298697526073
129,3.067,0.0609243692447845
130,3.074,0.0538117365145561
131,3.082,0.0495050413877792
132,3.089,0.0532250041849581
133,3.097,0.0444120451118132
134,3.104,0.0416819436598064
135,3.112,0.0573121736101848
136,3.119,0.0499680410492307
137,3.127,0.0773209434623929
138,3.134,0.072112197271064
139,3.142,0.0402610136643174
140,3.150,0.0420930554281641
141,3.157,0.0600861802025017
142,3.165,0.0613993430354114
143,3.172,0.0523987892718508
144,3.180,0.0456014752765764
145,3.187,0.0492895070626208
146,3.195,0.0405244445061777
147,3.202,0.0319509680165422
148,3.210,0.0348127848894792
149,3.217,0.0295361852994893
150,3.225,0.0389917559717177
151,3.232,0.0336991908761606
152,3.240,0.0275245315980106
153,3.247,0.0452143117665696
154,3.255,0.222247820249482
155,3.263,0.569685161028488
156,3.270,0.354450189099439
157,3.278,0.0768140386606314
158,3.285,0.035088189860515
159,3.293,0.0247624991348692
160,3.300,0.0360900253348625
161,3.308,0.0511415057084266
162,3.315,0.0542587706704403
163,3.323,0.0348447159006138
