#"+EI TIC Scan EA-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.120103398055741
1,2.102,0.0997947649872369
2,2.110,0.109877332910797
3,2.117,0.101607361467877
4,2.125,0.0880166641057448
5,2.132,0.0930806055235328
6,2.140,0.0920836774591808
7,2.147,0.0778850050275007
8,2.155,0.0859132969396687
9,2.163,0.0682820199227766
10,2.170,0.0718656742147086
11,2.178,0.0597968026477805
12,2.185,0.0620776532192525
13,2.193,0.0713105665425126
14,2.200,0.0688824425069886
15,2.208,0.0748791158637726
16,2.215,0.0630972387396126
17,2.223,0.0682518099814326
18,2.230,0.0692147518617726
19,2.238,0.0627460481714885
20,2.245,0.0567418223293685
21,2.253,0.0509981572313404
22,2.260,0.0533129939868245
23,2.268,0.0659973931086366
24,2.276,0.0492535331187244
25,2.283,0.0437893099781284
26,2.291,0.0448768678665124
27,2.298,0.0510057097166764
28,2.306,0.0623684239046885
29,2.313,0.0428565780391324
30,2.321,0.0446767270051084
31,2.328,0.0442575640689604
32,2.336,0.0482263951130284
33,2.343,0.0467687654431804
34,2.351,0.0489401049772804
35,2.358,0.0414329345532964
36,2.366,0.0434418956526724
37,2.374,0.0438195199194724
38,2.381,0.0414820257079804
39,2.389,0.0480791216489764
40,2.396,0.0917438156190608
41,2.404,0.334072860109959
42,2.411,0.199245891891686
43,2.419,0.0570779079268205
44,2.426,0.0398582413607403
45,2.434,0.0571949714495285
46,2.441,0.0448542104105044
47,2.449,0.0536188696429325
48,2.456,0.0529429222053605
49,2.464,0.0474824753074324
50,2.471,0.0426224509937164
51,2.479,0.0389443906350843
52,2.487,0.0504543782871484
53,2.494,0.0412403461772284
54,2.502,0.0434154619539964
55,2.509,0.0396241143153243
56,2.517,0.0408476169397564
57,2.524,0.0319809991552923
58,2.532,0.0578482614310925
59,2.539,0.0519422178983404
60,2.547,0.0392162801071803
61,2.554,0.0366031201809243
62,2.562,0.0343789132494723
63,2.569,0.0435098680206964
64,2.577,0.0374980896932403
65,2.585,0.0398960037874203
66,2.592,0.0423165753376084
67,2.600,0.0419502797988124
68,2.607,0.0379852249974123
69,2.615,0.0355759821752283
70,2.622,0.0408362882117524
71,2.630,0.0396732054700083
72,2.637,0.0372941725891683
73,2.645,0.0459568732695604
74,2.652,0.0479960443102804
75,2.660,0.0492497568760564
76,2.667,0.0511152207540484
77,2.675,0.0396467717713323
78,2.682,0.0288051790715043
79,2.690,0.0439214784715084
80,2.698,0.0253272595742762
81,2.705,0.0371733328237923
82,2.713,0.0341976536014083
83,2.720,0.0435211967487004
84,2.728,0.0554843335209245
85,2.735,0.0545667065526005
86,2.743,0.0407116722037084
87,2.750,0.0349491258923403
88,2.758,0.0516967621249204
89,2.765,0.0544609717578965
90,2.773,0.0707290251716406
91,2.780,0.0523047371944685
92,2.788,0.0436911276687604
93,2.795,0.0387404735310123
94,2.803,0.0460965942482764
95,2.811,0.0504996931991644
96,2.818,0.0412139124785524
97,2.826,0.0362708108261403
98,2.833,0.0470217737019364
99,2.841,0.0391332027684843
100,2.848,0.0448655391385084
101,2.856,0.0330156896463243
102,2.863,0.0358894103166723
103,2.871,0.0516703284262445
104,2.878,0.0394579596379323
105,2.886,0.0559601400970925
106,2.893,0.0614696781497045
107,2.901,0.0450203650878964
108,2.909,0.0471539421953164
109,2.916,0.0499219280709604
110,2.924,0.0477807984782044
111,2.931,0.0496273811428564
112,2.939,0.0513342428287924
113,2.946,0.0349831120763523
114,2.954,0.121644105064285
115,2.961,3.66071229981524
116,2.969,29.3000367919323
117,2.976,74.4039776825569
118,2.984,100
119,2.991,4.06194185953291
120,2.999,0.112346995615669
121,3.006,0.100655748315541
122,3.014,0.0733421850978966
123,3.022,0.0650420037136326
124,3.029,0.0614470206936965
125,3.037,0.0755626157866807
126,3.044,0.0819708995942767
127,3.052,0.0615338742750605
128,3.059,0.0505563368391844
129,3.067,0.0752303064318967
130,3.074,0.0520970438477285
131,3.082,0.0425053874710084
132,3.089,0.0538416679603445
133,3.097,0.0502919998524244
134,3.104,0.0297416872531683
135,3.112,0.0565832201373125
136,3.120,0.0522594222824525
137,3.127,0.0867516228119647
138,3.135,0.0636787801104846
139,3.142,0.0368523521970123
140,3.150,0.0434041332259924
141,3.157,0.0505714418098564
142,3.165,0.0556429357129805
143,3.172,0.0555598583742845
144,3.180,0.0444841386290404
145,3.187,0.0404699926729564
146,3.195,0.0266942594200922
147,3.202,0.0366597638209443
148,3.210,0.0383892829628883
149,3.217,0.0364407417462003
150,3.225,0.0302099413440003
151,3.233,0.0446880557331124
152,3.240,0.0381136172481243
153,3.248,0.0500163341376604
154,3.255,0.0370487168157483
155,3.263,0.0634786392490806
156,3.270,0.0347678662442763
157,3.278,0.0279706294418762
158,3.285,0.0313314854163963
159,3.293,0.0184847078598602
160,3.300,0.0282576238846442
161,3.308,0.0476373012568204
162,3.315,0.0490458397719844
163,3.323,0.0400319485234683
164,3.331,0.0452733733466524
165,3.338,0.0318828168459243
166,3.346,0.0210336716607602
167,3.353,0.0141609100050001
168,3.361,0.0163511307524401
169,3.368,0.0125106919590841
170,3.376,0.0195307270788962
171,3.383,0.0203992628925362
172,3.391,0.0315316262778003
173,3.398,0.0185602327132202
174,3.406,0.0222458455571882
175,3.413,0.0159999401843161
176,3.421,0.0317166621685323
177,3.428,0.0169515533366521
178,3.436,0.0306517617361563
179,3.444,0.0333404465157723
180,3.451,0.0326116316808483
181,3.459,0.0180693211663802
182,3.466,0.0295226651784243
183,3.474,0.0265394334707042
184,3.481,0.0302439275280123
185,3.489,0.0824391536851087
186,3.496,0.0656990699378646
187,3.504,0.0337784906652603
188,3.511,0.0244360663046282
189,3.519,0.0268830715534922
190,3.526,0.0171554704407241
191,3.534,0.0129902747779201
192,3.541,0.0224157764772482
193,3.549,0.0160867937656801
194,3.557,0.0318639356325843
195,3.564,0.0119404793162161
196,3.572,0.0259050247024802
197,3.579,0.0172347715367521
198,3.587,0.00711066494384406
199,3.594,0.00321358251046803
200,3.602,0.0147273464052001
201,3.609,0.0284577647460482
202,3.617,0.0185224702865402
203,3.624,0.0208977269247122
204,3.632,0.0211205252421242
205,3.639,0.0311540020110003
206,3.647,0.0182241471157682
207,3.655,0.0155732247628321
208,3.662,0.0280574830232402
209,3.670,0.0249345303368042
210,3.677,0.0217624864956842
211,3.685,0.0298323170772003
212,3.692,0.0172234428087482
213,3.700,0.0138172719222121
214,3.707,0.0192059702094482
215,3.715,0.0225177350292842
216,3.722,0.0220230472397762
