#"+EI TIC Scan EA-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.11254469634716
1,2.102,0.103203730530796
2,2.110,0.101298359394125
3,2.117,0.0890799733449422
4,2.125,0.0804825669965476
5,2.132,0.0786623953822479
6,2.140,0.0806800749802269
7,2.147,0.0763465174559686
8,2.155,0.0697280636499297
9,2.163,0.0692788298046983
10,2.170,0.0798784249288226
11,2.178,0.0759631196052969
12,2.185,0.0746812540641624
13,2.193,0.0632219183051987
14,2.200,0.0609989853124156
15,2.208,0.062222760270115
16,2.215,0.0547755474737354
17,2.223,0.0556391608141372
18,2.230,0.0605458787616218
19,2.238,0.0591788136981159
20,2.245,0.0483081291846278
21,2.253,0.0645347654908319
22,2.260,0.052970866681685
23,2.268,0.0440210441271175
24,2.276,0.0424487256688075
25,2.283,0.0453842364850612
26,2.291,0.0450589292178246
27,2.298,0.0354507467176594
28,2.306,0.0548530015849822
29,2.313,0.0482810202456914
30,2.321,0.036620303797486
31,2.328,0.0475064791332234
32,2.336,0.0430141406809092
33,2.343,0.0369417383591602
34,2.351,0.0456359623466133
35,2.358,0.0402180472648998
36,2.366,0.0387541645623353
37,2.374,0.0475568243055339
38,2.381,0.0360974885465701
39,2.389,0.0428708505751026
40,2.396,0.149765269506808
41,2.404,0.409782593667871
42,2.411,0.186753480332717
43,2.419,0.0553254716635877
44,2.426,0.0388354913791444
45,2.434,0.037793733582875
46,2.441,0.043513719698451
47,2.449,0.042921195747413
48,2.456,0.0433045935980847
49,2.464,0.0414185859892251
50,2.471,0.0265319058075906
51,2.479,0.0279105889877836
52,2.487,0.0470998450491777
53,2.494,0.0388742184347678
54,2.502,0.0443773330388528
55,2.509,0.0433510660648327
56,2.517,0.0449427480509544
57,2.524,0.0474251523164143
58,2.532,0.0417632567842734
59,2.539,0.0421427819293827
60,2.547,0.0401251023314036
61,2.554,0.0367287395532315
62,2.562,0.0287161117447503
63,2.569,0.0388780911403302
64,2.577,0.0343044258712068
65,2.585,0.0385101841119079
66,2.592,0.0300095954025718
67,2.600,0.0390523628906355
68,2.607,0.0352028935616696
69,2.615,0.0333749765362452
70,2.622,0.0309700263820321
71,2.630,0.035036367222489
72,2.637,0.0347807686553746
73,2.645,0.0313263152937674
74,2.652,0.0330419238578839
75,2.660,0.0370734103482798
76,2.667,0.0342811896378327
77,2.675,0.0304665746589279
78,2.682,0.0326197989515889
79,2.690,0.0250409141660897
80,2.698,0.0372670456263968
81,2.705,0.0347071872496901
82,2.713,0.0329605970410748
83,2.720,0.0286502757501905
84,2.728,0.0586288895082636
85,2.735,0.0586753619750117
86,2.743,0.0450395656900129
87,2.750,0.0402257926760244
88,2.758,0.0414999128060343
89,2.765,0.0357605631626466
90,2.773,0.0617076904303238
91,2.780,0.0373561178543306
92,2.788,0.0347110599552524
93,2.796,0.0327863252907695
94,2.803,0.0372321912763357
95,2.811,0.0539196795444583
96,2.818,0.0373677359710176
97,2.826,0.0320040387671769
98,2.833,0.0410700424886145
99,2.841,0.032859906696454
100,2.848,0.0353771653119749
101,2.856,0.0300328316359459
102,2.863,0.0346994418385654
103,2.871,0.043707354976568
104,2.878,0.0379912415665543
105,2.886,0.0403768281929557
106,2.893,0.0427546694082324
107,2.901,0.0540939512947636
108,2.909,0.0545509305511197
109,2.916,0.0341921174098989
110,2.924,0.0369572291814096
111,2.931,0.0377124067660659
112,2.939,0.0369572291814096
113,2.946,0.0383823848283507
114,2.954,0.197236894289971
115,2.961,5.35667598865623
116,2.969,30.975920639898
117,2.976,69.8852606414107
118,2.984,100
119,2.991,8.6478831926941
120,2.999,0.108993425346494
121,3.007,0.0829572258508828
122,3.014,0.0773108211409912
123,3.022,0.0661845380603887
124,3.029,0.0555191069417047
125,3.037,0.0719432512315882
126,3.044,0.0695576646051868
127,3.052,0.0530018483261837
128,3.059,0.0476730054724041
129,3.067,0.0569210263552717
130,3.074,0.0465615389760125
131,3.082,0.0398540129420398
132,3.089,0.0549575646351654
133,3.097,0.0351912754449826
134,3.104,0.0323835639122862
135,3.112,0.0524015789640211
136,3.120,0.0644069662072747
137,3.127,0.0759127744329865
138,3.135,0.0520065629966624
139,3.142,0.0411010241331133
140,3.150,0.0326856349461487
141,3.157,0.0431109583199677
142,3.165,0.062017506875311
143,3.172,0.0445438593780334
144,3.180,0.0558250506811295
145,3.187,0.0385837655175923
146,3.195,0.0237435578027059
147,3.202,0.034068190831904
148,3.210,0.037406463026641
149,3.217,0.0313379334104544
150,3.225,0.0388200005568951
151,3.233,0.0259200183287409
152,3.240,0.0266790686189595
153,3.248,0.0472973530328571
154,3.255,0.238969169429745
155,3.263,0.555206560239296
156,3.270,0.33396276416838
157,3.278,0.0597055016545941
158,3.285,0.0302651939696862
159,3.293,0.0256760378783135
160,3.300,0.0316322590331922
161,3.308,0.041530894450533
162,3.315,0.0546864752458016
163,3.323,0.0345367882049471
164,3.331,0.0330148149189476
165,3.338,0.0232129971406653
166,3.346,0.0165248346345043
167,3.353,0.0205563211249001
168,3.361,0.0215593518655462
169,3.368,0.026206598540354
170,3.376,0.0326391624794006
171,3.383,0.0153165504990543
172,3.391,0.00668041709503631
173,3.398,0.027949316043407
174,3.406,0.0184379511823002
175,3.413,0.0193286734616384
176,3.421,0.012625020133228
177,3.428,0.0146543178478941
178,3.436,0.0280809880325265
179,3.444,0.0408454255659988
180,3.451,0.0289872011341141
181,3.459,0.0183992241266768
182,3.466,0.0216251878601059
183,3.474,0.0171212312911047
184,3.481,0.0470920996380531
185,3.489,0.10163915748361
186,3.496,0.0532497014821735
187,3.504,0.0276859720651679
188,3.511,0.0171986854023515
189,3.519,0.016145309489395
