#"+EI TIC Scan EA-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.116457150720667
1,2.102,0.0984070475934037
2,2.110,0.0900756192395735
3,2.117,0.0800548506899524
4,2.125,0.0862636727742476
5,2.132,0.085265968329204
6,2.140,0.0895708046398901
7,2.148,0.0718029206982771
8,2.155,0.0657968194374767
9,2.163,0.0618298511659488
10,2.170,0.0761912302892258
11,2.178,0.0758811866768218
12,2.185,0.0579304565022525
13,2.193,0.0646917922035241
14,2.200,0.0666633515849648
15,2.208,0.0561337935175525
16,2.215,0.0582047258516868
17,2.223,0.0541622341361118
18,2.230,0.0483986028798838
19,2.238,0.0693146219628297
20,2.245,0.0600013888363869
21,2.253,0.0530890062470211
22,2.261,0.0498732974978566
23,2.268,0.0422136303042351
24,2.276,0.0512605439174591
25,2.283,0.0346135868822297
26,2.291,0.0564756364748184
27,2.298,0.0475360456505035
28,2.306,0.044849001009669
29,2.313,0.0332819893161356
30,2.321,0.0380121418643503
31,2.328,0.0517534337628193
32,2.336,0.0463713946449347
33,2.343,0.0547823213609197
34,2.351,0.03817113858866
35,2.359,0.0405481396170906
36,2.366,0.0501753912740451
37,2.374,0.0540827357739569
38,2.381,0.0356033414910578
39,2.389,0.041983085053986
40,2.396,0.103681763922379
41,2.404,0.329421338179236
42,2.411,0.181311914566608
43,2.419,0.0484463018971767
44,2.426,0.0528942352597416
45,2.434,0.0371058605357848
46,2.441,0.0472617763010692
47,2.449,0.0394987612366463
48,2.456,0.0250896830960764
49,2.464,0.0407389356862623
50,2.472,0.0404129924014273
51,2.479,0.0369110895485054
52,2.487,0.0373841048033268
53,2.494,0.0340610732652533
54,2.502,0.0355516675556571
55,2.509,0.0380041920281348
56,2.517,0.0347924581970781
57,2.524,0.0355437177194416
58,2.532,0.0522264490176407
59,2.539,0.0430841373698309
60,2.547,0.0427383194944572
61,2.554,0.0404527415825047
62,2.562,0.0373801298852191
63,2.570,0.03559936657295
64,2.577,0.0370661113547073
65,2.585,0.0392046172966733
66,2.592,0.0312070820638936
67,2.600,0.0381194646532593
68,2.607,0.0330474691477788
69,2.615,0.0528982101778494
70,2.622,0.0461169998860391
71,2.630,0.0356033414910578
72,2.637,0.0350786523008356
73,2.645,0.0367838921690576
74,2.652,0.0313263296071259
75,2.660,0.0364579488842226
76,2.667,0.034283668679287
77,2.675,0.0290288269408502
78,2.683,0.0319384669957183
79,2.690,0.0378332705495018
80,2.698,0.0386759531883434
81,2.705,0.0489829158417221
82,2.713,0.0315886742022369
83,2.720,0.0338146283425732
84,2.728,0.0519323050776677
85,2.735,0.0500958929118903
86,2.743,0.0368355661044582
87,2.750,0.0479454622156011
88,2.758,0.0309844866498599
89,2.765,0.0444197098540327
90,2.773,0.0556488535084078
91,2.781,0.0584869450373366
92,2.788,0.0347407842616774
93,2.796,0.0326738268456509
94,2.803,0.0421460566964034
95,2.811,0.055537555801391
96,2.818,0.0350786523008356
97,2.826,0.0284325892246886
98,2.833,0.0408621581476023
99,2.841,0.0332859642342434
100,2.848,0.0373801298852191
101,2.856,0.0276853046204329
102,2.863,0.0347248845892465
103,2.871,0.0383778343302627
104,2.878,0.0379286685840877
105,2.886,0.0425196989985313
106,2.894,0.0462759966103488
107,2.901,0.0348799063954485
108,2.909,0.0400870491165923
109,2.916,0.046319720709534
110,2.924,0.0418081886572452
111,2.931,0.045592310695817
112,2.939,0.0277886524912342
113,2.946,0.0415696935707806
114,2.954,0.101193465186932
115,2.961,3.47500458208685
116,2.969,27.2551628323215
117,2.976,72.0168150165728
118,2.984,100
119,2.991,4.11897708980425
120,2.999,0.105383028872493
121,3.007,0.0725422554663173
122,3.014,0.0657451455020761
123,3.022,0.0557005274438085
124,3.029,0.0547703966065965
125,3.037,0.0589798348826968
126,3.044,0.0599974139182791
127,3.052,0.045560511350955
128,3.059,0.0359889085475089
129,3.067,0.0498295733986715
130,3.074,0.0459381285711906
131,3.082,0.0362671528150509
132,3.089,0.0353250972235157
133,3.097,0.0367083687250104
134,3.105,0.042555473261501
135,3.112,0.0349395301670646
136,3.120,0.0498891971702876
137,3.127,0.0607963724579355
138,3.135,0.0546193497185023
139,3.142,0.0338424527693274
140,3.150,0.0296131399026884
141,3.157,0.0298476600710453
142,3.165,0.0473412746632241
143,3.172,0.0478103149999378
144,3.180,0.0404527415825047
145,3.187,0.0371972836522629
146,3.195,0.0277369785558335
147,3.202,0.0365255224920542
148,3.210,0.031262730917402
149,3.218,0.0377299226787005
150,3.225,0.0290367767770656
151,3.233,0.0295614659672878
152,3.240,0.0238137343834908
153,3.248,0.0241953265218342
154,3.255,0.0323280089702772
155,3.263,0.0530611818202668
156,3.270,0.0413510730748547
157,3.278,0.0127753867982873
158,3.285,0.0159155721034046
159,3.293,0.0241039034053561
160,3.300,0.020991542526993
161,3.308,0.036652719871502
162,3.316,0.0498693225797489
163,3.323,0.0316721474824995
164,3.331,0.035134301154344
165,3.338,0.0228438543652014
166,3.346,0.0170444488460038
167,3.353,0.019147180525
168,3.361,0.0224821368173968
169,3.368,0.0276296557669245
170,3.376,0.0212777366307505
171,3.383,0.0105096834768736
172,3.391,0.0248869622725815
173,3.398,0.0159553212844821
174,3.406,0.0231181237146357
175,3.413,0.0250141596520293
176,3.421,0.0130178568028597
177,3.429,0.0230704246973428
178,3.436,0.0163726876857951
179,3.444,0.0191909046241852
180,3.451,0.0234838161805481
181,3.459,0.0145640999467719
182,3.466,0.0177042852518892
183,3.474,0.00601802601512353
184,3.481,0.0305233961493617
185,3.489,0.0791485693613869
186,3.496,0.049014715186584
187,3.504,0.0154505066847987
188,3.511,0.0107561283995537
189,3.519,0.0246365424317937
190,3.527,0.00719857669312332
191,3.534,0.0155260301288458
192,3.542,0.0184913190372224
193,3.549,0.0138724641960245
194,3.557,0.010875375942786
195,3.564,0.00701573046016713
196,3.572,0.0102433639636548
197,3.579,0.0214009590920905
198,3.587,0.00229352774816795
199,3.594,0.0205821259618954
200,3.602,0.00885611754405233
201,3.609,0.00903101394079304
202,3.617,0.00865737163866516
203,3.624,0.0224821368173968
204,3.632,0.0157526004609872
205,3.640,0.0222913407482251
206,3.647,0.00536613944545361
207,3.655,0.0116624097281192
208,3.662,0.0083314283538302
209,3.670,0.0113285166070687
210,3.677,0.0158718480042195
211,3.685,0.0267193995202512
212,3.692,0.0116981839910889
213,3.700,0.0144806266665093
214,3.707,0.0131649287728462
215,3.715,0.0128628349966577
216,3.722,0.0129582330312435
217,3.730,0.0664725555157931
218,3.737,0.0726774026819806
219,3.745,0.0555494805557142
220,3.753,0.047094829740544
221,3.760,0.03637447560396
222,3.768,0.0443084121470158
223,3.775,0.0366884941344717
224,3.783,0.0343035432698257
225,3.790,0.0266438760762041
226,3.798,0.0335363840750312
227,3.805,0.0276535052755709
228,3.813,0.0193061772493098
229,3.820,0.0245013952161304
230,3.828,0.030487621886392
231,3.835,0.0171080475357277
232,3.843,0.0244139470177601
233,3.851,0.025638221794945
234,3.858,0.0156731020988323
235,3.866,0.0144726768302938
236,3.873,0.00941658099724415
237,3.881,0.0133040509066172
238,3.888,0.0251771312944468
239,3.896,0.0252009808030932
240,3.903,0.0134511228766037
241,3.911,0.0269737942791468
242,3.918,0.0226967823952149
243,3.926,0.0147032220805429
244,3.933,0.0243781727547904
245,3.941,0.0229551520722182
246,3.948,0.0316999719092537
247,3.956,0.017938805420246
248,3.964,0.0301298792566951
249,3.971,0.0707575172359405
250,3.979,0.0480289354958637
251,3.986,0.0322604353624456
252,3.994,0.0269380200161771
253,4.001,0.0136578186182064
254,4.009,0.0191034564258149
255,4.016,0.0248988870269048
256,4.024,0.0200057628362726
257,4.031,0.0198745905387171
258,4.039,0.0223151902568715
259,4.046,0.0308731889428431
260,4.054,0.0177678839416131
261,4.062,0.0271765151026417
262,4.069,0.0183124477223739
263,4.077,0
264,4.084,0.0171120224538354
265,4.092,0.0259880145884264
266,4.099,0.0158758229223272
267,4.107,0.0198467661119629
