#"+EI TIC Scan EA-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0986672768541532
1,2.102,0.0900685185009584
2,2.110,0.0727518504086123
3,2.117,0.0882911769937738
4,2.125,0.0846868475685894
5,2.132,0.076768245043563
6,2.140,0.0682737441530801
7,2.147,0.0797817821800464
8,2.155,0.0751001256401718
9,2.162,0.0711433066981994
10,2.170,0.0749958681774599
11,2.178,0.0785455865507476
12,2.185,0.0639495417710751
13,2.193,0.0592877437955267
14,2.200,0.0585430476332985
15,2.208,0.0612835295102982
16,2.215,0.0554153237519401
17,2.223,0.0622119173925427
18,2.230,0.0570536553088421
19,2.238,0.0596154101069071
20,2.245,0.052823781107386
21,2.253,0.0644211826738197
22,2.260,0.0465832272679138
23,2.268,0.0496315168919679
24,2.275,0.0579820431910866
25,2.283,0.0406206933290068
26,2.291,0.0419363232156099
27,2.298,0.0588012089695376
28,2.306,0.0444831840904303
29,2.313,0.0344049626949422
30,2.321,0.0492343456054462
31,2.328,0.0401242292208547
32,2.336,0.0360184710464366
33,2.343,0.0374482876779147
34,2.351,0.0489960428335332
35,2.358,0.0383866048423223
36,2.366,0.0322999548763772
37,2.373,0.0546706275897119
38,2.381,0.030041043184285
39,2.389,0.0409632535636318
40,2.396,0.163088459527973
41,2.404,0.381532667114908
42,2.411,0.149956983867349
43,2.419,0.0427852768405501
44,2.426,0.040898713229572
45,2.434,0.0400596888867949
46,2.441,0.0408738900241644
47,2.449,0.0352042699090671
48,2.456,0.0442349520363543
49,2.464,0.0435696901314304
50,2.471,0.0282637016771004
51,2.479,0.040784526484697
52,2.486,0.0370759395968006
53,2.494,0.0382575241742027
54,2.502,0.0381929838401429
55,2.509,0.0353085273717791
56,2.517,0.0349858257014802
57,2.524,0.0414497883896209
58,2.532,0.044051260316338
59,2.539,0.0314857537390077
60,2.547,0.0378653175287625
61,2.554,0.0350652599587845
62,2.562,0.0359291075069692
63,2.569,0.0396674822413547
64,2.577,0.0384362512531375
65,2.584,0.0362964909470018
66,2.592,0.0425916558383708
67,2.600,0.0376766611676647
68,2.607,0.0320666167455457
69,2.615,0.0326822322396544
70,2.622,0.033421963760801
71,2.630,0.0537422397074675
72,2.637,0.0416334801096372
73,2.645,0.0230657224647477
74,2.652,0.033069474244013
75,2.660,0.0384759683817896
76,2.667,0.0475116151501583
77,2.675,0.0352439870377193
78,2.682,0.0321956974136653
79,2.690,0.0255629369287529
80,2.697,0.0465931565500769
81,2.705,0.0320566874633827
82,2.713,0.0334269284018825
83,2.720,0.0378404943233549
84,2.728,0.0514287169634786
85,2.735,0.0572969227218367
86,2.743,0.0585728354797876
87,2.750,0.0415192933647622
88,2.758,0.0382922766617734
89,2.765,0.0567508122028693
90,2.773,0.0589302896376572
91,2.780,0.0378802114520071
92,2.788,0.0480726195923702
93,2.795,0.0308751028859806
94,2.803,0.0310488653238339
95,2.811,0.0547748850524239
96,2.818,0.042641302249186
97,2.826,0.0350056842658063
98,2.833,0.0324290355444968
99,2.841,0.0373092777276322
100,2.848,0.0385007915871972
101,2.856,0.0458434957467672
102,2.863,0.0343702102073716
103,2.871,0.0373241716508767
104,2.878,0.0438576393141587
105,2.886,0.0462952780851856
106,2.893,0.0503166373612178
107,2.901,0.0426264083259414
108,2.908,0.0589104310733311
109,2.916,0.0545713347680815
110,2.924,0.0530223667506469
111,2.931,0.0301651592113231
112,2.939,0.0418469596761426
113,2.946,0.0412363088231155
114,2.954,0.351372472544666
115,2.961,8.34684750007733
116,2.969,41.6070185726726
117,2.976,87.4909116039202
118,2.984,100
119,2.991,1.88006489580236
120,2.999,0.129577132227704
121,3.006,0.0911905273853822
122,3.014,0.0922877130643984
123,3.022,0.0762320638067587
124,3.029,0.0743603941190252
125,3.037,0.0842598884355786
126,3.044,0.0896812764965998
127,3.052,0.0738142836000579
128,3.059,0.0642424555948849
129,3.067,0.0734121476724546
130,3.074,0.0522180948954404
131,3.082,0.052937967852261
132,3.089,0.0510365103180384
133,3.097,0.0507138086477395
134,3.104,0.0396476236770287
