#"+EI TIC Scan EA-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.129930879695587
1,2.102,0.117691177181641
2,2.110,0.132550861951673
3,2.117,0.134192567571366
4,2.125,0.0985585599767912
5,2.132,0.0927619897921893
6,2.140,0.101763259302905
7,2.147,0.109954920562813
8,2.155,0.0849245321420098
9,2.163,0.101521501283566
10,2.170,0.0972485688487483
11,2.178,0.0834065166717455
12,2.185,0.0836257855730059
13,2.193,0.0825069519486259
14,2.200,0.0779191718607159
15,2.208,0.0748775186406677
16,2.215,0.0716503301964762
17,2.223,0.0738486414885997
18,2.230,0.0842723477177481
19,2.238,0.0828724001173932
20,2.245,0.072032645203802
21,2.253,0.0711668141577994
22,2.261,0.0662416972987196
23,2.268,0.061951898025343
24,2.276,0.0587471986992294
25,2.283,0.0711893032758774
26,2.291,0.0571279821976141
27,2.298,0.063115709885879
28,2.306,0.0757827056433068
29,2.313,0.0771208081689473
30,2.321,0.0726567182304662
31,2.328,0.0570942485204971
32,2.336,0.0533329435219533
33,2.343,0.0595736737885955
34,2.351,0.046063336103243
35,2.358,0.057420340732628
36,2.366,0.0536534134545647
37,2.374,0.0497121955113969
38,2.381,0.0490037882919402
39,2.389,0.064245788069298
40,2.396,0.141220416970738
41,2.404,0.420175437610126
42,2.411,0.192973499947713
43,2.419,0.0579544572869803
44,2.426,0.0578532562556293
45,2.434,0.0544686439848918
46,2.441,0.0555649884911938
47,2.449,0.0577239438266809
48,2.456,0.05068484986827
49,2.464,0.058437973325657
50,2.472,0.052900027998952
51,2.479,0.0450288366716555
52,2.487,0.0527538487314451
53,2.494,0.0513257897334927
54,2.502,0.0545642227367233
55,2.509,0.0443991413654718
56,2.517,0.0584548401642155
57,2.524,0.0463444500792179
58,2.532,0.0673998868797361
59,2.539,0.0420040502901659
60,2.547,0.0510278089189593
61,2.554,0.0450288366716555
62,2.562,0.0396145814943794
63,2.569,0.0431791067097408
64,2.577,0.0485371390918219
65,2.585,0.058584152593164
66,2.592,0.0554356760622454
67,2.600,0.0519667295987154
68,2.607,0.0455798200645663
69,2.615,0.0443935190859523
70,2.622,0.0578701230941878
71,2.630,0.0436794895869761
72,2.637,0.0453717957223449
73,2.645,0.0377817183710232
74,2.652,0.0457259993320732
75,2.660,0.0469966345034796
76,2.667,0.0430610388398314
77,2.675,0.0478512209904432
78,2.683,0.0339810574158429
79,2.690,0.0455011081512933
80,2.698,0.0470359904601161
81,2.705,0.0353866272957173
82,2.713,0.0464681402286469
83,2.720,0.0456810210959172
84,2.728,0.0644088341753634
85,2.735,0.058572908034125
86,2.743,0.0477668867976508
87,2.750,0.0565039091709499
88,2.758,0.0593150489306987
89,2.765,0.055193918042907
90,2.773,0.0697556219984055
91,2.780,0.0571448490361726
92,2.788,0.0496503504366824
93,2.796,0.0536871471316817
94,2.803,0.0435501771580277
95,2.811,0.0662135859011221
96,2.818,0.0455685755055273
97,2.826,0.0381246774217126
98,2.833,0.0528269383651985
99,2.841,0.0478343541518848
100,2.848,0.0634642912160878
101,2.856,0.050763561781543
102,2.863,0.038287723527778
103,2.871,0.0486102287255754
104,2.878,0.0509659638442449
105,2.886,0.0677540904894644
106,2.893,0.0584660847232545
107,2.901,0.0588877556872169
108,2.909,0.0619800094229405
109,2.916,0.0532092533725244
110,2.924,0.0564308195371964
111,2.931,0.0573584956579135
112,2.939,0.0510165643599203
113,2.946,0.0421108736010363
114,2.954,0.270240487384167
115,2.961,7.15482296004021
116,2.969,41.8937411659933
117,2.976,92.7430764438857
118,2.984,100
119,2.991,2.192537211057
120,2.999,0.128930113941117
121,3.007,0.108358193179275
122,3.014,0.0988846521889221
123,3.022,0.0705371188516157
124,3.029,0.0683725412366091
125,3.037,0.0947916326987279
126,3.044,0.0981031553357119
127,3.052,0.0734269705246374
128,3.059,0.0654883118431069
129,3.067,0.0778067262703259
130,3.074,0.067681000855711
131,3.082,0.0501619778729567
132,3.089,0.0683444298390117
133,3.097,0.0545079999415283
134,3.104,0.0553232304718554
135,3.112,0.0584773292822935
136,3.120,0.0734382150836764
137,3.127,0.102499777919959
138,3.135,0.07205513432188
139,3.142,0.0623960581073833
140,3.150,0.0348693775799235
141,3.157,0.0675966666629185
142,3.165,0.0614964933842637
143,3.172,0.0511008985527128
144,3.180,0.0558798361442857
145,3.187,0.0634924026136853
146,3.195,0.0442754512160428
147,3.202,0.0466592977323098
148,3.210,0.0381696556578685
149,3.218,0.0564083304191185
150,3.225,0.040559124453655
151,3.233,0.0254295702666872
152,3.240,0.0399575405450688
153,3.248,0.047362082672247
154,3.255,0.0616145612541731
155,3.263,0.0662360750192001
156,3.270,0.033868611825453
157,3.278,0.0355440511222632
158,3.285,0.0366122842309677
159,3.293,0.0474857728216759
160,3.300,0.0412337979959947
161,3.308,0.0612603576444448
162,3.315,0.0707732545914346
163,3.323,0.0336605874832316
164,3.331,0.0347344428714556
165,3.338,0.0340991252857524
166,3.346,0.0267226945561716
167,3.353,0.0352292034691714
168,3.361,0.0407671487958764
169,3.368,0.0211847492294666
170,3.376,0.0296350353472713
171,3.383,0.0193350192675519
172,3.391,0.0329128243071384
173,3.398,0.0200265596484501
174,3.406,0.0467211428070243
175,3.413,0.0275435473660183
176,3.421,0.0344870625725977
177,3.429,0.0401655648872902
178,3.436,0.0424594549312451
179,3.444,0.0469404117082847
180,3.451,0.0392210219280146
181,3.459,0.0387937286845328
182,3.466,0.0279877074480586
183,3.474,0.0349143558160795
184,3.481,0.0618225855963945
185,3.489,0.108729263627562
186,3.496,0.0742084673778475
187,3.504,0.039406557152158
188,3.511,0.0366516401876042
189,3.519,0.0296181685087128
190,3.526,0.0351954697920544
191,3.534,0.0322325284852792
192,3.542,0.0156692930208395
193,3.549,0.027031919929744
194,3.557,0.0281676203926825
195,3.564,0.0271724769177314
196,3.572,0.0227870988925234
197,3.579,0.0391816659713781
198,3.587,0.0253845920305312
199,3.594,0.0351336247173399
200,3.602,0.0119473439789322
201,3.609,0.034874999859443
202,3.617,0.0252046790859073
203,3.624,0.0321931725286427
204,3.632,0.0308831814005998
205,3.639,0.0331770714445548
206,3.647,0.0418747378612174
207,3.655,0.0282744437035529
208,3.662,0.0221967595429761
209,3.670,0.0444666087197058
210,3.677,0.0463275832406594
211,3.685,0.0248954537123349
212,3.692,0.0295788125520764
213,3.700,0.0221517813068202
214,3.707,0.0180868732142235
215,3.715,0.0291458970290751
216,3.722,0.0248448531966595
217,3.730,0.0276897266335252
218,3.737,0.0292864540170625
219,3.745,0.0372757132142684
220,3.753,0.0379222753590107
221,3.760,0.0301522850630651
222,3.768,0.0376018054263993
223,3.775,0.0385913266218309
224,3.783,0.0177158027659366
225,3.790,0.0304615104366375
226,3.798,0.032614843492605
227,3.805,0.0362074801055639
228,3.813,0.0275041914093818
229,3.820,0.0260648878523904
230,3.828,0.0219325124055598
231,3.835,0.0279033732552661
232,3.843,0.0286342695928008
233,3.850,0.0263853577850018
234,3.858,0.0266046266862622
235,3.866,0.0328228678348264
236,3.873,0.0137858293818079
237,3.881,0.0307201352945344
238,3.888,0.0245749837797236
239,3.896,0.0164620344330887
240,3.903,0.0308213363258853
241,3.911,0.0330758704132038
242,3.918,0.0197454456724752
243,3.926,0.0337842776326605
244,3.933,0.0342902827894153
245,3.941,0.0283475333373064
