#"+EI TIC Scan EA-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0979314200090608
1,2.102,0.112697295465438
2,2.110,0.0967359586897929
3,2.117,0.0741224581214475
4,2.125,0.0706594766224068
5,2.132,0.0780173482261591
6,2.140,0.0744579585562097
7,2.147,0.0740569005652295
8,2.155,0.0882867465913541
9,2.163,0.0735825723643587
10,2.170,0.084507546291733
11,2.178,0.0659161946136986
12,2.185,0.0704859419147712
13,2.193,0.0681490078519442
14,2.200,0.0744232516146826
15,2.208,0.0539422997868377
16,2.215,0.0479958438051889
17,2.223,0.0559090264733752
18,2.230,0.0622835347338587
19,2.238,0.0578796094867491
20,2.245,0.0457244672985798
21,2.253,0.0538921675379651
22,2.261,0.0495653688275825
23,2.268,0.0494766733103465
24,2.276,0.0578140519305312
25,2.283,0.0416560424862325
26,2.291,0.0539114491721469
27,2.298,0.0480536887077341
28,2.306,0.0395582006872591
29,2.313,0.0260919073747315
30,2.321,0.0490216267436575
31,2.328,0.0347994933712055
32,2.336,0.042392600911975
33,2.343,0.0379539687233383
34,2.351,0.0489097932654034
35,2.358,0.0412202775537252
36,2.366,0.0336773022618282
37,2.374,0.048462459352387
38,2.381,0.0380195262795562
39,2.389,0.044741103955311
40,2.396,0.0968747864559014
41,2.404,0.309751740475991
42,2.411,0.197555767499278
43,2.419,0.0600622904761222
44,2.426,0.0438271544950965
45,2.434,0.025278222412262
46,2.441,0.0505795827855421
47,2.449,0.0306655110026403
48,2.456,0.0456627660691982
49,2.464,0.0325628238061236
50,2.471,0.0446794027259295
51,2.479,0.0538844548842925
52,2.487,0.032300593581252
53,2.494,0.0519370098319367
54,2.502,0.033962670447718
55,2.509,0.0424195951998295
56,2.517,0.0335616124567378
57,2.524,0.0386056879586812
58,2.532,0.0345796827415337
59,2.539,0.0370901515119963
60,2.547,0.0325743927866327
61,2.554,0.0342866019019712
62,2.562,0.0493417018710744
63,2.569,0.0400788048101661
64,2.577,0.0478300217512259
65,2.585,0.0484431777182052
66,2.592,0.0485395858891139
67,2.600,0.0347840680638602
68,2.607,0.0319959437611805
69,2.615,0.0492221557391476
70,2.622,0.0349344648104777
71,2.630,0.0387175214369352
72,2.637,0.0374989221566492
73,2.645,0.0288183304480296
74,2.652,0.0321193462199436
75,2.660,0.0304302750656231
76,2.667,0.0220196262355478
77,2.675,0.0448336557993834
78,2.682,0.0355283391432753
79,2.690,0.0418295771938682
80,2.698,0.0385864063244994
81,2.705,0.0397240227412221
82,2.713,0.0356286036410204
83,2.720,0.0423578939704479
84,2.728,0.0623182416753858
85,2.735,0.0562098199666104
86,2.743,0.038813929607844
87,2.750,0.0390954414668974
88,2.758,0.05064514034176
89,2.765,0.0471397392475196
90,2.773,0.0605597566380111
91,2.780,0.0560054346442839
92,2.788,0.0434492344651344
93,2.796,0.0423424686631025
94,2.803,0.0421072327260853
95,2.811,0.0590712144791807
96,2.818,0.0467078306418486
97,2.826,0.0399823966392574
98,2.833,0.0493339892174017
99,2.841,0.0467579628907211
100,2.848,0.0562638085423193
101,2.856,0.0385092797877725
102,2.863,0.0386403949002083
103,2.871,0.0360065236709825
104,2.878,0.0464533130706496
105,2.886,0.0390298839106794
106,2.893,0.0709448448082966
107,2.901,0.118705452676468
108,2.909,0.0846116671163144
109,2.916,0.0532674425904768
110,2.924,0.0549295194569428
111,2.931,0.0451190239852731
112,2.939,0.0511310375231399
113,2.946,0.0435726369238975
114,2.954,0.0893433801445135
115,2.961,3.18050170195129
116,2.969,24.5515207579132
117,2.976,68.7993773728943
118,2.984,100
119,2.991,6.39422565959771
120,2.999,0.112311662781803
121,3.007,0.0736018539985405
122,3.014,0.0726377722894534
123,3.022,0.0848816099948587
124,3.029,0.0840370744176985
125,3.037,0.0634134384969087
126,3.044,0.0802925810596045
127,3.052,0.0588051279274727
128,3.059,0.045782312201125
129,3.067,0.0612500391417174
130,3.074,0.0563872110010824
131,3.082,0.0414825077785969
132,3.089,0.0405878399525641
133,3.097,0.0417601633108139
134,3.104,0.035347091781967
135,3.112,0.0401289370590387
136,3.120,0.0575633906861686
137,3.127,0.0634867087067993
138,3.135,0.067416305753038
139,3.142,0.0477721768486807
140,3.150,0.036133782456582
141,3.157,0.0502325133702708
142,3.165,0.0636332491265805
143,3.172,0.0454930876883989
144,3.180,0.0426895380783738
145,3.187,0.0310704253204569
146,3.195,0.0463453359192319
147,3.202,0.0188921451712695
148,3.210,0.0350462982887318
149,3.217,0.0276730013776342
150,3.225,0.0314984775992915
151,3.233,0.0292849459952277
152,3.240,0.0262037408529856
153,3.248,0.037950112396502
154,3.255,0.0405338513768552
155,3.263,0.0467309686028667
156,3.270,0.0285522438963216
157,3.278,0.0386789581685718
158,3.285,0.0333765087685931
159,3.293,0.0323198752154337
160,3.300,0.0399284080635486
161,3.308,0.0341516304626991
162,3.315,0.0490794716462027
163,3.323,0.0345295504926612
164,3.331,0.0336811585886646
165,3.338,0.0282051744810502
166,3.346,0.024503100718156
167,3.353,0.0177391034472014
168,3.361,0.0148777089346311
169,3.368,0.0261613212577857
170,3.376,0.0267667645710924
171,3.383,0.0199063591292291
172,3.391,0.0233500589940879
173,3.398,0.0280432087539236
174,3.406,0.0240634794588123
175,3.413,0.0137979374204536
176,3.421,0.0287643418723207
177,3.428,0.029365928858791
178,3.436,0.0250854060704446
179,3.444,0.0324201397131787
180,3.451,0.0232652198036883
181,3.459,0.020492520808354
182,3.466,0.017380465051421
183,3.474,0.0228255985443446
184,3.481,0.0339780957550634
185,3.489,0.0694485899957935
186,3.496,0.0631010760231645
187,3.504,0.0238899447511767
188,3.511,0.0239593586342309
189,3.519,0.0329561691434311
190,3.526,0.0187995933271971
191,3.534,0.0251625326071716
192,3.542,0.015641261648228
193,3.549,0.0122785446469325
194,3.557,0.0231456736717615
195,3.564,0.0167904470454598
196,3.572,0.0187108978099611
197,3.579,0.0142298460261246
198,3.587,0.00759696386760582
199,3.594,0.00359024028464011
200,3.602,0.0131770687998016
201,3.609,0.0276652887239615
202,3.617,0.0167634527576053
203,3.624,0.019108099474105
204,3.632,0.0235467316627417
205,3.639,0.0117617968508618
206,3.647,0.0183059834921446
207,3.655,0.0302760219921692
208,3.662,0.0227484720076176
209,3.670,0.025366917929498
210,3.677,0.00827567739080309
211,3.685,0.0128878442870755
212,3.692,0.0132773332975466
213,3.700,0.0146347603439412
214,3.707,0.0295240382590813
215,3.715,0.0183175524726536
216,3.722,0.0205310840767175
217,3.730,0.0105933298194483
218,3.737,0.0180977418429818
219,3.745,0.0178085173302557
220,3.753,0.0248193195187366
221,3.760,0.0117039519483166
222,3.768,0.019196794991341
223,3.775,0.0216879821276219
224,3.783,0.0136205463859816
225,3.790,0.0174190283197845
226,3.798,0.0211943722925693
227,3.805,0.0183175524726536
228,3.813,0.0181324487845089
229,3.820,0.0187378920978156
230,3.828,0.0288723190237385
231,3.835,0.0159536241219722
232,3.843,0.0261227579894222
233,3.850,0.0205889289792627
234,3.858,0.013126936550929
235,3.866,0.0230608344813618
236,3.873,0.0157492387996458
237,3.881,0.00957140320781606
238,3.888,0.0140871619331797
239,3.896,0.00848006271312954
240,3.903,0.014765875456377
241,3.911,0.0171722234022582
242,3.918,0.0200837501637011
243,3.926,0.0134392990246732
244,3.933,0.0237395480045591
245,3.941,0.0217921029522033
246,3.948,0.0215761486493678
247,3.956,0.0145460648267052
248,3.964,0.0474096821260639
249,3.971,0.0714885868922217
250,3.979,0.0617050857084065
251,3.986,0.0330757152753579
252,3.994,0.0185952080048707
253,4.001,0.00966781137872477
254,4.009,0.0196981174800663
255,4.016,0.0143301105238697
256,4.024,0.0193163411232678
257,4.031,0.019883221168211
258,4.039,0.00511348938499762
259,4.046,0.0210362628922791
260,4.054,0.017889500193819
261,4.061,0.0174922985296751
262,4.069,0.0166400502988422
263,4.077,0.0270289947959641
264,4.084,0.0210362628922791
265,4.092,0.0267282013027289
266,4.099,0.0301719011675878
267,4.107,0.0282668757104318
268,4.114,0.0204963771351903
269,4.122,0.0240326288441216
270,4.129,0.0271523972547272
271,4.137,0.0254594697735704
272,4.144,0.0163006935372436
273,4.152,0.0246843480794644
274,4.159,0.0209784179897338
275,4.167,0.0359409661147646
276,4.174,0.0166901825477147
277,4.182,0.0174036030124391
278,4.190,0.0207508947063893
279,4.197,0.0255558779444791
280,4.205,0.0161348714832806
281,4.212,0.0312131094134018
282,4.220,0.0332029740609574
283,4.227,0.0231996622474704
284,4.235,0.0238860884243403
285,4.242,0.0143185415433606
286,4.250,0.0273452135965446
287,4.257,0.0240981864003395
288,4.265,0.00956754688097972
289,4.272,0.0355167701627663
290,4.280,0.0279352316025059
291,4.288,0.0212213665804238
292,4.295,0.0170603899240041
293,4.303,0.0265662355756023
294,4.310,0.0161657220979714
295,4.318,0.0313943567747101
296,4.325,0.0240789047661577
297,4.333,0.0267590519174197
298,4.340,0.023373196955106
299,4.348,0.0212059412730784
300,4.355,0.0179974773452367
301,4.363,0.0234426108381603
302,4.370,0
303,4.378,0.0129109822480935
304,4.385,0.027283512367163
305,4.393,0.0220234825623842
306,4.401,0.0214411772100956
307,4.408,0.0340822165796448
308,4.416,0.0834123494702101
309,4.423,0.107529817504731
310,4.431,0.0705206488562983
311,4.438,0.0229952769251439
312,4.446,0.0221584540016564
313,4.453,0.0232575071500156
314,4.461,0.0166323376451695
315,4.468,0.0180938855161454
316,4.476,0.0202457158908277
317,4.483,0.0310704253204569
318,4.491,0.0262885800433852
319,4.499,0.0141102998941978
320,4.506,0.0304495566998049
321,4.514,0.0245185260255014
322,4.521,0.0172454936121488
323,4.529,0.0400363852149663
324,4.536,0.0280933410027961
325,4.544,0.027372207884399
326,4.551,0.0338238426816095
327,4.559,0.0348419129664054
328,4.566,0.0248270321724093
329,4.574,0.0276305817824344
330,4.581,0.0382354805823917
331,4.589,0.0213062057708234
332,4.596,0.0240441978246306
333,4.604,0.0234464671649966
334,4.612,0.0254748950809158
335,4.619,0.0295548888737721
336,4.627,0.0254980330419339
337,4.634,0.0260379187990226
338,4.642,0.0197096864605753
339,4.649,0.0237009847361956
340,4.657,0.0175925630274202
341,4.664,0.0281627548858504
342,4.672,0.0168637172553504
343,4.679,0.0186067769853797
344,4.687,0.0147620191295407
345,4.694,0.0155757040920101
346,4.702,0.0142067080651065
347,4.710,0.00961382280301589
348,4.717,0.0183792537020352
349,4.725,0.0247537619625187
350,4.732,0.0193471917379586
351,4.740,0.0213756196538777
352,4.747,0.0173187638220395
353,4.755,0.00715348628142579
354,4.762,0.021545298034677
355,4.770,0.0287142096234482
356,4.777,0.0270906960253456
357,4.785,0.0196556978848664
358,4.792,0.0150435309885941
359,4.800,0.0218615168352576
360,4.807,0.0233539153209243
361,4.815,0.0258605277645506
362,4.823,0.0166400502988422
363,4.830,0.0222471495188924
364,4.838,0.033785279413246
365,4.845,0.0224014025923463
366,4.853,0.0217573960106762
367,4.860,0.0194821631772308
368,4.868,0.0220157699087115
369,4.875,0.0236007202384506
370,4.883,0.0277385589338521
371,4.890,0.0221391723674746
372,4.898,0.021202084946242
373,4.905,0.0253476362953163
374,4.913,0.0110869396545009
375,4.920,0.0162467049615347
376,4.928,0.0245956525622284
377,4.936,0.0110406637324647
378,4.943,0.0228911561005625
379,4.951,0.0163431131324434
380,4.958,0.0155911293993555
381,4.966,0.0141025872405251
382,4.973,0.0250005668800449
383,4.981,0.027183247869418
384,4.988,0.0151515081400118
385,4.996,0.0333919340759385
386,5.003,0.0214141829222412
387,5.011,0.0163161188445889
388,5.018,0.0246534974647736
389,5.026,0.0114417217234449
390,5.034,0.0224014025923463
391,5.041,0.0195631460407941
392,5.049,0.0124443667008954
393,5.056,0.0186414839269069
394,5.064,0.00916648888999951
395,5.071,0.0233577716477606
396,5.079,0.0324471340010332
397,5.086,0.00615469763081162
398,5.094,0.0248154631919002
399,5.101,0.0205580783645719
400,5.109,0.0348033496980419
401,5.116,0.0254864640614248
402,5.124,0.0299867974794431
403,5.131,0.0242023072249209
404,5.139,0.025177957914517
405,5.147,0.0251471072998262
406,5.154,0.0140370296843072
407,5.162,0.0178355116181101
408,5.169,0.0265508102682569
409,5.177,0.025023704841063
410,5.184,0.0171452291144038
411,5.192,0.021622424571404
412,5.199,0.0299983664599521
413,5.207,0.0267590519174197
414,5.214,0.0248308884992456
415,5.222,0.0231919495937977
416,5.229,0.0208897224724978
417,5.237,0.0166631882598603
418,5.245,0.0160577449465536
419,5.252,0.0179473450963642
420,5.260,0.0269750062202552
421,5.267,0.0231649553059432
422,5.275,0.0226790581245634
423,5.282,0.0375760486933762
424,5.290,0.0268053278394559
425,5.297,0.020669911842826
426,5.305,0.0141180125478705
427,5.312,0.0175000111833478
428,5.320,0.0236817031020139
429,5.327,0.0264813963852026
430,5.335,0.0197405370752661
431,5.342,0.0217034074349673
432,5.350,0.0240981864003395
433,5.358,0.0327132205527412
434,5.365,0.0222394368652197
435,5.373,0.0177159654861833
436,5.380,0.0215260164004953
437,5.388,0.0309778734763845
438,5.395,0.0408462138505994
439,5.403,0.0128955569407482
440,5.410,0.027958369563524
441,5.418,0.0216802694739492
442,5.425,0.0209552800287158
443,5.433,0.0207007624575168
444,5.440,0.0240981864003395
445,5.448,0.0188651508834151
446,5.456,0.0328289103578316
447,5.463,0.0357095865045837
448,5.471,0.0479379989026436
449,5.478,0.0404181615717648
450,5.486,0.0451383056194549
451,5.493,0.040464437493801
452,5.501,0.0272256674646178
453,5.508,0.0257679759204782
454,5.516,0.0294661933565361
455,5.523,0.038813929607844
456,5.531,0.0327826344357955
457,5.538,0.0264428331168391
458,5.546,0.0254401881393886
459,5.553,0.0269827188739279
460,5.561,0.0255674469249881
461,5.569,0.0264235514826574
462,5.576,0.0291075549607557
463,5.584,0.0196595542117028
464,5.591,0.0212830678098053
465,5.599,0.0197366807484297
466,5.606,0.0242562958006298
