#"+EI TIC Scan EA-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.102435765924854
1,2.102,0.107619114994164
2,2.110,0.0930826097958495
3,2.117,0.0816683581707811
4,2.125,0.0766278573041687
5,2.133,0.0766040492703858
6,2.140,0.076495212544521
7,2.148,0.0712744508506951
8,2.155,0.0733389474944425
9,2.163,0.0603907782642175
10,2.170,0.065370058472531
11,2.178,0.0767230894393004
12,2.185,0.0683698707291789
13,2.193,0.0664516234358122
14,2.200,0.0575134073241675
15,2.208,0.0487418474490032
16,2.215,0.053836766678548
17,2.223,0.0545612111350854
18,2.230,0.0511192496796119
19,2.238,0.0593194167439861
20,2.246,0.0524184880946226
21,2.253,0.059380637402285
22,2.261,0.047983391515633
23,2.268,0.0381370689725541
24,2.276,0.0640470120237373
25,2.283,0.0494186758379748
26,2.291,0.0501431202945122
27,2.298,0.0499016388089997
28,2.306,0.0531599382895764
29,2.313,0.0470922908226152
30,2.321,0.0611458330499044
31,2.328,0.0411096720477358
32,2.336,0.044548232355526
33,2.344,0.0357358587081625
34,2.351,0.0437013465823908
35,2.359,0.0418137096181736
36,2.366,0.0467963909741703
37,2.374,0.0367153892409455
38,2.381,0.0441673038149993
39,2.389,0.0374296302544331
40,2.396,0.105136277185373
41,2.404,0.317238649009722
42,2.411,0.18380822424719
43,2.419,0.0471841218100636
44,2.426,0.0364807100507995
45,2.434,0.0390247685178887
46,2.441,0.0476058641227896
47,2.449,0.0380996563480381
48,2.457,0.0648802932061395
49,2.464,0.0591085455876231
50,2.472,0.0440278567599851
51,2.479,0.0519661354527472
52,2.487,0.0750361201883964
53,2.494,0.0331577887642406
54,2.502,0.0410518525371201
55,2.509,0.0401267403672695
56,2.517,0.0380384356897391
57,2.524,0.0402185713547179
58,2.532,0.0415518212465614
59,2.539,0.0513165162452418
60,2.547,0.0352256865556713
61,2.555,0.039177820163636
62,2.562,0.0382084930739029
63,2.570,0.0266309863600373
64,2.577,0.0364160882448173
65,2.585,0.0336781643597816
66,2.592,0.0418035061751237
67,2.600,0.0423817012812804
68,2.607,0.0432013778729494
69,2.615,0.0356168185392479
70,2.622,0.0310898909728099
71,2.630,0.0321680547884078
72,2.637,0.0396879923161272
73,2.645,0.0254303812278415
74,2.652,0.0346542937448813
75,2.660,0.0519729377481137
76,2.668,0.0347121132554969
77,2.675,0.0401437461056859
78,2.683,0.0354263542689845
79,2.690,0.0323245075818384
80,2.698,0.0320456134718099
81,2.705,0.0358242885479276
82,2.713,0.0393546798431663
83,2.720,0.0326238085779665
84,2.728,0.0527858120444163
85,2.735,0.0478473456083021
86,2.743,0.0411538869676184
87,2.750,0.0392832557418175
88,2.758,0.0438237878989886
89,2.765,0.0392356396742517
90,2.773,0.0710057601837164
91,2.781,0.049595535517505
92,2.788,0.0354229531213013
93,2.796,0.0362596354513867
94,2.803,0.0425483575177608
95,2.811,0.0495003033823734
96,2.818,0.0424157127581131
97,2.826,0.0297532399332831
98,2.833,0.0353107152477532
99,2.841,0.0461263648805653
100,2.848,0.0431163491808676
101,2.856,0.0521736054614269
102,2.863,0.0533878151843558
103,2.871,0.0356644346068137
104,2.879,0.0452454676305973
105,2.886,0.0701554732628978
106,2.894,0.0572685246909717
107,2.901,0.048292895954811
108,2.909,0.0513233185406083
109,2.916,0.0431877732822164
110,2.924,0.0445074185833268
111,2.931,0.0319299744505786
112,2.939,0.0341339181493403
113,2.946,0.0463746486614443
114,2.954,0.109520356549114
115,2.961,2.97974888646425
116,2.969,24.5524701855394
117,2.976,65.134005218721
118,2.984,100
119,2.992,6.44680400954498
120,2.999,0.0985992713381203
121,3.007,0.0733967670050582
122,3.014,0.0669039760776877
123,3.022,0.0621695785025699
124,3.029,0.0602139185846872
125,3.037,0.0599282221792922
126,3.044,0.0684412948305276
127,3.052,0.0529456659855302
128,3.059,0.0503846017800247
129,3.067,0.0596323223308473
130,3.074,0.0494288792810246
131,3.082,0.0388445076906751
132,3.090,0.0569148053319112
133,3.097,0.0402287747977678
134,3.105,0.032865290063479
135,3.112,0.0418477210950063
136,3.120,0.0350012108085752
137,3.127,0.0653496515864313
138,3.135,0.0606934804080289
139,3.142,0.0323891293878206
140,3.150,0.0396267716578282
141,3.157,0.049136380580263
142,3.165,0.0603669702304346
143,3.172,0.0388138973615257
144,3.180,0.0433714352571132
145,3.187,0.0448645390900706
146,3.195,0.0319197710075288
147,3.203,0.0223455402791118
148,3.210,0.0360215551135575
149,3.218,0.0314742206610199
150,3.225,0.0357766724803618
151,3.233,0.0287771105481834
152,3.240,0.0166282110235278
153,3.248,0.0333312472960876
154,3.255,0.0398784565863905
155,3.263,0.0477044974056045
156,3.270,0.0367153892409455
157,3.278,0.039871654291024
158,3.285,0.0204749090533109
159,3.293,0.019012415549503
160,3.301,0.0355896093577817
161,3.308,0.0350930417960236
162,3.316,0.0531225256650604
163,3.323,0.040827376790024
164,3.331,0.0313551804921053
165,3.338,0.0279812419902972
166,3.346,0.0193695360562468
167,3.353,0.0202878459307309
168,3.361,0.0204817113486775
169,3.368,0.0298178617392653
170,3.376,0.0165669903652288
171,3.383,0.0230189675204001
172,3.391,0.0205395308592932
173,3.398,0.024134543960514
174,3.406,0.0244338449566422
175,3.414,0.0221686805995815
176,3.421,0.0173900681045812
177,3.429,0.0226142309460904
178,3.436,0.0243726242983432
179,3.444,0.0202606367492647
180,3.451,0.0259507568233825
181,3.459,0.0221890874856812
182,3.466,0.0251582894131796
183,3.474,0.0305389050481194
184,3.481,0.0327972671098135
185,3.489,0.0904739295227782
186,3.496,0.0574045705983027
187,3.504,0.0312225357324576
188,3.512,0.0335727287816001
189,3.519,0.0228897239084357
190,3.527,0.0186552950427592
191,3.534,0.0130502036607233
192,3.542,0.0237332085338877
193,3.549,0.0102408556743387
194,3.557,0.0289573713753969
195,3.564,0.0129413669348585
196,3.572,0.022335336836062
197,3.579,0.0209782789104355
198,3.587,0.0120842777186734
199,3.594,0.0198490978795885
200,3.602,0.0118359939377944
201,3.609,0.0240869278929482
202,3.617,0.0243114036400443
203,3.625,0.00937356301510382
204,3.632,0.021913594523336
205,3.640,0.0282431303619093
206,3.647,0.0226992596381723
207,3.655,0.00817295788290801
208,3.662,0.0144650810969654
209,3.670,0.0178968391093891
210,3.677,0.022124465679699
211,3.685,0.0165601880698623
212,3.692,0.0116353262244812
213,3.700,0.0176553576238766
214,3.707,0.0150364739077554
215,3.715,0.0318789572353295
216,3.722,0.0206517687328412
217,3.730,0.018478435363229
218,3.738,0.0196008140987095
219,3.745,0.0278690041167492
220,3.753,0.0113530309667694
221,3.760,0.0216993222192897
222,3.768,0.0260731981399804
223,3.775,0.0371473349967213
224,3.783,0.0120570685372072
225,3.790,0.0279574339565143
226,3.798,0.0265629634063718
227,3.805,0.0136658113913959
228,3.813,0.0242943979016279
229,3.820,0.0126046533142143
230,3.828,0.0217265314007559
231,3.836,0.0139515077967909
232,3.843,0.0155874598324459
233,3.851,0.0201756080571828
234,3.858,0.012526426917499
235,3.866,0.0128121233228941
236,3.873,0.0153935944144992
237,3.881,0.0179818678014709
238,3.888,0.0113666355575025
239,3.896,0.00492826299306438
240,3.903,0.0136352010622464
241,3.911,0.0208048203785886
242,3.918,0.0243556185599269
243,3.926,0.0246719252944714
244,3.933,0.0223319356883787
245,3.941,0.0197470634490903
246,3.949,0.0197606680398234
247,3.956,0.0179274494385385
248,3.964,0.03875607785091
249,3.971,0.0723832249954425
250,3.979,0.0453270951749958
251,3.986,0.0270663332634964
252,3.994,0.0301715810983258
253,4.001,0.0230835893263823
254,4.009,0.0263146796254928
255,4.016,0.0261412210936458
256,4.024,0.0192402924442824
257,4.031,0.0130400002176735
258,4.039,0.0285050187335214
259,4.047,0.0371949510642871
260,4.054,0.0265221496341726
261,4.062,0.019607616394076
262,4.069,0.0137304331973781
263,4.077,0.0184444238863962
264,4.084,0.0321612524930413
265,4.092,0.0177403863159585
266,4.099,0.0189239857097379
267,4.107,0.0153561817899832
268,4.114,0.0147507775023604
269,4.122,0.000241481485512471
270,4.129,0.0235155350821581
271,4.137,0.026998310309831
272,4.144,0.0183866043757806
273,4.152,0.0310762863820768
274,4.160,0.0289029530124645
275,4.167,0.0186144812705599
276,4.175,0.0192334901489159
277,4.182,0.0286818784130517
278,4.190,0.0222537092916634
279,4.197,0.0287192910375677
280,4.205,0.0158561504994245
281,4.212,0.00748592605088661
282,4.220,0.0273520296688915
283,4.227,0.0238420452597525
284,4.235,0.0162676893691007
285,4.242,0.022161878304215
286,4.250,0.0235223373775247
287,4.258,0.0155976632754957
288,4.265,0.02072319283419
289,4.273,0.0197028485292077
290,4.280,0.0175057071258125
291,4.288,0.0236957959093717
292,4.295,0.0152983622793675
293,4.303,0.0111047471858904
294,4.310,0.0210292961256846
295,4.318,0.0105265520797338
296,4.325,0.020760605458706
297,4.333,0.0224543770049766
298,4.340,0.0104687325691181
299,4.348,0.0140365364888728
300,4.355,0.0206585710282078
301,4.363,0.0152507462118017
302,4.371,0.0351576636020059
303,4.378,0.014560313232097
304,4.386,0.0270391240820302
305,4.393,0.0141045594425383
306,4.401,0.0225155976632755
307,4.408,0.0180430884597699
308,4.416,0.0870829852825537
309,4.423,0.127077080890176
310,4.431,0.0562515815336727
311,4.438,0.0255086076245568
312,4.446,0.0245664897162899
313,4.453,0.0153629840853498
314,4.461,0.0254882007384572
315,4.468,0.0251888997423291
316,4.476,0.0215632763119587
317,4.484,0.0123597706810186
318,4.491,0.00974088696489744
319,4.499,0.0105809704426662
320,4.506,0.0265935737355213
321,4.514,0.0229373399760015
322,4.521,0.0163221077320331
323,4.529,0.0251548882654963
324,4.536,0.0160772250988374
325,4.544,0.0237638188630371
326,4.551,0.0275084824623221
327,4.559,0.0280118523194467
328,4.566,0.0153357749038836
329,4.574,0.0177914035312076
330,4.582,0.0224611793003431
331,4.589,0.0231958271999303
332,4.597,0.0210258949780014
333,4.604,0.0258793327220337
334,4.612,0.0197980806643394
335,4.619,0.0113938447389687
336,4.627,0.0112441942409047
337,4.634,0.019284507364165
338,4.642,0.0163935318333819
339,4.649,0.0224441735619267
340,4.657,0.0204715079056277
341,4.664,0.0198729059133714
342,4.672,0.0130502036607233
343,4.679,0.0201075851035173
344,4.687,0.0234781224576421
345,4.695,0.0223149299499623
346,4.702,0.0141657801008372
347,4.710,0.0246719252944714
348,4.717,0.0258487223928843
349,4.725,0.017634950737777
350,4.732,0.0184036101141969
351,4.740,0.02570927533787
352,4.747,0.0251446848224465
353,4.755,0.0142099950207198
354,4.762,0.0168220764414744
355,4.770,0.0137474389357945
356,4.777,0.0158969642716238
357,4.785,0.0131250289097553
358,4.793,0.0106489933963317
359,4.800,0.0316612837835999
360,4.808,0.0204817113486775
361,4.815,0.0221890874856812
362,4.823,0.0175601254887449
363,4.830,0.0269268862084822
364,4.838,0.0305423061958027
365,4.845,0.0251888997423291
366,4.853,0.0285900474256033
367,4.860,0.0225666148785246
368,4.868,0.0219612105909018
369,4.875,0.0186723007811756
370,4.883,0.0236651855802222
371,4.890,0.0112714034223708
372,4.898,0.0199205219809372
373,4.906,0.0210803133409338
374,4.913,0.0166690247957271
375,4.921,0.0264677312712402
376,4.928,0.00525477317065871
377,4.936,0.0188355558699728
378,4.943,0.0284608038136389
379,4.951,0.0178322173034069
