#"+EI TIC Scan EA-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0956658853441547
1,2.102,0.101564318743067
2,2.110,0.0982192579642402
3,2.117,0.084446736932438
4,2.125,0.0818648350093348
5,2.132,0.082998874804289
6,2.140,0.0719009759303976
7,2.147,0.0872354763024197
8,2.155,0.0706349881089865
9,2.163,0.0913187327968303
10,2.170,0.47403220045373
11,2.178,0.38508139980737
12,2.185,0.147785355794644
13,2.193,0.102081412360263
14,2.200,0.0871320575789805
15,2.208,0.0887903233168852
16,2.215,0.0636845366612955
17,2.223,0.0804633329985895
18,2.230,0.0689267960908008
19,2.238,0.0690944057460299
20,2.245,0.0600791459924317
21,2.253,0.0541700141048874
22,2.260,0.0566627619560603
23,2.268,0.0535281047869888
24,2.276,0.0606497320527861
25,2.283,0.0442917429350034
26,2.291,0.0418453552012343
27,2.298,0.0412498060007395
28,2.306,0.0356473641206356
29,2.313,0.0530252758213016
30,2.321,0.0538740225860786
31,2.328,0.0338999443108005
32,2.336,0.0318280036791389
33,2.343,0.0390209542024805
34,2.351,0.0398803994558891
35,2.358,0.0423410518411671
36,2.366,0.0381008841801591
37,2.374,0.0400087813194689
38,2.381,0.0418524875269887
39,2.389,0.0402798096981372
40,2.396,0.102926592962163
41,2.404,0.331243038850064
42,2.411,0.192829559096739
43,2.419,0.0570122459180273
44,2.426,0.041324695421161
45,2.434,0.0479006997667444
46,2.441,0.0301590394526026
47,2.449,0.0395879740999575
48,2.456,0.042073589625376
49,2.464,0.0366993821694138
50,2.471,0.0382684938353882
51,2.479,0.0320633704290351
52,2.487,0.197925605848279
53,2.494,0.787537145152529
54,2.502,0.547858904337823
55,2.509,0.331228774198555
56,2.517,0.249267652791535
57,2.524,0.176393114395658
58,2.532,0.172662908026092
59,2.539,0.138730868249396
60,2.547,0.107430656676085
61,2.554,0.107480582956366
62,2.562,0.0920426638609048
63,2.569,0.0933978057542463
64,2.577,0.0866934195450831
65,2.585,0.0917930324594998
66,2.592,0.0779242250300128
67,2.600,0.0725428852482962
68,2.607,0.0700180419312284
69,2.615,0.0586241515385282
70,2.622,0.0677677931557061
71,2.630,0.0692548830755045
72,2.637,0.0622759023247958
73,2.645,0.0807129643999945
74,2.652,0.295938026365641
75,2.660,0.222075660852775
76,2.667,0.100366088016323
77,2.675,0.0933692764512286
78,2.682,0.183746542248474
79,2.690,0.145659922719824
80,2.698,0.0888045879683941
81,2.705,0.0624256811656388
82,2.713,0.0534282522264268
83,2.720,0.0490953643306113
84,2.728,0.0769934565190599
85,2.735,0.0833269617889927
86,2.743,0.0656459262437635
87,2.750,0.0490311733988214
88,2.758,0.0672792288415277
89,2.765,0.0506502113450768
90,2.773,0.085726989405358
91,2.780,0.0552148998279112
92,2.788,0.0384681989565122
93,2.795,0.0526080347646675
94,2.803,0.0463529850780333
95,2.811,0.0539346473549913
96,2.818,0.0453758564496766
97,2.826,0.0370809615972758
98,2.833,0.0396200695658525
99,2.841,0.034074686291784
100,2.848,0.0562027269448996
101,2.856,0.0468308509035801
102,2.863,0.0400230459709777
103,2.871,0.0315890707663656
104,2.878,0.0284294504571535
105,2.886,0.0668584216220164
106,2.893,0.0510317907729387
107,2.901,0.0457431712260297
108,2.909,0.0665303346373127
109,2.916,0.0630818551350463
110,2.924,0.0438174432723339
111,2.931,0.0436747967572453
112,2.939,0.04561478936245
113,2.946,0.0569016948688337
114,2.954,0.117002237838529
115,2.961,3.2403011781461
116,2.969,25.7969125873567
117,2.976,70.0371850935533
118,2.984,100
119,2.991,6.95994813943297
120,2.999,0.105922169779023
121,3.006,0.0763907749928106
122,3.014,0.0814618586042096
123,3.022,0.0666444518493835
124,3.029,0.0537456407224989
125,3.037,0.0728317444413506
126,3.044,0.0661594536980824
127,3.052,0.0619513815029693
128,3.059,0.034406339439365
129,3.067,0.0696578594806297
