#"+EI TIC Scan EA-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.524800289445179
1,2.102,0.486810609754214
2,2.110,0.456533585127107
3,2.117,0.416081856508435
4,2.125,0.399399048272484
5,2.132,0.354314431886622
6,2.140,0.332672227602745
7,2.148,0.288884819791697
8,2.155,0.281401602979167
9,2.163,0.26393782223389
10,2.170,0.227086509251436
11,2.178,0.237322985079895
12,2.185,0.201283530525215
13,2.193,0.18461837138552
14,2.200,0.166788371892932
15,2.208,0.173102336078503
16,2.215,0.155792984925466
17,2.223,0.152819112206336
18,2.230,0.146694875805516
19,2.238,0.118134225789301
20,2.245,0.128445710276848
21,2.253,0.111581998804274
22,2.261,0.113792548110333
23,2.268,0.101526426212438
24,2.276,0.0862246597585162
25,2.283,0.0819271048201888
26,2.291,0.132734440667048
27,2.298,1.21222817634095
28,2.306,1.21420487512161
29,2.313,0.364303820367498
30,2.321,0.236299337497049
31,2.328,0.192772253855776
32,2.336,0.170971207705595
33,2.343,0.143822485389857
34,2.351,0.129526717422526
35,2.358,0.115451563158394
36,2.366,0.105479823773774
37,2.374,0.0866129398761475
38,2.381,0.0947447609760833
39,2.389,0.0919650283157688
40,2.396,0.195044574998731
41,2.404,0.42483139597733
42,2.411,0.191541229391922
43,2.419,0.0892911902329901
44,2.426,0.078304627813652
45,2.434,0.0815035265100456
46,2.441,0.0665459174331154
47,2.449,0.0725730838045274
48,2.456,0.0582596667409399
49,2.464,0.0621248188209962
50,2.472,0.0660738041082684
51,2.479,0.0670709780467304
52,2.487,0.0455302560663253
53,2.494,0.0668371275213389
54,2.502,0.0549504611929465
55,2.509,0.0434741363525054
56,2.517,0.0540062345432524
57,2.524,0.0583170263037718
58,2.532,0.0619350910362446
59,2.539,0.0613173726672859
60,2.547,0.0565962394188153
61,2.554,0.044669862623847
62,2.562,0.0444183630021995
63,2.569,0.047198095662514
64,2.577,0.0465847895676192
65,2.585,0.0462494567387559
66,2.592,0.0493998204204456
67,2.600,0.0491350839766061
68,2.607,0.0461303253390281
69,2.615,0.0377514168915088
70,2.622,0.0365468660720392
71,2.630,0.0400943344194881
72,2.637,0.0603554969213358
73,2.645,0.0437962323591768
74,2.652,0.0374646190773494
75,2.660,0.0555770041100333
76,2.667,0.0509308795206505
77,2.675,0.0373543122257496
78,2.683,0.0344995709063473
79,2.690,0.0385059157564513
80,2.698,0.037138110796614
81,2.705,0.0239145254268324
82,2.713,0.0334229760347334
83,2.720,0.0292622015923897
84,2.728,0.0470216046999543
85,2.735,0.0420357350076443
86,2.743,0.0349893333274503
87,2.750,0.0513323964604737
88,2.758,0.0264162848211154
89,2.765,0.0414577271052614
90,2.773,0.0645559818302554
91,2.780,0.0432535226493058
92,2.788,0.0218584057130125
93,2.796,0.0334979846938213
94,2.803,0.0507588008321549
95,2.811,0.0405929213887191
96,2.818,0.0380558638019242
97,2.826,0.0247572697730547
98,2.833,0.0331052923021261
99,2.841,0.047180446566258
100,2.848,0.0385059157564513
101,2.856,0.0275811251740091
102,2.863,0.0448066431198307
103,2.871,0.0297343149172368
104,2.878,0.0397413524943688
105,2.886,0.0409370787657104
106,2.894,0.0470922010849782
107,2.901,0.0483849973857276
108,2.909,0.0379632060465804
109,2.916,0.053737085825349
110,2.924,0.0279914666619602
111,2.931,0.0373631367738776
112,2.939,0.0229217637624343
113,2.946,0.0424151905771475
114,2.954,0.224302364317057
115,2.961,6.29291322601212
116,2.969,36.3119918990648
117,2.976,82.0883557881314
118,2.984,100
119,2.991,2.78622752773666
120,2.999,0.0971538626150225
121,3.007,0.0760102453003766
122,3.014,0.057716957031069
123,3.022,0.0458788257173806
124,3.029,0.0484555937707515
125,3.037,0.0701948680840362
126,3.044,0.0818918066276769
127,3.052,0.0604922774173195
128,3.059,0.0794518190702897
129,3.067,0.0669827325654506
130,3.074,0.0441359774621041
131,3.082,0.044184512476808
132,3.089,0.0387927135706107
133,3.097,0.0334626865013093
134,3.105,0.0256926718746208
135,3.112,0.0347951932686347
136,3.120,0.0472907534178578
137,3.127,0.0811152463924144
138,3.135,0.0586126486660592
139,3.142,0.0669341975507467
140,3.150,0.120644809731712
141,3.157,0.0989540704331309
142,3.165,0.0750748431988104
143,3.172,0.034120115336844
144,3.180,0.0447845817495108
145,3.187,0.0537988576622448
146,3.195,0.132385871015992
147,3.202,0.204685393828552
148,3.210,0.215327798870899
149,3.218,0.177986723467341
150,3.225,0.145746236881758
151,3.233,0.126177801407957
152,3.240,0.102607433358116
153,3.248,0.0828845682920749
154,3.255,0.0972465203703663
155,3.263,0.0876057015405455
156,3.270,0.0574742819575495
157,3.278,0.0525413595540073
158,3.285,0.0584714558960115
159,3.293,0.042181340051756
160,3.300,0.0348613773795946
161,3.308,0.0694580183153496
162,3.315,0.0638456057059528
163,3.323,0.05521960991085
164,3.331,0.0468495260114587
165,3.338,0.0559255737610886
166,3.346,0.373137193043609
167,3.353,0.412093160754587
168,3.361,0.129151674127087
169,3.368,0.0541827255058121
170,3.376,0.0447669326532548
171,3.383,0.0370410407672062
172,3.391,0.0212406873440537
173,3.398,0.0345657550173071
174,3.406,0.0183859460246514
175,3.413,0.0206450303454149
176,3.421,0.0226217291260829
