#"+EI TIC Scan END-MEOH.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.171419149619354
1,2.102,0.124597465658659
2,2.110,0.143878241366423
3,2.117,0.157761041855226
4,2.125,0.133248135558619
5,2.132,0.130557172689306
6,2.140,0.106648796818608
7,2.147,0.139619779251168
8,2.155,0.121376869938328
9,2.163,0.107419171874634
10,2.170,0.109088317829357
11,2.178,0.0964359774994845
12,2.185,0.0915301863440964
13,2.193,0.0947561318912055
14,2.200,0.0843239696741859
15,2.208,0.0746086842454128
16,2.215,0.0835910434056056
17,2.223,0.0888445733015611
18,2.230,0.101170574197978
19,2.238,0.0842062734850708
20,2.245,0.089245810309908
21,2.253,0.0889676193174541
22,2.260,0.0821465901755567
23,2.268,0.0743786416939606
24,2.276,0.0631226061531354
25,2.283,0.0699650346021446
26,2.291,0.0671777748508281
27,2.298,0.0801457549606001
28,2.306,0.0717144279585371
29,2.313,0.070692611043947
30,2.321,0.0704465190121609
31,2.328,0.0732765773777011
32,2.336,0.0523480550223264
33,2.343,0.0720675165258824
34,2.351,0.0700024833895903
35,2.358,0.0632456521690284
36,2.366,0.0595810208261267
37,2.374,0.0579386240052933
38,2.381,0.0702218262874866
39,2.389,0.0911984970838629
40,2.396,0.193321340448318
41,2.404,0.274890149331855
42,2.411,0.198960057872286
43,2.419,0.0939697073548456
44,2.426,0.0657065724868895
45,2.434,0.0721959123685534
46,2.441,0.0617209515373102
47,2.449,0.0644333137137353
48,2.456,0.0625501746878938
49,2.464,0.0785140577933227
50,2.471,0.0642621192568406
51,2.479,0.0617690999783118
52,2.487,0.0624699272862244
53,2.494,0.0737687614412733
54,2.502,0.0556756472782168
55,2.509,0.0595168229047912
56,2.517,0.0648131514149703
57,2.524,0.0580402707140745
58,2.532,0.0496410426726793
59,2.539,0.0544986853870659
60,2.547,0.067841153371295
61,2.554,0.0556756472782168
62,2.562,0.07186422310832
63,2.569,0.0678839519855187
64,2.577,0.060570738780049
65,2.585,0.0649415472576413
66,2.592,0.0515348813520767
