#"+EI TIC Scan END-MEOH2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.166757175851713
1,2.102,0.17426834773847
2,2.110,0.163099732398144
3,2.117,0.173875777779232
4,2.125,0.166030921427123
5,2.132,0.149778525114663
6,2.140,0.12275662625377
7,2.147,0.137563056549703
8,2.155,0.146232309816212
9,2.163,0.142555237864681
10,2.170,0.126852439495155
11,2.178,0.129672400369016
12,2.185,0.115598767330328
13,2.193,0.116881162530506
14,2.200,0.12367916565798
15,2.208,0.123489423511015
16,2.215,0.0938242202579185
17,2.223,0.0965133244786998
18,2.230,0.120905004612697
19,2.238,0.114421057452614
20,2.245,0.0995688273281034
21,2.253,0.101983132577418
22,2.260,0.0873991585917207
23,2.268,0.115579138832366
24,2.276,0.100648394716008
25,2.283,0.0981032328136143
26,2.291,0.0897218641838798
27,2.298,0.0949037876458234
28,2.306,0.189925346279418
29,2.313,0.275590654217837
30,2.321,0.238780677706606
31,2.328,0.159429203279268
32,2.336,0.122933282735427
33,2.343,0.0982733464626175
34,2.351,0.0937784204293407
35,2.358,0.0905920609268577
36,2.366,0.0894405223797591
37,2.373,0.0760277154391222
38,2.381,0.0618232257473551
39,2.389,0.101335392144675
40,2.396,0.173829977950654
41,2.404,0.250008178540817
42,2.411,0.197685145807026
43,2.419,0.0986135737606239
44,2.426,0.0616596549310058
45,2.434,0.0774409672923796
46,2.441,0.0721609013406264
47,2.449,0.0748107485654839
48,2.456,0.0676725181400035
49,2.464,0.0798487297090402
50,2.471,0.0623401095270186
51,2.479,0.0606520587022946
52,2.487,0.0839510857830789
53,2.494,0.078186850214932
54,2.502,0.0800711860192752
55,2.509,0.0732862685571091
56,2.517,0.0489665595823056
57,2.524,0.0727628419447916
58,2.532,0.0629943927924155
59,2.539,0.0714542754139977
60,2.547,0.0623270238617107
61,2.554,0.0474747937372006
62,2.562,0.0633084487598061
63,2.569,0.0597884047919706
64,2.577,0.0654806692009238
65,2.584,0.0663966657724795
66,2.592,0.0666583790786383
67,2.600,0.0785925058394781
68,2.607,0.0567001877792972
69,2.615,0.0529838588318427
70,2.622,0.0659648388173176
71,2.630,0.0431696098508888
72,2.637,0.0508181812233788
73,2.645,0.0502882117784073
74,2.652,0.0670705775358384
75,2.660,0.0653105555519206
76,2.667,0.0623073953637488
77,2.675,0.0455512009369336
78,2.682,0.0585976092489482
79,2.690,0.0464148548472576
80,2.698,0.0682744587441687
81,2.705,0.0604754022206374
82,2.713,0.052918430505303
