#"+EI TIC Scan IPA-ABS.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.263330813302203
1,2.102,0.261320963328736
2,2.110,0.222639219879655
3,2.117,0.228650784565395
4,2.125,0.230791027490161
5,2.132,0.219613204147791
6,2.140,0.195283677958906
7,2.148,0.187469093498311
8,2.155,0.169695185343688
9,2.163,0.18779732403089
10,2.170,0.164020843807859
11,2.178,0.170621424928776
12,2.185,0.164870646145634
13,2.193,0.145716371230711
14,2.200,0.138171565290044
15,2.208,0.155972451296659
16,2.215,0.149740567486311
17,2.223,0.110937423703262
18,2.230,0.13274002442215
19,2.238,0.14102672129262
20,2.246,0.131818281145728
21,2.253,0.119390483994355
22,2.261,0.113720638767191
23,2.268,0.117888716900087
24,2.276,0.103878219098467
25,2.283,0.110141577069473
26,2.291,0.106854775435011
27,2.298,0.120109893380831
28,2.306,0.0947462161988872
29,2.313,0.0974440013981722
30,2.321,0.0995302886189525
31,2.328,0.100694832563311
32,2.336,0.0982713221926195
33,2.343,0.0975339275714816
34,2.351,0.0947147420382289
35,2.359,0.10021822384477
36,2.366,0.0862751706731325
37,2.374,0.0871339656282382
38,2.381,0.0823274116648455
39,2.389,0.0848048777395222
40,2.396,0.0946517937169122
41,2.404,0.110011184118175
42,2.411,0.128068359718722
43,2.419,0.197581291686964
44,2.426,0.316202906899523
45,2.434,0.153436533209331
46,2.441,0.103203772798645
47,2.449,0.0905466639053336
48,2.457,0.0864730082544134
49,2.464,0.0726918221947328
50,2.472,0.0767654778456531
51,2.479,0.0747556278721858
52,2.487,0.0780019627286587
53,2.494,0.0816394764390279
54,2.502,0.0683034249372293
55,2.509,0.0689149229157339
56,2.517,0.0742070782149978
57,2.524,0.076329335905102
58,2.532,0.0703807195406787
59,2.539,0.0660687595304883
60,2.547,0.0712035440264606
61,2.554,0.0736450396318135
62,2.562,0.0814641204010743
63,2.570,0.0622738750168274
64,2.577,0.0638475830497437
65,2.585,0.0738024104351051
66,2.592,0.0627100169573785
67,2.600,0.0708168614812298
68,2.607,0.061455546839711
69,2.615,0.0625031867587667
70,2.622,0.0704301789359989
71,2.630,0.0638520793584091
72,2.637,0.0606776854405838
73,2.645,0.075344644307363
74,2.652,0.0626380760187309
75,2.660,0.0587892358010844
76,2.668,0.0555339083272806
77,2.675,0.0547245727674951
78,2.683,0.0588386951964046
79,2.690,0.0529305456099706
80,2.698,0.0460107265738047
81,2.705,0.0647378521655077
82,2.713,0.0631641441325915
83,2.720,0.0689284118417303
84,2.728,0.0630832105766129
85,2.735,0.0565590667030088
86,2.743,0.0697152658581884
87,2.750,0.0933973235992447
88,2.758,0.0559295834898423
89,2.765,0.0737889215091087
90,2.773,0.0673996668954688
91,2.781,0.0608890119478612
92,2.788,0.0848138703568531
93,2.796,0.0566894596543076
94,2.803,0.0627235058833749
95,2.811,0.0596884975341794
96,2.818,0.078478571447199
97,2.826,0.0583575901691988
98,2.833,0.0590050586170272
99,2.841,0.0506644060425712
100,2.848,0.063150655206595
101,2.856,0.0491266684789788
102,2.863,0.0476024198413828
103,2.871,0.060821567317879
104,2.879,0.0621254968308668
105,2.886,0.0483847775491755
106,2.894,0.0480565470165958
107,2.901,0.0686856111737947
108,2.909,0.070951750741194
109,2.916,0.0552416482640247
110,2.924,0.0719769091169223
111,2.931,0.0631101884286058
112,2.939,0.0503721459793154
