#"+EI TIC Scan IPA-ASA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.268666102054273
1,2.102,0.238715903291391
2,2.110,0.240665968113566
3,2.117,0.238051638182642
4,2.125,0.215571508449724
5,2.132,0.214441092387467
6,2.140,0.196735125336726
7,2.147,0.179767230629039
8,2.155,0.18031884259069
9,2.162,0.176076868913768
10,2.170,0.167270500483748
11,2.177,0.157481330460082
12,2.185,0.174759992470108
13,2.193,0.163269371466139
14,2.200,0.15577211029722
15,2.208,0.144786486159551
16,2.215,0.134282551340506
17,2.223,0.15253624576162
18,2.230,0.127111595839043
19,2.238,0.135976233138252
20,2.245,0.123374619028422
21,2.253,0.11923364472476
22,2.260,0.121952858620223
23,2.268,0.106624261432372
24,2.275,0.133478440945705
25,2.283,0.11134015524536
26,2.290,0.108481096063845
27,2.298,0.125351875989551
28,2.306,0.108636479715014
29,2.313,0.117951729602613
30,2.321,0.109832933829018
31,2.328,0.109028823434216
32,2.336,0.110108739809843
33,2.343,0.0935409580039168
34,2.351,0.099612574173357
35,2.358,0.0890697934415202
36,2.366,0.0838294798058357
37,2.373,0.100921681434458
38,2.381,0.0909499356206687
39,2.388,0.0861796575297713
40,2.396,0.083382751808724
41,2.404,0.114867364126903
42,2.411,0.109122053624918
43,2.419,0.189233979576528
44,2.426,0.349620984313477
45,2.434,0.20334669969398
46,2.441,0.105493845370115
47,2.449,0.0846724361134291
48,2.456,0.0843616688110905
49,2.464,0.094380029720231
50,2.471,0.0787445498213205
51,2.479,0.0868983069164293
52,2.486,0.0694215307511626
53,2.494,0.0860126201047643
54,2.501,0.0837129420674587
55,2.509,0.0773266740044006
56,2.517,0.0818988379400572
57,2.524,0.0837245958412964
58,2.532,0.0704587166227177
59,2.539,0.0883045289595114
60,2.547,0.0672267366783963
61,2.554,0.0794631992079785
62,2.562,0.0810869583626976
63,2.569,0.0665624715696476
64,2.577,0.073756734618786
65,2.584,0.0623438054404012
66,2.592,0.0743005773978786
67,2.599,0.0750231113758158
68,2.607,0.0705946773174908
69,2.615,0.0750697264711666
70,2.622,0.0605802009996296
71,2.630,0.0833439058959316
72,2.637,0.06148919535897
73,2.645,0.0630974161485723
74,2.652,0.0693982232034872
75,2.660,0.0676423879452742
76,2.667,0.0507910309759639
77,2.675,0.0570568767093658
78,2.682,0.0588127119675789
79,2.690,0.0712783653826357
80,2.697,0.063928718682328
81,2.705,0.0714298644425258
82,2.712,0.0585835210821042
83,2.720,0.0653854404120402
84,2.728,0.0619941922252703
85,2.735,0.0532732848033935
86,2.743,0.0793233539219261
87,2.750,0.0892950997357157
88,2.758,0.0667139706295376
89,2.765,0.0578998330169593
90,2.773,0.0672578134086302
91,2.780,0.0700158732168852
92,2.788,0.0908644746125256
93,2.795,0.0678521558743527
94,2.803,0.0647600212160837
95,2.810,0.0684154216098414
96,2.818,0.0637422583009248
97,2.825,0.0744637302316063
98,2.833,0.0600091660815825
99,2.841,0.070781137698894
100,2.848,0.0664381646487121
101,2.856,0.062324382484005
102,2.863,0.06331106866893
103,2.871,0.0642356013933874
104,2.878,0.0625963038735513
105,2.886,0.0539025885906291
106,2.893,0.0683804602883284
107,2.901,0.0650707885184223
108,2.908,0.0671140835312986
109,2.916,0.0649892121015584
