#"+EI TIC Scan IPA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.336087820741375
1,2.102,0.309835817846162
2,2.110,0.303879669929012
3,2.117,0.24387241616497
4,2.125,0.261534829642557
5,2.132,0.235522571066022
6,2.140,0.23826090070592
7,2.147,0.220808263507176
8,2.155,0.221767240781887
9,2.162,0.204928948399755
10,2.170,0.18113432477099
11,2.178,0.200066633936572
12,2.185,0.180617376083841
13,2.193,0.169911293852888
14,2.200,0.163685433577226
15,2.208,0.159905714553072
16,2.215,0.152926907276562
17,2.223,0.151552123449145
18,2.230,0.135283223823872
19,2.238,0.14868642963995
20,2.245,0.140250426426477
21,2.253,0.126592492271804
22,2.260,0.124262477174655
23,2.268,0.122730361138105
24,2.275,0.120666312394489
25,2.283,0.0979168241549593
26,2.291,0.109297187282193
27,2.298,0.0991867198429555
28,2.306,0.0981453304586991
29,2.313,0.0971339091142774
30,2.321,0.104981789545994
31,2.328,0.101895081443018
32,2.336,0.0925225769847102
33,2.343,0.0928035273581607
34,2.351,0.0882895913580564
35,2.358,0.0898366914145237
36,2.366,0.0806365031852655
37,2.373,0.0958490294063638
38,2.381,0.0829590262724561
39,2.389,0.088240893293325
40,2.396,0.105094169695374
41,2.404,0.180815914347746
42,2.411,0.332967398593585
43,2.419,0.195342921657625
44,2.426,0.0739086782423715
45,2.434,0.072635036549396
46,2.441,0.0855624997330971
47,2.449,0.0686830012961926
48,2.456,0.0571190839249711
49,2.464,0.0667200946870187
50,2.471,0.0649295043068943
51,2.479,0.0735190937245201
52,2.486,0.0658397835168738
53,2.494,0.0759539969610909
54,2.502,0.0622548567516458
55,2.509,0.0711815866174122
56,2.517,0.0622998088113979
57,2.524,0.0466714760375928
58,2.532,0.0609362629989182
59,2.539,0.0616405119350341
60,2.547,0.0645024597392496
61,2.554,0.0523803876261064
62,2.562,0.0600147457740007
63,2.569,0.0569767357357562
64,2.577,0.0513802042966228
65,2.584,0.0567894354867892
66,2.592,0.0522717534817056
67,2.599,0.0492225054285231
68,2.607,0.0461170673006505
69,2.615,0.052309213531499
70,2.622,0.046585317923068
71,2.630,0.0430753112574267
72,2.637,0.0434236897205053
73,2.645,0.0467201741023242
74,2.652,0.065929687636378
75,2.660,0.0480275298401138
76,2.667,0.0506272572957755
77,2.675,0.0573326062087935
78,2.682,0.0506797013654862
79,2.690,0.0391719740689548
80,2.697,0.0470011244757747
81,2.705,0.0382616948589753
82,2.713,0.0459634810964976
83,2.720,0.0377971902415372
84,2.728,0.0485182564924073
85,2.735,0.0517660428094947
86,2.743,0.0494622497472009
87,2.750,0.0455776425836256
88,2.758,0.0519271210236063
89,2.765,0.0467538881471383
90,2.773,0.069316076137701
91,2.780,0.0622211427068317
92,2.788,0.0517772808244328
93,2.795,0.0405467578963725
94,2.803,0.0412435148225296
95,2.810,0.0567032773722644
96,2.818,0.0453191682400512
97,2.826,0.0398312709453186
98,2.833,0.0315301239111019
99,2.841,0.0272784082595514
100,2.848,0.044622411313894
101,2.856,0.0391232760042234
102,2.863,0.0411273886681701
103,2.871,0.0494959637920149
104,2.878,0.0503800209671391
105,2.886,0.0498892943148456
106,2.893,0.0393105762531904
107,2.901,0.0489228250301759
108,2.908,0.0556469039680906
109,2.916,0.0471622026898863
110,2.924,0.0389509597751738
111,2.931,0.0432476274864764
112,2.939,0.0472221387695557
113,2.946,0.0439181623777782
114,2.954,0.150978984687306
115,2.961,3.5455375228703
116,2.969,25.0986304381035
117,2.976,70.4518648474368
118,2.984,100
119,2.991,8.31669295488094
120,2.999,0.102142317771654
121,3.006,0.0837756553579521
122,3.014,0.0604005842868727
123,3.021,0.0666376825774732
124,3.029,0.0410749445984594
125,3.037,0.0585612958420169
126,3.044,0.0628542175483401
127,3.052,0.0610598811632364
128,3.059,0.044809711562861
129,3.067,0.0434798797951954
130,3.074,0.0496270739662918
131,3.082,0.03908581595443
132,3.089,0.0312304435127547
133,3.097,0.037287733564347
134,3.104,0.0337290288339743
135,3.112,0.0245700466594888
136,3.119,0.040089745288893
137,3.127,0.0609699770437323
138,3.135,0.0828016940633238
139,3.142,0.0457312287877786
140,3.150,0.029589693331804
141,3.157,0.0453678663047826
142,3.165,0.0585875178768723
143,3.172,0.0340774072970529
144,3.180,0.0346280700290158
145,3.187,0.0281362433998202
146,3.195,0.026072194656204
147,3.202,0.0210525479838889
148,3.210,0.0412397688175503
149,3.217,0.0267127615076711
150,3.225,0.0199961745797151
151,3.232,0.016797086327359
152,3.240,0.023071644667753
153,3.248,0.0287168741716178
154,3.255,0.037486271828252
155,3.263,0.056643341292595
156,3.270,0.0300691819691594
157,3.278,0.0213334983573394
158,3.285,0.031376537706949
159,3.293,0.0201984588485994
160,3.300,0.0260459726213486
161,3.308,0.0351937167808961
162,3.315,0.045229264120547
163,3.323,0.0215357826262237
164,3.330,0.0280688153101921
165,3.338,0.0203033469880209
166,3.346,0.023502435240377
167,3.353,0.0225284739457487
168,3.361,0.0181081880701279
169,3.368,0.0122681663073374
170,3.376,0.0272671702446134
171,3.383,0.0198201123456861
172,3.391,0.0159205211621936
173,3.398,0.0188948491157892
174,3.406,0.0157069988783712
175,3.413,0.0146880855239908
176,3.421,0.0172878129796525
177,3.428,0.0159767112368836
178,3.436,0.0105712260516965
179,3.443,0.0163737877646936
180,3.451,0.0153548744103133
181,3.459,0.0103277357280394
182,3.466,0.0260572106362867
183,3.474,0.0189810072303141
184,3.481,0.0371378933651734
185,3.489,0.0757517126922066
186,3.496,0.04146827512129
187,3.504,0.0195916060419464
188,3.511,0.00340137252124041
189,3.519,0.0122681663073374
190,3.526,0.0109458265496305
191,3.534,0.00952983666744009
192,3.541,0.00757067606324545
193,3.549,0.00960850277200622
194,3.556,0.016178995505768
195,3.564,0.0131784455173169
196,3.572,0.0164786759041152
197,3.579,0.0118036616898993
198,3.587,0.0171342267754996
199,3.594,0.0131784455173169
200,3.602,0.00757816807320413
201,3.609,0.0159654732219456
202,3.617,0.0114777592566967
203,3.624,0.0124891806011184
204,3.632,0.0186476127871528
205,3.639,0.0192919256435992
206,3.647,0.0174001931290327
207,3.654,0.0110582066990107
208,3.662,0.00415431952208768
209,3.670,0.0102490696234733
210,3.677,0.0107472882857255
211,3.685,0.0125828307256019
212,3.692,0.0179133958112022
213,3.700,0.0210001039141781
214,3.707,0.0171304807705203
215,3.715,0.0114328071969446
216,3.722,0.0180220299556031
217,3.730,0.0114065851620893
218,3.737,0.00626706633043525
219,3.745,0.0122569282923994
220,3.752,0.0171005127306855
221,3.760,0.00600859198686081
222,3.767,0.0162089635456027
223,3.775,0.00948488460768802
224,3.783,0.0148379257231644
225,3.790,0.0125303866558912
226,3.798,0.0102191015836386
227,3.805,0.0221613654577734
228,3.813,0.0113541410923785
229,3.820,0.0169169584866979
230,3.828,0.014613165424404
231,3.835,0.0150964000667388
232,3.843,0.0142085968866353
233,3.850,0.0127139408998788
234,3.858,0.007896578496448
235,3.865,0.0192507195888265
236,3.873,0.0114777592566967
237,3.881,0.0228805984138066
238,3.888,0
239,3.896,0.0288966824106261
240,3.903,0.0140962167372551
241,3.911,0.0193630997382067
242,3.918,0.0121820081928126
243,3.926,0.0119834699289076
244,3.933,0.0234125311208729
245,3.941,0.0185914227124627
246,3.948,0.0204794092220499
247,3.956,0.0258923864171957
248,3.963,0.0557967441672642
249,3.971,0.0753883502092106
250,3.978,0.031972152498664
251,3.986,0.0263306689997785
252,3.994,0.0210562939888682
253,4.001,0.0141224387721105
254,4.009,0.0148304337132057
255,4.016,0.0251881374810799
256,4.024,0.0292188388388493
257,4.031,0.0236035773748192
258,4.039,0.0151713201663256
259,4.046,0.0269075537665968
260,4.054,0.0295147732322172
261,4.061,0.0239294798080217
262,4.069,0.0207753436154177
263,4.076,0.0251694074561832
264,4.084,0.0371678614050081
