#"+EI TIC Scan IPA-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.244604861924829
1,2.102,0.223050750227004
2,2.110,0.220038529648116
3,2.117,0.20807332012642
4,2.125,0.200408892209025
5,2.132,0.177871625183369
6,2.140,0.178101725366478
7,2.147,0.177658259559031
8,2.155,0.167638442494534
9,2.162,0.164002859601403
10,2.170,0.161082679095758
11,2.178,0.15426334639633
12,2.185,0.155300889040169
13,2.193,0.155430581870649
14,2.200,0.142749969961467
15,2.208,0.14897104218481
16,2.215,0.142888030071333
17,2.223,0.132546072750482
18,2.230,0.121045247234698
19,2.238,0.111314101309011
20,2.245,0.109247383300718
21,2.253,0.123220739875006
22,2.260,0.118116699449667
23,2.268,0.10164989361841
24,2.275,0.116978749453198
25,2.283,0.105352414746627
26,2.291,0.111552568771506
27,2.298,0.100482658144091
28,2.306,0.097892985174185
29,2.313,0.101185509612498
30,2.321,0.0824930074646173
31,2.328,0.106235162721829
32,2.336,0.0869946037741785
33,2.343,0.0929646576159479
34,2.351,0.105222721916147
35,2.358,0.0928977193808615
36,2.366,0.0848860493689565
37,2.373,0.0821332144510278
38,2.381,0.0890194853855425
39,2.388,0.073820322381234
40,2.396,0.0844760526790522
41,2.404,0.110335129620872
42,2.411,0.140252337064805
43,2.419,0.312906963551127
44,2.426,0.338234718251948
45,2.434,0.126655508062878
46,2.441,0.0936507745255836
47,2.449,0.089207749171723
48,2.456,0.0755439819347091
49,2.464,0.091316303576945
50,2.471,0.0728873707297171
51,2.479,0.0880572482561753
52,2.486,0.0719962554751293
53,2.494,0.0766317282548633
54,2.502,0.0791837484675328
55,2.509,0.0825808638981682
56,2.517,0.0794347668491068
57,2.524,0.0801292510381283
58,2.532,0.0726781887450721
59,2.539,0.0793510940552488
60,2.547,0.0866138925621245
61,2.554,0.0862833850263854
62,2.562,0.0888228543199761
63,2.569,0.0802673111479941
64,2.577,0.075715511162118
65,2.584,0.0715235041898315
66,2.592,0.0679548595317871
67,2.599,0.070448308788756
68,2.607,0.0732346128242279
69,2.615,0.0746863357976645
70,2.622,0.0683481216629198
71,2.630,0.059696354778001
72,2.637,0.0638548926327444
73,2.645,0.0739793006895642
74,2.652,0.0603950226067154
75,2.660,0.0693187260716728
76,2.667,0.0739500152117139
77,2.675,0.0619513365724745
78,2.682,0.0641854001684835
79,2.690,0.0610393031194222
80,2.697,0.0628550027461411
