#"+EI TIC Scan IPA-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.220196993051606
1,2.102,0.214059646899519
2,2.110,0.225451786125329
3,2.117,0.192815333513206
4,2.125,0.189073488573819
5,2.132,0.168918858069975
6,2.140,0.167892214693104
7,2.147,0.161354117398291
8,2.155,0.179171783373204
9,2.162,0.153339094543769
10,2.170,0.154406263317096
11,2.178,0.146607375910335
12,2.185,0.137853890275958
13,2.193,0.148647154198593
14,2.200,0.142478288293708
15,2.208,0.132274894030591
16,2.215,0.127519914179818
17,2.223,0.121062867677916
18,2.230,0.101615180201128
19,2.238,0.10598291737466
20,2.245,0.12018932024321
21,2.253,0.106824945056568
22,2.260,0.111273733023011
23,2.268,0.10545608722074
24,2.275,0.105712748064957
25,2.283,0.0979723973419663
26,2.291,0.0984406908121181
27,2.298,0.0913352379669291
28,2.306,0.102367151446468
29,2.313,0.0882643134799716
30,2.321,0.0983056061572666
31,2.328,0.100295853405412
32,2.336,0.0933570049678733
33,2.343,0.0844819431441296
34,2.351,0.105226443307492
35,2.358,0.0805239627569806
36,2.366,0.0809607364743337
37,2.373,0.0769487222252441
38,2.381,0.0836444182840503
39,2.389,0.0899933970620709
40,2.396,0.0942080382934377
41,2.404,0.107396803428773
42,2.411,0.143721067118342
43,2.419,0.305394884866448
44,2.426,0.344258740067225
45,2.434,0.130446748368267
46,2.441,0.0810417872672446
47,2.449,0.0709779804808077
48,2.456,0.0758635421646037
49,2.464,0.0787138283819704
50,2.471,0.0839686214556939
51,2.479,0.0690237558072893
52,2.486,0.0835093336291988
53,2.494,0.0701089358679297
54,2.502,0.0948609474585533
55,2.509,0.0671821016794805
56,2.517,0.0752961866142274
57,2.524,0.0766740500937127
58,2.532,0.0748188875004188
59,2.539,0.0774485354481947
60,2.547,0.0734905550610457
61,2.554,0.0804654260732116
62,2.562,0.0759400901356862
63,2.569,0.0693164392261342
64,2.577,0.0689066824397513
65,2.584,0.0650702782419687
66,2.592,0.0705367039416261
67,2.600,0.0748504072532175
68,2.607,0.0671505819266818
69,2.615,0.066119435727982
70,2.622,0.0648316286850644
71,2.630,0.0675513330694079
72,2.637,0.064827125863236
73,2.645,0.0599730839322387
74,2.652,0.0613059191934401
75,2.660,0.0648226230414076
76,2.667,0.053741178521756
77,2.675,0.0658762833492493
78,2.682,0.0487160293612801
79,2.690,0.0594237396691759
80,2.697,0.0472661207325407
81,2.705,0.0541149127335118
82,2.713,0.0616616421178824
83,2.720,0.0545877090254921
84,2.728,0.06384100788282
85,2.735,0.075467293843706
86,2.743,0.0840811920014034
87,2.750,0.0903671312738267
88,2.758,0.0704376418614017
89,2.765,0.0670380113809722
90,2.773,0.0646875383865561
91,2.780,0.0818703064836672
92,2.788,0.079249664179548
93,2.795,0.0581224241607731
94,2.803,0.044451857089801
95,2.810,0.053317913269888
96,2.818,0.0651243121039093
97,2.826,0.0668218759332098
98,2.833,0.0609231793380276
99,2.841,0.0562672615674791
100,2.848,0.0644173690768531
101,2.856,0.0723333298511511
102,2.863,0.0683303212457183
103,2.871,0.0704376418614017
104,2.878,0.0602432532419417
105,2.886,0.0619543255367274
106,2.893,0.0641562054108068
107,2.901,0.0741749839789599
108,2.908,0.0675468302475796
109,2.916,0.0695505859612102
110,2.924,0.0730312672345506
111,2.931,0.0626162403454997
112,2.939,0.0473471715254516
113,2.946,0.0545877090254921
114,2.954,0.06938398155356
115,2.961,0.426574825911902
116,2.969,6.74068825451534
117,2.976,31.4037105773446
118,2.984,71.5441968172615
119,2.991,100
120,2.999,7.25406397681299
121,3.006,0.141717311404711
122,3.014,0.11946436592884
123,3.021,0.0994583285453328
124,3.029,0.100764146875564
125,3.037,0.0709644720153226
126,3.044,0.106860967631195
127,3.052,0.101615180201128
128,3.059,0.0754492825563924
129,3.067,0.0834372884799446
130,3.074,0.0930102876870877
131,3.082,0.0753547232979964
132,3.089,0.059225615508727
133,3.097,0.0735941199630985
134,3.104,0.0677449544080284
135,3.112,0.0535340487176504
136,3.119,0.0648811597251766
137,3.127,0.0747873677476201
138,3.135,0.104636573647974
139,3.142,0.0791370936338385
140,3.150,0.0538537490674656
141,3.157,0.0529171621271619
142,3.165,0.0902005268661765
143,3.172,0.0712661610778243
144,3.180,0.060481902798846
145,3.187,0.0639986066468134
146,3.195,0.0543220425376175
147,3.202,0.0422184574629229
148,3.210,0.044415834515174
149,3.217,0.0439205241140518
150,3.225,0.041597068050606
151,3.232,0.0456586133398078
152,3.240,0.0478379791047454
153,3.248,0.0445554219918539
154,3.255,0.116744661544497
155,3.263,0.562379932255946
156,3.270,0.805397226333799
157,3.278,0.272537793984734
158,3.285,0.0528946480180199
159,3.293,0.0479640581159401
160,3.300,0.0420248361243024
161,3.308,0.0501569323463628
162,3.315,0.0762102594453892
163,3.323,0.0639670868940147
164,3.330,0.0413899382465003
165,3.338,0.0566725155320336
166,3.346,0.0453524214554777
167,3.353,0.0307632787315155
168,3.361,0.0447715574396163
169,3.368,0.0415160172576951
170,3.376,0.0400255832325001
171,3.383,0.0427272763295302
172,3.391,0.0422950054340054
173,3.398,0.0241441306437919
174,3.406,0.0387107592586122
175,3.413,0.0329606557837666
176,3.421,0.0339152540113839
177,3.428,0.0307182505132316
178,3.436,0.0241171137128216
179,3.443,0.025508485657792
180,3.451,0.0363467777987109
181,3.459,0.0348293268425457
182,3.466,0.0327535259796609
183,3.474,0.0280525799908287
184,3.481,0.0366304555738991
185,3.489,0.0912181645993912
186,3.496,0.0899843914184141
187,3.504,0.0326499610776081
188,3.511,0.0229914082557257
189,3.519,0.0303805388761029
190,3.526,0.0290567092585582
191,3.534,0.0385531604946188
192,3.541,0.0212848387827684
193,3.549,0.0235722722715872
194,3.556,0.0337081242072782
195,3.564,0.0232525719217719
196,3.572,0.0320240688434628
197,3.579,0.0212037879898575
198,3.587,0.0321366393891724
199,3.594,0.0417456611709426
200,3.602,0.017110722947857
201,3.609,0.0212353077426562
202,3.617,0.0281921674675085
203,3.624,0.028349766231502
204,3.632,0.0199925289180223
205,3.639,0.0275077385495943
206,3.647,0.0235632666279304
207,3.654,0.0288180597016538
208,3.662,0.025413926399396
209,3.670,0.0370717321130806
210,3.677,0.0151925208489656
211,3.685,0.0213433754665374
212,3.692,0.0243962886661813
213,3.700,0.0319160011195816
214,3.707,0.0186912134096195
215,3.715,0.020294217980524
216,3.722,0.0313666568565188
217,3.730,0.0262649597249604
218,3.737,0.0140623125700414
219,3.745,0.0115047097715196
220,3.752,0.0246439438667424
221,3.760,0.0217666407184054
222,3.767,0.0199069753032831
223,3.775,0.0297501438201292
224,3.783,0.0312766004199512
225,3.790,0.0225501317165441
226,3.798,0.0232255549908016
227,3.805,0.0317584023555882
228,3.813,0.0200285514926494
229,3.820,0.0251752768424917
230,3.828,0.0226176740439699
231,3.835,0.0164578137827414
232,3.843,0.0263685246270133
233,3.850,0.0294529575794559
234,3.858,0.0118154044776781
235,3.865,0.0213298670010522
236,3.873,0.0202672010495537
237,3.881,0.0235227412314749
238,3.888,0.0169486213620352
239,3.896,0.0147917697062395
240,3.903,0.0185291118237977
241,3.911,0.0232435662781152
242,3.918,0.0231535098415475
243,3.926,0.0155617522388931
244,3.933,0.0213478782883658
245,3.941,0.0181643832556987
246,3.948,0.0185471231111113
247,3.956,0.0150259164413154
248,3.963,0.0307362618005452
249,3.971,0.086530727076044
250,3.978,0.0535925854014194
251,3.986,0.0288946076727364
252,3.994,0.0146251652985893
253,4.001,0.0158634413013948
254,4.009,0.0175519994870385
255,4.016,0.0238109218284915
256,4.024,0.00965405000005403
257,4.031,0.0221989116139302
258,4.039,0.0113200940765559
259,4.046,0.0201816474348144
260,4.054,0.0122341669077177
261,4.061,0.0208390594217584
262,4.069,0.0115632464552886
263,4.076,0.0164713222482265
264,4.084,0.03985897882485
265,4.092,0.22333095704416
266,4.099,0.507585093426348
267,4.107,0.275126916536055
268,4.114,0.0606845297811232
269,4.122,0.017979767560735
270,4.129,0.0130536804804835
271,4.137,0.0191910266325701
272,4.144,0.022631182509455
273,4.152,0.0171962765625962
274,4.159,0.0158274187267677
275,4.167,0.0189883996502928
276,4.174,0.0256300618471584
277,4.182,0.0195017213387286
278,4.189,0.0203977828825769
279,4.197,0.0167414915579295
280,4.205,0.0121215963620081
281,4.212,0.0155572494170647
282,4.220,0.0219287423042272
283,4.227,0.0164488081390846
