#"+EI TIC Scan IPA-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.249613430707877
1,2.102,0.225795728339066
2,2.110,0.211031848194241
3,2.117,0.19401978547288
4,2.125,0.194007567089311
5,2.132,0.186847594318386
6,2.140,0.183438665302878
7,2.147,0.160231882112474
8,2.155,0.150159861257811
9,2.163,0.142665919336024
10,2.170,0.141440008184688
11,2.178,0.133441039742085
12,2.185,0.131991124892
13,2.193,0.1362594135518
14,2.200,0.12599597135457
15,2.208,0.129176823876807
16,2.215,0.121186001023249
17,2.223,0.106198117179675
18,2.230,0.106711289289536
19,2.238,0.103958080192184
20,2.245,0.105656435508154
21,2.253,0.107338499646033
22,2.260,0.0961708970647614
23,2.268,0.0901472339656727
24,2.276,0.101836154245852
25,2.283,0.0956373609822864
26,2.291,0.0882493117180896
27,2.298,0.0942566836390875
28,2.306,0.086050002675826
29,2.313,0.0869460174708223
30,2.321,0.0862373512238707
31,2.328,0.0892227096090174
32,2.336,0.0890475794445409
33,2.343,0.0768699238216367
34,2.351,0.0757417597388459
35,2.358,0.0798960101520105
36,2.366,0.0749434920123947
37,2.374,0.0766947936571601
38,2.381,0.0775134253562249
39,2.389,0.072308393956201
40,2.396,0.0743570096011243
41,2.404,0.0768902877942502
42,2.411,0.109855486661068
43,2.419,0.196471607775551
44,2.426,0.320985081923855
45,2.434,0.136511926812208
46,2.441,0.0649936549934131
47,2.449,0.0650140189660266
48,2.456,0.0624400128276736
49,2.464,0.067034125049291
50,2.471,0.0645415748013922
51,2.479,0.0559031776187234
52,2.487,0.0622037907453564
53,2.494,0.0653235513497526
54,2.502,0.0562290011805402
55,2.509,0.0538545619738
56,2.517,0.0558787408515871
57,2.524,0.0548483238373414
58,2.532,0.0598700794838433
59,2.539,0.0572634909893087
60,2.547,0.0471670333675095
61,2.554,0.0557199018652014
62,2.562,0.0561556908791314
63,2.569,0.0613770134572462
64,2.577,0.071282049736478
65,2.585,0.0605298721965224
66,2.592,0.0502786483828603
67,2.600,0.0543351517274799
68,2.607,0.0547627951523645
69,2.615,0.0428295072008229
70,2.622,0.0339182327851325
71,2.630,0.052799708192418
72,2.637,0.0405487422681051
73,2.645,0.042617721885642
74,2.652,0.0526286508224642
75,2.660,0.0513783029039921
76,2.667,0.0510484065476525
77,2.675,0.0466416428740799
78,2.682,0.0542088950972758
79,2.690,0.0471833245456003
80,2.698,0.0615480708272
81,2.705,0.0411311518848526
82,2.713,0.0406016885969003
83,2.720,0.0432856601873665
84,2.728,0.0433141697490254
85,2.735,0.040634270953082
86,2.743,0.0538708531518909
87,2.750,0.0593283978123229
88,2.758,0.0566932997561292
89,2.765,0.0490120092862973
90,2.773,0.0369198823483701
91,2.780,0.0588396624695976
92,2.788,0.0549664348785
93,2.796,0.0593202522232774
94,2.803,0.0415139945699874
95,2.811,0.0483807261352772
96,2.818,0.0554470246321798
97,2.826,0.0551130554813176
98,2.833,0.0392250840482242
99,2.841,0.0412777724876702
100,2.848,0.044572663256543
101,2.856,0.060269213347069
102,2.863,0.0445319353113159
103,2.871,0.0474073282443494
104,2.878,0.0452731839144492
105,2.886,0.0502379204376332
106,2.893,0.0402066275281974
107,2.901,0.0391802833084744
108,2.909,0.045541988352948
109,2.916,0.0502419932321559
110,2.924,0.0534513553160517
111,2.931,0.0409397305422853
112,2.939,0.0582328160857137
113,2.946,0.0477779525459161
114,2.954,0.0343621673881079
115,2.961,0.199538422051152
116,2.969,3.74445804667308
117,2.976,23.5196471200496
118,2.984,65.3578035516886
119,2.991,100
120,2.999,11.0129626460392
121,3.006,0.102732169040848
122,3.014,0.0720232983396113
123,3.022,0.0674821324467891
124,3.029,0.0556751011254516
125,3.037,0.0530644398363942
126,3.044,0.055064181947045
127,3.052,0.0688709553790334
128,3.059,0.0570231961124688
129,3.067,0.0381172839380469
130,3.074,0.0550682547415677
131,3.082,0.0489142622177523
132,3.089,0.0295033235225144
133,3.097,0.0443730963249302
134,3.104,0.0503763954514053
135,3.112,0.0342318379633812
136,3.120,0.0377914603762301
137,3.127,0.0321872951129805
138,3.135,0.0481037761077329
139,3.142,0.061295557566792
140,3.150,0.0242779281498769
141,3.157,0.0272144130007511
142,3.165,0.0476435503266666
143,3.172,0.0341300181003134
144,3.180,0.0383820155820231
145,3.187,0.029719181632218
146,3.195,0.0351319255529002
147,3.202,0.0248725561501926
148,3.210,0.0250313951365783
149,3.217,0.0188651842291947
150,3.225,0.0305255949477147
151,3.233,0.028538071220632
152,3.240,0.0275565277406588
153,3.248,0.0241761082868091
154,3.255,0.0309939663178264
155,3.263,0.0259477739041882
156,3.270,0.046991903203033
157,3.278,0.0181483723931977
158,3.285,0.0267867695758665
159,3.293,0.0262613790824369
160,3.300,0.0244286215472172
161,3.308,0.0370257750059605
162,3.315,0.0280126807272023
163,3.323,0.0353274196899903
164,3.331,0.0321465671677534
165,3.338,0.0176352002833362
166,3.346,0.0248644105611472
167,3.353,0.0251698701503505
168,3.361,0.0196960343118276
169,3.368,0.0168898788856802
170,3.376,0.0188977665853764
171,3.383,0.020070731407917
172,3.391,0.0136234976784664
173,3.398,0.0170813002282475
174,3.406,0.0126786093491976
175,3.413,0.0160834655701835
176,3.421,0.0155010559534359
177,3.428,0.0159164809947524
178,3.436,0.0126093718423115
179,3.444,0.0130125785000598
180,3.451,0.0236751545605157
181,3.459,0.0212070410797532
182,3.466,0.0127519196506064
183,3.474,0.0247788818761703
184,3.481,0.0197489806406229
185,3.489,0.0514108852601738
186,3.496,0.0705285827497765
187,3.504,0.0238299207523787
188,3.511,0.0117703761706331
189,3.519,0.00632912268829201
190,3.526,0.016906170063771
191,3.534,0.00994576422445887
192,3.542,8.55286849769191E-05
193,3.549,0.0100027833477768
194,3.557,0.0107562503344782
195,3.564,0.0141733249390323
196,3.572,0.000358405917998518
197,3.579,0.0243308744786721
198,3.587,0.00966474140239185
199,3.594,0.00725771983946999
200,3.602,0.00725771983946999
201,3.609,0.00367773345400752
202,3.617,0.0121002725269727
203,3.624,0.00256178775478486
204,3.632,0.0048792078382071
205,3.639,0.00913935090896221
206,3.647,0.0077708919493315
207,3.655,0.00392617391989286
208,3.662,0.0190240232155804
209,3.670,0.0166455112143175
210,3.677,0.0117377938144515
211,3.685,0.0115178629102251
212,3.692,0.00989689069018635
213,3.700,0.00858137805935088
214,3.707,0.00735546690801504
215,3.715,0.00863432438814611
216,3.722,0.0204372829149609
217,3.730,0.255258323916354
218,3.737,1.22655465287043
219,3.745,2.51634351350046
220,3.753,3.90116696152341
221,3.760,2.77856631605065
222,3.768,0.366571871016552
223,3.775,0.25848397717834
224,3.783,0.192146299992433
225,3.790,0.163188730935962
226,3.798,0.139676488156354
227,3.805,0.128618851027195
228,3.813,0.109757739592523
229,3.820,0.0996490635871561
230,3.828,0.092814914378048
231,3.835,0.0885099705675431
232,3.843,0.0821564111121148
233,3.850,0.0701661040372553
234,3.858,0.0825881273315221
235,3.866,0.0670992897616544
