#"+EI TIC Scan IPA-PEEK-2Day.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.259283406515949
1,2.102,0.239607552002402
2,2.110,0.230717401937996
3,2.117,0.212392129923572
4,2.125,0.202122964044271
5,2.132,0.195261057171531
6,2.140,0.180864321619471
7,2.148,0.19339867498853
8,2.155,0.172106860361996
9,2.163,0.16615955847989
10,2.170,0.162889727166223
11,2.178,0.163809071042819
12,2.185,0.174021370290578
13,2.193,0.162586438464665
14,2.200,0.151658567436669
15,2.208,0.147156625772924
16,2.215,0.131324007774427
17,2.223,0.140815996355986
18,2.230,0.13349915643091
19,2.238,0.134044128316521
20,2.245,0.127234349189361
21,2.253,0.13042835832764
22,2.261,0.122414902166173
23,2.268,0.117206866494114
24,2.276,0.129561142196623
25,2.283,0.103459358318825
26,2.291,0.111960919734361
27,2.298,0.11041130402484
28,2.306,0.113178813426553
29,2.313,0.115382395398807
30,2.321,0.0957065408852599
31,2.328,0.105383346019331
32,2.336,0.0898161056346965
33,2.343,0.104080152379826
34,2.351,0.0925314872908291
35,2.358,0.0876362180922515
36,2.366,0.0997298550668595
37,2.374,0.0935693033164714
38,2.381,0.0940242363688078
39,2.389,0.0855131971813485
40,2.396,0.0851151307605542
41,2.404,0.108174549850853
42,2.411,0.160089045562777
43,2.419,0.346417302696246
44,2.426,0.357013451706914
45,2.434,0.132816756852405
46,2.441,0.100677632259227
47,2.449,0.0910624326426597
48,2.456,0.103819513651925
49,2.464,0.0974409731472922
50,2.472,0.0788313679751584
51,2.479,0.084015709217408
52,2.487,0.0782863960895471
53,2.494,0.0874419237678162
54,2.502,0.0970049956388032
55,2.509,0.0750023481179941
56,2.517,0.0810491666052981
57,2.524,0.0872997571889611
58,2.532,0.0866694853560368
59,2.539,0.0775613465373861
60,2.547,0.0922518930190807
61,2.554,0.099279660900485
62,2.562,0.0917400933352023
63,2.569,0.0866979186718078
64,2.577,0.0872002405837625
65,2.585,0.100871926583662
66,2.592,0.0825561323411623
67,2.600,0.083058454253117
68,2.607,0.0775139576777677
69,2.615,0.0672874417721235
70,2.622,0.0689318352008809
71,2.630,0.0775423909935387
72,2.637,0.0749739148022231
73,2.645,0.0795753730711668
74,2.652,0.0781015795370355
75,2.660,0.0813903663945504
76,2.667,0.068666457587018
77,2.675,0.0725570829616862
78,2.683,0.0764903583100109
79,2.690,0.0690976962095452
80,2.698,0.0654914039925872
81,2.705,0.0567671149368453
82,2.713,0.0753340701353227
83,2.720,0.0775755631952716
84,2.728,0.0802909448514042
85,2.735,0.0826746044902082
86,2.743,0.105108490633545
87,2.750,0.0749265259426047
88,2.758,0.0680361857540937
89,2.765,0.0852857306551804
90,2.773,0.0760259474857509
91,2.780,0.094801413666549
92,2.788,0.0871102017504876
93,2.796,0.0759406475384378
94,2.803,0.0619656728369805
95,2.811,0.0628755389416532
96,2.818,0.0786560291945704
97,2.826,0.0854895027515394
98,2.833,0.0646099712036856
99,2.841,0.0654250595891215
100,2.848,0.0621031005298738
101,2.856,0.0855937582426998
102,2.863,0.0684200355170025
103,2.871,0.0685764187537431
104,2.878,0.0764192750205833
105,2.886,0.0753767201089792
106,2.894,0.0746090205831616
107,2.901,0.0920623375806073
108,2.909,0.0773433577831416
109,2.916,0.0952658244908091
110,2.924,0.0773433577831416
111,2.931,0.073988226522161
112,2.939,0.0757131810122696
113,2.946,0.0679319302629333
114,2.954,0.0827456877796357
115,2.961,0.662790068394446
116,2.969,8.80127225819195
117,2.976,41.6802222499605
118,2.984,90.6681762861787
119,2.991,100
120,2.999,2.05125996078288
121,3.007,0.147682642114688
122,3.014,0.115330267653227
123,3.022,0.114595740329142
124,3.029,0.10976681553403
125,3.037,0.088958367275604
126,3.044,0.0971803344193912
127,3.052,0.126713071733559
128,3.059,0.0953795577538932
129,3.067,0.0935029589130057
130,3.074,0.0924840984312107
131,3.082,0.0784617348701351
132,3.089,0.0724528274705258
133,3.097,0.0737370655661836
134,3.104,0.0855984971286616
135,3.112,0.0663159701499469
136,3.120,0.0716851279447082
137,3.127,0.0800776949831215
138,3.135,0.11397020738218
139,3.142,0.0956307187098705
140,3.150,0.064278249186357
141,3.157,0.056515953980868
142,3.165,0.0887688118371305
143,3.172,0.0899251000118188
144,3.180,0.0710927671994786
145,3.187,0.0717135612604792
146,3.195,0.0720452832778078
147,3.202,0.067998274666399
148,3.210,0.0669699364126804
149,3.218,0.0673680028334747
150,3.225,0.0585536749444579
151,3.233,0.0598142186103065
152,3.240,0.0718415111814488
153,3.248,0.0630508777222412
154,3.255,0.116823016731206
155,3.263,0.32914406336535
156,3.270,0.348128040528469
157,3.278,0.117974566019932
158,3.285,0.0616007786179191
159,3.293,0.069481545972454
