#"+EI TIC Scan IPA-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.27623323208896
1,2.102,0.271483960585911
2,2.110,0.259181741359171
3,2.117,0.218085629686407
4,2.125,0.2153874928325
5,2.132,0.227671357386765
6,2.140,0.20139664373801
7,2.147,0.20820622722644
8,2.155,0.18451493372862
9,2.162,0.185028864557935
10,2.170,0.19937304109758
11,2.177,0.181569008796293
12,2.185,0.181922336241448
13,2.193,0.160887881584463
14,2.200,0.180229117705578
15,2.208,0.16787642312953
16,2.215,0.157203181084996
17,2.223,0.154142539449698
18,2.230,0.150177930194978
19,2.238,0.132947481408552
20,2.245,0.148067142860289
21,2.253,0.138999934657366
22,2.260,0.133553185600246
23,2.268,0.128326692612832
24,2.275,0.131300149553871
25,2.283,0.12148039977945
26,2.291,0.123797677179489
27,2.298,0.125555137069023
28,2.306,0.129193950887302
29,2.313,0.118878624956041
30,2.321,0.114386318867649
31,2.328,0.134833424005415
32,2.336,0.112780285026038
33,2.343,0.107062804549903
34,2.351,0.114083466771802
35,2.358,0.115900579346882
36,2.366,0.0952745161524789
37,2.373,0.104809768503529
38,2.381,0.104075581604507
39,2.388,0.0991565293810584
40,2.396,0.093461992245518
41,2.404,0.119273250414265
42,2.411,0.157726289250549
43,2.419,0.313222485795319
44,2.426,0.362243227309403
45,2.434,0.145226757294698
46,2.441,0.10430960367857
47,2.449,0.111853374066022
48,2.456,0.0946688119607856
49,2.464,0.108797321098843
50,2.471,0.0940218097560224
51,2.479,0.0991106426998695
52,2.486,0.0859228105261844
53,2.494,0.0807330268837217
54,2.502,0.08577597314638
55,2.509,0.0928195787088736
56,2.517,0.0952561614800033
57,2.524,0.0880932505464186
58,2.532,0.103625892128856
59,2.539,0.0828897008995992
60,2.547,0.0866982954382765
61,2.554,0.0934803469179935
62,2.562,0.099216182066604
63,2.569,0.0982571504297563
64,2.577,0.0885062306771186
65,2.584,0.0886255360482096
66,2.592,0.0837982571871391
67,2.599,0.0773007031307932
68,2.607,0.0963666191647743
69,2.615,0.0882997406117686
70,2.622,0.0691558172197664
71,2.630,0.0750706104250135
72,2.637,0.0877949871186909
73,2.645,0.0716566413445605
74,2.652,0.0932325588395736
75,2.660,0.0694403146431374
76,2.667,0.0810679996564005
77,2.675,0.0794665544829085
78,2.682,0.0765206295505822
79,2.690,0.089846121767834
80,2.697,0.0790535743522086
81,2.705,0.0949762527247511
82,2.713,0.0763049621489944
83,2.720,0.0796546898757829
84,2.728,0.0887402527511819
85,2.735,0.0781863160777387
86,2.743,0.100271575733948
87,2.750,0.0888412034497974
88,2.758,0.0883777479697897
89,2.765,0.0791820570595374
90,2.773,0.0730194757758704
91,2.780,0.0987573152547151
92,2.788,0.0897130503923862
93,2.795,0.0686235317179753
94,2.803,0.0822243440223604
95,2.810,0.0589184986465265
96,2.818,0.088198789913153
97,2.826,0.0809624602896661
98,2.833,0.0799116552904407
99,2.841,0.0759057480226511
100,2.848,0.0681692535742054
101,2.856,0.0855832490853867
102,2.863,0.0715832226546583
103,2.871,0.0679306428320232
104,2.878,0.0593452447815831
105,2.886,0.0635714081190792
106,2.893,0.082857580222767
107,2.901,0.0808385662504561
108,2.908,0.0765527502274144
109,2.916,0.0750293124119435
110,2.923,0.0827245088473192
111,2.931,0.0652462719824735
112,2.939,0.0795720938496429
113,2.946,0.0669073698415111
114,2.954,0.0742446501636136
115,2.961,0.423791032788053
116,2.969,6.79686370040476
117,2.976,34.6767760531728
118,2.984,81.5681185946782
119,2.991,100
120,2.999,3.52129802775373
121,3.006,0.151187437181133
122,3.014,0.13167642033962
123,3.021,0.109017577168549
124,3.029,0.091612758993606
125,3.037,0.107865821470709
126,3.044,0.114780944325873
127,3.052,0.11177995537612
128,3.059,0.0908556287539894
129,3.067,0.0933885735556158
130,3.074,0.0971053947319153
131,3.082,0.0894790283183229
132,3.089,0.0837018951566424
133,3.097,0.0941502924633512
134,3.104,0.0620663249760839
135,3.112,0.071596988659015
136,3.119,0.0845324440861612
137,3.127,0.0906170180118072
138,3.134,0.116276850132631
139,3.142,0.0986471872198618
140,3.150,0.0673249386403299
141,3.157,0.0667742984660633
142,3.165,0.0846012741079446
143,3.172,0.0914796876181582
144,3.180,0.072294466213086
145,3.187,0.0855557170766734
146,3.195,0.0695091446649208
147,3.202,0.0559955170547946
148,3.210,0.0543481852001137
149,3.217,0.0740794581113336
150,3.225,0.063415393403037
151,3.232,0.0532377275153427
152,3.240,0.0488326061212099
153,3.248,0.0583908018128543
154,3.255,0.075378051188979
155,3.263,0.0703764029393907
156,3.270,0.0721109194883305
157,3.278,0.0502413272337086
158,3.285,0.0547841086714081
159,3.293,0.0511498835212485
160,3.300,0.0448266988534203
161,3.308,0.0622911697139094
162,3.315,0.0632456126826382
163,3.323,0.0832797376897047
164,3.330,0.0431197143131939
165,3.338,0.0411190550133585
166,3.345,0.060336397095263
167,3.353,0.053430451576336
168,3.361,0.052732974022265
169,3.368,0.0566333419233201
170,3.376,0.0534671609212871
171,3.383,0.0355025252358392
172,3.391,0.0417109932006951
173,3.398,0.0379666400156822
174,3.406,0.0393065311063976
175,3.413,0.0367689976366524
176,3.421,0.0401737893808675
177,3.428,0.042578251475165
178,3.436,0.0377417952778567
179,3.443,0.0414999144672263
180,3.451,0.0406234788565186
181,3.459,0.0292344045854377
182,3.466,0.0410410476553374
183,3.474,0.0445009034169793
184,3.481,0.0430692389638861
185,3.489,0.087749100437502
186,3.496,0.098885797962044
187,3.504,0.0455884177611558
188,3.511,0.0335982279665005
189,3.519,0.0354933478996014
190,3.526,0.0335890506302627
191,3.534,0.0461665899441357
192,3.541,0.0354199292096992
193,3.549,0.0330980631415417
194,3.556,0.0362229461305047
195,3.564,0.0250678939334871
196,3.572,0.0387650682683688
197,3.579,0.0286516437343389
198,3.587,0.0486123500515032
199,3.594,0.0448955288752036
200,3.602,0.0392331124164954
201,3.609,0.0365212095582324
202,3.617,0.0455884177611558
203,3.624,0.0311616451953708
204,3.632,0.0335156319403605
205,3.639,0.0418670079167373
206,3.647,0.0412383603844496
207,3.654,0.0299456481438654
208,3.662,0.0374481205182478
209,3.670,0.025646066116467
210,3.677,0.0238518968819817
211,3.685,0.0287617717691922
212,3.692,0.0394946664992721
213,3.700,0.0344379542322571
214,3.707,0.0358329093403991
215,3.715,0.0372966944703245
216,3.722,0.0354887592314825
217,3.730,0.0358007886635669
218,3.737,0.0290783898693955
219,3.745,0.030867970435762
220,3.752,0.0250174185841793
221,3.760,0.0423901160822906
222,3.767,0.0429453449246761
223,3.775,0.0374572978544856
224,3.783,0.0256093567715159
225,3.790,0.0309092684488319
226,3.798,0.0327722677051006
227,3.805,0.0351308431182092
228,3.813,0.0277614421192745
229,3.820,0.0356447739475247
230,3.828,0.0316251006753785
231,3.835,0.0362825988160502
232,3.843,0.0330705311328284
233,3.850,0.0218282942415519
234,3.858,0.0267657011374758
235,3.865,0.0288764884721644
236,3.873,0.0244576010736749
237,3.880,0.0195523148545833
238,3.888,0.0249302338899204
239,3.896,0.0225854244811685
240,3.903,0.0307348990603142
241,3.911,0.0276467254163023
242,3.918,0.020961035967082
243,3.926,0.0294179513101932
244,3.933,0.0336441146476894
245,3.941,0.0328640410674784
246,3.948,0.0267244031244058
247,3.956,0.0245172537592205
248,3.963,0.0477680351176278
249,3.971,0.0769198436769255
250,3.978,0.0551925001339891
251,3.986,0.0330567651284717
252,3.994,0.0293261779478155
253,4.001,0.0327676790369817
254,4.009,0.0291655745636544
255,4.016,0.0275641293901623
256,4.024,0.0256001794352781
257,4.031,0.0400866046866087
258,4.039,0.0106548873720588
259,4.046,0.0184739778466445
260,4.054,0.0329374597573806
261,4.061,0.0182170124319868
262,4.069,0.022645077166714
263,4.076,0.035878796021588
264,4.084,0.0333458512199617
265,4.091,0.0373976451689401
266,4.099,0.0406555995333508
267,4.107,0.0284451536689889
268,4.114,0.0381960734216267
269,4.122,0.0338276613724449
270,4.129,0.0263573096748947
271,4.137,0.0274356466828335
272,4.144,0.0312625958939864
273,4.152,0.0278899248266034
274,4.159,0.0295051360044521
275,4.167,0.024907290549326
276,4.174,0.024085918956045
277,4.182,0.0227827372102807
278,4.189,0.0230305252887006
279,4.197,0.0183500838074345
280,4.205,0.0266785164432169
281,4.212,0.0279587548483867
282,4.220,0.0263940190198458
283,4.227,0.01944218681973
284,4.235,0.0346765649744393
285,4.242,0.0337221220057105
286,4.250,0.026632629762028
287,4.257,0.0247191551564516
288,4.265,0.0208463192641098
289,4.272,0.0159731537218504
290,4.280,0.023755534851485
291,4.287,0.0254258100467604
292,4.295,0.0216126268399641
293,4.302,0.0234526827556384
294,4.310,0.035754901982378
295,4.318,0.0205526445045009
296,4.325,0.0230855893061273
297,4.333,0.0178453303143568
298,4.340,0.0312212978809164
299,4.348,0.0243795937156538
300,4.355,0.0130639381344751
301,4.363,0.0182812537856512
302,4.370,0.0218145282371952
303,4.378,0.0222596290447274
304,4.385,0.0195339601821077
305,4.393,0.0271878586044135
306,4.400,0.0279771095208623
307,4.408,0.0328640410674784
308,4.416,0.104254539661143
309,4.423,0.122444020084417
310,4.431,0.0597398702398075
311,4.438,0.0274585900234279
312,4.446,0.0253891007018093
313,4.453,0.0233425547207851
314,4.461,0.00633236200406593
315,4.468,0.0219384222764052
316,4.476,0.0278761588222467
317,4.483,0.0343737128785927
318,4.491,0.0334422132504583
319,4.498,0.0191163913832889
320,4.506,0.0263481323386569
321,4.513,0.0172946901400902
322,4.521,0.0151517821285693
323,4.529,0.0259902162253836
324,4.536,0.0301750815498098
325,4.544,0.0129629874358596
326,4.551,0.0210803413381731
327,4.559,0.01927699476745
328,4.566,0.0254028667061659
329,4.574,0.0250403619247737
330,4.581,0.0145323119325194
331,4.589,0.0219154789358108
332,4.596,0.0228148578871129
333,4.604,0.0278440381454145
334,4.611,0.0284267989965133
335,4.619,0.0245447857679338
336,4.626,0.0134126769115107
337,4.634,0.0195247828458699
338,4.642,0.0278807474903656
339,4.649,0.0231039439786029
340,4.657,0.0203736864478643
341,4.664,0.0154454568881782
342,4.672,0.0223238703983918
343,4.679,0.0234710374281139
344,4.687,0.0214979101369919
345,4.694,0.0166109785903758
346,4.702,0.0288856658084022
347,4.709,0.0196578542213177
348,4.717,0.0183087857943645
349,4.724,0.0169046533499847
350,4.732,0.0245310197635771
351,4.740,0.0241776923184227
352,4.747,0.0292114612448433
353,4.755,0.0209564472989631
354,4.762,0.0238564855501005
355,4.770,0.0196762088937933
356,4.777,0.0197542162518144
357,4.785,0.0249761205711093
358,4.792,0.011301889576822
359,4.800,0.0233700867294984
360,4.807,0.0103428579399743
361,4.815,0.0292389932535566
362,4.822,0.0210803413381731
363,4.830,0.0277981514642256
364,4.837,0.0377463839459756
365,4.845,0.0297391580785154
366,4.853,0.0254349873829981
367,4.860,0.0151701368010449
368,4.868,0.0144175952295472
369,4.875,0.00686923617397586
370,4.883,0.0119397144453475
371,4.890,0.0296152640393054
372,4.898,0.0196165562082477
373,4.905,0.0232370153540506
374,4.913,0.0292114612448433
375,4.920,0.0163494245075992
376,4.928,0.0148397526964849
377,4.935,0.011260591563752
378,4.943,0.0146699719760861
379,4.951,0.0179003943317835
380,4.958,0.0203140337623187
381,4.966,0.0200891890244932
382,4.973,0.0219246562720486
383,4.981,0.0233012567077151
384,4.988,0.0165467372367114
385,4.996,0.0234939807687084
386,5.003,0.0255542927540892
387,5.011,0.0214107254427331
388,5.018,0.0159364443768993
389,5.026,0.016725695293348
390,5.033,0.0192494627587366
391,5.041,0.0151013067792616
392,5.048,0.0234159734106873
393,5.056,0.0384897481812355
394,5.064,0.0405408828303786
395,5.071,0.0276467254163023
396,5.079,0.0208325532597531
397,5.086,0.0246732684752627
398,5.094,0.0239069608994083
399,5.101,0.0217640528878875
400,5.109,0.0251642559639837
401,5.116,0.014591964618065
402,5.124,0.0196165562082477
403,5.131,0.026017748234097
404,5.139,0.0149636467356949
405,5.146,0.0273759939972879
406,5.154,0.0155096982418426
407,5.162,0.0194100661428977
408,5.169,0.0170423133935513
409,5.177,0.0257607828194392
410,5.184,0.0300741308511943
411,5.192,0.0296473847161377
412,5.199,0.0205985311856898
413,5.207,0.0266005090851958
414,5.214,0.0216814568617475
415,5.222,0.0340387401059138
416,5.229,0.0268666518360913
417,5.237,0.016069515752347
418,5.244,0.0293491212884099
419,5.252,0.0194192434791355
420,5.259,0.0298033994321799
421,5.267,0.0264766150459858
422,5.275,0.0313497805882452
423,5.282,0.0137017630030006
424,5.290,0
425,5.297,0.00998953049481995
426,5.305,0.0226496658348329
427,5.312,0.0153399175214438
428,5.320,0.00624517730980705
429,5.327,0.011797465733662
430,5.335,0.0181481824102034
431,5.342,0.018414325161099
432,5.350,0.0111504635288987
433,5.357,0.0146240852948972
434,5.365,0.0229249859219662
435,5.373,0.0226496658348329
436,5.380,0.0234572714237573
437,5.388,0.0368928916758624
438,5.395,0.0142248711685539
439,5.403,0.0177214362751468
440,5.410,0.0154454568881782
441,5.418,0.0227368505290918
442,5.425,0.0153169741808493
443,5.433,0.013931196408945
444,5.440,0.0225395377999796
445,5.448,0.0237234141746528
446,5.455,0.0119947784627742
447,5.463,0.0277384987786801
448,5.470,0.0305467636674398
449,5.478,0.0189557879991278
450,5.486,0.021167526032432
451,5.493,0.00764930975418688
452,5.501,0.0281744222499745
453,5.508,0.0324327062643029
