#"+EI TIC Scan IPA-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.267296343431468
1,2.102,0.234217279017034
2,2.110,0.236735249109383
3,2.117,0.217163405358025
4,2.125,0.211839587495085
5,2.132,0.189358260008969
6,2.140,0.188179880712702
7,2.147,0.187059076952083
8,2.155,0.191269767792491
9,2.162,0.161292105564975
10,2.170,0.16405573127609
11,2.178,0.159649283614479
12,2.185,0.15687030442719
13,2.193,0.143635607966182
14,2.200,0.141674201385099
15,2.208,0.14119824362374
16,2.215,0.128408797971744
17,2.223,0.125979110367389
18,2.230,0.139601482101762
19,2.238,0.13006313502937
20,2.245,0.129157279935171
21,2.253,0.123296090406181
22,2.260,0.124489823178621
23,2.268,0.119592064279477
24,2.275,0.118152675888272
25,2.283,0.105040807236646
26,2.291,0.114179963928543
27,2.298,0.107562615698039
28,2.306,0.0972642715550907
29,2.313,0.105106059510381
30,2.321,0.0989876992554946
31,2.328,0.111696539157582
32,2.336,0.104465051880164
33,2.343,0.0958862970685762
34,2.351,0.103754953607169
35,2.358,0.0989454771960192
36,2.366,0.0901748039322709
37,2.373,0.0885626889341202
38,2.381,0.0896527857423935
39,2.389,0.0920133827039713
40,2.396,0.0864822929126972
41,2.404,0.104372931023126
42,2.411,0.103931518583157
43,2.419,0.19435965487228
44,2.426,0.357716802982505
45,2.434,0.171594288076966
46,2.441,0.095456399735736
47,2.449,0.0911305578240317
48,2.456,0.090497226931901
49,2.464,0.0875301676614952
50,2.471,0.0855994680327576
51,2.479,0.0904703583485985
52,2.486,0.0803600942887679
53,2.494,0.084682097831429
54,2.502,0.0822562485961165
55,2.509,0.0746946615809812
56,2.517,0.0693247832895222
57,2.524,0.0717467941557914
58,2.532,0.0699811443959121
59,2.539,0.0730787082137873
60,2.547,0.0760380907461068
61,2.554,0.0730441628923984
62,2.562,0.0729712338805773
63,2.569,0.0699926595030418
64,2.577,0.0764526346027741
65,2.584,0.0780724263390112
66,2.592,0.0536565608551149
67,2.599,0.0711364934779201
68,2.607,0.0618130950719487
69,2.615,0.0620472355835849
70,2.622,0.0680581215052609
71,2.630,0.0799263585868845
72,2.637,0.0679122634816187
73,2.645,0.0651755063538058
74,2.652,0.0700118513482578
75,2.660,0.0681540807313413
76,2.667,0.0641698536644832
77,2.675,0.0607537052160211
78,2.682,0.0662003508883445
79,2.690,0.0594333062651548
80,2.697,0.0650104564849475
81,2.705,0.0505781888824558
82,2.713,0.051008086215296
83,2.720,0.0670179234945494
84,2.728,0.0584161384687026
85,2.735,0.0665918645307525
86,2.743,0.0864093639008761
87,2.750,0.072840729333108
88,2.758,0.0732744650349913
89,2.765,0.0652753039489294
90,2.773,0.0583432094568815
91,2.780,0.069624176074893
92,2.788,0.0765447554598113
93,2.795,0.060592493716206
94,2.803,0.0513535394291854
95,2.810,0.0472311310767715
96,2.818,0.0659047964720168
97,2.826,0.0781069716604001
98,2.833,0.0597288606814825
99,2.841,0.0525856558920577
100,2.848,0.0597787594790443
101,2.856,0.0680274145529152
102,2.863,0.0546161531159189
103,2.871,0.0674631743035625
104,2.878,0.0653712631750098
105,2.886,0.06329470552263
106,2.893,0.0519600017380135
107,2.901,0.0714934617989392
108,2.908,0.0611759258107749
109,2.916,0.0568539222681138
110,2.924,0.0581781595880232
111,2.931,0.060147242907193
112,2.939,0.0681886260527303
113,2.946,0.0684726653619283
114,2.954,0.0591838122773458
115,2.961,0.191227545733016
116,2.969,3.25973107158205
117,2.976,22.8233875817707
118,2.984,63.3445083609658
119,2.991,100
120,2.999,11.231896908163
121,3.006,0.142430360086612
122,3.014,0.0988034575414202
123,3.021,0.089625917159091
124,3.029,0.0855342157590229
125,3.037,0.0733205254635099
126,3.044,0.0719655811912547
127,3.052,0.0998359788140453
128,3.059,0.0746754697357651
129,3.067,0.0508929351439995
130,3.074,0.0700579117767764
131,3.082,0.0740229469984184
132,3.089,0.0574143241484233
133,3.097,0.0618975391908994
134,3.104,0.0619704682027205
135,3.112,0.0536642375932014
136,3.119,0.0472311310767715
137,3.127,0.0626268293091105
138,3.135,0.0846130071886511
139,3.142,0.0963430629847188
140,3.150,0.0490505180032559
141,3.157,0.0579325039692574
142,3.165,0.0513688929053583
143,3.172,0.0709407366567161
144,3.180,0.0627726873327527
145,3.187,0.0579401807073439
146,3.195,0.052574140784928
147,3.202,0.0508468747154809
148,3.210,0.0503248565256035
149,3.217,0.0521787887734768
150,3.225,0.0383107614203378
151,3.232,0.0351018849002093
152,3.240,0.0483289046231313
153,3.248,0.0431547831528763
154,3.255,0.0459260856020781
155,3.263,0.0531115124509783
156,3.270,0.0671253978277595
157,3.278,0.0420531712374733
158,3.285,0.0411089324528422
159,3.293,0.0458915402806892
160,3.300,0.0373127854691017
161,3.308,0.0380996511229609
162,3.315,0.0508161677631352
163,3.323,0.0655708583652571
164,3.330,0.0445673029607797
165,3.338,0.0413776182858673
166,3.346,0.036518243077156
167,3.353,0.0291946349427001
168,3.361,0.0260548490653495
169,3.368,0.0339004753896827
170,3.376,0.0383414683726835
171,3.383,0.0273023190043946
172,3.391,0.043488721259636
173,3.398,0.0315705853804507
174,3.406,0.0267419171240851
175,3.413,0.0295976636922377
176,3.421,0.0254407100184349
177,3.428,0.0213912306778422
178,3.436,0.0308336185241532
179,3.443,0.0267150485407826
180,3.451,0.0374586434927439
181,3.459,0.023183749021024
182,3.466,0.0263811104340228
183,3.474,0.0252833368876631
184,3.481,0.0353859242094073
185,3.489,0.0521672736663472
186,3.496,0.0771281875543801
187,3.504,0.0408939837864221
188,3.511,0.0176488208607067
189,3.519,0.0261815152437756
190,3.526,0.0352055208643761
191,3.534,0.0224314286885537
192,3.541,0.0259166677797937
193,3.549,0.0310101835001412
194,3.556,0.0225158728075044
195,3.564,0.0186621502881157
196,3.572,0.0165971077428655
197,3.579,0.0221397126412693
198,3.587,0.0254714169707806
199,3.594,0.0170730655042243
200,3.602,0.0187542711451528
201,3.609,0.024001321627229
202,3.617,0.0209843635592613
203,3.624,0.0192570974898141
204,3.632,0.0192954811802463
205,3.639,0.0104096568452015
206,3.647,0.0212223424399407
207,3.654,0.0133652010084777
208,3.662,0.0263273732674178
209,3.670,0.0210764844162985
210,3.677,0.0257861632323243
211,3.685,0.0285114052530076
212,3.692,0.0217635524750341
213,3.700,0.0245118247099767
214,3.707,0.0228536492833074
215,3.715,0.0190037651329619
216,3.722,0.0130696465921501
217,3.730,0.0198789132748151
218,3.737,0.0163629672312293
219,3.745,0.0264962615053193
220,3.752,0.0247498035906561
221,3.760,0.0201744676911427
222,3.767,0.0187811397284554
223,3.775,0.0217098153084291
224,3.783,0.0197292168821297
225,3.790,0.0213490086183668
226,3.798,0.0282043357295504
227,3.805,0.0393240908477468
228,3.813,0.0238976856630621
229,3.820,0.014793074292554
230,3.828,0.0270374715404127
231,3.835,0.0111619771776718
232,3.843,0.0209805251902181
233,3.850,0.0127395468544335
234,3.858,0.0186583119190724
235,3.865,0.0210419390949095
236,3.873,0.01536115291095
237,3.881,0.0216752699870401
238,3.888,0.00928885308458245
239,3.896,0.0271372691355363
240,3.903,0.0222318334983064
241,3.911,0.0207770916309276
242,3.918,0.0193415416087649
243,3.926,0.0229956689379064
244,3.933,0.0136799472700214
245,3.941,0.0331673469024285
246,3.948,0.0176564975987931
247,3.956,0.0242162702936491
248,3.963,0.0243122295197294
249,3.971,0.0713975025728588
250,3.978,0.0577060401957077
251,3.986,0.0182821517528373
252,3.994,0.0210189088806502
253,4.001,0.0128124758662546
254,4.009,0.0306263465958196
255,4.016,0.0188041699427146
256,4.024,0.0213183016660211
257,4.031,0.0261930303509052
258,4.039,0.0265077766124489
259,4.046,0.029033423442885
260,4.054,0.0133498475323049
261,4.061,0.0257209109585897
262,4.069,0.0170538736590082
263,4.076,0.00994905256001559
264,4.084,0.0279471650036549
265,4.092,0.0187465944070664
266,4.099,0.0269798960047645
267,4.107,0.0193645718230242
268,4.114,0.027006764588067
269,4.122,0.0151577193516596
270,4.129,0.0225158728075044
271,4.137,0.0241855633413033
272,4.144,0.0168926621591931
273,4.152,0.0238209182821978
274,4.159,0.0345721899722455
275,4.167,0.0112041992371472
276,4.174,0.0285766575267423
277,4.182,0.0229764770926903
278,4.189,0.0215639572847869
279,4.197,0.0214641596896633
280,4.205,0.0296130171684106
281,4.212,0.0200170945603709
282,4.220,0.0269990878499806
283,4.227,0.0130773233302365
284,4.235,0.0199326504414201
285,4.242,0.0213259784041075
286,4.250,0.0197752773106483
287,4.257,0.0158716559936977
288,4.265,0.0228536492833074
289,4.272,0.00998743625044775
290,4.280,0.016854278468761
291,4.287,0.00904703583485985
292,4.295,0.015894686207957
293,4.302,0.027682317539673
294,4.310,0.0220437534151889
295,4.318,0.0170577120280514
296,4.325,0.0115765210343391
297,4.333,0.0138641889840958
298,4.340,0.0150847903398384
299,4.348,0.0173072060158604
300,4.355,0.0118874289268396
301,4.363,0.00799148434797548
302,4.370,0.0297473600849231
303,4.378,0.0127779305448657
304,4.385,0.0172496304802122
305,4.393,0.013388231222737
306,4.400,0.012037125319525
307,4.408,0.020873050857008
308,4.416,0.0843827050460581
309,4.423,0.138258052936636
310,4.431,0.0563050354949339
311,4.438,0.0241011192223526
312,4.446,0.0218172896416391
313,4.453,0.0168504400997178
314,4.461,0.00548886773179872
315,4.468,0.0111811690228879
316,4.476,0.0277744383967102
317,4.483,0.0188962907997518
318,4.491,0.0099759211433181
319,4.498,0.0107858170114367
320,4.506,0.0161480185648092
321,4.513,0.0189999267639187
322,4.521,0.0185316457406463
323,4.529,0.0250760649593294
324,4.536,0.0216292095585215
325,4.544,0.0183205354432694
326,4.551,0.0149389323161962
327,4.559,0.0166393298023409
328,4.566,0.0190651790376533
329,4.574,0.0119718730457904
330,4.581,0.0196869948226543
331,4.589,0.0268954518858137
332,4.596,0.0152229716253942
333,4.604,0.0112617747727954
334,4.611,0.0259742433154419
335,4.619,0.0143823688049299
336,4.627,0.0221857730697878
337,4.634,0.0225964785574119
338,4.642,0.0210381007258663
339,4.649,0.00802602966936443
340,4.657,0.017637305753577
341,4.664,0.00979935616733017
342,4.672,0.0190651790376533
343,4.679,0.0227615284262702
344,4.687,0.0136223717343732
345,4.694,0.00901249051347091
346,4.702,0.00609533004062683
347,4.709,0.0144207524953621
348,4.717,0.0164243811359208
349,4.724,0.018205384371973
350,4.732,0.00416846878093246
351,4.740,0.0204930523217296
352,4.747,0.0115803594033823
353,4.755,0.00471351718506911
354,4.762,0.0168312482545017
355,4.770,0.00592644180272533
356,4.777,0.0196255809179628
357,4.785,0.018028819395985
358,4.792,0.0084060282046428
359,4.800,0.0130811616992798
360,4.807,0.0117070255818085
361,4.815,0.0163514521240997
362,4.822,0.0177063963963549
363,4.830,0.0224160752123808
364,4.838,0.0168773086830203
365,4.845,0.0218978953915467
366,4.853,0.0200478015127166
367,4.860,0.0187274025618503
368,4.868,0.0258706073512751
369,4.875,0.0196601262393518
370,4.883,0.0217290071536452
371,4.890,0.0303576607627945
372,4.898,0.0185585143239488
373,4.905,0.00349675419836968
374,4.913,0.0174722558847187
375,4.920,0.0197330552511729
376,4.928,0.0144821664000536
377,4.935,0.0229227399260853
378,4.943,0.0199710341318523
379,4.951,0.012658941104526
380,4.958,0.00904319746581664
381,4.966,0.0157987269818766
382,4.973,0.00837915962134029
383,4.981,0.0125015679737542
384,4.988,0.0129544955208536
385,4.996,0.00824865507387095
386,5.003,0.0076575462412157
387,5.011,0.0181247786220654
388,5.018,0.0259205061488369
389,5.026,0.00854037112115535
390,5.033,0.00910077300146487
391,5.041,0.0279510033726981
392,5.049,0.01121955271332
393,5.056,0.0107551100590909
394,5.064,0.0110391493682889
395,5.071,0.00616825905244794
396,5.079,0.00425291289988321
397,5.086,0.0166124612190384
398,5.094,0.012232882140729
399,5.101,0.0116955104746788
400,5.109,0.00937713557257642
401,5.116,0.0126742945806989
402,5.124,0.0048785670539274
403,5.131,0.00431432680457466
404,5.139,0.0197484087273458
405,5.146,0.0209191112855266
406,5.154,0.00983006311967589
407,5.162,0.00629492523087406
408,5.169,0.0253217205780952
409,5.177,0.0127971223900818
410,5.184,0.0175375081584534
411,5.192,0.0129468187827672
412,5.199,0.00316665446065311
413,5.207,0.0205429511192914
414,5.214,0.0179059915866021
415,5.222,0.0166086228499952
416,5.229,0.0172381153730826
417,5.237,0.00949612501291611
418,5.244,0.0199057818581176
419,5.252,0.0163898358145319
420,5.259,0.0275633280993333
421,5.267,0.0136953007461943
422,5.275,0.0259243445178801
423,5.282,0.00807209009788302
424,5.290,0.00122443972478587
425,5.297,0.0204585070003407
426,5.305,0.0284384762411865
427,5.312,0.0159407466364756
428,5.320,0.00807976683596945
429,5.327,0.0101256175360035
430,5.335,0.0125668202474888
431,5.342,0.0182552831695348
432,5.350,0.0178100323605217
433,5.357,0.0176411441226202
434,5.365,0.0089126929183473
435,5.373,0.00143171165311953
436,5.380,0.014969639268542
437,5.388,0.0211954738566381
438,5.395,0.000303231154414055
439,5.403,0.0155876166844997
440,5.410,0.0128163142352979
441,5.418,0.0150502450184495
442,5.425,0.0192340672755548
443,5.433,0.00968804346507691
444,5.440,0.0180441728721579
445,5.448,0.0219324407129356
446,5.455,0.0105324846545844
447,5.463,0.0206082033930261
448,5.470,0.021798097796423
449,5.478,0.027770600027667
450,5.486,0.0188272001569739
451,5.493,0.0284806983006619
452,5.501,0.0232989000923205
453,5.508,0.0283348402770197
454,5.516,0.0158179188270927
455,5.523,0.0202704269172231
456,5.531,0.0104173335832879
457,5.538,0.0137912599722747
458,5.546,0.0075615870151353
459,5.553,0.0170193283376193
460,5.561,0.00870542099001364
461,5.568,0.0207617381547547
462,5.576,0.0303576607627945
463,5.584,0.00861713850201967
464,5.591,0.0118643987125803
465,5.599,0.0268225228739926
466,5.606,0.0211417366900331
467,5.614,0.0074157289914931
468,5.621,0.0249378836737736
469,5.629,0.0201245688935809
470,5.636,0.0265192917195786
471,5.644,0.013956309841133
472,5.651,0.00936562046544677
473,5.659,0.0067632062541464
474,5.666,0.0190076035020051
475,5.674,0.0169118540044092
476,5.681,0.0210035554044774
477,5.689,0.00954986217952114
478,5.697,0.0170385201828353
479,5.704,0.0190459871924372
480,5.712,0.00727754770593733
481,5.719,0.0216292095585215
482,5.727,0.0439032651163034
483,5.734,0.0384604578130232
484,5.742,0.0276899942777594
485,5.749,0.0353398637808887
486,5.757,0.00976097247689801
487,5.764,0.0113385421536597
488,5.772,0.0132961103656998
489,5.779,0.00481715314923594
490,5.787,0.0224851658551587
491,5.795,0.0218787035463306
492,5.802,0.0177639719320031
493,5.810,0.00651371226633737
494,5.817,0.0217290071536452
495,5.825,0.0155607481011972
496,5.832,0.0174530640395027
497,5.840,0.00201898211673156
498,5.847,0.0125821737236617
499,5.855,0.0216484014037376
500,5.862,0.0138948959364415
501,5.870,0.0116494500461602
502,5.877,0.0166969053379891
503,5.885,0.0144207524953621
504,5.892,0.0179635671222504
505,5.900,0.010152486119306
506,5.908,0.0288299898835946
507,5.915,0.027966356848871
508,5.923,0.0109086448208196
509,5.930,0.0136454019486325
510,5.938,0.0185546759549056
511,5.945,0.012516921449927
512,5.953,0.000679391320649213
513,5.960,0.0164857950406122
514,5.968,0.0128777281399893
515,5.975,0.0130120710565019
516,5.983,0.00889733944217443
517,5.990,0.022135874272226
518,5.998,0.0127817689139089
519,6.005,0.00477109272071735
520,6.013,0.0210112321425638
521,6.021,0.0193914404063267
522,6.028,0.0257170725895465
523,6.036,0.0206657789286744
524,6.043,0.0340693636275842
525,6.051,0.0225350646527205
526,6.058,0.0194912380014503
527,6.066,0.0207118393571929
528,6.073,0.025210407875842
529,6.081,0.0270758552308449
530,6.088,0.0241855633413033
531,6.096,0.0143401467454546
532,6.103,0.0192417440136413
533,6.111,0.020446991893211
534,6.119,0.0316128074399261
535,6.126,0.0381610650276524
536,6.134,0.0623312748927828
537,6.141,0.0530040381177682
538,6.149,0.0489967808366508
539,6.156,0.0377733897542876
540,6.164,0.0227269831048813
541,6.171,0.0235100103896973
542,6.179,0.0251528323401937
543,6.186,0.0122866193073341
544,6.194,0.024339098103032
545,6.201,0.02658070562427
546,6.209,0.025459901863651
547,6.216,0.0169233691115389
548,6.224,0.0209306263926562
549,6.232,0.0208768892260512
550,6.239,0.0187619478832393
551,6.247,0.0247498035906561
552,6.254,0.0222203183911768
553,6.262,0.0166661983856434
554,6.269,0.0251298021259344
555,6.277,0.0323382591890939
556,6.284,0.026189191981862
557,6.292,0.0110468261063753
558,6.299,0.0156221620058887
559,6.307,0.0244657642814581
560,6.314,0.0162938765884515
561,6.322,0.0265000998743625
562,6.330,0.0165894310047791
563,6.337,0.0107934937495231
564,6.345,0.0219631476652813
565,6.352,0.0165664007905198
566,6.360,0.0307453360361593
567,6.367,0.0161518569338525
568,6.375,0.0150579217565359
569,6.382,0.00936178209640356
570,6.390,0.00977632595307087
571,6.397,0.0130389396398044
572,6.405,0.0284039309197976
573,6.412,0.0263887871721092
574,6.420,0.0156336771130183
575,6.427,0.0102637988215593
576,6.435,0.0222356718673497
577,6.443,0.0109355134041221
578,6.450,0.0104941009641522
579,6.458,0.00929652982266889
580,6.465,0.0249724289951626
581,6.473,0.0276746408015866
582,6.480,0.0216176944513919
583,6.488,0.0111504620705422
584,6.495,0.00903168235868699
585,6.503,0.0141098446028616
586,6.510,0.00835996777612421
587,6.518,0.0116724802604195
588,6.525,0.0231607188067647
589,6.533,0.0213490086183668
590,6.541,0.027878074360877
591,6.548,0.0258130318156269
592,6.556,0.0222740555577818
593,6.563,0.022703952890622
594,6.571,0.00904319746581664
595,6.578,0.0209690100830884
596,6.586,0.0230724363187707
597,6.593,0.0338889602825531
598,6.601,0.0108165239637824
599,6.608,0.0190383104543508
600,6.616,0.00859410828776038
601,6.623,0.0136799472700214
602,6.631,0.0176680127059227
603,6.638,0.0087438046804458
604,6.646,0.0229688003546039
605,6.654,0.0203011338695688
606,6.661,0
607,6.669,0.0295055428352005
608,6.676,0.0310025067620547
609,6.684,0.0183704342408312
610,6.691,0.0163936741835751
611,6.699,0.0237326357942038
612,6.706,0.00750017311044385
613,6.714,0.0108664227613442
614,6.721,0.0200938619412352
615,6.729,0.0192417440136413
616,6.736,0.0274251468137775
617,6.744,0.0174991244680212
618,6.752,0.0175682151107991
619,6.759,0.0162171092075871
620,6.767,0.0252794985186199
621,6.774,0.0129928792112858
622,6.782,0.0126128806760074
623,6.789,0.0297358449777935
624,6.797,0.0235829394015184
625,6.804,0.0240588971628772
626,6.812,0.0333592653545893
627,6.819,0.00974561900072514
628,6.827,0.0224928425932451
629,6.834,0.0229611236165175
630,6.842,0.0193453799778081
631,6.849,0.0159752919578645
632,6.857,0.0183166970742262
633,6.865,0.0193108346564191
634,6.872,0.0199902259770684
635,6.880,0.0193568950849377
636,6.887,0.019663964608395
637,6.895,0.0182975052290101
638,6.902,0.0194950763704935
639,6.910,0.0290219083357553
640,6.917,0.0154379202918143
641,6.925,0.0231069816401597
642,6.932,0.0120870241170868
643,6.940,0.0473769891004137
644,6.947,0.0326491670815944
645,6.955,0.0302540247986276
646,6.962,0.0280085789083463
647,6.970,0.0395966150498151
648,6.978,0.0302540247986276
649,6.985,0.0365911720889771
650,6.993,0.0258437387679726
651,7.000,0.0264655545529736
652,7.008,0.0238324333893275
653,7.015,0.0312136170594316
654,7.023,0.07102901914471
655,7.030,0.163848459347757
656,7.038,0.145723680725691
657,7.045,0.0750900135924325
658,7.053,0.055898168376353
659,7.060,0.0483979952659092
660,7.068,0.0345146144365973
661,7.076,0.0331827003786014
662,7.083,0.0349598652456103
663,7.091,0.0348255223290978
664,7.098,0.0382838928370353
665,7.106,0.032660682188724
666,7.113,0.0332095689619039
667,7.121,0.0365758186128042
668,7.128,0.032376642879526
669,7.136,0.0443868996157485
670,7.143,0.0332517910213793
671,7.151,0.0498412220261583
672,7.158,0.0645153068783727
673,7.166,0.100830116396238
674,7.173,0.0969955857220655
675,7.181,0.0721344694291562
676,7.189,0.0634098565939265
677,7.196,0.0589496717657096
678,7.204,0.0580706852548132
679,7.211,0.0654595456630038
680,7.219,0.0635211692961798
681,7.226,0.133329587085147
682,7.234,0.199725694794696
683,7.241,0.190425326602984
684,7.249,0.136193010391386
685,7.256,0.100856984979541
686,7.264,0.0846974513076018
687,7.271,0.0849431069263677
688,7.279,0.0651946981990219
689,7.287,0.0571149313630524
690,7.294,0.0594563364794141
691,7.302,0.0605809786090764
692,7.309,0.0505781888824558
693,7.317,0.0473731507313705
694,7.324,0.0585696732304313
695,7.332,0.0531882798318426
696,7.339,0.0401109565016061
697,7.347,0.0339158288658556
698,7.354,0.0576638181362323
699,7.362,0.0542284778425541
700,7.369,0.0437612454617044
701,7.377,0.0396465138473769
702,7.384,0.0316511911303582
703,7.392,0.0446594238178169
704,7.400,0.0448436655318912
705,7.407,0.0380804592777448
706,7.415,0.0463751747801344
707,7.422,0.0468856778628821
708,7.430,0.0535567632599913
709,7.437,0.0383184381584242
710,7.445,0.0339388590801149
711,7.452,0.0528121196656074
712,7.460,0.0416846878093246
713,7.467,0.0512921255244939
714,7.475,0.0490965784317745
715,7.482,0.0460757819947635
716,7.490,0.0370057159456444
717,7.498,0.039896007835186
718,7.505,0.0527430290228295
719,7.513,0.0438380128425687
720,7.520,0.0329024994384466
721,7.528,0.0413699415477809
722,7.535,0.0440913451994209
723,7.543,0.0481753698614026
724,7.550,0.0441873044255013
725,7.558,0.0423986244513627
726,7.565,0.0509620257867774
727,7.573,0.0398038869781488
728,7.580,0.0360422853157972
729,7.588,0.0391360107646292
730,7.595,0.0424869069393567
731,7.603,0.0408786303102492
732,7.611,0.0429052891650672
733,7.618,0.0430089251292341
734,7.626,0.0421491304635537
