#"+EI TIC Scan IPA-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.248445725935878
1,2.102,0.235002964285816
2,2.110,0.214718150700759
3,2.117,0.213684401525395
4,2.125,0.198809676037087
5,2.132,0.205921226784337
6,2.140,0.171216215558504
7,2.147,0.173931315532709
8,2.155,0.168380444474335
9,2.162,0.16404030688594
10,2.170,0.160721851361912
11,2.178,0.160190898478068
12,2.185,0.153019012175836
13,2.193,0.146305676091469
14,2.200,0.157158031247623
15,2.208,0.138667194830707
16,2.215,0.129612839213026
17,2.223,0.128933058626892
18,2.230,0.139371109638834
19,2.238,0.117457236069254
20,2.245,0.127834951526214
21,2.253,0.109324003257637
22,2.260,0.115088059943615
23,2.268,0.10783572623474
24,2.276,0.113796879066993
25,2.283,0.104115033677497
26,2.291,0.0888984067109548
27,2.298,0.106218733361214
28,2.306,0.0967500735993212
29,2.313,0.100446631934571
30,2.321,0.0979487399583033
31,2.328,0.0958128613119291
32,2.336,0.0940309512547845
33,2.343,0.0924300478625868
34,2.351,0.0790958902114934
35,2.358,0.100764399190812
36,2.366,0.0864447608083404
37,2.373,0.0836130120945033
38,2.381,0.0795705299106877
39,2.389,0.0814851781887934
40,2.396,0.081501267670122
41,2.404,0.0950807899114769
42,2.411,0.130296642169493
43,2.419,0.188689392281385
44,2.426,0.322678570415796
45,2.434,0.182973604039393
46,2.441,0.0874101296880575
47,2.449,0.0828447393610618
48,2.456,0.0770806826750838
49,2.464,0.0764974389769214
50,2.471,0.0830016118040158
51,2.479,0.0821850706265883
52,2.487,0.074176531295268
53,2.494,0.0781627002944335
54,2.502,0.0767146469748577
55,2.509,0.0722980843501517
56,2.517,0.0695749396352828
57,2.524,0.0646555807190574
58,2.532,0.0723262409424768
59,2.539,0.0694381790439896
60,2.547,0.0696111409682722
61,2.554,0.0749528487693739
62,2.562,0.0741684865546037
63,2.569,0.0655123455998064
64,2.577,0.0608182394221817
65,2.584,0.065138265158916
66,2.592,0.0616468477106056
67,2.600,0.0659869852990007
68,2.607,0.0600539890590722
69,2.615,0.0714051181364133
70,2.622,0.0689997406777847
71,2.630,0.0715298116167101
72,2.637,0.0663007301849088
73,2.645,0.05116455062501
