#"+EI TIC Scan IPA-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.287958340841422
1,2.102,0.282222630758027
2,2.110,0.236987605064201
3,2.117,0.223564219977412
4,2.125,0.24206851587507
5,2.132,0.199282771004427
6,2.140,0.237281850306919
7,2.147,0.194193571595172
8,2.155,0.176029108231357
9,2.163,0.182805037412247
10,2.170,0.185391080108806
11,2.178,0.163090606150173
12,2.185,0.184757002332246
13,2.193,0.162290756405885
14,2.200,0.154400010742024
15,2.208,0.161350000489027
16,2.215,0.14787688381192
17,2.223,0.142340100089799
18,2.230,0.137487125734556
19,2.238,0.128978879490908
20,2.245,0.128460842091757
21,2.253,0.142762818607506
22,2.260,0.126500588573371
23,2.268,0.136944222540247
24,2.276,0.126894296996726
25,2.283,0.127010337374136
26,2.291,0.11466447007758
27,2.298,0.118734171885306
28,2.306,0.103798117592998
29,2.313,0.114179587071975
30,2.321,0.101158199006926
31,2.328,0.106856610397583
32,2.336,0.105812247000895
33,2.343,0.1050165415558
34,2.351,0.0990238849224262
35,2.358,0.104527514251002
36,2.366,0.10640073748633
37,2.373,0.0937067490575449
38,2.381,0.0985099918224688
39,2.389,0.100623584411003
40,2.396,0.0959280934251025
41,2.404,0.112811968338217
42,2.411,0.1262394977242
43,2.419,0.234293810588618
44,2.426,0.33860167698238
45,2.434,0.162928978481638
46,2.441,0.107979715478941
47,2.449,0.07929287646358
48,2.456,0.0895210068724085
49,2.464,0.0859859196606051
50,2.471,0.0823472249689716
51,2.479,0.0831263532172941
52,2.487,0.0881906868313899
53,2.494,0.109339045614312
54,2.502,0.104941944170322
55,2.509,0.104216691811511
56,2.517,0.0868064909008596
57,2.524,0.0800098402240043
58,2.532,0.0850534523421341
59,2.539,0.0712860904223091
60,2.547,0.0801797564909257
61,2.554,0.0864832355637896
62,2.562,0.0840795420317311
63,2.569,0.0886092610499035
64,2.577,0.0606269528973873
65,2.584,0.0707058885352604
66,2.592,0.069702968130505
67,2.600,0.0779128248322429
68,2.607,0.0852275129082487
69,2.615,0.0748833421220105
70,2.622,0.0708012074167041
71,2.630,0.0711949158400586
72,2.637,0.0697734212167894
73,2.645,0.0643278120769189
74,2.652,0.0769140487266807
75,2.660,0.0648458494760694
76,2.667,0.066723217010591
77,2.675,0.0532459560342903
78,2.682,0.0698397300038807
79,2.690,0.0625208976286817
80,2.698,0.0749828053026474
81,2.705,0.0687746451112272
82,2.713,0.0595784452015066
83,2.720,0.0707348986296129
84,2.728,0.0660476962420987
85,2.735,0.0764623201146214
86,2.743,0.0798109138627305
87,2.750,0.0759525713138572
88,2.758,0.0710954526594217
89,2.765,0.0652188364034578
90,2.773,0.060904620943332
91,2.780,0.0765907933896107
92,2.788,0.0955716836944869
93,2.795,0.0718497151125849
94,2.803,0.0673448618895717
95,2.811,0.0581362290822715
96,2.818,0.0717170975384023
97,2.826,0.0843323442825165
98,2.833,0.0634906636398916
99,2.841,0.0662673440993385
100,2.848,0.06279027707624
101,2.856,0.0784640166249391
102,2.863,0.0644770068478742
103,2.871,0.075401379521161
104,2.878,0.06461376872125
105,2.886,0.0589609446217191
106,2.893,0.0703909217965769
107,2.901,0.0784474394281663
108,2.909,0.0809505961408618
109,2.916,0.0677634361080853
110,2.924,0.0745766639817134
111,2.931,0.0747548688470211
112,2.939,0.0600799054038843
113,2.946,0.0667895257976823
114,2.954,0.0711700500448993
115,2.961,0.201118695547017
116,2.969,3.5779351211619
117,2.976,25.6675678583406
118,2.984,71.626163325505
119,2.991,100
120,2.999,6.16161142288214
121,3.006,0.143173104227633
122,3.014,0.102882227471299
123,3.022,0.0893428020071007
124,3.029,0.0864335039734712
125,3.037,0.0678338891943698
126,3.044,0.0898691280046376
127,3.052,0.100200865893296
128,3.059,0.0813152944698637
129,3.067,0.0728070482262151
130,3.074,0.0754303896155135
131,3.082,0.0622142194883846
132,3.089,0.0630099249334799
133,3.097,0.0752148860574668
134,3.104,0.0626866695964099
135,3.112,0.0510619103594715
136,3.120,0.0463581307751845
137,3.127,0.0619282628440535
138,3.135,0.0775191164088885
139,3.142,0.0867733365073139
140,3.150,0.0375183405960795
141,3.157,0.0439254271487735
142,3.165,0.0691683535345816
143,3.172,0.0675189224556863
144,3.180,0.0684928327660893
145,3.187,0.0499843925692384
146,3.195,0.0692139408257069
147,3.202,0.049835197798283
148,3.210,0.0460928956268195
149,3.217,0.0596903412797231
150,3.225,0.0358316108244453
151,3.233,0.0502786378119559
152,3.240,0.0354296138027045
153,3.248,0.054518255886604
154,3.255,0.0497108688224869
155,3.263,0.0506433361409579
156,3.270,0.0558941632187479
157,3.278,0.0470958160315749
158,3.285,0.0380943981839349
159,3.293,0.0468844567727215
160,3.300,0.0454049419607475
161,3.308,0.0349820294898384
162,3.315,0.052591156761764
163,3.323,0.0571374529767092
164,3.330,0.0447335654914484
165,3.338,0.0279077107670385
166,3.346,0.0405975548966304
167,3.353,0.0332870111198178
168,3.361,0.0294493900669105
169,3.368,0.038948123817735
170,3.376,0.0362791951373114
171,3.383,0.0480945921371372
172,3.391,0.0309289048788845
173,3.398,0.0420190495198995
174,3.406,0.0246710130971459
175,3.413,0.0346587741527685
176,3.421,0.0355166440857618
177,3.428,0.0381731398686058
178,3.436,0.0327855509174401
179,3.444,0.034812113222917
180,3.451,0.0271368711171025
181,3.459,0.0263701757663597
182,3.466,0.0350193281825773
183,3.474,0.0238089988649593
184,3.481,0.0303860016845747
185,3.489,0.062910461752843
186,3.496,0.08572068451224
187,3.504,0.0359808055954007
188,3.511,0.0287448592040658
189,3.519,0.0272653443920918
190,3.526,0.0378747503266951
191,3.534,0.0374934748009203
192,3.541,0.034223622737482
193,3.549,0.0276383313194802
194,3.557,0.0175013754929022
195,3.564,0.03418217974555
196,3.572,0.0303942902829611
197,3.579,0.0318903822917079
198,3.587,0.0253299566688654
199,3.594,0.0237634115738341
200,3.602,0.0220849704005863
201,3.609,0.0226776051852145
202,3.617,0.0311278312401583
203,3.624,0.0304813205660184
204,3.632,0.018044278687212
205,3.639,0.0242607274770186
206,3.647,0.0227397696731126
207,3.655,0.0255081615341731
208,3.662,0.0201951699684851
209,3.670,0.0368966957170989
210,3.677,0.0306305153369738
211,3.685,0.0296897594201164
212,3.692,0.027816536184788
213,3.700,0.0227190481771466
214,3.707,0.0327399636263148
215,3.715,0.0340951494624927
216,3.722,0.0261463836099266
217,3.730,0.0314593751756147
218,3.737,0.0238131431641525
219,3.745,0.030613938140201
220,3.752,0.0374313103130222
221,3.760,0.0204189621249181
222,3.768,0.0326032017529391
223,3.775,0.0232370855762971
224,3.783,0.027269488691285
225,3.790,0.0329223127908158
226,3.798,0.0218280238506076
227,3.805,0.0255081615341731
228,3.813,0.0137010531327338
229,3.820,0.0245756942157022
230,3.828,0.0393169664459302
231,3.835,0.0128804818924793
232,3.843,0.0155286890769369
233,3.850,0.0191466622726044
234,3.858,0.0275181466428773
235,3.866,0.0143392752084873
