#"+EI TIC Scan IPA-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.334726662905761
1,2.102,0.324525087707629
2,2.110,0.289438115794325
3,2.117,0.267048663822335
4,2.125,0.240342490662749
5,2.132,0.208095581528772
6,2.140,0.197554244219002
7,2.147,0.206178974745177
8,2.155,0.191595339491827
9,2.163,0.188141091356848
10,2.170,0.17883248068289
11,2.178,0.164566827918636
12,2.185,0.169820072875488
13,2.193,0.156673892709833
14,2.200,0.15035344624848
15,2.208,0.163503982338643
16,2.215,0.154265066456816
17,2.223,0.14814063659833
18,2.230,0.139986345919037
19,2.238,0.134236525568253
20,2.245,0.139293753922238
21,2.253,0.119430738164986
22,2.260,0.128229705671488
23,2.268,0.121338633099564
24,2.276,0.125367863269621
25,2.283,0.11494849184608
26,2.291,0.106911811128507
27,2.298,0.104023833179591
28,2.306,0.122819647432341
29,2.313,0.117766775002865
30,2.321,0.289982606357846
31,2.328,0.233150859299762
32,2.336,0.155489081243611
33,2.343,0.134698253566119
34,2.351,0.127345452996329
35,2.358,0.133822712739977
36,2.366,0.099881348972322
37,2.373,0.11413828988756
38,2.381,0.107717657162519
39,2.389,0.0921757185173705
40,2.396,0.104459425630408
41,2.404,0.121713242607267
42,2.411,0.148976974103898
43,2.419,0.319376384938973
44,2.426,0.331690583523567
45,2.434,0.131196090261551
46,2.441,0.0896579941516486
47,2.449,0.0835596998402116
48,2.456,0.0895970112085343
49,2.464,0.0820656177339096
50,2.471,0.0890873680410785
51,2.479,0.0837644282920956
52,2.487,0.0843742577232393
53,2.494,0.0839952922910285
54,2.502,0.0903505861484476
55,2.509,0.0720905506102019
56,2.517,0.0799704180454801
57,2.524,0.0786200814479476
58,2.532,0.0750482233512488
59,2.539,0.082745141957184
60,2.547,0.0591316751983982
61,2.554,0.0739026152056003
62,2.562,0.0698385376394783
63,2.569,0.0819654314702217
64,2.577,0.0838559027067671
65,2.584,0.0705834007303753
66,2.592,0.0667327634651536
67,2.600,0.0715112126506153
68,2.607,0.072892040719705
69,2.615,0.0666892042200719
70,2.622,0.0667327634651536
71,2.630,0.0639362599309089
72,2.637,0.0630999224253404
73,2.645,0.0785503866558169
74,2.652,0.0653606472450803
75,2.660,0.0686058110036664
76,2.667,0.0651384950951637
77,2.675,0.0669070004454804
78,2.682,0.0706400277489815
79,2.690,0.0649642581148369
80,2.698,0.0609219601712558
81,2.705,0.0663407302594184
82,2.713,0.0592579970091351
83,2.720,0.0714023145379111
84,2.728,0.0608130620585516
85,2.735,0.0764769665899283
86,2.743,0.0798658758572841
87,2.750,0.0677084905549836
88,2.758,0.0674776265560506
89,2.765,0.0701042490344767
90,2.773,0.0638883447613191
91,2.780,0.0749567489365773
92,2.788,0.0768080168525492
93,2.795,0.0620414327698553
94,2.803,0.0635485826496819
95,2.811,0.0842697155350432
96,2.818,0.0699256561296417
97,2.826,0.0709188069175043
98,2.833,0.0431933474230067
99,2.841,0.0557384100065343
100,2.848,0.0514565362150039
101,2.856,0.0726219734001985
102,2.863,0.0674209995374444
103,2.871,0.06324366793411
104,2.878,0.0740812081104352
105,2.886,0.0649773258883614
106,2.893,0.0741552588270741
107,2.901,0.0620457886943635
108,2.909,0.0536998373367111
109,2.916,0.0698690291110355
110,2.924,0.0802099938934294
111,2.931,0.0688933020212056
112,2.939,0.064890207398198
113,2.946,0.0540178198258075
114,2.954,0.055808104798665
115,2.961,0.396628706091355
116,2.969,6.63980542259459
117,2.976,33.6907587188512
118,2.984,74.9145356721686
119,2.991,100
120,2.999,3.74467940156044
121,3.006,0.140713785311901
122,3.014,0.0961875249893944
123,3.022,0.0976119123035658
124,3.029,0.086321355978391
125,3.037,0.0668590852758905
126,3.044,0.0939703594147362
127,3.052,0.0961134742727555
128,3.059,0.0758453575362438
129,3.067,0.0749611048610854
130,3.074,0.0735933445655203
131,3.082,0.0630563631802587
132,3.089,0.0573936613196387
133,3.097,0.0725740582306087
134,3.104,0.059384318819872
135,3.112,0.050171538485094
136,3.120,0.0564571375503823
137,3.127,0.0643718523817259
138,3.135,0.0989535370520819
139,3.142,0.0893879268321421
140,3.150,0.0530420927359775
141,3.157,0.0599767245529831
142,3.165,0.0629561769165708
143,3.172,0.0572891191314426
144,3.180,0.0532511771123697
145,3.187,0.0671727118404787
146,3.195,0.0687974716820259
147,3.202,0.0443215318706226
148,3.210,0.0353091240632203
149,3.217,0.0456326651475816
150,3.225,0.0400048106830268
151,3.233,0.0427054838780918
152,3.240,0.040344572794664
153,3.248,0.0420041800322765
154,3.255,0.045053327187995
155,3.263,0.0705267737117691
156,3.270,0.0698951646580845
157,3.278,0.043533109534644
158,3.285,0.0383321356718898
159,3.293,0.0510427233867278
160,3.300,0.0345860405948642
161,3.308,0.0583868121075013
162,3.315,0.0512300281405791
163,3.323,0.0605299269655206
164,3.330,0.0419170615421131
165,3.338,0.0435548891571848
166,3.346,0.0498274204489486
167,3.353,0.0590576244817593
168,3.361,0.0404055557377784
169,3.368,0.0324864849819266
170,3.376,0.0445001247754575
171,3.383,0.0302344720112031
172,3.391,0.0517440272325431
173,3.398,0.0261006996529504
174,3.406,0.0291498468086689
175,3.413,0.0322338413604528
176,3.421,0.0317895370606195
177,3.428,0.0321423669457812
178,3.436,0.037203951224274
179,3.444,0.0244846516604196
180,3.451,0.0210913864685557
181,3.459,0.0377223062407461
182,3.466,0.0311448602334105
183,3.474,0.0194230673819269
184,3.481,0.027943255719906
185,3.489,0.0866393384674873
186,3.496,0.0810637550970306
187,3.504,0.0382798645777918
188,3.511,0.0291280671861281
189,3.519,0.0334927035433137
190,3.526,0.0214050130331439
191,3.534,0.0207559802814267
192,3.541,0.0236047549097694
193,3.549,0.031210199101033
194,3.557,0.0261529707470485
195,3.564,0.0175587316924304
196,3.572,0.0181946966706232
197,3.579,0.0198238124366785
198,3.587,0.0224504349151046
199,3.594,0.0308530132913631
200,3.602,0.0199544901719236
201,3.609,0.0286010003206396
202,3.617,0.0196103721357782
203,3.624,0.0189177801389793
204,3.632,0.0257609375413132
205,3.639,0.0344379391615865
206,3.647,0.0302693194072684
207,3.655,0.0346426676134704
208,3.662,0.0203160319061016
209,3.670,0.017624070560053
210,3.677,0.0153764135138376
211,3.685,0.0238094833616534
212,3.692,0.0258044967863949
213,3.700,0.0169881055818603
214,3.707,0.0168922752426805
215,3.715,0.0200111171905298
216,3.722,0.012196588622874
217,3.730,0.00311013009883288
218,3.737,0.017031664826942
219,3.745,0.015206532458019
220,3.752,0.0204075063207732
221,3.760,0.0178680023325105
222,3.768,0.0301517094455479
223,3.775,0.0302039805396459
224,3.783,0.0132594342028673
225,3.790,0.0156813282294095
226,3.798,0.0203813707737241
227,3.805,0.0210086239029005
228,3.813,0.0209912002048678
229,3.820,0.0171231392416135
230,3.828,0.0236526700793593
231,3.835,0.0134990100508167
232,3.843,0.0265450039527837
233,3.850,0.0108985231194396
234,3.858,0.0292456771478487
235,3.866,0.016003666643014
236,3.873,0.0169489022612867
237,3.881,0.0133901119381124
238,3.888,0.0180727307843944
239,3.896,0.00962223723854598
240,3.903,0.0284746785099027
241,3.911,0.01234904598066
242,3.918,0.0171666984866952
243,3.926,0.0149669566100697
244,3.933,0.0102102870471488
245,3.941,0.0092214921837944
246,3.948,0.0111555226654216
247,3.956,0.0212917589959315
248,3.963,0.0401180647202392
249,3.971,0.0852759340964303
250,3.979,0.0386631859345107
251,3.986,0.0253514806375453
252,3.994,0.020350879302167
253,4.001,0.0212830471469152
254,4.009,0.0171187833171053
255,4.016,0.0192488304016001
256,4.024,0.0298990658240741
257,4.031,0.0210042679783923
258,4.039,0.00711758064634863
259,4.046,0.029563659636945
260,4.054,0.0179246293511167
261,4.061,0.0199065750023337
262,4.069,0.00683444555331763
263,4.076,0.0237310767205063
264,4.084,0.00792342668035995
265,4.092,0.00311884194784922
266,4.099,0.0114778610790261
267,4.107,0.0267410205556513
268,4.114,0.0122706393395129
269,4.122,0.0130764853735242
270,4.129,0.012375181527709
271,4.137,0.0245761260750912
272,4.144,0.0300907265024335
273,4.152,0.00686929294938298
274,4.159,0.0197192702484824
275,4.167,0.0254385991277087
276,4.174,0.0131461801656549
277,4.182,0.0183123066323437
278,4.190,0.011037912703701
279,4.197,0.00965708463461133
280,4.205,0.0146010589513835
281,4.212,0.00932603437199046
282,4.220,0.0022694366687562
283,4.227,0.0118568265112368
284,4.235,0.0149146855159717
285,4.242,0.00895578078879608
286,4.250,0.0194448470044677
287,4.257,0.00935652584354765
288,4.265,0.0112034378350114
289,4.272,0.00742249536192048
290,4.280,0.0178854260305431
291,4.287,0.0153677016648213
292,4.295,0.00755317309716556
293,4.303,0.019375152212337
294,4.310,0.0166004283006332
295,4.318,0.0106807268940311
296,4.325,0.013995585444748
297,4.333,0.0181119341049679
298,4.340,0.00339326519186388
299,4.348,0.0131548920146713
300,4.355,0.00400309462300758
301,4.363,0.0159905988694895
302,4.370,0.00834595135765237
303,4.378,0.00623768389569843
304,4.385,0.0182774592362784
305,4.393,0.0272201722515499
306,4.401,0.0171928340337442
307,4.408,0.0319942655125035
308,4.416,0.132311206935642
309,4.423,0.131640394561384
310,4.431,0.0362674274550176
311,4.438,0.00791907075585178
312,4.446,0.0114343018339444
313,4.453,0.0172059018072687
